year__année,site_name__nom_du_site,site_latitude__latitude_du_site,site_longitude__longitude_du_site,start_date__date_de_départ,end_date__date_de_fin,n_transects__no_de_transects,n_lobsters__no_homards
2007,Shediac,46.26319167,-64.46694667,6/22/2007,6/25/2007,7,77
2008,Caraquet,47.84128611111112,-64.89207778,6/30/2008,7/9/2008,28,2299
2008,Cocagne,46.40379416666667,-64.59110417,6/24/2008,6/25/2008,10,504
2008,Richibucto,46.736913333333334,-64.794275,7/24/2008,7/31/2008,9,681
2008,Shediac,46.26319167,-64.46694667,6/16/2008,6/17/2008,11,115
2009,Caraquet,47.84128611111112,-64.89207778,7/2/2009,7/14/2009,28,2271
2009,Cocagne,46.40379416666667,-64.59110417,6/26/2009,6/26/2009,7,286
2009,Neguac,47.288275,-64.92514833,7/20/2009,7/20/2009,1,82
2009,Pointe-Verte,47.85486166666667,-65.743865,8/6/2009,8/12/2009,6,199
2009,Richibucto,46.736913333333334,-64.794275,7/24/2009,7/28/2009,8,794
2009,Shediac,46.26319167,-64.46694667,6/24/2009,6/25/2009,11,162
2009,Toney River,45.784818333333334,-62.94120667,8/17/2009,8/17/2009,3,60
2010,Caraquet,47.84128611111112,-64.89207778,7/6/2010,7/14/2010,25,2371
2010,Cocagne,46.40379416666667,-64.59110417,6/21/2010,6/22/2010,12,519
2010,Fox Harbor,45.87311,-63.42298167,8/23/2010,8/24/2010,12,41
2010,Grande-Anse,,,7/21/2010,7/22/2010,11,1291
2010,Neguac,47.288275,-64.92514833,7/23/2010,7/27/2010,4,384
2010,Pointe-Verte,47.85486166666667,-65.743865,8/3/2010,8/4/2010,11,680
2010,Shediac,46.26319167,-64.46694667,6/23/2010,6/24/2010,11,139
2010,Toney River,45.784818333333334,-62.94120667,8/30/2010,8/30/2010,6,178
2011,Caraquet,47.84128611111112,-64.89207778,7/4/2011,7/12/2011,27,2868
2011,Cocagne,46.40379416666667,-64.59110417,6/27/2011,6/28/2011,12,743
2011,Pigeon Hill,,,7/19/2011,7/19/2011,4,167
2011,Pointe-Verte,47.85486166666667,-65.743865,8/5/2011,8/16/2011,11,1027
2011,Richibucto,46.736913333333334,-64.794275,7/18/2011,7/19/2011,9,1079
2011,Shediac,46.26319167,-64.46694667,6/21/2011,6/21/2011,6,87
2012,Caraquet,47.84128611111112,-64.89207778,7/4/2012,7/13/2012,25,3098
2012,Cocagne,46.40379416666667,-64.59110417,7/30/2012,7/31/2012,12,652
2012,Fox Harbor,45.87311,-63.42298167,8/9/2012,8/9/2012,5,20
2012,Murray Corner,46.181915,-63.98119,7/23/2012,7/23/2012,3,2
2012,Neguac,47.288275,-64.92514833,7/10/2012,7/10/2012,3,236
2012,Pigeon Hill,,,7/3/2012,7/4/2012,6,381
2012,Pointe-Verte,47.85486166666667,-65.743865,7/17/2012,7/17/2012,3,381
2012,Richibucto,46.736913333333334,-64.794275,7/17/2012,7/19/2012,9,971
2012,Shediac,46.26319167,-64.46694667,7/26/2012,8/2/2012,11,210
2012,Toney River,45.784818333333334,-62.94120667,8/1/2012,8/1/2012,3,50
2013,Caraquet,47.84128611111112,-64.89207778,7/2/2013,7/11/2013,25,6734
2013,Cocagne,46.40379416666667,-64.59110417,6/20/2013,6/24/2013,12,1166
2013,Fox Harbor,45.87311,-63.42298167,6/25/2013,6/25/2013,6,26
2013,Murray Corner,46.181915,-63.98119,8/7/2013,8/7/2013,3,4
2013,Neguac,47.288275,-64.92514833,7/15/2013,8/5/2013,7,1419
2013,Pigeon Hill,,,7/18/2013,7/25/2013,6,818
2013,Pointe-Verte,47.85486166666667,-65.743865,8/8/2013,8/8/2013,3,256
2013,Richibucto,46.736913333333334,-64.794275,7/18/2013,7/24/2013,9,1706
2013,Shediac,46.26319167,-64.46694667,6/17/2013,6/19/2013,12,240
2013,Toney River,45.784818333333334,-62.94120667,8/7/2013,8/7/2013,6,151
2014,Caraquet,47.84128611111112,-64.89207778,7/3/2014,7/17/2014,25,8556
2014,Cocagne,46.40379416666667,-64.59110417,7/21/2014,7/31/2014,10,1925
2014,Fox Harbor,45.87311,-63.42298167,8/18/2014,8/18/2014,4,17
2014,Neguac,47.288275,-64.92514833,7/18/2014,8/7/2014,4,621
2014,Pointe-Verte,47.85486166666667,-65.743865,7/30/2014,7/30/2014,2,298
2014,Richibucto,46.736913333333334,-64.794275,8/1/2014,8/6/2014,7,1779
2014,Shediac,46.26319167,-64.46694667,6/18/2014,6/24/2014,9,314
2014,Toney River,45.784818333333334,-62.94120667,8/12/2014,8/13/2014,6,159
2015,Caraquet,47.84128611111112,-64.89207778,7/7/2015,7/17/2015,26,8688
2015,Cocagne,46.40379416666667,-64.59110417,6/26/2015,7/2/2015,9,2514
2015,Murray Corner,46.181915,-63.98119,8/5/2015,8/5/2015,3,170
2015,Pointe-Verte,47.85486166666667,-65.743865,7/22/2015,7/23/2015,6,1346
2015,Richibucto,46.736913333333334,-64.794275,7/28/2015,7/30/2015,6,1597
2015,Shediac,46.26319167,-64.46694667,6/23/2015,6/25/2015,9,851
2015,Toney River,45.784818333333334,-62.94120667,8/6/2015,8/11/2015,4,134
2016,Caraquet,47.84128611111112,-64.89207778,7/5/2016,7/14/2016,18,6689
2016,Cocagne,46.40379416666667,-64.59110417,6/22/2016,6/27/2016,9,2800
2016,Murray Corner,46.181915,-63.98119,8/2/2016,8/2/2016,3,241
2016,Neguac,47.288275,-64.92514833,7/18/2016,7/18/2016,3,674
2016,Pointe-Verte,47.85486166666667,-65.743865,7/21/2016,7/21/2016,4,1314
2016,Richibucto,46.736913333333334,-64.794275,7/25/2016,7/26/2016,6,1307
2016,Shediac,46.26319167,-64.46694667,6/29/2016,7/29/2016,8,1072
2016,Toney River,45.784818333333334,-62.94120667,8/3/2016,8/3/2016,3,55
2017,Caraquet,47.84128611111112,-64.89207778,7/5/2017,7/14/2017,17,7641
2017,Cocagne,46.40379416666667,-64.59110417,6/13/2017,6/26/2017,9,2984
2017,Fox Harbor,45.87311,-63.42298167,7/27/2017,7/27/2017,4,30
2017,Murray Corner,46.181915,-63.98119,7/24/2017,7/24/2017,3,214
2017,Neguac,47.288275,-64.92514833,7/19/2017,7/19/2017,3,608
2017,Pointe-Verte,47.85486166666667,-65.743865,7/17/2017,7/18/2017,4,956
2017,Richibucto,46.736913333333334,-64.794275,7/20/2017,7/21/2017,6,1215
2017,Shediac,46.26319167,-64.46694667,6/27/2017,6/29/2017,6,776
2017,Toney River,45.784818333333334,-62.94120667,7/26/2017,7/26/2017,3,60
2018,Caraquet,47.84128611111112,-64.89207778,7/3/2018,7/12/2018,21,6877
2018,Cocagne,46.40379416666667,-64.59110417,6/11/2018,7/24/2018,8,2828
2018,Fox Harbor,45.87311,-63.42298167,7/31/2018,7/31/2018,4,27
2018,Murray Corner,46.181915,-63.98119,6/20/2018,6/20/2018,3,195
2018,Pointe-Verte,47.85486166666667,-65.743865,7/16/2018,7/16/2018,4,608
2018,Richibucto,46.736913333333334,-64.794275,7/30/2018,7/30/2018,6,1133
2018,Shediac,46.26319167,-64.46694667,6/21/2018,7/23/2018,7,796
2018,Toney River,45.784818333333334,-62.94120667,7/25/2018,7/25/2018,3,71
2019,Alberton,46.847766666666665,-63.996125,10/8/2019,10/10/2019,5,677
2019,Caraquet,47.84128611111112,-64.89207778,7/4/2019,7/16/2019,12,5075
2019,Cocagne,46.40379416666667,-64.59110417,6/11/2019,7/19/2019,11,2599
2019,Fox Harbor,45.87311,-63.42298167,7/29/2019,7/29/2019,5,24
2019,Murray Corner,46.181915,-63.98119,7/22/2019,7/22/2019,5,115
2019,Neguac,47.288275,-64.92514833,7/25/2019,7/31/2019,7,792
2019,Nine Mile Creek,46.110685000000004,-63.17575833,10/2/2019,10/4/2019,6,35
2019,Pointe-Verte,47.85486166666667,-65.743865,7/17/2019,7/17/2019,5,1038
2019,Richibucto,46.736913333333334,-64.794275,7/23/2019,7/24/2019,5,1288
2019,Shediac,46.26319167,-64.46694667,6/24/2019,6/28/2019,5,821
2019,Toney River,45.784818333333334,-62.94120667,7/30/2019,7/30/2019,5,124
2021,Alberton,46.847766666666665,-63.996125,10/12/2021,10/15/2021,4,735
2021,Caraquet,47.84128611111112,-64.89207778,7/5/2021,7/14/2021,12,3306
2021,Cocagne,46.40379416666667,-64.59110417,6/9/2021,6/22/2021,13,2777
2021,Fox Harbor,45.87311,-63.42298167,7/26/2021,7/26/2021,5,22
2021,Malpeque Bay,46.54983333333333,-63.8475,10/26/2021,10/26/2021,1,0
2021,Murray Corner,46.181915,-63.98119,7/21/2021,7/21/2021,5,98
2021,Neguac,47.288275,-64.92514833,7/28/2021,7/28/2021,5,588
2021,Nine Mile Creek,46.110685000000004,-63.17575833,10/20/2021,10/21/2021,6,38
2021,Pointe-Verte,47.85486166666667,-65.743865,7/15/2021,7/15/2021,4,1006
2021,Richibucto,46.736913333333334,-64.794275,7/19/2021,7/20/2021,5,1256
2021,Shediac,46.26319167,-64.46694667,6/24/2021,6/25/2021,5,951
2021,Toney River,45.784818333333334,-62.94120667,7/27/2021,7/27/2021,4,77
2022,Caraquet,47.84128611111112,-64.89207778,7/8/2022,7/15/2022,12,2348
2022,Cocagne,46.40379416666667,-64.59110417,6/6/2022,6/9/2022,12,1636
2022,Fox Harbor,45.87311,-63.42298167,8/4/2022,8/5/2022,5,45
2022,Murray Corner,46.181915,-63.98119,6/16/2022,6/16/2022,5,160
2022,Neguac,47.288275,-64.92514833,7/5/2022,7/5/2022,5,584
2022,Pointe-Verte,47.85486166666667,-65.743865,7/7/2022,7/18/2022,5,979
2022,Richibucto,46.736913333333334,-64.794275,6/21/2022,6/21/2022,1,0
2022,Shediac,46.26319167,-64.46694667,6/13/2022,6/14/2022,5,693
2022,Toney River,45.784818333333334,-62.94120667,8/2/2022,8/3/2022,5,73
2023,Caraquet,47.84128611111112,-64.89207778,7/4/2023,7/10/2023,11,2454
2023,Cocagne,46.40379416666667,-64.59110417,6/15/2023,6/22/2023,10,2064
2023,Fox Harbor,45.87311,-63.42298167,7/25/2023,7/25/2023,5,14
2023,Murray Corner,46.181915,-63.98119,7/24/2023,7/24/2023,5,110
2023,Neguac,47.288275,-64.92514833,7/14/2023,7/19/2023,5,449
2023,Pointe-Verte,47.85486166666667,-65.743865,7/12/2023,7/13/2023,5,1187
2023,Richibucto,46.736913333333334,-64.794275,7/20/2023,7/21/2023,5,728
2023,Shediac,46.26319167,-64.46694667,6/27/2023,6/30/2023,6,792
2023,Toney River,45.784818333333334,-62.94120667,7/31/2023,7/31/2023,5,108
2024,Caraquet,47.84128611111112,-64.89207778,7/8/2024,7/15/2024,11,4215
2024,Cocagne,46.40379416666667,-64.59110417,6/5/2024,6/18/2024,10,2189
2024,Fox Harbor,45.87311,-63.42298167,7/25/2024,7/25/2024,5,14
2024,Murray Corner,46.181915,-63.98119,6/11/2024,6/11/2024,5,249
2024,Neguac,47.288275,-64.92514833,7/10/2024,7/10/2024,6,497
2024,Pointe-Verte,47.85486166666667,-65.743865,7/2/2024,7/3/2024,5,1187
2024,Richibucto,46.736913333333334,-64.794275,6/10/2024,6/10/2024,1,0
2024,Shediac,46.26319167,-64.46694667,6/19/2024,7/4/2024,6,756
2024,Toney River,45.784818333333334,-62.94120667,7/23/2024,7/23/2024,6,93
2025,Caraquet,47.84128611111112,-64.89207778,7/7/2025,7/11/2025,11,2846
2025,Cocagne,46.40379416666667,-64.59110417,6/4/2025,6/10/2025,10,2352
2025,Fox Harbor,45.87311,-63.42298167,7/28/2025,7/29/2025,5,17
2025,Murray Corner,46.181915,-63.98119,7/2/2025,7/2/2025,5,124
2025,Neguac,47.288275,-64.92514833,7/30/2025,7/31/2025,5,500
2025,Pointe-Verte,47.85486166666667,-65.743865,7/15/2025,7/16/2025,5,651
2025,Shediac,46.26319167,-64.46694667,6/16/2025,6/23/2025,5,519
2025,Toney River,45.784818333333334,-62.94120667,7/23/2025,7/23/2025,5,89
