Sample_ID,Species,Location,Catch_Method_Notes,Tissue,Year,Date_Collected,Date_Dissected,Date_Analyzed,Fork_Length ,Unit_FLength,Weight,Unit_weight,ë13C,ë15N,ë34S,X.C,X.N,C.N_ratio,X.S ,d13C_Lipid_Corr,Notes
2019-SIM-012,Banded Killifish,Bass Trap,Net Type Unknown,Muscle,2019,10-06-2019,04-07-2019,27-11-2020,7.9,Centimeters,4.691,Grams,-21.27,11.83,14.03,48.09,14.08,3.42,1.31,-20.4,
2019-SIM-013,Banded Killifish,Bass Trap,Net Type Unknown,Muscle,2019,10-06-2019,04-07-2019,27-11-2020,4.3,Centimeters,0.742,Grams,-21.25,12.31,12.46,46.26,13.33,3.47,1.38,-20.3,
2019-SIM-014,Banded Killifish,Bass Trap,Net Type Unknown,Muscle,2019,10-06-2019,04-07-2019,27-11-2020,6,Centimeters,1.999,Grams,-21.26,11.31,11.51,48.12,14.1,3.41,1.34,-20.4,
2019-SIM-015,Banded Killifish,Bass Trap,Net Type Unknown,Muscle,2019,10-06-2019,04-07-2019,27-11-2020,6.1,Centimeters,1.974,Grams,-21.59,11.79,10.63,48.22,13.89,3.47,1.19,-20.6,
2019-SIM-018,White Sucker,Bass Trap,Fyke Net,Muscle,2019,10-06-2019,04-07-2019,16-03-2020,9.4,Centimeters,7.976,Grams,-22.18,10.78,13.04,46.48,14.26,3.26,0.98,-21.6,
2019-SIM-019,White Sucker,Bass Trap,Fyke Net,Muscle,2019,10-06-2019,04-07-2019,29-05-2020,11.6,Centimeters,20.691,Grams,-22.55,11.33,10.57,45.54,14.17,3.21,1.04,-22.1,
2019-SIM-020,White Sucker,Bass Trap,Fyke Net,Muscle,2019,10-06-2019,05-07-2019,29-05-2020,16,Centimeters,56.941,Grams,-25.35,10.15,5.35,42.47,12.93,3.29,1.02,-24.7,
2019-SIM-021,White Sucker,Bass Trap,Fyke Net,Muscle,2019,10-06-2019,05-07-2019,29-05-2020,24.9,Centimeters,229.079,Grams,-21.45,10.86,12.18,44.98,13.78,3.26,1.04,-20.9,
2019-SIM-022,White Sucker,Bass Trap,Fyke Net,Muscle,2019,10-06-2019,05-07-2019,29-05-2020,17.8,Centimeters,81.948,Grams,-21.07,10.6,9.72,46.49,14.36,3.24,1.09,-20.5,
2019-SIM-023,White Sucker,Bass Trap,Fyke Net,Muscle,2019,10-06-2019,05-07-2019,29-05-2020,23.7,Centimeters,184.26,Grams,-21.5,11.73,11.17,46.08,13.84,3.33,0.97,-20.8,
2019-SIM-024,White Sucker,Bass Trap,Fyke Net,Muscle,2019,10-06-2019,05-07-2019,29-05-2020,19.6,Centimeters,101.8,Grams,-23.65,10.68,9.8,45.01,13.97,3.22,1.04,-23.2,
2019-SIM-025,White Sucker,Bass Trap,Fyke Net,Muscle,2019,10-06-2019,05-07-2019,29-05-2020,19.3,Centimeters,88.7,Grams,-23.5,9.86,8.61,45.96,14.24,3.23,1.07,-23,
2019-SIM-026,White Sucker,Bass Trap,Fyke Net,Muscle,2019,10-06-2019,08-07-2019,29-05-2020,13.6,Centimeters,30.738,Grams,-31.16,8.29,6.24,46.47,14.05,3.31,1.08,-30.5,
2019-SIM-027,Lake Chub,Cassilis,Fyke Net,Muscle,2019,11-06-2019,08-07-2019,08-09-2022,8.8,Centimeters,7.493,Grams,-22.76,11.11,12.55,46.03,14.56,3.16,0.88,-22.4,
2019-SIM-028,Lake Chub,Cassilis,Fyke Net,Muscle,2019,11-06-2019,08-07-2019,11-10-2022,9.7,Centimeters,10.293,Grams,-23.78,11.5,14.64,44,12.52,3.51,0.69,-22.7,
2019-SIM-029,Common Shiner,Cassilis,Fyke Net,Muscle,2019,11-06-2019,08-07-2019,11-10-2022,8.5,Centimeters,7.271,Grams,-23.6,9.41,11.19,46.77,14.84,3.15,0.77,-23.3,
2019-SIM-030,Common Shiner,Cassilis,Fyke Net,Muscle,2019,11-06-2019,08-07-2019,11-10-2022,8,Centimeters,6.465,Grams,-24.37,10.13,13.6,47.82,14.22,3.36,0.78,-23.6,
2019-SIM-034,Fall Fish,Cassilis,Fyke Net,Muscle,2019,11-06-2019,08-07-2019,11-10-2022,8.5,Centimeters,8.294,Grams,-24.43,10.25,12.58,56.61,9.92,5.71,0.57,-21,
2019-SIM-035,Fall Fish,Cassilis,Fyke Net,Muscle,2019,11-06-2019,08-07-2019,11-10-2022,7.4,Centimeters,6.067,Grams,-25.86,10.77,15.2,60.6,7.87,7.7,0.44,-21.5,
2019-SIM-036,Fall Fish,Cassilis,Fyke Net,Muscle,2019,11-06-2019,08-07-2019,11-10-2022,10.3,Centimeters,15.894,Grams,-24.4,10.66,13.78,54.09,9.31,5.81,0.56,-21,
2019-SIM-045,White Sucker,Cassilis,Fyke Net,Muscle,2019,10-06-2019,08-07-2019,29-05-2020,8.2,Centimeters,6.606,Grams,-25.34,8.3,8.86,46.08,14.12,3.26,1.14,-24.8,
2019-SIM-046,White Sucker,Cassilis,Fyke Net,Muscle,2019,10-06-2019,08-07-2019,29-05-2020,9.3,Centimeters,9.125,Grams,-21.77,11.01,12.8,46.31,14.16,3.27,1.09,-21.2,
2019-SIM-047,White Sucker,Cassilis,Fyke Net,Muscle,2019,10-06-2019,08-07-2019,29-05-2020,8.3,Centimeters,6.782,Grams,-24,10.07,10.41,46.28,14.02,3.3,1.1,-23.4,
2019-SIM-051,Parr,Cassilis,Fyke Net,Muscle,2019,10-06-2019,09-07-2019,27-11-2020,6.3,Centimeters,3.134,Grams,-23.43,10.12,9.46,47.73,13.92,3.43,1.14,-22.5,
2019-SIM-052,White Sucker,Cassilis,Fyke Net,Muscle,2019,10-06-2019,09-07-2019,29-05-2020,13.9,Centimeters,34.888,Grams,-25.48,7.65,7.38,46.08,13.85,3.33,1.17,-24.8,
2019-SIM-053,White Sucker,Cassilis,Fyke Net,Muscle,2019,10-06-2019,09-07-2019,29-05-2020,8,Centimeters,6.035,Grams,-25.06,10.44,10.84,45.78,13.81,3.31,1.08,-24.4,
2019-SIM-054,Parr,Cassilis,Fyke Net,Muscle,2019,11-06-2019,09-07-2019,27-11-2020,6.4,Centimeters,3.272,Grams,-24.76,9.53,8.34,47.09,14.12,3.34,1.13,-24,
2019-SIM-055,Parr,Cassilis,Fyke Net,Muscle,2019,11-06-2019,10-07-2019,27-11-2020,7.2,Centimeters,4.231,Grams,-25.63,9.5,9.39,47.28,13.88,3.41,1.1,-24.8,
2019-SIM-060,Parr,Cassilis,Fyke Net,Muscle,2019,11-06-2019,10-07-2019,27-11-2020,6.3,Centimeters,2.787,Grams,-23.9,10.72,9.55,46.58,13.33,3.49,1.13,-22.9,
2019-SIM-061,Parr,Cassilis,Fyke Net,Muscle,2019,11-06-2019,10-07-2019,27-11-2020,6.1,Centimeters,2.686,Grams,-24.45,9.29,9.9,47.63,13.95,3.42,1.15,-23.6,
2019-SIM-062,Parr,Cassilis,Fyke Net,Muscle,2019,11-06-2019,10-07-2019,27-11-2020,7,Centimeters,3.601,Grams,-24.11,9.31,8.42,45.05,14.1,3.19,1.16,-23.7,
2019-SIM-063,Parr,Cassilis,Fyke Net,Muscle,2019,11-06-2019,10-07-2019,27-11-2020,5.5,Centimeters,1.897,Grams,-25.03,9.49,7.75,47.26,14.27,3.31,1.24,-24.4,
2019-SIM-064,Parr,Cassilis,Fyke Net,Muscle,2019,11-06-2019,10-07-2019,27-11-2020,5.9,Centimeters,2.445,Grams,-23.76,9.76,10.55,46.32,14,3.31,1.08,-23.1,
2019-SIM-065,Parr,Cassilis,Fyke Net,Muscle,2019,11-06-2019,11-07-2019,27-11-2020,6.3,Centimeters,3.379,Grams,-24.96,9.35,8.28,47.35,14.27,3.32,1.08,-24.3,
2019-SIM-066,Fall Fish,Cassilis,Fyke Net,Muscle,2019,11-06-2019,11-07-2019,11-10-2022,11.8,Centimeters,24.547,Grams,-25.28,10.51,13.75,60.12,7.62,7.89,0.49,-20.9,
2019-SIM-067,Fall Fish,Cassilis,Fyke Net,Muscle,2019,11-06-2019,11-07-2019,11-10-2022,13.3,Centimeters,34.749,Grams,-25.73,10.6,13.43,55.77,8.97,6.22,0.54,-22,
2019-SIM-068,Fall Fish,Cassilis,Fyke Net,Muscle,2019,11-06-2019,11-07-2019,11-10-2022,13.8,Centimeters,37.608,Grams,-25.36,10.85,13.53,56.26,8.37,6.72,0.56,-21.4,
2019-SIM-069,Fall Fish,Cassilis,Fyke Net,Muscle,2019,11-06-2019,11-07-2019,11-10-2022,11.4,Centimeters,21.728,Grams,-24.99,11.15,13.99,56.35,9.04,6.23,0.61,-21.3,
2019-SIM-072,White Sucker,Cassilis,Fyke Net,Muscle,2019,11-06-2019,15-07-2019,29-05-2020,8,Centimeters,5.782,Grams,-23.57,10.08,11.01,46.19,13.92,3.32,1.04,-22.9,
2019-SIM-079,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,4-06-2019,15-07-2019,20-02-2020,13.1,Centimeters,14.635,Grams,-20.29,13.42,18.02,47.48,14.39,3.3,1.13,-19.6,
2019-SIM-080,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,4-06-2019,15-07-2019,20-02-2020,16.6,Centimeters,38.266,Grams,-18.85,13.92,17.45,46.97,14.33,3.28,1.18,-18.2,
2019-SIM-081,Smolt,Cassilis,Fyke Net,Muscle,2019,08-07-2019,15-07-2019,16-03-2020,15.2,Centimeters,33.041,Grams,-24.45,7.18,6.08,45.74,14.72,3.11,1.01,-24.2,
2019-SIM-082,Smolt,Cassilis,Fyke Net,Muscle,2019,08-07-2019,16-07-2019,16-03-2020,14.1,Centimeters,31.001,Grams,-29.31,8.58,6.8,45.84,14.47,3.17,1.09,-28.9,
2019-SIM-083,Smolt,Cassilis,Fyke Net,Muscle,2019,30-05-2019,16-07-2019,16-03-2020,14,Centimeters,23.133,Grams,-23.2,7.46,6.62,39.11,12.28,3.19,0.98,-22.8,
2019-SIM-084,Smolt,Cassilis,Fyke Net,Muscle,2019,30-05-2019,16-07-2019,16-03-2020,14.1,Centimeters,29.571,Grams,-28.85,7.99,5.87,46.37,14.6,3.18,1.18,-28.4,
2019-SIM-085,Smolt,Bass Trap,Fyke Net,Muscle,2019,10-06-2019,16-07-2019,16-03-2020,11.7,Centimeters,15.354,Grams,-26.61,8.32,6.45,45.8,14.64,3.13,1.1,-26.3,
2019-SIM-086,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,05-06-2019,16-07-2019,20-02-2020,13.5,Centimeters,18.43,Grams,-19.09,13.65,16.89,47.04,14.15,3.32,1.18,-18.4,
2019-SIM-087,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,05-06-2019,16-07-2019,20-02-2020,13.1,Centimeters,16.807,Grams,-18.35,13.34,15.64,47.05,14.18,3.32,1.19,-17.7,
2019-SIM-088,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,05-06-2019,16-07-2019,20-02-2020,13.5,Centimeters,19.283,Grams,-18.73,12.34,16.84,46.87,14.72,3.18,1.19,-18.3,
2019-SIM-089,Rainbow Smelt,Cassilis,Fyke Net,Muscle,2019,08-06-2019,16-07-2019,20-02-2020,12.5,Centimeters,12.604,Grams,-20.27,13.18,16.84,47.12,14.91,3.16,1.05,-19.9,
2019-SIM-090,Rainbow Smelt,Cassilis,Fyke Net,Muscle,2019,08-06-2019,16-07-2019,20-02-2020,16.4,Centimeters,31.698,Grams,-19.31,13.45,16.71,47.53,14.5,3.28,1,-18.7,
2019-SIM-091,Rainbow Smelt,Cassilis,Fyke Net,Muscle,2019,08-06-2019,18-07-2019,20-02-2020,17,Centimeters,36.405,Grams,-19.01,13.67,15.62,46.76,14.58,3.21,1.21,-18.5,
2019-SIM-094,Smolt,Cassilis,Fyke Net,Muscle,2019,08-06-2019,18-07-2019,16-03-2020,12.1,Centimeters,17.888,Grams,-23.97,7.45,6.41,45.6,14.51,3.14,1.07,-23.7,
2019-SIM-095,Smolt,Cassilis,Fyke Net,Muscle,2019,06-06-2019,18-07-2019,16-03-2020,11.5,Centimeters,14.591,Grams,-23.9,7.87,7.22,45.44,14.57,3.12,1.05,-23.6,
2019-SIM-096,Smolt,Cassilis,Fyke Net,Muscle,2019,06-06-2019,18-07-2019,16-03-2020,13.7,Centimeters,27.4,Grams,-26.8,7.46,5.48,46.25,14.59,3.17,1.14,-26.4,
2019-SIM-097,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,08-06-2019,18-07-2019,20-02-2020,16.4,Centimeters,36.62,Grams,-20.19,13.17,17.1,47.01,14.56,3.23,1.16,-19.7,
2019-SIM-098,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,25-05-2019,18-07-2019,20-02-2020,12.1,Centimeters,11.498,Grams,-19.43,13.41,17.43,46.21,14.68,3.15,1.13,-19.1,
2019-SIM-099,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,25-05-2019,18-07-2019,20-02-2020,13.5,Centimeters,15.596,Grams,-20.33,13.65,16.31,46.89,14.68,3.19,1.2,-19.9,
2019-SIM-100,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,30-05-2019,19-07-2019,20-02-2020,13.5,Centimeters,14.238,Grams,-19.1,13.44,15.44,46.85,14.74,3.18,1.11,-18.7,
2019-SIM-101,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,20-02-2020,13.8,Centimeters,16.234,Grams,-19.9,13.37,16.09,47.03,14.86,3.17,1.12,-19.5,
2019-SIM-102,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,20-02-2020,12.8,Centimeters,13.069,Grams,-20.08,14.01,15.8,46.97,14.8,3.17,1.12,-19.7,
2019-SIM-103,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,27-11-2020,13.7,Centimeters,16.856,Grams,-20.23,13.51,18.09,46.18,14.68,3.14,1.2,-19.9,
2019-SIM-104,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,27-11-2020,16.2,Centimeters,26.904,Grams,-19.26,14.04,17.47,47.68,14.73,3.24,0.99,-18.7,
2019-SIM-105,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,27-11-2020,12.8,Centimeters,13.188,Grams,-20.11,13.75,16.76,47.27,14.79,3.2,0.97,-19.7,
2019-SIM-106,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,27-11-2020,11.6,Centimeters,9.845,Grams,-19.72,13.54,17.88,44.44,13.84,3.21,0.97,-19.3,
2019-SIM-107,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,27-11-2020,13.2,Centimeters,13.923,Grams,-19.9,13.62,17.47,45.22,14.31,3.16,0.97,-19.5,
2019-SIM-110,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,08-09-2022,13.3,Centimeters,14.678,Grams,-19.08,13.6,17.43,46.81,14.75,3.17,0.91,-18.7,
2019-SIM-111,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,08-09-2022,12.7,Centimeters,13.66,Grams,-20.31,13.79,18.28,47.79,14.75,3.24,0.95,-19.8,
2019-SIM-112,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,08-09-2022,12.3,Centimeters,11.317,Grams,-20.35,13.16,19.89,47.08,15.22,3.09,1.05,-20.1,
2019-SIM-113,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,08-09-2022,12.5,Centimeters,13.126,Grams,-19.88,13.39,18.72,46.72,15.53,3.01,1.06,-19.9,
2019-SIM-119,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,19-07-2019,08-09-2022,12.6,Centimeters,12.704,Grams,-19.55,13.94,19.49,46.76,17.8,2.63,1.24,-20.6,
2019-SIM-120,Rainbow Smelt,Bass Trap,Fyke Net,Muscle,2019,26-05-2019,22-07-2019,08-09-2022,13.3,Centimeters,14.279,Grams,-20.24,16.68,19.62,50.16,13.49,3.72,1.11,-18.9,
2019-SIM-125,Smolt,Cassilis,Fyke Net,Muscle,2019,06-06-2019,22-07-2019,16-03-2020,12.1,Centimeters,17.2,Grams,-25.54,8.1,7.1,43.48,13.67,3.18,1.1,-25.1,
2019-SIM-126,Smolt,Cassilis,Fyke Net,Muscle,2019,06-06-2019,22-07-2019,16-03-2020,12.6,Centimeters,20.784,Grams,-24.32,8.37,7.22,45.17,14.44,3.13,1.16,-24,
2019-SIM-127,Smolt,Cassilis,Fyke Net,Muscle,2019,06-06-2019,22-07-2019,16-03-2020,12.9,Centimeters,20.619,Grams,-26.7,8.21,6.26,45.18,14.63,3.09,0.99,-26.5,
2019-SIM-128,Smolt,Cassilis,Fyke Net,Muscle,2019,06-06-2019,22-07-2019,29-05-2020,13.4,Centimeters,24.23,Grams,-26.08,7.46,5.25,45.65,14.37,3.18,1.04,-25.7,
2019-SIM-129,Smolt,Cassilis,Fyke Net,Muscle,2019,06-06-2019,22-07-2019,29-05-2020,11.5,Centimeters,15.516,Grams,-25.72,7.69,4.38,45.51,14.41,3.16,1.1,-25.4,
2019-SIM-130,Smolt,Cassilis,Fyke Net,Muscle,2019,06-06-2019,22-07-2019,29-05-2020,11.4,Centimeters,14.653,Grams,-24.12,7.34,6.5,46.09,14.31,3.22,1.14,-23.6,
2019-SIM-131,Parr,Cassilis,Fyke Net,Muscle,2019,10-06-2019,22-07-2019,26-09-2022,6,Centimeters,2.241,Grams,-24.24,9.22,10.95,46.97,14.12,3.33,0.82,-23.5,
2019-SIM-132,Parr,Cassilis,Fyke Net,Muscle,2019,10-06-2019,23-07-2019,26-09-2022,6,Centimeters,2.837,Grams,-23.85,10.41,13.68,47.2,14.48,3.26,0.85,-23.3,
2019-SIM-133,Smolt,Cassilis,Fyke Net,Muscle,2019,29-05-2019,24-07-2019,29-05-2020,12.2,Centimeters,20.674,Grams,-24.04,10.59,8.68,45.74,14.21,3.22,1.03,-23.6,
2019-SIM-139,Smolt,Cassilis,Fyke Net,Muscle,2019,06-06-2019,24-07-2019,26-09-2022,11.9,Centimeters,16.869,Grams,-24.93,7.57,10.78,43.48,11.8,3.69,0.62,-23.6,
2019-SIM-140,Smolt,Cassilis,Fyke Net,Muscle,2019,06-06-2019,24-07-2019,26-09-2022,14.4,Centimeters,26.591,Grams,-24.66,7.12,9.88,44.63,13.56,3.29,0.64,-24,
2019-SIM-141,Smolt,Location Unknown,Fyke Net,Muscle,2019,06-06-2019,24-07-2019,26-09-2022,12.4,Centimeters,19.78,Grams,-26.65,7.85,9.99,45.48,14.71,3.09,0.77,-26.4,
2019-SIM-142,Smolt,Location Unknown,Fyke Net,Muscle,2019,06-06-2019,24-07-2019,26-09-2022,14.4,Centimeters,29.436,Grams,-27.09,8.48,9.36,44.38,12.37,3.59,0.57,-25.9,
2019-SIM-143,Smolt,Location Unknown,Fyke Net,Muscle,2019,06-06-2019,24-07-2019,26-09-2022,14,Centimeters,23.719,Grams,-27.48,7.02,9.42,44.62,14.24,3.13,0.73,-27.2,
2019-SIM-144,Smolt,Location Unknown,Fyke Net,Muscle,2019,12-06-2019,25-07-2019,26-09-2022,12.2,Centimeters,19.13,Grams,-28.48,6.63,9.43,43.5,12.63,3.44,0.61,-27.6,
2019-SIM-145,Smolt,Location Unknown,Fyke Net,Muscle,2019,06-06-2019,25-07-2019,26-09-2022,14.1,Centimeters,27.411,Grams,-27.3,8.33,9.69,41.39,12.13,3.41,0.64,-26.4,
2019-SIM-146,Smolt,Location Unknown,Fyke Net,Muscle,2019,06-06-2019,25-07-2019,26-09-2022,12.9,Centimeters,21.283,Grams,-24.49,7.06,9.1,43.49,11.88,3.66,0.59,-23.2,
2019-SIM-147,Smolt,Location Unknown,Fyke Net,Muscle,2019,06-06-2019,25-07-2019,26-09-2022,13.1,Centimeters,21.422,Grams,-19.2,9.55,13.19,39.43,19.69,2,1.1,-22.9,
2019-SIM-148,Smolt,Location Unknown,Fyke Net,Muscle,2019,06-06-2019,26-07-2019,26-09-2022,13,Centimeters,21.215,Grams,-25.04,7.03,9.22,46.28,14.24,3.25,0.76,-24.5,
2019-SIM-149,Smolt,Location Unknown,Fyke Net,Muscle,2019,30-05-2019,26-07-2019,26-09-2022,11.4,Centimeters,15.983,Grams,-26.95,7.06,9.15,45.74,13.51,3.39,0.72,-26.1,
2019-SIM-151,Smolt,Location Unknown,Fyke Net,Muscle,2019,30-05-2019,26-07-2019,26-09-2022,12.3,Centimeters,18.529,Grams,-24.54,7.14,9.2,43.49,12.86,3.38,0.65,-23.7,
2019-SIM-152,Smolt,Location Unknown,Fyke Net,Muscle,2019,30-05-2019,26-07-2019,26-09-2022,11.4,Centimeters,15.126,Grams,-26.36,8.76,9.48,45.79,14.95,3.06,0.99,-26.2,
2019-SIM-153,Smolt,Location Unknown,Fyke Net,Muscle,2019,06-06-2019,29-07-2019,26-09-2022,11.7,Centimeters,16.014,Grams,-25.38,7.63,12.36,45.49,16.14,2.82,0.89,-25.9,No liver
2019-SIM-168,Parr,Cassilis,Fyke Net,Muscle,2019,06-10-2019,30-07-2019,27-11-2020,6.5,Centimeters,3.585,Grams,-24.39,9.16,8.38,48.14,13.89,3.47,0.97,-23.4,
2019-SIM-173,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,30-07-2019,20-09-2022,6.4,Centimeters,2.987,Grams,-24.57,8.25,12.55,40.31,10.85,3.72,0.66,-23.2,
2019-SIM-175,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,30-07-2019,20-09-2022,5.7,Centimeters,2.152,Grams,-24.41,9.65,14.28,42.06,11.2,3.76,0.71,-23,
2019-SIM-176,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,30-07-2019,20-09-2022,6.1,Centimeters,2.475,Grams,-21.75,9.9,14.36,41.94,10.8,3.88,0.69,-20.1,
2019-SIM-177,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,30-07-2019,20-09-2022,6.4,Centimeters,3.01,Grams,-24.92,8.29,12.92,40.32,11.28,3.58,0.7,-23.8,
2019-SIM-178,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,30-07-2019,20-09-2022,6,Centimeters,2.165,Grams,-21.87,9.3,12.59,40.18,10.93,3.68,0.69,-20.5,
2019-SIM-179,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,30-07-2019,20-09-2022,5.6,Centimeters,2.047,Grams,-24.32,8.39,10.94,41.22,11.64,3.54,0.74,-23.2,
2019-SIM-180,Parr,Cassilis,Fyke Net,Muscle,2019,09-05-2019,31-07-2019,20-09-2022,5.5,Centimeters,1.66,Grams,-25.93,7.9,9.68,41.61,12.43,3.35,0.86,-25.2,
2019-SIM-182,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,31-07-2019,20-09-2022,5.4,Centimeters,1.696,Grams,-23.3,9.52,11.81,44.9,12.09,3.72,0.76,-21.9,
2019-SIM-183,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,31-07-2019,20-09-2022,5.9,Centimeters,2.442,Grams,-23.61,9.13,13.53,46.68,11.89,3.93,0.71,-21.9,
2019-SIM-184,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,31-07-2019,20-09-2022,5.8,Centimeters,2.101,Grams,-25.53,8.36,12.16,46.15,12.39,3.72,0.8,-24.1,
2019-SIM-185,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,31-07-2019,20-09-2022,5.8,Centimeters,1.957,Grams,-23.82,9.78,11.67,45.19,11.59,3.9,0.74,-22.2,
2019-SIM-186,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,31-07-2019,20-09-2022,5.4,Centimeters,1.784,Grams,-25.58,7.62,10.23,45.72,14.25,3.21,0.89,-25.1,
2019-SIM-190,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,31-07-2019,20-09-2022,6,Centimeters,2.419,Grams,-24.29,10.11,12.99,41.63,11.87,3.51,0.8,-23.3,
2019-SIM-191,Parr,Cassilis,Fyke Net,Muscle,2019,29-05-2019,02-08-2019,20-09-2022,6.3,Centimeters,2.212,Grams,-24.95,8.35,10.39,41.5,11.78,3.52,0.73,-23.9,
2019-SIM-198,Parr,Cassilis,Fyke Net,Muscle,2019,05-06-2019,02-08-2019,20-09-2022,5.7,Centimeters,1.966,Grams,-24.64,10.41,11.28,42.34,11.7,3.62,0.7,-23.4,
2019-SIM-199,Parr,Cassilis,Fyke Net,Muscle,2019,05-06-2019,02-08-2019,20-09-2022,6.6,Centimeters,3.286,Grams,-25.45,7.62,9.68,42.85,11.55,3.71,0.69,-24.1,
2019-SIM-200,Parr,Cassilis,Fyke Net,Muscle,2019,05-06-2019,02-08-2019,20-09-2022,6.4,Centimeters,2.873,Grams,-24.89,8.85,10.25,41.88,11.91,3.52,0.72,-23.8,
2019-SIM-201,Parr,Cassilis,Fyke Net,Muscle,2019,05-06-2019,02-08-2019,20-09-2022,5.3,Centimeters,1.67,Grams,-25.17,8.19,12,41.34,11.48,3.6,0.76,-24,
