year / année,site / site,station / station,latitude / latitude,longitude / longitude,number of samples / nombre d'échantillons,mean water temperature / température moyenne de l'eau,mean salinity / salinité moyenne,mean dissolved oxygen / oxygène dissous moyen,total species observed / total des espèces observées,total yoy measured / total des jeunes mesurés,total adults measured / total des adultes mesurés,SAV was reported / VAS a été rapporté
2005,Tracadie (NB),Allee des Canards,47.527732,-64.894019,5,16.428,23.34,8.88,23,231,376,True
2006,Tracadie (NB),Allee des Canards,47.527732,-64.894019,5,19.24,25.68,8.346,19,539,1440,True
2007,Tracadie (NB),Allee des Canards,47.527732,-64.894019,5,18.62,25.5,7.42,26,250,1687,True
2008,Tracadie (NB),Allee des Canards,47.527732,-64.894019,5,17.12,22.8,9.368,31,62,1793,True
2009,Tracadie (NB),Allee des Canards,47.527732,-64.894019,5,19.42,20.86,8.624,25,23,627,True
2010,Tracadie (NB),Allee des Canards,47.527732,-64.894019,5,17.5,25.7,7.272,33,27,1194,True
2011,Tracadie (NB),Allee des Canards,47.527732,-64.894019,3,19.3,18.033,7.267,22,24,3146,True
2012,Tracadie (NB),Allee des Canards,47.527732,-64.894019,3,20.533,22.767,6.74,18,27,577,True
2013,Tracadie (NB),Allee des Canards,47.527732,-64.894019,3,17.233,19.913,7.237,14,0,350,False
2014,Tracadie (NB),Allee des Canards,47.527732,-64.894019,3,19.867,16.953,7.173,20,48,415,True
2015,Tracadie (NB),Allee des Canards,47.527732,-64.894019,3,19.0,22.917,5.79,24,35,1128,True
2016,Tracadie (NB),Allee des Canards,47.527732,-64.894019,3,20.867,19.363,6.97,24,4,976,True
2017,Tracadie (NB),Allee des Canards,47.527732,-64.894019,3,21.267,21.937,8.197,25,121,724,True
2018,Tracadie (NB),Allee des Canards,47.527732,-64.894019,1,16.4,25.04,7.52,7,0,75,True
2008,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,5,17.56,0.96,8.878,24,14,186,True
2009,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,5,15.86,1.18,9.374,25,177,1839,False
2010,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,5,19.92,5.0,8.645,31,798,199,False
2011,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,3,20.167,0.333,8.013,18,210,404,True
2012,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,3,21.233,2.1,7.9,29,695,451,True
2013,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,3,18.767,0.48,8.673,17,145,670,False
2014,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,3,20.967,1.017,9.017,17,148,205,True
2015,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,3,20.267,1.86,8.337,26,673,515,True
2016,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,3,19.8,2.973,7.127,17,26,103,True
2017,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,3,20.3,3.633,8.033,23,194,315,True
2018,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,2,20.0,4.74,7.985,8,86,27,False
2019,Eel Ground (NB),Anderson's Bridge,46.96733,-65.59996,1,0,0,0,0,0,0,False
2005,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,5,17.087,26.972,8.402,38,273,1553,True
2006,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,5,17.025,27.25,7.242,21,19,254,True
2007,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,5,19.24,27.58,7.39,24,132,425,True
2008,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,5,17.76,25.54,9.772,24,1253,2728,True
2009,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,4,18.37,26.47,8.727,20,110,1834,True
2010,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,5,21.34,27.24,8.736,28,196,493,True
2011,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,3,20.033,26.733,8.143,14,372,108,True
2012,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,3,23.467,27.0,6.943,13,402,612,True
2013,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,3,22.5,27.483,8.87,15,677,751,True
2014,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,3,21.633,26.253,8.203,12,550,88,True
2015,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,3,21.833,24.91,9.573,7,1242,729,True
2016,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,2,20.805,24.555,9.185,5,16,729,False
2017,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,3,20.167,26.687,8.403,15,11,149,True
2018,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,1,22.9,26.71,9.52,5,3,507,True
2019,Cape Jourimain (NB),Annes Acres,46.15355,-63.846567,1,23.5,26.77,7.46,4,1,33,False
2009,Hillsborough (PE),Aptose Road,46.219466,-63.113672,5,18.78,24.78,10.194,19,8518,19365,True
2010,Hillsborough (PE),Aptose Road,46.219466,-63.113672,5,18.9,22.86,7.924,21,562,607,True
2011,Hillsborough (PE),Aptose Road,46.219466,-63.113672,3,18.8,26.067,8.877,12,131,1203,True
2012,Hillsborough (PE),Aptose Road,46.219466,-63.113672,3,18.4,26.833,6.27,9,276,307,False
2013,Hillsborough (PE),Aptose Road,46.219466,-63.113672,3,19.2,25.3,8.123,16,96,192,True
2014,Hillsborough (PE),Aptose Road,46.219466,-63.113672,3,19.567,27.487,9.613,13,1451,300,True
2015,Hillsborough (PE),Aptose Road,46.219466,-63.113672,3,16.967,26.667,10.5,14,69,541,True
2016,Hillsborough (PE),Aptose Road,46.219466,-63.113672,3,20.667,23.933,7.955,13,1004,358,True
2017,Hillsborough (PE),Aptose Road,46.219466,-63.113672,3,22.433,25.983,9.063,10,6005,36,True
2018,Hillsborough (PE),Aptose Road,46.219466,-63.113672,1,14.4,27.14,14.75,5,0,197,False
2019,Hillsborough (PE),Aptose Road,46.219466,-63.113672,1,20.3,27.52,8.75,2,0,666,True
2004,Antigonish (NS),Aveline Ave,45.667195,-61.884295,5,17.34,23.26,7.566,50,430,6171,True
2005,Antigonish (NS),Aveline Ave,45.667195,-61.884295,5,16.98,18.55,9.14,40,64,2551,True
2006,Antigonish (NS),Aveline Ave,45.667195,-61.884295,5,21.82,21.14,9.054,49,747,3486,True
2007,Antigonish (NS),Aveline Ave,45.667195,-61.884295,5,18.98,17.36,10.58,53,92,4129,True
2008,Antigonish (NS),Aveline Ave,45.667195,-61.884295,5,19.0,15.06,9.692,45,645,4202,True
2009,Antigonish (NS),Aveline Ave,45.667195,-61.884295,5,19.4,20.86,9.03,46,200,1529,True
2010,Antigonish (NS),Aveline Ave,45.667195,-61.884295,5,19.28,22.42,8.876,42,82,1928,True
2011,Antigonish (NS),Aveline Ave,45.667195,-61.884295,4,18.825,21.0,9.24,42,83,927,True
2012,Antigonish (NS),Aveline Ave,45.667195,-61.884295,4,22.3,22.003,9.21,32,7,1475,True
2013,Antigonish (NS),Aveline Ave,45.667195,-61.884295,2,20.65,25.935,8.245,17,176,436,True
2014,Antigonish (NS),Aveline Ave,45.667195,-61.884295,3,20.667,24.08,9.033,27,116,896,True
2015,Antigonish (NS),Aveline Ave,45.667195,-61.884295,1,22.9,25.34,7.89,10,13,222,True
2016,Antigonish (NS),Aveline Ave,45.667195,-61.884295,3,18.833,18.463,9.173,37,37,1988,True
2017,Antigonish (NS),Aveline Ave,45.667195,-61.884295,3,19.067,25.167,8.263,31,20,1688,True
2018,Antigonish (NS),Aveline Ave,45.667195,-61.884295,1,19.0,12.4,11.97,13,3,669,True
2019,Antigonish (NS),Aveline Ave,45.667195,-61.884295,1,14.4,22.04,9.24,12,0,1059,True
2019,Dunk River (PE),Baker's Launch 50%,46.369117,-63.755742,3,19.767,24.21,8.973,21,52,479,True
2007,Summerside (PE),Bakers Launch,46.369117,-63.755742,5,17.64,23.42,7.686,45,804,2720,True
2008,Summerside (PE),Bakers Launch,46.369117,-63.755742,5,18.68,23.74,10.222,36,888,1357,True
2009,Summerside (PE),Bakers Launch,46.369117,-63.755742,5,18.8,21.575,9.738,23,125,1176,True
2010,Summerside (PE),Bakers Launch,46.369117,-63.755742,5,20.6,20.82,9.744,24,81,839,True
2011,Summerside (PE),Bakers Launch,46.369117,-63.755742,3,18.6,23.267,6.033,22,36,323,True
2012,Summerside (PE),Bakers Launch,46.369117,-63.755742,3,23.133,23.0,7.56,20,83,403,False
2013,Summerside (PE),Bakers Launch,46.369117,-63.755742,3,21.933,25.763,8.863,14,95,236,True
2014,Summerside (PE),Bakers Launch,46.369117,-63.755742,3,21.0,20.657,10.01,25,870,359,True
2015,Summerside (PE),Bakers Launch,46.369117,-63.755742,3,22.367,22.893,11.547,16,479,520,True
2016,Summerside (PE),Bakers Launch,46.369117,-63.755742,3,23.933,22.767,9.413,20,190,340,True
2017,Summerside (PE),Bakers Launch,46.369117,-63.755742,3,21.967,21.793,9.22,25,5164,302,True
2018,Summerside (PE),Bakers Launch,46.369117,-63.755742,1,25.0,24.71,9.92,7,18,68,True
2019,Winter River (PE),Bald Eagle Lane 10%,46.376779,-63.05252,3,19.167,13.53,13.797,16,89,2994,True
2004,Tabusintac (NB),Bayshore,47.376278,-64.938145,2,19.78,26.3,6.8,14,920,1185,True
2006,Tabusintac (NB),Bayshore,47.376278,-64.938145,5,17.84,24.62,7.626,31,154,1644,True
2007,Tabusintac (NB),Bayshore,47.376278,-64.938145,5,18.16,25.58,7.016,36,124,962,True
2008,Tabusintac (NB),Bayshore,47.376278,-64.938145,5,18.22,20.46,8.463,38,664,2594,True
2009,Tabusintac (NB),Bayshore,47.376278,-64.938145,5,19.086,25.14,7.898,35,670,2166,True
2010,Tabusintac (NB),Bayshore,47.376278,-64.938145,5,19.0,24.66,8.324,33,556,4933,True
2011,Tabusintac (NB),Bayshore,47.376278,-64.938145,3,19.3,20.733,7.04,21,61,3180,True
2012,Tabusintac (NB),Bayshore,47.376278,-64.938145,3,20.75,26.5,6.525,11,295,193,False
2013,Tabusintac (NB),Bayshore,47.376278,-64.938145,3,21.9,19.177,7.733,12,900,813,True
2014,Tabusintac (NB),Bayshore,47.376278,-64.938145,3,21.333,19.8,7.083,18,235,648,True
2015,Tabusintac (NB),Bayshore,47.376278,-64.938145,3,21.533,23.417,7.223,17,212,979,True
2016,Tabusintac (NB),Bayshore,47.376278,-64.938145,3,21.233,19.767,7.27,20,624,1812,True
2017,Tabusintac (NB),Bayshore,47.376278,-64.938145,3,22.933,20.803,7.623,22,154,421,True
2018,Tabusintac (NB),Bayshore,47.376278,-64.938145,1,16.7,20.72,9.84,6,0,48,False
2019,Tabusintac (NB),Bayshore,47.376278,-64.938145,1,21.3,21.12,8.41,8,3,274,False
2019,Dunk River (PE),Bayside road 100%,46.383017,-63.762294,2,19.35,25.27,8.205,17,33,99,False
2009,Malpèque Bay (PE),Beech Point,46.494013,-63.747559001,5,20.14,26.08,9.048,34,487,2348,True
2010,Malpèque Bay (PE),Beech Point,46.494013,-63.747559001,5,18.12,26.98,6.862,34,972,1375,True
2011,Malpèque Bay (PE),Beech Point,46.494013,-63.747559001,3,21.133,26.8,7.62,23,575,1683,True
2012,Malpèque Bay (PE),Beech Point,46.494013,-63.747559001,3,25.933,28.033,6.897,16,238,1040,True
2013,Malpèque Bay (PE),Beech Point,46.494013,-63.747559001,3,27.3,28.087,8.75,18,286,1328,True
2014,Malpèque Bay (PE),Beech Point,46.494013,-63.747559001,3,21.933,25.387,9.013,19,251,1434,True
2015,Malpèque Bay (PE),Beech Point,46.494013,-63.747559001,3,24.3,27.31,10.09,15,2740,635,True
2016,Malpèque Bay (PE),Beech Point,46.494013,-63.747559001,3,23.033,27.3,7.56,17,259,1126,True
2017,Malpèque Bay (PE),Beech Point,46.494013,-63.747559001,3,26.8,26.683,9.377,17,473,1495,True
2018,Malpèque Bay (PE),Beech Point,46.494013,-63.747559001,1,25.5,26.88,5.74,6,0,350,True
2019,Malpèque Bay (PE),Beech Point,46.494013,-63.747559001,1,25.8,26.32,11.79,6,1,49,True
2004,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,5,16.974,25.12,8.296,45,491,4864,True
2005,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,5,19.236,20.02,8.07,52,1127,7233,True
2006,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,5,18.82,21.18,6.648,46,1,4347,True
2007,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,5,18.08,21.24,6.904,43,1798,6065,True
2008,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,5,18.52,19.18,8.4,46,2859,4594,True
2009,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,5,18.32,18.58,8.24,41,804,5415,True
2010,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,5,19.72,21.08,7.284,43,976,3635,True
2011,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,3,21.567,17.9,7.587,28,411,2170,True
2012,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,3,21.533,21.557,5.957,29,295,1210,True
2013,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,3,20.833,16.353,8.697,34,111,1611,True
2014,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,3,20.7,20.333,8.04,28,208,1355,True
2015,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,3,18.733,18.77,10.213,27,67,1215,True
2016,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,3,20.033,17.857,6.443,25,9,1505,True
2017,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,3,19.8,19.31,7.827,29,101,4096,True
2018,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,1,15.2,22.42,10.16,10,1327,942,False
2019,Bouctouche (NB),Behind the takeout,46.469231,-64.714104,1,20.0,16.34,7.28,12,14,154,True
2009,Malpèque Bay (PE),Belmont Park,46.5153,-63.8311,5,19.46,26.74,7.832,20,1098,2526,True
2010,Malpèque Bay (PE),Belmont Park,46.5153,-63.8311,5,17.66,27.38,6.695,25,886,1274,True
2011,Malpèque Bay (PE),Belmont Park,46.5153,-63.8311,3,18.667,27.267,6.643,17,16,299,True
2012,Malpèque Bay (PE),Belmont Park,46.5153,-63.8311,3,23.333,28.5,6.71,15,286,726,True
2013,Malpèque Bay (PE),Belmont Park,46.5153,-63.8311,3,23.133,28.217,8.183,12,213,2938,True
2014,Malpèque Bay (PE),Belmont Park,46.5153,-63.8311,3,20.5,24.49,9.24,7,159,442,True
2015,Malpèque Bay (PE),Belmont Park,46.5153,-63.8311,3,22.267,28.327,9.197,8,304,248,True
2016,Malpèque Bay (PE),Belmont Park,46.5153,-63.8311,3,21.267,26.767,6.98,14,260,284,True
2017,Malpèque Bay (PE),Belmont Park,46.5153,-63.8311,3,23.967,26.983,7.807,8,571,335,False
2018,Malpèque Bay (PE),Belmont Park,46.5153,-63.8311,1,24.6,27.68,6.4,4,0,734,True
2019,Malpèque Bay (PE),Belmont Park,46.5153,-63.8311,1,20.0,26.96,9.21,7,113,174,False
2007,River Phillip (NS),Bergman's Point,45.861461,-63.713787,4,19.6,27.35,8.755,26,288,104,True
2008,River Phillip (NS),Bergman's Point,45.861461,-63.713787,5,19.34,21.74,8.364,30,1091,1220,True
2009,River Phillip (NS),Bergman's Point,45.861461,-63.713787,5,18.64,26.4,9.952,29,312,1544,True
2005,Murray River (PE),Big Basin,46.046019,-62.537162,4,21.55,26.725,8.19,23,311,833,True
2006,Murray River (PE),Big Basin,46.046019,-62.537162,2,20.0,27.3,8.85,6,3,179,True
2007,Murray River (PE),Big Basin,46.046019,-62.537162,5,17.58,27.5,7.89,28,1,1194,True
2008,Murray River (PE),Big Basin,46.046019,-62.537162,5,17.76,25.04,7.912,30,15,2010,True
2009,Murray River (PE),Big Basin,46.046019,-62.537162,5,17.92,26.44,8.898,30,97,228,True
2010,Murray River (PE),Big Basin,46.046019,-62.537162,5,19.72,27.24,8.354,34,51,305,True
2011,Murray River (PE),Big Basin,46.046019,-62.537162,3,17.333,26.433,7.68,15,49,110,True
2012,Murray River (PE),Big Basin,46.046019,-62.537162,3,24.1,23.733,7.773,12,142,304,True
2013,Murray River (PE),Big Basin,46.046019,-62.537162,3,20.433,27.08,9.843,16,194,61,True
2014,Murray River (PE),Big Basin,46.046019,-62.537162,2,23.75,26.14,9.695,6,1612,362,True
2015,Murray River (PE),Big Basin,46.046019,-62.537162,3,19.567,27.233,10.697,16,10,49,True
2016,Murray River (PE),Big Basin,46.046019,-62.537162,3,18.667,25.467,8.66,21,17,66,True
2017,Murray River (PE),Big Basin,46.046019,-62.537162,3,20.533,25.787,8.06,17,1532,440,True
2007,Summerside (PE),Boardwalk,46.395416,-63.8017,5,18.82,23.286,6.774,29,89,971,True
2008,Summerside (PE),Boardwalk,46.395416,-63.8017,5,18.0,24.92,7.82,36,693,1162,True
2009,Summerside (PE),Boardwalk,46.395416,-63.8017,4,21.225,24.7,8.86,33,72,1211,True
2010,Summerside (PE),Boardwalk,46.395416,-63.8017,5,19.78,25.62,7.846,29,25,948,True
2011,Summerside (PE),Boardwalk,46.395416,-63.8017,3,20.4,25.7,4.95,23,1607,535,True
2012,Summerside (PE),Boardwalk,46.395416,-63.8017,3,21.833,26.5,7.543,26,492,213,False
2013,Summerside (PE),Boardwalk,46.395416,-63.8017,3,21.433,25.427,8.05,22,1081,1283,True
2014,Summerside (PE),Boardwalk,46.395416,-63.8017,3,19.8,23.69,7.993,23,173,329,True
2015,Summerside (PE),Boardwalk,46.395416,-63.8017,3,20.467,25.137,10.547,14,31,1129,True
2016,Summerside (PE),Boardwalk,46.395416,-63.8017,3,22.6,25.1,8.4,22,800,400,True
2017,Summerside (PE),Boardwalk,46.395416,-63.8017,3,20.433,25.727,8.127,23,427,398,True
2018,Summerside (PE),Boardwalk,46.395416,-63.8017,1,25.6,22.96,9.94,2,0,26,False
2004,Pictou (NS),Boat Harbour,45.67576,-62.63784,5,16.22,22.44,6.328,33,12,1515,True
