seasons,station_code,station_name,station_province,station_description,station_latitude,station_longitude,list_of_other_species_observed,B_violaceus_detected,C_intestinalis_detected,S_clava_detected,B_schlosseri_detected,C_mutica_detected,M_membranacea_detected,C_fragile fragile_detected
2018,4,Miscou,NB,Commercial Wharf.  Floating docks (PVC Floats) and wood and cement permanent wharf.,47.89485,-64.57654,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Crabs (Decapoda), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Fan ectoproct (Bugula spp), Sea grapes (Molgula sp), Skeleton shrimp (Caprellida), Sponge (Porifera)",False,False,False,False,False,False,False
2018,42,Morell,PE,,46.43196,-62.71362,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Fan ectoproct (Bugula spp), Sea grapes (Molgula sp)",True,False,False,True,True,False,False
2018,15,Murray Corner,NB,Commercial,46.16889,-63.9348,"Anemones (Actiniaria), Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica)",False,False,False,False,False,False,False
2018,51,Murray Harbour,PE,,46.00545,-62.52232,"Blue mussel (Mytilus edulis), Sea grapes (Molgula sp), Sponge (Porifera), Tubularian hydroid (Tubulariidae)",True,True,True,True,True,False,False
2018,7,Neguac,NB,"Mixed Commercial and Marina.  floating docks (PVC) and Permanent structure mix of wood, metal and cement with rock rubble to protect. ",47.24041,-65.07265,"Anemones (Actiniaria), Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp), Sponge (Porifera)",False,False,False,False,False,False,False
2018,34,New London,PE,,46.46959,-63.51385,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Sea grapes (Molgula sp)",False,False,False,True,False,False,False
2018,37,Nine Mile Creek,PE,,46.14841,-63.21837,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Sea grapes (Molgula sp), Sponge (Porifera)",True,False,False,True,False,False,False
2018,43,North Lake,PE,,46.46613,-62.07199,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Fan ectoproct (Bugula spp), Sponge (Porifera)",True,False,False,True,False,False,False
2018,36,North Rustico,PE,,46.45639,-63.30766,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Sea grapes (Molgula sp), Sponge (Porifera)",False,False,False,True,False,False,False
2018,19,Pictou,NS,Pictou has multiple monitoring locations so the station GPS was chosen from the bay to give a general location.,45.674106,-62.69408,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Eastern Oyster (Crassostrea virginica), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp), Soft shell clam (Mya arenaria), Sponge (Porifera)",False,False,False,False,False,False,False
2018,88,Pinette,PE,floating Docks (wood and PVC) and cement and wood permanent structure,46.05373,-62.91142,"Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp)",False,False,False,False,False,False,False
2018,1,Pointe Verte,NB,Commercial Wharf.  Floating docks (PVC Floats) and wood and cement permanent wharf.,47.86124,-65.76141,"Anemones (Actiniaria), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Eastern white slippersn (Crepidula plana), Mussel spat (Mytilidae), Soft shell clam (Mya arenaria)",False,False,False,False,False,False,False
2018,17,Pugwash,NS,Mix Marina and Commercial,45.84666,-63.66257,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Eastern white slippersn (Crepidula plana), Nudibranchs (Nudibranchia), Sea star (Asteroidea), Tubularian hydroid (Tubulariidae)",False,False,False,False,True,False,False
2018,10,Richibucto,NB,Mix Commercial and Marina,46.67841,-64.86118,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Nudibranchs (Nudibranchia), Sea grapes (Molgula sp), Sponge (Porifera), Tubularian hydroid (Tubulariidae)",False,False,False,False,False,False,False
2018,47,Saint Louis de Kent,NB,,46.75971,-64.91512,"Anemones (Actiniaria), Barnacle (Cirripedia), Jingle shell (Anomiidae), Mussel spat (Mytilidae), Nudibranchs (Nudibranchia), Scaleworm (Polynoidea), Sea grapes (Molgula sp), Sponge (Porifera), Tubularian hydroid (Tubulariidae)",False,False,False,False,False,False,False
2018,49,Savage Harbour,PE,,46.42633,-62.83968,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp)",True,False,False,True,True,False,False
2018,14,Shediac,NB,"Shediac Bay has multiple monitoring sites within it, so we chose a General GPS from the Bay to represent it.",46.242902,-64.548079,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Sea grapes (Molgula sp), Soft shell clam (Mya arenaria), Sponge (Porifera)",True,False,False,True,False,False,False
2018,5,Shippagan,NB,Marina.  Floating docks (PVC and Styrofoam) and Surrounding structure of rock and wood. ,47.74792,-64.70816,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Nudibranchs (Nudibranchia), Sea grapes (Molgula sp), Soft shell clam (Mya arenaria), Sponge (Porifera)",False,False,False,True,False,False,False
2018,41,Souris,PE,,46.34712,-62.24816,"Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Fan ectoproct (Bugula spp)",True,False,True,True,False,False,False
2018,35,Stanley Bridge,PE,,46.46327,-63.46,"Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Sea grapes (Molgula sp), Sea star (Asteroidea), Skeleton shrimp (Caprellida), Sponge (Porifera), Tubularian hydroid (Tubulariidae)",True,False,True,True,False,False,False
2018,32,Summerside,PE,,46.38834,-63.78577,"Barnacle (Cirripedia), Common Atlantic slipper (Crepidula fornicata), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana)",True,False,False,True,False,False,False
2018,6,Tracadie,NB,Marina and Commercial wharf.  Marina with floating docks and Wood Structure around slip.  Commercial wharf with permanent wood structure,47.52341,-64.90868,"Barnacle (Cirripedia), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp)",False,False,False,False,False,False,False
2018,29,West Point,PE,,46.61995,-64.3719,"Barnacle (Cirripedia), Eastern Oyster (Crassostrea virginica), Red algae (Rhodophyta), Sponge (Porifera)",False,False,False,False,False,False,False
2018,39,Wood Islands,PE,,45.95359,-62.74814,"Anemones (Actiniaria), Barnacle (Cirripedia), Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp), Jingle shell (Anomiidae), Sea grapes (Molgula sp), Spirorbis sp. (Spirorbis sp)",False,False,False,False,False,False,False
