"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year","month","number.otoliths_nombre.otolithes"
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1989,8,310
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1989,9,127
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1989,10,175
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1990,5,29
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1990,6,174
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1990,7,90
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1990,8,242
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1990,9,80
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1990,10,114
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1990,11,70
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1991,6,276
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1991,7,103
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1991,8,26
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1991,9,38
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1991,10,93
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1991,11,33
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1992,5,10
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1992,6,182
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1992,7,539
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1992,8,200
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1992,9,230
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1992,10,323
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1992,11,41
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1993,5,8
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1993,6,105
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1993,7,91
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1993,8,222
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1993,9,90
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1993,10,214
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1994,5,49
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1994,6,98
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1994,7,237
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1994,8,66
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1994,9,105
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1994,10,192
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1995,6,8
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1995,7,32
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1995,10,95
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1996,6,72
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1996,8,113
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1996,9,5
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1997,5,8
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1997,8,145
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1997,9,111
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1998,5,39
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1998,6,61
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1998,8,53
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1998,10,82
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1998,11,48
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1999,6,96
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1999,7,116
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1999,8,104
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",1999,10,32
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2000,5,46
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2000,6,21
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2000,7,69
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2000,8,17
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2000,9,72
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2001,8,64
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2001,9,69
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2001,10,30
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2002,5,26
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2002,6,28
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2002,9,43
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2002,10,34
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2003,6,39
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2003,7,29
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2003,9,79
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2004,6,86
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2004,7,92
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2004,9,22
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2005,5,31
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2005,6,147
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2005,7,42
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2006,5,56
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2006,6,26
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2006,7,31
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2006,9,19
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2006,11,19
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2007,5,35
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2007,6,139
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2007,7,34
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2007,10,25
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2008,5,23
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2008,6,46
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2008,9,26
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2009,6,128
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2010,6,72
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2011,5,67
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2011,6,79
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2011,7,62
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2012,5,15
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2012,6,36
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2012,7,68
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2013,5,21
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2013,6,32
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2013,7,53
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2014,5,26
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2014,6,135
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2014,7,36
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2015,5,47
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2015,6,81
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2015,7,27
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2016,5,168
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2016,6,49
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2016,7,28
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2017,5,18
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2017,6,13
"Commercial","Merlucius bilinearis","White Hake","Merluche blanche",2017,7,29
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1971,9,193
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1972,9,85
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1973,8,25
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1973,9,176
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1974,9,44
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1975,9,353
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1976,9,234
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1977,9,204
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1978,9,308
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1978,10,40
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1979,9,354
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1979,10,73
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1980,9,549
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1981,9,477
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1982,9,264
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1983,9,258
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1984,8,187
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1984,9,538
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1985,9,1078
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1986,9,2126
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1987,8,18
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1987,9,669
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1988,9,933
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1989,9,725
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1990,9,739
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1991,9,821
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1992,8,875
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1992,9,559
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1993,9,510
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1994,9,764
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1995,9,845
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1996,9,828
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1997,9,768
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1998,9,1017
"RV","Merlucius bilinearis","White Hake","Merluche blanche",1999,9,1437
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2000,9,949
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2001,9,611
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2002,9,531
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2003,9,255
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2004,9,417
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2005,9,812
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2006,9,702
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2007,9,576
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2008,8,80
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2008,9,467
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2009,9,520
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2010,9,412
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2011,9,265
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2011,10,2
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2012,9,379
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2013,9,290
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2014,9,510
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2015,9,560
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2016,9,401
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2017,9,290
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2018,9,197
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2018,10,22
"RV","Merlucius bilinearis","White Hake","Merluche blanche",2019,9,545
