"cruise_number__numero_de_criosiere","year__annee","month__mois","day_jour","start_hour__heure_de_depart","start_minute__minute_de_depart","latitude","longitude","gear__equipement","species__espece","french_name__nom_francais","english_name__nom_anglais","latin_name__nom_latin","weight_caught__poids_pris","number_caught__quantite__attrape"
"024",2000,7,26,8,41,46.8668333333333,-64.75025,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",1,1
"024",2000,7,26,8,41,46.8668333333333,-64.75025,"No. 286 otter trawl with rockhopper",610,"Lançon du nord","Northern sand lance","Ammodytes dubius",0.01,2
"024",2000,7,26,8,41,46.8668333333333,-64.75025,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",1.9,4
"024",2000,7,26,9,20,46.83675,-64.7534166666667,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",1.1,4
"024",2000,7,26,9,20,46.83675,-64.7534166666667,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",0.9,1
"024",2000,7,26,9,20,46.83675,-64.7534166666667,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",1.8,4
"024",2000,7,27,7,28,46.70775,-64.66,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",0.7,3
"024",2000,7,27,7,28,46.70775,-64.66,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",1.7,18
"024",2000,7,27,7,28,46.70775,-64.66,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",1.3,15
"024",2000,7,27,7,28,46.70775,-64.66,"No. 286 otter trawl with rockhopper",204,"Raie tachetée","Winter skate","Leucoraja ocellata",0.9,1
"024",2000,7,27,7,28,46.70775,-64.66,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",3.7,15
"024",2000,7,27,7,28,46.70775,-64.66,"No. 286 otter trawl with rockhopper",6200,"Ophiuroidea non-spécifié","Brittle star unidentified","Ophiuroidea (s.o.)",0.01,1
"024",2000,7,27,7,59,46.74,-64.613,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",0.07,1
"024",2000,7,27,7,59,46.74,-64.613,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",0.11,1
"024",2000,7,27,7,59,46.74,-64.613,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",0.7,4
"024",2000,7,27,7,59,46.74,-64.613,"No. 286 otter trawl with rockhopper",2513,"Crabe commun","Atlantic rock crab","Cancer irroratus",0.1,1
"024",2000,7,27,7,59,46.74,-64.613,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",1.3,6
"024",2000,7,27,8,31,46.7715,-64.56575,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",2.3,12
"024",2000,7,27,8,31,46.7715,-64.56575,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",2.4,1
"024",2000,7,27,9,32,46.804,-64.6673333333333,"No. 286 otter trawl with rockhopper",10,"Morue franche","Atlantic cod","Gadus morhua",0.4,6
"024",2000,7,27,9,32,46.804,-64.6673333333333,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",0.15,2
"024",2000,7,27,9,32,46.804,-64.6673333333333,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",1.8,25
"024",2000,7,27,9,32,46.804,-64.6673333333333,"No. 286 otter trawl with rockhopper",300,"Chaboisseau à dix-huit-épines","Longhorn sculpin","Myoxocephalus octodecemspinosus",0.64,5
"024",2000,7,27,9,32,46.804,-64.6673333333333,"No. 286 otter trawl with rockhopper",610,"Lançon du nord","Northern sand lance","Ammodytes dubius",0.01,1
"024",2000,7,27,9,32,46.804,-64.6673333333333,"No. 286 otter trawl with rockhopper",2513,"Crabe commun","Atlantic rock crab","Cancer irroratus",0.05,1
"024",2000,7,27,9,32,46.804,-64.6673333333333,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",1.3,5
"024",2000,7,27,9,32,46.804,-64.6673333333333,"No. 286 otter trawl with rockhopper",6500,"Clypeasteroida non-spécifié","Sand dollar unidentified","Clypeasteroida (o.)",0.01,1
"024",2000,7,27,9,32,46.804,-64.6673333333333,"No. 286 otter trawl with rockhopper",8300,"Anthozoa non-spécifié","Anthozoa unidentified","Anthozoa (c.)",0.01,1
"024",2000,7,27,10,21,46.8409166666667,-64.7055,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",0.01,1
"024",2000,7,27,10,21,46.8409166666667,-64.7055,"No. 286 otter trawl with rockhopper",2513,"Crabe commun","Atlantic rock crab","Cancer irroratus",0.05,1
"024",2000,7,27,10,21,46.8409166666667,-64.7055,"No. 286 otter trawl with rockhopper",6200,"Ophiuroidea non-spécifié","Brittle star unidentified","Ophiuroidea (s.o.)",0.01,1
"024",2000,7,27,11,40,46.8393333333333,-64.5643333333333,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",1.15,10
"024",2000,7,27,11,40,46.8393333333333,-64.5643333333333,"No. 286 otter trawl with rockhopper",4000,"Mollusca non-spécifié","Mollusc unidentified","Mollusca (p.)",0.01,2
"024",2000,7,27,12,16,46.8369166666667,-64.51925,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",0.28,3
"024",2000,7,27,12,16,46.8369166666667,-64.51925,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",11.8,103
"024",2000,7,27,12,16,46.8369166666667,-64.51925,"No. 286 otter trawl with rockhopper",300,"Chaboisseau à dix-huit-épines","Longhorn sculpin","Myoxocephalus octodecemspinosus",3.4,20
"024",2000,7,27,12,16,46.8369166666667,-64.51925,"No. 286 otter trawl with rockhopper",2416,"Crangon crevette non-spécifié","Crangon shrimp unidentified","Crangon sp.",0.01,6
"024",2000,7,27,13,17,46.8715,-64.6146666666667,"No. 286 otter trawl with rockhopper",10,"Morue franche","Atlantic cod","Gadus morhua",0.02,1
"024",2000,7,27,13,17,46.8715,-64.6146666666667,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",2.3,15
"024",2000,7,27,13,17,46.8715,-64.6146666666667,"No. 286 otter trawl with rockhopper",63,"Éperlan arc-en-ciel","Rainbow smelt","Osmerus mordax",0.1,5
"024",2000,7,27,13,17,46.8715,-64.6146666666667,"No. 286 otter trawl with rockhopper",300,"Chaboisseau à dix-huit-épines","Longhorn sculpin","Myoxocephalus octodecemspinosus",1.3,10
"024",2000,7,27,13,17,46.8715,-64.6146666666667,"No. 286 otter trawl with rockhopper",340,"Poisson-alligator atlantique","Alligatorfish","Aspidophoroides monopterygius",0.01,0
"024",2000,7,27,13,17,46.8715,-64.6146666666667,"No. 286 otter trawl with rockhopper",2526,"Crabe des neiges","Snow crab","Chionoecetes opilio",0.01,2
"024",2000,7,27,13,17,46.8715,-64.6146666666667,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",1.3,4
"024",2000,7,27,13,17,46.8715,-64.6146666666667,"No. 286 otter trawl with rockhopper",6110,"Asterias non-spécifié","Asterias unidentified","Asterias sp.",0.01,10
"024",2000,7,27,13,17,46.8715,-64.6146666666667,"No. 286 otter trawl with rockhopper",6200,"Ophiuroidea non-spécifié","Brittle star unidentified","Ophiuroidea (s.o.)",0.01,0
"024",2000,7,27,13,17,46.8715,-64.6146666666667,"No. 286 otter trawl with rockhopper",6400,"Strongylocentrotus non-spécifié","Sea urchin unidentified","Strongylocentrotus sp.",0.005,0
"024",2000,7,27,13,53,46.90425,-64.6164166666667,"No. 286 otter trawl with rockhopper",12,"Merluche blanche","White hake","Urophycis tenuis",1.5,1
"024",2000,7,27,13,53,46.90425,-64.6164166666667,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",1.5,5
"024",2000,7,27,13,53,46.90425,-64.6164166666667,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",2,11
"024",2000,7,27,13,53,46.90425,-64.6164166666667,"No. 286 otter trawl with rockhopper",300,"Chaboisseau à dix-huit-épines","Longhorn sculpin","Myoxocephalus octodecemspinosus",1.2,4
"024",2000,7,27,13,53,46.90425,-64.6164166666667,"No. 286 otter trawl with rockhopper",320,"Hémitriptère atlantique","Sea raven","Hemitripterus americanus",1.6,1
"024",2000,7,27,13,53,46.90425,-64.6164166666667,"No. 286 otter trawl with rockhopper",2513,"Crabe commun","Atlantic rock crab","Cancer irroratus",0.05,1
"024",2000,7,27,13,53,46.90425,-64.6164166666667,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",3,4
"024",2000,7,27,13,53,46.90425,-64.6164166666667,"No. 286 otter trawl with rockhopper",4320,"Pétoncles non-spécifié","Scallop unidentified","Pectinidae (f.)",0.01,2
"024",2000,7,27,15,32,46.897,-64.8456666666667,"No. 286 otter trawl with rockhopper",10,"Morue franche","Atlantic cod","Gadus morhua",0.01,1
"024",2000,7,27,15,32,46.897,-64.8456666666667,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",0.16,1
"024",2000,7,27,15,32,46.897,-64.8456666666667,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",2.6,18
"024",2000,7,27,15,32,46.897,-64.8456666666667,"No. 286 otter trawl with rockhopper",63,"Éperlan arc-en-ciel","Rainbow smelt","Osmerus mordax",0.5,40
"024",2000,7,27,15,32,46.897,-64.8456666666667,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",3.8,50
"024",2000,7,27,15,32,46.897,-64.8456666666667,"No. 286 otter trawl with rockhopper",143,"Turbot de sable","Windowpane flounder","Scophthalmus aquosus",0.2,1
"024",2000,7,27,15,32,46.897,-64.8456666666667,"No. 286 otter trawl with rockhopper",204,"Raie tachetée","Winter skate","Leucoraja ocellata",0.21,1
"024",2000,7,27,15,32,46.897,-64.8456666666667,"No. 286 otter trawl with rockhopper",300,"Chaboisseau à dix-huit-épines","Longhorn sculpin","Myoxocephalus octodecemspinosus",0.15,1
"024",2000,7,27,15,32,46.897,-64.8456666666667,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",28.6,155
"024",2000,7,27,16,26,46.9314166666667,-64.7646666666667,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",1,10
"024",2000,7,27,16,26,46.9314166666667,-64.7646666666667,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",1.1,11
"024",2000,7,27,16,26,46.9314166666667,-64.7646666666667,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",4.3,10
"024",2000,7,27,17,8,46.95975,-64.7160833333333,"No. 286 otter trawl with rockhopper",10,"Morue franche","Atlantic cod","Gadus morhua",0.03,3
"024",2000,7,27,17,8,46.95975,-64.7160833333333,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",1.9,15
"024",2000,7,27,17,8,46.95975,-64.7160833333333,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",2.3,25
"024",2000,7,27,17,8,46.95975,-64.7160833333333,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",1.3,8
"024",2000,7,27,17,8,46.95975,-64.7160833333333,"No. 286 otter trawl with rockhopper",204,"Raie tachetée","Winter skate","Leucoraja ocellata",1.1,1
"024",2000,7,27,17,8,46.95975,-64.7160833333333,"No. 286 otter trawl with rockhopper",300,"Chaboisseau à dix-huit-épines","Longhorn sculpin","Myoxocephalus octodecemspinosus",1.3,3
"024",2000,7,27,17,8,46.95975,-64.7160833333333,"No. 286 otter trawl with rockhopper",320,"Hémitriptère atlantique","Sea raven","Hemitripterus americanus",0.8,1
"024",2000,7,27,17,8,46.95975,-64.7160833333333,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",0.9,2
"024",2000,7,27,18,14,46.99175,-64.5669166666667,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",1,3
"024",2000,7,27,18,14,46.99175,-64.5669166666667,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",1.1,6
"024",2000,7,27,18,14,46.99175,-64.5669166666667,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",0.9,5
"024",2000,7,27,19,11,46.9959166666667,-64.666,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",1,4
"024",2000,7,27,19,11,46.9959166666667,-64.666,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",3.3,17
"024",2000,7,27,19,11,46.9959166666667,-64.666,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",3.8,30
"024",2000,7,27,19,11,46.9959166666667,-64.666,"No. 286 otter trawl with rockhopper",301,"Chaboisseau à épines courtes","Shorthorn sculpin","Myoxocephalus scorpius",0.33,1
"024",2000,7,27,19,11,46.9959166666667,-64.666,"No. 286 otter trawl with rockhopper",320,"Hémitriptère atlantique","Sea raven","Hemitripterus americanus",0.005,0
"024",2000,7,27,19,11,46.9959166666667,-64.666,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",208,7
"024",2000,7,27,19,11,46.9959166666667,-64.666,"No. 286 otter trawl with rockhopper",6110,"Asterias non-spécifié","Asterias unidentified","Asterias sp.",0.01,5
"024",2000,7,27,19,11,46.9959166666667,-64.666,"No. 286 otter trawl with rockhopper",8300,"Anthozoa non-spécifié","Anthozoa unidentified","Anthozoa (c.)",0.01,1
"024",2000,7,28,7,12,47.0351666666667,-64.6554166666667,"No. 286 otter trawl with rockhopper",10,"Morue franche","Atlantic cod","Gadus morhua",0.01,1
"024",2000,7,28,7,12,47.0351666666667,-64.6554166666667,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",0.13,1
"024",2000,7,28,7,12,47.0351666666667,-64.6554166666667,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",1.8,7
"024",2000,7,28,7,12,47.0351666666667,-64.6554166666667,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",3,10
"024",2000,7,28,7,12,47.0351666666667,-64.6554166666667,"No. 286 otter trawl with rockhopper",300,"Chaboisseau à dix-huit-épines","Longhorn sculpin","Myoxocephalus octodecemspinosus",0.14,1
"024",2000,7,28,7,12,47.0351666666667,-64.6554166666667,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",3.9,7
"024",2000,7,28,7,12,47.0351666666667,-64.6554166666667,"No. 286 otter trawl with rockhopper",6110,"Asterias non-spécifié","Asterias unidentified","Asterias sp.",0.01,7
"024",2000,7,28,7,12,47.0351666666667,-64.6554166666667,"No. 286 otter trawl with rockhopper",6600,"Holothuroidea non-spécifié","Sea cucumber unidentified","Holothuroidea (c.)",1.7,2
"024",2000,7,28,7,12,47.0351666666667,-64.6554166666667,"No. 286 otter trawl with rockhopper",8300,"Anthozoa non-spécifié","Anthozoa unidentified","Anthozoa (c.)",0.01,5
"024",2000,7,28,8,13,47.0680833333333,-64.614,"No. 286 otter trawl with rockhopper",10,"Morue franche","Atlantic cod","Gadus morhua",0.53,4
"024",2000,7,28,8,13,47.0680833333333,-64.614,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",0.8,6
"024",2000,7,28,8,13,47.0680833333333,-64.614,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",2,9
"024",2000,7,28,8,13,47.0680833333333,-64.614,"No. 286 otter trawl with rockhopper",122,"Tanche-tautogue","Cunner","Tautogolabrus adspersus",0.54,3
"024",2000,7,28,8,13,47.0680833333333,-64.614,"No. 286 otter trawl with rockhopper",320,"Hémitriptère atlantique","Sea raven","Hemitripterus americanus",0.36,1
"024",2000,7,28,8,13,47.0680833333333,-64.614,"No. 286 otter trawl with rockhopper",640,"Loquette d'Amérique","Ocean pout","Zoarces americanus",1,1
"024",2000,7,28,8,13,47.0680833333333,-64.614,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",1.5,2
"024",2000,7,28,8,13,47.0680833333333,-64.614,"No. 286 otter trawl with rockhopper",6600,"Holothuroidea non-spécifié","Sea cucumber unidentified","Holothuroidea (c.)",2,3
"024",2000,7,29,11,56,47.0680833333333,-64.5650833333333,"No. 286 otter trawl with rockhopper",10,"Morue franche","Atlantic cod","Gadus morhua",1.2,3
"024",2000,7,29,11,56,47.0680833333333,-64.5650833333333,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",0.9,3
"024",2000,7,29,11,56,47.0680833333333,-64.5650833333333,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",2.8,11
"024",2000,7,29,11,56,47.0680833333333,-64.5650833333333,"No. 286 otter trawl with rockhopper",2521,"Crabe lyre (arctique)","Arctic Lyre Crab/Lesser toad crab","Hyas coarctatus",0.02,1
"024",2000,7,29,11,56,47.0680833333333,-64.5650833333333,"No. 286 otter trawl with rockhopper",6110,"Asterias non-spécifié","Asterias unidentified","Asterias sp.",0.01,3
"024",2000,7,29,11,56,47.0680833333333,-64.5650833333333,"No. 286 otter trawl with rockhopper",6600,"Holothuroidea non-spécifié","Sea cucumber unidentified","Holothuroidea (c.)",1,1
"024",2000,7,29,11,56,47.0680833333333,-64.5650833333333,"No. 286 otter trawl with rockhopper",8300,"Anthozoa non-spécifié","Anthozoa unidentified","Anthozoa (c.)",0.01,7
"024",2000,7,29,11,56,47.0680833333333,-64.5650833333333,"No. 286 otter trawl with rockhopper",8600,"Porifera non-spécifié","Sponge unidentified","Porifera",0.01,10
"024",2000,7,29,12,26,47.068,-64.51525,"No. 286 otter trawl with rockhopper",10,"Morue franche","Atlantic cod","Gadus morhua",1.1,3
"024",2000,7,29,12,26,47.068,-64.51525,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",1.1,5
"024",2000,7,29,12,26,47.068,-64.51525,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",3.1,16
"024",2000,7,29,12,26,47.068,-64.51525,"No. 286 otter trawl with rockhopper",300,"Chaboisseau à dix-huit-épines","Longhorn sculpin","Myoxocephalus octodecemspinosus",0.9,1
"024",2000,7,29,12,26,47.068,-64.51525,"No. 286 otter trawl with rockhopper",301,"Chaboisseau à épines courtes","Shorthorn sculpin","Myoxocephalus scorpius",1.2,1
"024",2000,7,29,12,26,47.068,-64.51525,"No. 286 otter trawl with rockhopper",2416,"Crangon crevette non-spécifié","Crangon shrimp unidentified","Crangon sp.",0.01,1
"024",2000,7,29,12,26,47.068,-64.51525,"No. 286 otter trawl with rockhopper",2521,"Crabe lyre (arctique)","Arctic Lyre Crab/Lesser toad crab","Hyas coarctatus",0.8,2
"024",2000,7,29,12,26,47.068,-64.51525,"No. 286 otter trawl with rockhopper",3100,"Polychète non spécifié","Bristle worm unidentified","Polychaeta (c.)",0.01,1
"024",2000,7,29,12,26,47.068,-64.51525,"No. 286 otter trawl with rockhopper",6110,"Asterias non-spécifié","Asterias unidentified","Asterias sp.",0.01,6
"024",2000,7,29,12,26,47.068,-64.51525,"No. 286 otter trawl with rockhopper",6400,"Strongylocentrotus non-spécifié","Sea urchin unidentified","Strongylocentrotus sp.",0.01,2
"024",2000,7,29,12,26,47.068,-64.51525,"No. 286 otter trawl with rockhopper",8300,"Anthozoa non-spécifié","Anthozoa unidentified","Anthozoa (c.)",1.8,3
"024",2000,7,29,12,56,47.06675,-64.4664166666667,"No. 286 otter trawl with rockhopper",10,"Morue franche","Atlantic cod","Gadus morhua",0.8,2
"024",2000,7,29,12,56,47.06675,-64.4664166666667,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",1.7,15
"024",2000,7,29,12,56,47.06675,-64.4664166666667,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",3.3,14
"024",2000,7,29,12,56,47.06675,-64.4664166666667,"No. 286 otter trawl with rockhopper",300,"Chaboisseau à dix-huit-épines","Longhorn sculpin","Myoxocephalus octodecemspinosus",1,4
"024",2000,7,29,12,56,47.06675,-64.4664166666667,"No. 286 otter trawl with rockhopper",512,"Limace marbrée","Dusky snailfish","Liparis gibbus",0.5,1
"024",2000,7,29,12,56,47.06675,-64.4664166666667,"No. 286 otter trawl with rockhopper",2550,"Homard américain","American lobster","Homarus americanus",1.1,1
"024",2000,7,29,12,56,47.06675,-64.4664166666667,"No. 286 otter trawl with rockhopper",6200,"Ophiuroidea non-spécifié","Brittle star unidentified","Ophiuroidea (s.o.)",0.24,2
"024",2000,7,29,12,56,47.06675,-64.4664166666667,"No. 286 otter trawl with rockhopper",6600,"Holothuroidea non-spécifié","Sea cucumber unidentified","Holothuroidea (c.)",1.4,2
"024",2000,7,29,13,42,47.0329166666667,-64.4638333333333,"No. 286 otter trawl with rockhopper",42,"Limande à queue jaune","Yellowtail flounder","Limanda ferruginea",2.3,15
"024",2000,7,29,13,42,47.0329166666667,-64.4638333333333,"No. 286 otter trawl with rockhopper",43,"Plie rouge","Winter flounder","Pseudopleuronectes americanus",1.7,5
"024",2000,7,29,13,42,47.0329166666667,-64.4638333333333,"No. 286 otter trawl with rockhopper",300,"Chaboisseau à dix-huit-épines","Longhorn sculpin","Myoxocephalus octodecemspinosus",1.5,3
"024",2000,7,29,13,42,47.0329166666667,-64.4638333333333,"No. 286 otter trawl with rockhopper",2416,"Crangon crevette non-spécifié","Crangon shrimp unidentified","Crangon sp.",0.01,3
"024",2000,7,29,13,42,47.0329166666667,-64.4638333333333,"No. 286 otter trawl with rockhopper",4000,"Mollusca non-spécifié","Mollusc unidentified","Mollusca (p.)",0.01,1
"024",2000,7,29,13,42,47.0329166666667,-64.4638333333333,"No. 286 otter trawl with rockhopper",6200,"Ophiuroidea non-spécifié","Brittle star unidentified","Ophiuroidea (s.o.)",1.8,3
"024",2000,7,29,14,56,47.0424166666667,-64.3299166666667,"No. 286 otter trawl with rockhopper",6110,"Asterias non-spécifié","Asterias unidentified","Asterias sp.",0.01,1
"024",2000,7,29,15,25,47.0689166666667,-64.34025,"No. 286 otter trawl with rockhopper",10,"Morue franche","Atlantic cod","Gadus morhua",0.9,1
