date,month,day.in.month,julian.date,precip.mm,trial
30-Aug-24,August,30,243,0,N
31-Aug-24,August,31,244,0,N
1-Sep-24,September,1,245,6.8,N
2-Sep-24,September,2,246,0,N
3-Sep-24,September,3,247,0,N
4-Sep-24,September,4,248,0,N
5-Sep-24,September,5,249,0,N
6-Sep-24,September,6,250,0,N
7-Sep-24,September,7,251,54.7,N
8-Sep-24,September,8,252,0,N
9-Sep-24,September,9,253,0,N
10-Sep-24,September,10,254,,N
11-Sep-24,September,11,255,0,N
12-Sep-24,September,12,256,0,N
13-Sep-24,September,13,257,0,N
14-Sep-24,September,14,258,0,N
15-Sep-24,September,15,259,0,N
16-Sep-24,September,16,260,0,E
17-Sep-24,September,17,261,0,E
18-Sep-24,September,18,262,0,E
19-Sep-24,September,19,263,0,N
20-Sep-24,September,20,264,0,N
21-Sep-24,September,21,265,0,N
22-Sep-24,September,22,266,0,N
23-Sep-24,September,23,267,0,N
24-Sep-24,September,24,268,0,N
25-Sep-24,September,25,269,0,N
26-Sep-24,September,26,270,6.2,N
27-Sep-24,September,27,271,13.1,N
28-Sep-24,September,28,272,4.7,N
29-Sep-24,September,29,273,0,N
30-Sep-24,September,30,274,,N
