obs,pile,brick,years.deployed,year,Daphnia sp.,Ulva lactuca,Codium fragile,Polysiphonia elongata,Brown algae,Filamentous green algae,Filamentous red algae,Bryozoa,Ciona intestinalis,Styela clava,Botryllus schlosseri,Botrylloides violaceus,Molgula sp.,Porifera,Metridium senile,Asterias rubens,Cerabratulus lacteus,Mytilus edulis,Crassostrea virginica_adults,Crassostrea virginica_spat,Crepidula fornicata,Anomia simplex,Gastropoda,Buccinum undatum,Spisula solidissima,Astarte subaequilatera,Mya arenaria,Polychaeta,Idotea balthica,Corophidae,Amphipoda,Caprella mutica,Balanomorpha,Gammarus sp.,Crangon septemspinosa,Palaemon sp.,Rhithropanopeus harrisii,Dyspanopeus sayi
11,1,B,1 year,2022,0,2.6588,0.0246,219.59,0,0,16.7884,0,0,32.21,0,0.0331,0,0,9.5945,0,0,0.4742,6.6466,1.941,6.6105,0.3896,37.791,0,0.001,0,0,0,0,0.247,0,0.263,3.8307,0.674,0,0,0,10.7504
12,1,C,1 year,2022,0.068,0.1047,0,97.79,0,0,0,0,0,92.34,0,0.0494,0.272,0,13.2028,0.0488,0,0.2133,9.5017,1.595,2.6058,3.0147,23.88,1.8695,0.859,0,0,0.751,0.0359,2.387,0,0.465,2.1513,1.637,0,0,0,10.4938
13,2,A,1 year,2022,0,0,0,200.56,0,0,18.29,0,0,117.09,0,1.14,0,0,13.25,0.07,0,9.47,3.34,0,3.34,0,23.343,0,0,0,0.063,0,0,0.707,0,0,0.16,10.536,0,0,0,22.63
14,2,B,1 year,2022,0,0,2.4026,86.65,0,13.0644,0,0,0,63.67,0,0.9679,0.403,0,2.56,0.1703,0,0.5519,10.058,3.451,29.7115,5.7411,11.477,0,0.001,0,0,0,0,2.848,0,3.081,1.3722,2.762,0,0,0,1.5687
15,2,C,1 year,2022,0,0,0,39.52,0,0,0,0,0,29.22,0,0.3972,0,0,2.3414,0,0,0.4184,0,1.545,28.8138,3.6852,5,0,0.981,0,0.5052,0.4166,0,0.802,0,0,1.7447,0.002,0,0,0,2.4348
16,3,A,1 year,2022,0,0,0.4182,161.2,0,18.7244,56.28,0,0,127.92,0,2.9952,1.522,0,21.9456,0,0,3.8258,0,3.114,0.3252,0,17.832,0,1.161,0,0,0.001,0.1774,0,1.632,0,1.4318,1.964,0,0,1.373,1.5993
17,3,B,1 year,2022,0,0,0,54.59,0,2.33,2.04,0,0,65.28,0,0.72,0,0,21.21,0.21,0,4.13,3.99,0.032,19.34,1.23,7.376,0,0,0,0,0.323,0,0.166,0,0,1.032,0.02,0,0,0,0
18,3,C,1 year,2022,0,0,0,19.08,0,13.5079,0,0,0,42.1,0,1.1604,0,0,3.726,0,0,0.4311,3.9316,1.446,13.021,2.1617,11.371,0,0.229,0,0,0,0,0.053,0,0.025,5.0453,0.022,0,0,0,3.2874
19,1,A,0 year,2023,0,0,0,0,0,33.03,0,0,0,0,0,6.0129,0,0,0,0,0,0,0,5.448,0,0,15.426,0,0.001,0,0,0,0,0,0,0,0,0.002,0,0,0,0
20,1,B,0 year,2023,0,0,0,0,0,10.41,0,0,0,0,0,3.438,0,0,0,0,0,0,0,9.463,0,0,4.914,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,C,0 year,2023,0,0,0,0,0,9.7029,1.2088,0,0,0,0,0.5854,0.868,0,0,0,0,0,0,3.88,0.3454,0,10.311,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,A,0 year,2023,0,0,0,0,0,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,3.503,0,0,7.657,0,0.001,0,0,0.1554,0,0,0,0,0,0,0,0,0,0
23,2,B,0 year,2023,0,0,0,0,0,28.29,0,0,0,0,0,0.427,0,0,0,0,0,0,0,9.869,0,0,18.749,0,0,0,0,0,2.225,1.437,0,0,0,0.526,0,0,0,0
24,2,C,0 year,2023,0,0,0,0,0,3.5525,0,0,0,0,0,0.0308,1.253,0,0,0,0,0,0,11.44,0.5441,0,8.015,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0
25,3,A,0 year,2023,0,0,0,0,0,16.65,0,0,0,0.0332,0,3.6818,0,0,0,0.8083,0,0,0,7.958,0,0,13.018,0,0,0,0,0.017,0,0.021,0,0,0,0,0,0,0,0
26,3,B,0 year,2023,0,0,0,0,0,18.75,0,0,0,0,0,5.7689,8.36,0,0,0.5337,0,0,0,6.819,0,0,9.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,C,0 year,2023,0,0,0,0,0,0,2.0745,0,0,0,0,0.4464,0,0,0,0,0,0,0,3.297,0.41,0,2.746,0,0.001,0,0,0.2203,0,0,0,0,0,0,0,0,0,0
