stand,stand.number,date,time,julian date,hour,time.of.day,tide.level.m,sw.ph,do,temp,salinity,turbidity
Outside,2558,2023-07-27,7:00 AM,208,7,Day,0.98,7.965589072,6.3325,22.92833333,26.05,1.6
Outside,2558,2023-07-27,8:00 AM,208,8,Day,0.98,7.967335004,6.4675,22.92,26.045,1.46
Outside,2558,2023-07-27,9:00 AM,208,9,Day,1.002,7.983214073,6.7075,22.97033333,26.0325,0.14
Outside,2558,2023-07-27,10:00 AM,208,10,Day,1.031,8.078390107,7.2575,23.28566667,26.035,14.85
Outside,2558,2023-07-27,11:00 AM,208,11,Day,1.06,8.13934221,7.7075,23.52316667,26.0225,1.17
Outside,2558,2023-07-27,12:00 PM,208,12,Day,1.08,8.17015675,8.0625,23.68633333,25.3975,1.86
Outside,2558,2023-07-27,1:00 PM,208,13,Day,1.083,8.232823976,8.65,23.8925,25.56,1.41
Outside,2558,2023-07-27,2:00 PM,208,14,Day,1.069,8.261773425,9.1325,24.13833333,25.1825,1.31
Outside,2558,2023-07-27,3:00 PM,208,15,Day,1.044,8.274305338,9.6125,24.29133333,24.8025,1.42
Outside,2558,2023-07-27,4:00 PM,208,16,Day,1.014,8.254599392,10.2025,24.36483333,25.33,1.62
Outside,2558,2023-07-27,5:00 PM,208,17,Day,0.987,8.294736295,10.125,24.5535,25.335,1.38
Outside,2558,2023-07-27,6:00 PM,208,18,Day,0.978,8.304932108,9.945,24.61933333,25.515,0.9
Outside,2558,2023-07-27,7:00 PM,208,19,Day,1.009,8.27923549,10.08,24.64666667,25.8875,0.83
Outside,2558,2023-07-27,8:00 PM,208,20,Night,1.089,8.292475814,10.0225,24.61883333,26.05,5.95
Outside,2558,2023-07-27,9:00 PM,208,21,Night,1.206,8.359238936,9.9675,24.495,26.1125,1.71
Outside,2558,2023-07-27,10:00 PM,208,22,Night,1.334,8.388874843,9.59,24.14016667,26.11,2.87
Outside,2558,2023-07-28,11:00 PM,208,23,Night,1.448,8.332365527,9.0775,23.848,26.11,3.7
Outside,2558,2023-07-28,12:00 AM,209,0,Night,1.525,8.238986801,8.4725,23.5925,26.05,3.77
Outside,2558,2023-07-28,1:00 AM,209,1,Night,1.551,8.150906913,7.8275,23.3985,26.05,3.69
Outside,2558,2023-07-28,2:00 AM,209,2,Night,1.523,8.088614747,7.37,23.25966667,25.945,2.57
Outside,2558,2023-07-28,3:00 AM,209,3,Night,1.45,8.056511034,7.0175,23.17283333,26,2.32
Outside,2558,2023-07-28,4:00 AM,209,4,Night,1.35,8.045545651,6.7025,23.10133333,26.03,7.51
Outside,2558,2023-07-28,5:00 AM,209,5,Day,1.235,8.105532123,6.9525,23.032,26.05,2.13
Outside,2558,2023-07-28,6:00 AM,209,6,Day,1.122,8.134881314,6.965,22.997,26.05,0.99
Outside,2558,2023-07-28,7:00 AM,209,7,Day,1.031,8.148651499,6.87,23,26.045,0.87
Outside,2558,2023-07-28,8:00 AM,209,8,Day,0.974,8.165503287,6.9675,23.06283333,26.1075,1.25
Outside,2558,2023-07-28,9:00 AM,209,9,Day,0.951,8.187861826,7.265,23.16633333,26.115,0.14
Outside,2558,2023-07-28,10:00 AM,209,10,Day,0.951,8.198264157,7.425,23.3145,26.13,1.66
Outside,2558,2023-07-28,11:00 AM,209,11,Day,0.965,8.173896418,7.44,23.6145,26.1275,0.75
Outside,2558,2023-07-28,12:00 PM,209,12,Day,0.987,8.217323538,8.6525,24.036,26.095,0.93
Outside,2558,2023-07-28,1:00 PM,209,13,Day,1.01,8.263914666,9.19,24.6025,26.1075,1.41
Outside,2558,2023-07-28,2:00 PM,209,14,Day,1.027,8.300025581,9.75,25.10416667,26.11,1.33
Outside,2558,2023-07-28,3:00 PM,209,15,Day,1.034,8.259764255,9.5075,25.53916667,26.1325,1.99
Outside,2558,2023-07-28,4:00 PM,209,16,Day,1.03,8.258546882,9.38,25.962,26.145,1.81
Outside,2558,2023-07-28,5:00 PM,209,17,Day,1.017,8.277019482,9.775,26.30916667,26.14,1.32
Outside,2558,2023-07-28,6:00 PM,209,18,Day,1.004,8.302949242,10.1725,26.64483333,26.11,1.77
Outside,2558,2023-07-28,7:00 PM,209,19,Day,1.009,8.310818875,10.595,26.97733333,26.0525,0.71
Outside,2558,2023-07-28,8:00 PM,209,20,Night,1.055,8.305562384,10.175,26.78,26.085,2.81
Outside,2558,2023-07-28,9:00 PM,209,21,Night,1.147,8.315856534,10.2675,26.431,26.125,1.93
Outside,2558,2023-07-28,10:00 PM,209,22,Night,1.274,8.342673784,10.71,26.089,26.145,2.22
Outside,2558,2023-07-29,11:00 PM,209,23,Night,1.414,8.241550595,9.4775,24.88983333,26.3275,2.5
Outside,2558,2023-07-29,12:00 AM,210,0,Night,1.541,8.192235497,8.805,24.40033333,26.3725,4.47
Outside,2558,2023-07-29,1:00 AM,210,1,Night,1.631,8.141678993,8.28,23.98833333,26.395,3.18
Outside,2558,2023-07-29,2:00 AM,210,2,Night,1.667,8.129054146,7.98,23.84783333,26.3975,3.77
Outside,2558,2023-07-29,3:00 AM,210,3,Night,1.641,8.065775469,7.555,23.5685,26.3675,3.8
Outside,2558,2023-07-29,4:00 AM,210,4,Night,1.56,8.059019926,7.36,23.56866667,26.33,2.19
Outside,2558,2023-07-29,5:00 AM,210,5,Day,1.438,8.105245954,7.55,23.65766667,26.3025,2.06
Outside,2558,2023-07-29,6:00 AM,210,6,Day,1.293,8.057870651,7.185,23.49,26.3075,2.31
Outside,2558,2023-07-29,7:00 AM,210,7,Day,1.15,8.03046252,6.915,23.48833333,25.685,2.32
Outside,2558,2023-07-29,8:00 AM,210,8,Day,1.03,8.063101707,6.9275,23.64916667,26.3375,1.15
Outside,2558,2023-07-29,9:00 AM,210,9,Day,0.946,8.074292549,7.2125,23.73966667,26.335,0.24
Outside,2558,2023-07-29,10:00 AM,210,10,Day,0.896,8.080161389,7.6475,23.89383333,26.3275,5.59
Outside,2558,2023-07-29,11:00 AM,210,11,Day,0.874,8.150006326,8.075,24.23283333,26.295,2.52
Outside,2558,2023-07-29,12:00 PM,210,12,Day,0.876,8.175657403,8.5,24.55233333,26.2975,1.8
Outside,2558,2023-07-29,1:00 PM,210,13,Day,0.898,8.18947544,8.775,24.83883333,26.3025,1.53
Outside,2558,2023-07-29,2:00 PM,210,14,Day,0.932,8.249196603,9.4025,25.29433333,26.285,1.39
Outside,2558,2023-07-29,3:00 PM,210,15,Day,0.968,8.293397699,10.1,25.68,26.2325,1.71
Outside,2558,2023-07-29,4:00 PM,210,16,Day,0.996,8.337197665,10.7975,25.8195,26.21,1.3
Outside,2558,2023-07-29,5:00 PM,210,17,Day,1.009,8.327670419,10.86,25.971,26.235,1.1
Outside,2558,2023-07-29,6:00 PM,210,18,Day,1.007,8.325145576,10.6525,25.92566667,26.28,1.19
Outside,2558,2023-07-29,7:00 PM,210,19,Day,1,8.328904341,10.92,25.7455,26.32,0.73
Outside,2558,2023-07-29,8:00 PM,210,20,Night,1.013,8.350447261,10.9825,25.36816667,26.375,1.43
Outside,2558,2023-07-29,9:00 PM,210,21,Night,1.065,8.371497604,11.27,24.95866667,26.4075,2.63
Outside,2558,2023-07-29,10:00 PM,210,22,Night,1.162,8.282354251,10.53,24.30783333,26.465,1.52
Outside,2558,2023-07-30,11:00 PM,210,23,Night,1.296,8.172697682,8.8975,23.74516667,26.46,2.47
Outside,2558,2023-07-30,12:00 AM,211,0,Night,1.448,8.131753669,8.3875,23.41883333,26.5,2.42
Outside,2558,2023-07-30,1:00 AM,211,1,Night,1.593,8.046329182,7.5875,23.13316667,26.5025,4.78
Outside,2558,2023-07-30,2:00 AM,211,2,Night,1.701,8.017357787,7.1675,23.05466667,26.465,3.01
Outside,2558,2023-07-30,3:00 AM,211,3,Night,1.749,8.015906898,7.125,23.002,26.3675,1.88
Outside,2558,2023-07-30,4:00 AM,211,4,Night,1.727,8.01322192,7.0975,22.94266667,24.8925,1.77
Outside,2558,2023-07-30,5:00 AM,211,5,Day,1.638,8.000489972,6.9375,22.88733333,23.7925,1.82
Outside,2558,2023-07-30,6:00 AM,211,6,Day,1.497,7.994967257,6.435,22.81833333,24.9775,1.73
Outside,2558,2023-07-30,7:00 AM,211,7,Day,1.327,8.011860782,6.6175,22.79166667,25.125,1.68
Outside,2558,2023-07-30,8:00 AM,211,8,Day,1.157,8.026032118,6.775,22.853,25.69,1.8
Outside,2558,2023-07-30,9:00 AM,211,9,Day,1.011,8.069061924,7.21,23.099,25.82,0.19
Outside,2558,2023-07-30,10:00 AM,211,10,Day,0.898,8.145314766,7.8025,23.62783333,25.895,1.52
Outside,2558,2023-07-30,11:00 AM,211,11,Day,0.82,8.191761066,8.3675,24.13966667,25.11,1.88
Outside,2558,2023-07-30,12:00 PM,211,12,Day,0.779,8.213348746,8.58,24.50166667,24.755,0.97
Outside,2558,2023-07-30,1:00 PM,211,13,Day,0.777,8.22867909,9.0925,24.81966667,24.6925,2.39
Outside,2558,2023-07-30,2:00 PM,211,14,Day,0.807,8.241546155,9.6075,25.06283333,25.375,0.94
Outside,2558,2023-07-30,3:00 PM,211,15,Day,0.856,8.215693156,9.34,25.1335,24.9925,0.85
Outside,2558,2023-07-30,4:00 PM,211,16,Day,0.911,8.232190822,9.5375,25.34716667,25.075,0.73
Outside,2558,2023-07-30,5:00 PM,211,17,Day,0.955,8.241633378,9.5675,25.51233333,24.115,1.62
Outside,2558,2023-07-30,6:00 PM,211,18,Day,0.977,8.243570467,9.65,25.59133333,25.31,4.23
Outside,2558,2023-07-30,7:00 PM,211,19,Day,0.976,8.242944038,9.4325,25.56466667,26.445,1.46
Outside,2558,2023-07-30,8:00 PM,211,20,Night,0.969,8.241780485,9.475,25.45316667,26.4675,1.34
Outside,2558,2023-07-30,9:00 PM,211,21,Night,0.982,8.237320146,9.5425,25.30116667,26.45,2.75
Outside,2558,2023-07-30,10:00 PM,211,22,Night,1.033,8.220318135,9.4025,25.16066667,26.49,0.63
Outside,2558,2023-07-31,11:00 PM,211,23,Night,1.129,8.20715263,9.435,24.962,26.4875,0.81
Outside,2558,2023-07-31,12:00 AM,212,0,Night,1.268,8.191423168,9.42,24.78583333,26.4875,1.87
Outside,2558,2023-07-31,1:00 AM,212,1,Night,1.434,8.133757897,8.8525,24.2265,26.5025,1.48
Outside,2558,2023-07-31,2:00 AM,212,2,Night,1.598,8.063408029,8.1025,23.586,26.52,2.4
Outside,2558,2023-07-31,3:00 AM,212,3,Night,1.723,8.0250059,7.5525,23.26383333,26.52,2.74
Outside,2558,2023-07-31,4:00 AM,212,4,Night,1.782,8.017818418,7.3125,23.10816667,26.495,2.32
Outside,2558,2023-07-31,5:00 AM,212,5,Day,1.763,8.016969641,7.4425,22.97633333,26.46,2.24
Outside,2558,2023-07-31,6:00 AM,212,6,Day,1.669,8.018220168,7.2725,22.97,26.42,2.14
Outside,2558,2023-07-31,7:00 AM,212,7,Day,1.514,8.032453975,7.2225,23.03466667,26.4275,1.43
Outside,2558,2023-07-31,8:00 AM,212,8,Day,1.326,8.062371848,7.6775,23.2165,26.455,2.45
Outside,2558,2023-07-31,9:00 AM,212,9,Day,1.137,8.081263823,7.825,23.53,26.4525,0.21
Outside,2558,2023-07-31,10:00 AM,212,10,Day,0.968,8.105795741,8.13,23.90283333,26.2575,1.8
Outside,2558,2023-07-31,11:00 AM,212,11,Day,0.83,8.159481072,8.7,24.5165,26.495,1.67
Outside,2558,2023-07-31,12:00 PM,212,12,Day,0.73,8.230598838,9.345,25.06833333,26.4925,2.93
Outside,2558,2023-07-31,1:00 PM,212,13,Day,0.681,8.287512567,10.01,25.65533333,26.4575,2.78
Outside,2558,2023-07-31,2:00 PM,212,14,Day,0.684,8.326673926,10.4475,26.0425,26.485,1.98
Outside,2558,2023-07-31,3:00 PM,212,15,Day,0.728,8.34161769,10.665,26.34566667,26.5225,1.29
Outside,2558,2023-07-31,4:00 PM,212,16,Day,0.794,8.335270677,10.97,26.3335,26.46,1.53
Outside,2558,2023-07-31,5:00 PM,212,17,Day,0.862,8.318810636,10.925,26.34616667,26.4525,0.78
Outside,2558,2023-07-31,6:00 PM,212,18,Day,0.914,8.271855683,10.6125,26.13666667,26.4825,1.23
Outside,2558,2023-07-31,7:00 PM,212,19,Day,0.934,8.24473875,10.2575,25.80166667,26.5525,1.16
Outside,2558,2023-07-31,8:00 PM,212,20,Night,0.926,8.303256197,10.61,25.64183333,26.55,1.41
Outside,2558,2023-07-31,9:00 PM,212,21,Night,0.913,8.307669567,10.9575,25.42083333,26.51,1.52
Outside,2558,2023-07-31,10:00 PM,212,22,Night,0.919,8.262627349,10.12,25.08433333,26.4275,0.68
Outside,2558,2023-08-01,11:00 PM,212,23,Night,0.963,8.238708675,9.5825,24.78883333,26.415,1.09
Outside,2558,2023-08-01,12:00 AM,212,0,Night,1.054,8.192613736,9.375,24.425,26.4075,0.93
Outside,2558,2023-08-01,1:00 AM,213,1,Night,1.196,8.035461758,7.545,23.31966667,26.3,1.09
Outside,2558,2023-08-01,2:00 AM,213,2,Night,1.375,7.966252242,6.4675,23.09833333,26.3475,8.61
Outside,2558,2023-08-01,3:00 AM,213,3,Night,1.554,8.016163437,7.0975,23.36133333,26.4175,3.33
Outside,2558,2023-08-01,4:00 AM,213,4,Night,1.691,8.020779674,7.3,23.3875,26.4,2.01
Outside,2558,2023-08-01,5:00 AM,213,5,Day,1.757,8.007957194,7.2025,23.261,26.38,2.13
Outside,2558,2023-08-01,6:00 AM,213,6,Day,1.741,7.994499023,7.0575,23.18033333,26.3825,1.75
Outside,2558,2023-08-01,7:00 AM,213,7,Day,1.644,7.989479025,6.905,23.11383333,26.38,2.18
Outside,2558,2023-08-01,8:00 AM,213,8,Day,1.481,7.996900172,6.69,23.10633333,26.41,1.71
Outside,2558,2023-08-01,9:00 AM,213,9,Day,1.284,7.994243686,6.9725,23.1025,26.35,0.29
Outside,2558,2023-08-01,10:00 AM,213,10,Day,1.085,8.017780711,7.2475,23.20683333,26.365,3.98
Outside,2558,2023-08-01,11:00 AM,213,11,Day,0.902,8.065040846,7.8125,23.33316667,26.335,1.41
Outside,2558,2023-08-01,12:00 PM,213,12,Day,0.747,8.114777452,8.3925,23.60283333,26.3275,1.73
Outside,2558,2023-08-01,1:00 PM,213,13,Day,0.64,8.166098057,9.0325,24.08316667,26.325,1.54
Outside,2558,2023-08-01,2:00 PM,213,14,Day,0.598,8.210747324,9.6875,24.6375,26.3125,7.2
Outside,2558,2023-08-01,3:00 PM,213,15,Day,0.617,8.244568126,10.0425,25.15716667,26.33,1
Outside,2558,2023-08-01,4:00 PM,213,16,Day,0.678,8.252924789,10.28,25.32833333,26.37,49.15
Outside,2558,2023-08-01,5:00 PM,213,17,Day,0.756,8.244251678,10.4575,25.25866667,26.3575,1.95
Outside,2558,2023-08-01,6:00 PM,213,18,Day,0.83,8.230116637,10.3,25.09533333,26.3975,1.27
Outside,2558,2023-08-01,7:00 PM,213,19,Day,0.878,8.290505822,11.315,25.15733333,26.41,2.29
Outside,2558,2023-08-01,8:00 PM,213,20,Night,0.886,8.276746116,11.0075,24.81283333,26.4475,2.15
Outside,2558,2023-08-01,9:00 PM,213,21,Night,0.864,8.260869644,10.615,24.66566667,26.4425,1.32
Outside,2558,2023-08-01,10:00 PM,213,22,Night,0.839,8.227206947,10.1425,24.467,26.4325,0.67
Outside,2558,2023-08-02,11:00 PM,213,23,Night,0.834,8.234607682,9.9,24.46216667,26.3975,0.89
Outside,2558,2023-08-02,12:00 AM,214,0,Night,0.865,8.221012439,9.815,24.18016667,26.4175,0.57
Outside,2558,2023-08-02,1:00 AM,214,1,Night,0.948,8.152058,9.14,23.6355,26.435,0.95
Outside,2558,2023-08-02,2:00 AM,214,2,Night,1.094,8.053487868,8,22.89,26.43,2.54
Outside,2558,2023-08-02,3:00 AM,214,3,Night,1.281,7.943697149,6.6,22.28116667,26.425,2.45
Outside,2558,2023-08-02,4:00 AM,214,4,Night,1.467,7.935447549,6.56,22.36266667,26.395,3.12
Outside,2558,2023-08-02,5:00 AM,214,5,Day,1.607,7.957522936,6.8525,22.468,26.41,2.88
Outside,2558,2023-08-02,6:00 AM,214,6,Day,1.675,7.971887501,7.055,22.4615,26.41,2.65
Outside,2558,2023-08-02,7:00 AM,214,7,Day,1.661,7.977960053,7.1275,22.4175,26.4,3.86
Outside,2558,2023-08-02,8:00 AM,214,8,Day,1.562,7.986353055,7.215,22.41516667,26.395,2.56
Outside,2558,2023-08-02,9:00 AM,214,9,Day,1.397,7.998586139,7.085,22.50383333,26.3075,2.18
Outside,2558,2023-08-02,10:00 AM,214,10,Day,1.203,8.013448008,7.635,22.5915,26.365,2.45
Outside,2558,2023-08-02,11:00 AM,214,11,Day,1.004,8.032671224,8.085,22.78733333,26.4025,1.98
Outside,2558,2023-08-02,12:00 PM,214,12,Day,0.816,8.061236393,8.5925,23.0345,26.3975,1.89
Outside,2558,2023-08-02,1:00 PM,214,13,Day,0.659,8.097912906,9.195,23.34366667,26.4225,2.93
Outside,2558,2023-08-02,2:00 PM,214,14,Day,0.564,8.141973739,9.7,23.7645,26.455,1.06
Outside,2558,2023-08-02,3:00 PM,214,15,Day,0.546,8.188842153,10.145,24.33783333,26.45,1.25
Outside,2558,2023-08-02,4:00 PM,214,16,Day,0.59,8.217257697,10.31,24.7865,26.4525,1.41
Outside,2558,2023-08-02,5:00 PM,214,17,Day,0.666,8.212494292,10.7725,24.91883333,26.4775,0.71
Outside,2558,2023-08-02,6:00 PM,214,18,Day,0.751,8.207169761,10.855,24.8665,26.425,432.92
Outside,2558,2023-08-02,7:00 PM,214,19,Day,0.821,8.19748627,10.7675,24.64516667,26.4725,0.57
Outside,2558,2023-08-02,8:00 PM,214,20,Night,0.852,8.246990257,11.385,24.6235,26.5,1.22
Outside,2558,2023-08-02,9:00 PM,214,21,Night,0.839,8.242931783,11.1175,24.42333333,26.4825,0.78
Outside,2558,2023-08-02,10:00 PM,214,22,Night,0.8,8.231775798,10.5775,24.135,26.4825,0.65
Outside,2558,2023-08-03,11:00 PM,214,23,Night,0.761,8.187941193,9.775,23.68566667,26.48,1.17
Outside,2558,2023-08-03,12:00 AM,215,0,Night,0.74,8.145209176,9.11,23.38833333,26.505,1.95
Outside,2558,2023-08-03,1:00 AM,215,1,Night,0.755,8.117988939,8.44,23.13516667,26.515,1.35
Outside,2558,2023-08-03,2:00 AM,215,2,Night,0.831,8.134899714,8.6,22.928,26.5075,1.5
Outside,2558,2023-08-03,3:00 AM,215,3,Night,0.979,8.077294425,7.9275,22.32,26.465,2.52
Outside,2558,2023-08-03,4:00 AM,215,4,Night,1.168,8.059579662,6.7175,21.64183333,26.4775,3.26
Outside,2558,2023-08-03,5:00 AM,215,5,Day,1.349,8.013409174,7.2575,22.00483333,26.39,3.57
Outside,2558,2023-08-03,6:00 AM,215,6,Day,1.483,8.009122998,7.5075,22.20683333,26.3475,2.54
Outside,2558,2023-08-03,7:00 AM,215,7,Day,1.549,8.012453399,7.57,22.26566667,26.33,2.76
Outside,2558,2023-08-03,8:00 AM,215,8,Day,1.532,8.019487319,7.6125,22.3095,26.3225,2.57
Outside,2558,2023-08-03,9:00 AM,215,9,Day,1.432,8.036048403,7.81,22.42,26.2975,0.4
Outside,2558,2023-08-03,10:00 AM,215,10,Day,1.273,8.055658954,7.84,22.5435,26.3025,2.74
Outside,2558,2023-08-03,11:00 AM,215,11,Day,1.09,8.069739074,8.4325,22.78666667,26.3175,2.39
Outside,2558,2023-08-03,12:00 PM,215,12,Day,0.9,8.090560898,8.7925,22.89216667,26.3675,2.49
Outside,2558,2023-08-03,1:00 PM,215,13,Day,0.72,8.115331267,9.1825,23.0655,26.0875,3.37
Outside,2558,2023-08-03,2:00 PM,215,14,Day,0.582,8.140451748,9.5575,23.32633333,26.4075,1.43
Outside,2558,2023-08-03,3:00 PM,215,15,Day,0.521,8.169790275,9.905,23.6175,26.4375,1.55
Outside,2558,2023-08-03,4:00 PM,215,16,Day,0.539,8.205265414,10.2175,23.80516667,26.4775,1.3
Outside,2558,2023-08-03,5:00 PM,215,17,Day,0.607,8.223381932,10.4225,23.977,26.4875,0.8
Outside,2558,2023-08-03,6:00 PM,215,18,Day,0.695,8.224787096,10.51,23.89366667,25.345,1.35
Outside,2558,2023-08-03,7:00 PM,215,19,Day,0.778,8.219685987,10.35,23.66533333,25.155,0.95
Outside,2558,2023-08-03,8:00 PM,215,20,Night,0.833,8.200140402,9.895,23.33033333,25.085,1.46
Outside,2558,2023-08-03,9:00 PM,215,21,Night,0.84,8.207085748,9.74,23.17016667,25.64,0.95
Outside,2558,2023-08-03,10:00 PM,215,22,Night,0.803,8.222013303,9.775,23.012,26.09,1.18
Outside,2558,2023-08-04,11:00 PM,215,23,Night,0.747,8.201047967,9.3775,22.72116667,26.2825,1.43
Outside,2558,2023-08-04,12:00 AM,216,0,Night,0.692,8.169570803,8.8825,22.50633333,26.48,12.9
Outside,2558,2023-08-04,1:00 AM,216,1,Night,0.652,8.121185276,8.18,22.23666667,26.475,0.8
Outside,2558,2023-08-04,2:00 AM,216,2,Night,0.651,8.081447559,7.685,21.93133333,26.4875,1.06
Outside,2558,2023-08-04,3:00 AM,216,3,Night,0.724,8.071258614,7.485,21.67933333,26.4725,0.67
Outside,2558,2023-08-04,4:00 AM,216,4,Night,0.87,8.100223518,7.5775,21.56433333,26.49,2.32
Outside,2558,2023-08-04,5:00 AM,216,5,Day,1.05,7.984680967,6.8725,21.03033333,26.49,2.51
Outside,2558,2023-08-04,6:00 AM,216,6,Day,1.217,7.999381027,6.7225,20.85483333,26.47,2.21
Outside,2558,2023-08-04,7:00 AM,216,7,Day,1.339,8.008261849,7.2675,21.3205,26.4175,2.92
Outside,2558,2023-08-04,8:00 AM,216,8,Day,1.396,8.014312156,7.4975,21.39733333,26.3925,3.17
Outside,2558,2023-08-04,9:00 AM,216,9,Day,1.372,8.029542408,7.8275,21.47766667,26.3775,0.69
Outside,2558,2023-08-04,10:00 AM,216,10,Day,1.273,8.047466171,8.1775,21.59916667,26.36,4.28
Outside,2558,2023-08-04,11:00 AM,216,11,Day,1.128,8.068231473,8.535,21.77966667,26.2875,5.49
Outside,2558,2023-08-04,12:00 PM,216,12,Day,0.963,8.105339684,9.1425,22.2395,26.24,5.04
Outside,2558,2023-08-04,1:00 PM,216,13,Day,0.79,8.138931026,9.635,22.50083333,26.24,8.02
Outside,2558,2023-08-04,2:00 PM,216,14,Day,0.633,8.172853814,10.055,22.87416667,26.2375,2.86
Outside,2558,2023-08-04,3:00 PM,216,15,Day,0.534,8.198496964,10.325,23.23016667,26.2825,3.2
Outside,2558,2023-08-04,4:00 PM,216,16,Day,0.52,8.233350036,10.66,23.55633333,26.2825,2.69
Outside,2558,2023-08-04,5:00 PM,216,17,Day,0.576,8.253598648,10.805,23.71333333,26.295,1.5
Outside,2558,2023-08-04,6:00 PM,216,18,Day,0.666,8.25916126,10.7425,23.642,26.3225,1.55
Outside,2558,2023-08-04,7:00 PM,216,19,Day,0.758,8.240811556,10.4325,23.30083333,26.3725,1.72
Outside,2558,2023-08-04,8:00 PM,216,20,Night,0.833,8.2371634,10.0775,22.90783333,26.4,2.71
Outside,2558,2023-08-04,9:00 PM,216,21,Night,0.865,8.284644592,10.4675,22.644,26.43,1
Outside,2558,2023-08-04,10:00 PM,216,22,Night,0.843,8.273060649,10.165,22.408,26.42,1.36
Outside,2558,2023-08-05,11:00 PM,216,23,Night,0.785,8.259731457,9.65,22.18,26.4125,1.84
Outside,2558,2023-08-05,12:00 AM,217,0,Night,0.714,8.22366863,9.245,21.9635,26.4275,1.32
Outside,2558,2023-08-05,1:00 AM,217,1,Night,0.641,8.142427829,8.265,21.7445,26.3925,0.81
Outside,2558,2023-08-05,2:00 AM,217,2,Night,0.582,8.13863016,8.0325,21.52633333,26.4075,1.29
Outside,2558,2023-08-05,3:00 AM,217,3,Night,0.572,8.11791473,7.7325,21.3375,26.4225,0.88
Outside,2558,2023-08-05,4:00 AM,217,4,Night,0.643,8.106629538,7.615,21.16783333,26.415,0.76
Outside,2558,2023-08-05,5:00 AM,217,5,Day,0.781,8.1031243,7.49,21.02633333,26.42,2.06
