stand,stand.number,date,time,julian date,hour,time.of.day,tide.level.m,do
Outside,2558,2023-08-03,2:00 AM,215,2,Night,0.831,8.6
Outside,2558,2023-08-03,3:00 AM,215,3,Night,0.979,7.9275
Outside,2558,2023-08-03,4:00 AM,215,4,Night,1.168,6.7175
Outside,2558,2023-08-03,5:00 AM,215,5,Day,1.349,7.2575
Outside,2558,2023-08-03,6:00 AM,215,6,Day,1.483,7.5075
Outside,2558,2023-08-03,7:00 AM,215,7,Day,1.549,7.57
Outside,2558,2023-08-03,8:00 AM,215,8,Day,1.532,7.6125
Outside,2558,2023-08-03,9:00 AM,215,9,Day,1.432,7.81
Outside,2558,2023-08-03,10:00 AM,215,10,Day,1.273,7.84
Outside,2558,2023-08-03,11:00 AM,215,11,Day,1.09,8.4325
Outside,2558,2023-08-03,12:00 PM,215,12,Day,0.9,8.7925
Outside,2558,2023-08-03,1:00 PM,215,13,Day,0.72,9.1825
Outside,2558,2023-08-03,2:00 PM,215,14,Day,0.582,9.5575
Outside,2558,2023-08-03,3:00 PM,215,15,Day,0.521,9.905
Outside,2558,2023-08-03,4:00 PM,215,16,Day,0.539,10.2175
Outside,2558,2023-08-03,5:00 PM,215,17,Day,0.607,10.4225
Outside,2558,2023-08-03,6:00 PM,215,18,Day,0.695,10.51
Outside,2558,2023-08-03,7:00 PM,215,19,Day,0.778,10.35
Outside,2558,2023-08-03,8:00 PM,215,20,Night,0.833,9.895
Outside,2558,2023-08-03,9:00 PM,215,21,Night,0.84,9.74
Outside,2558,2023-08-03,10:00 PM,215,22,Night,0.803,9.775
Outside,2558,2023-08-03,11:00 PM,215,23,Night,0.747,9.3775
Outside,2558,2023-08-04,12:00 AM,216,0,Night,0.692,8.8825
Outside,2558,2023-08-04,1:00 AM,216,1,Night,0.652,8.18
Outside,2558,2023-08-04,2:00 AM,216,2,Night,0.651,7.685
Outside,2558,2023-08-04,3:00 AM,216,3,Night,0.724,7.485
Outside,2558,2023-08-04,4:00 AM,216,4,Night,0.87,7.5775
Outside,2558,2023-08-04,5:00 AM,216,5,Day,1.05,6.8725
Outside,2558,2023-08-04,6:00 AM,216,6,Day,1.217,6.7225
Outside,2558,2023-08-04,7:00 AM,216,7,Day,1.339,7.2675
Outside,2558,2023-08-04,8:00 AM,216,8,Day,1.396,7.4975
Outside,2558,2023-08-04,9:00 AM,216,9,Day,1.372,7.8275
Outside,2558,2023-08-04,10:00 AM,216,10,Day,1.273,8.1775
Outside,2558,2023-08-04,11:00 AM,216,11,Day,1.128,8.535
Outside,2558,2023-08-04,12:00 PM,216,12,Day,0.963,9.1425
Outside,2558,2023-08-04,1:00 PM,216,13,Day,0.79,9.635
Outside,2558,2023-08-04,2:00 PM,216,14,Day,0.633,10.055
Outside,2558,2023-08-04,3:00 PM,216,15,Day,0.534,10.325
Outside,2558,2023-08-04,4:00 PM,216,16,Day,0.52,10.66
Outside,2558,2023-08-04,5:00 PM,216,17,Day,0.576,10.805
Outside,2558,2023-08-04,6:00 PM,216,18,Day,0.666,10.7425
Outside,2558,2023-08-04,7:00 PM,216,19,Day,0.758,10.4325
Outside,2558,2023-08-04,8:00 PM,216,20,Night,0.833,10.0775
Outside,2558,2023-08-04,9:00 PM,216,21,Night,0.865,10.4675
Outside,2558,2023-08-04,10:00 PM,216,22,Night,0.843,10.165
Outside,2558,2023-08-04,11:00 PM,216,23,Night,0.785,9.65
Outside,2558,2023-08-05,12:00 AM,217,0,Night,0.714,9.245
Outside,2558,2023-08-05,1:00 AM,217,1,Night,0.641,8.265
Outside,2558,2023-08-05,2:00 AM,217,2,Night,0.582,8.0325
Outside,2558,2023-08-05,3:00 AM,217,3,Night,0.572,7.7325
Outside,2558,2023-08-05,4:00 AM,217,4,Night,0.643,7.615
Outside,2558,2023-08-05,5:00 AM,217,5,Day,0.781,7.49
Outside,2558,2023-08-05,6:00 AM,217,6,Day,0.944,7.3325
Outside,2558,2023-08-05,7:00 AM,217,7,Day,1.09,6.6075
Outside,2558,2023-08-05,8:00 AM,217,8,Day,1.195,6.795
Outside,2558,2023-08-05,9:00 AM,217,9,Day,1.237,7.235
Outside,2558,2023-08-05,10:00 AM,217,10,Day,1.205,7.635
Outside,2558,2023-08-05,11:00 AM,217,11,Day,1.112,7.9325
Outside,2558,2023-08-05,12:00 PM,217,12,Day,0.986,8.2375
Outside,2558,2023-08-05,1:00 PM,217,13,Day,0.843,8.4575
Outside,2558,2023-08-05,2:00 PM,217,14,Day,0.694,8.1725
Outside,2558,2023-08-05,3:00 PM,217,15,Day,0.575,7.905
Outside,2558,2023-08-05,4:00 PM,217,16,Day,0.528,7.775
Outside,2558,2023-08-05,5:00 PM,217,17,Day,0.564,7.5575
Outside,2558,2023-08-05,6:00 PM,217,18,Day,0.653,7.745
Outside,2558,2023-08-05,7:00 PM,217,19,Day,0.756,7.9125
Outside,2558,2023-08-05,8:00 PM,217,20,Night,0.847,7.995
Outside,2558,2023-08-05,9:00 PM,217,21,Night,0.905,8.1575
Outside,2558,2023-08-05,10:00 PM,217,22,Night,0.909,8.225
Outside,2558,2023-08-05,11:00 PM,217,23,Night,0.864,8.11
Outside,2558,2023-08-06,12:00 AM,218,0,Night,0.791,7.82
Outside,2558,2023-08-06,1:00 AM,218,1,Night,0.706,7.5825
Outside,2558,2023-08-06,2:00 AM,218,2,Night,0.615,7.2325
Outside,2558,2023-08-06,3:00 AM,218,3,Night,0.543,6.765
Outside,2558,2023-08-06,4:00 AM,218,4,Night,0.53,6.4775
Outside,2558,2023-08-06,5:00 AM,218,5,Day,0.598,6.31
Outside,2558,2023-08-06,6:00 AM,218,6,Day,0.722,6.6775
Outside,2558,2023-08-06,7:00 AM,218,7,Day,0.86,6.3225
Outside,2558,2023-08-06,8:00 AM,218,8,Day,0.982,6.5575
Outside,2558,2023-08-06,9:00 AM,218,9,Day,1.065,7.425
Outside,2558,2023-08-06,10:00 AM,218,10,Day,1.09,7.975
Outside,2558,2023-08-06,11:00 AM,218,11,Day,1.053,8.4025
Outside,2558,2023-08-06,12:00 PM,218,12,Day,0.973,8.64
Outside,2558,2023-08-06,1:00 PM,218,13,Day,0.87,8.4475
Outside,2558,2023-08-06,2:00 PM,218,14,Day,0.751,9.155
Outside,2558,2023-08-06,3:00 PM,218,15,Day,0.635,9.435
Outside,2558,2023-08-06,4:00 PM,218,16,Day,0.563,9.5625
Outside,2558,2023-08-06,5:00 PM,218,17,Day,0.57,9.28
Outside,2558,2023-08-06,6:00 PM,218,18,Day,0.647,9.86
Outside,2558,2023-08-06,7:00 PM,218,19,Day,0.756,9.765
Outside,2558,2023-08-06,8:00 PM,218,20,Night,0.864,9.9175
Outside,2558,2023-08-06,9:00 PM,218,21,Night,0.947,8.655
Outside,2558,2023-08-06,10:00 PM,218,22,Night,0.983,8
Outside,2558,2023-08-06,11:00 PM,218,23,Night,0.965,7.9875
Outside,2558,2023-08-07,12:00 AM,219,0,Night,0.904,7.96
Outside,2558,2023-08-07,1:00 AM,219,1,Night,0.821,7.4325
Outside,2558,2023-08-07,2:00 AM,219,2,Night,0.723,7.3525
Outside,2558,2023-08-07,3:00 AM,219,3,Night,0.618,7.4975
Outside,2558,2023-08-07,4:00 AM,219,4,Night,0.541,7.335
Outside,2558,2023-08-07,5:00 AM,219,5,Day,0.53,7.8075
Outside,2558,2023-08-07,6:00 AM,219,6,Day,0.59,7.535
Outside,2558,2023-08-07,7:00 AM,219,7,Day,0.692,7.4575
Outside,2558,2023-08-07,8:00 AM,219,8,Day,0.804,7.17
Outside,2558,2023-08-07,9:00 AM,219,9,Day,0.9,6.905
Outside,2558,2023-08-07,10:00 AM,219,10,Day,0.961,7.43
Outside,2558,2023-08-07,11:00 AM,219,11,Day,0.972,8.0925
Outside,2558,2023-08-07,12:00 PM,219,12,Day,0.938,8.695
Outside,2558,2023-08-07,1:00 PM,219,13,Day,0.877,8.95
Outside,2558,2023-08-07,2:00 PM,219,14,Day,0.797,9.1925
Outside,2558,2023-08-07,3:00 PM,219,15,Day,0.705,9.905
Outside,2558,2023-08-07,4:00 PM,219,16,Day,0.626,10.35
Outside,2558,2023-08-07,5:00 PM,219,17,Day,0.603,10.5775
Outside,2558,2023-08-07,6:00 PM,219,18,Day,0.653,10.4525
Outside,2558,2023-08-07,7:00 PM,219,19,Day,0.755,10.4475
Outside,2558,2023-08-07,8:00 PM,219,20,Night,0.874,10.0725
Outside,2558,2023-08-07,9:00 PM,219,21,Night,0.978,9.475
Outside,2558,2023-08-07,10:00 PM,219,22,Night,1.047,8.75
Outside,2558,2023-08-07,11:00 PM,219,23,Night,1.064,8.24
Outside,2558,2023-08-08,12:00 AM,220,0,Night,1.031,7.925
Outside,2558,2023-08-08,1:00 AM,220,1,Night,0.963,7.6275
Outside,2558,2023-08-08,2:00 AM,220,2,Night,0.872,7.3925
Outside,2558,2023-08-08,3:00 AM,220,3,Night,0.762,7.265
Outside,2558,2023-08-08,4:00 AM,220,4,Night,0.651,7.5225
Outside,2558,2023-08-08,5:00 AM,220,5,Day,0.575,7.3225
Outside,2558,2023-08-08,6:00 AM,220,6,Day,0.564,7.14
Outside,2558,2023-08-08,7:00 AM,220,7,Day,0.611,6.8825
Outside,2558,2023-08-08,8:00 AM,220,8,Day,0.689,6.93
Outside,2558,2023-08-08,9:00 AM,220,9,Day,0.773,7.2225
Outside,2558,2023-08-08,10:00 AM,220,10,Day,0.844,7.4475
Outside,2558,2023-08-08,11:00 AM,220,11,Day,0.885,7.7075
Outside,2558,2023-08-08,12:00 PM,220,12,Day,0.891,7.9125
Outside,2558,2023-08-08,1:00 PM,220,13,Day,0.869,8.2075
Outside,2558,2023-08-08,2:00 PM,220,14,Day,0.83,8.74
Outside,2558,2023-08-08,3:00 PM,220,15,Day,0.772,9.345
Outside,2558,2023-08-08,4:00 PM,220,16,Day,0.708,9.8575
Outside,2558,2023-08-08,5:00 PM,220,17,Day,0.668,10.1825
Outside,2558,2023-08-08,6:00 PM,220,18,Day,0.685,10.2475
Outside,2558,2023-08-08,7:00 PM,220,19,Day,0.762,10.0525
Outside,2558,2023-08-08,8:00 PM,220,20,Night,0.875,9.75
Outside,2558,2023-08-08,9:00 PM,220,21,Night,0.993,9.4025
Outside,2558,2023-08-08,10:00 PM,220,22,Night,1.089,8.955
Outside,2558,2023-08-08,11:00 PM,220,23,Night,1.144,8.7575
Outside,2558,2023-08-09,12:00 AM,221,0,Night,1.148,8.66
Outside,2558,2023-08-09,1:00 AM,221,1,Night,1.108,8.3975
Outside,2558,2023-08-09,2:00 AM,221,2,Night,1.037,8.2325
Outside,2558,2023-08-09,3:00 AM,221,3,Night,0.938,8.0875
Outside,2558,2023-08-09,4:00 AM,221,4,Night,0.82,7.8725
Outside,2558,2023-08-09,5:00 AM,221,5,Day,0.708,7.715
Outside,2558,2023-08-09,6:00 AM,221,6,Day,0.637,7.5775
Outside,2558,2023-08-09,7:00 AM,221,7,Day,0.62,7.6175
Outside,2558,2023-08-09,8:00 AM,221,8,Day,0.649,7.5425
Outside,2558,2023-08-09,9:00 AM,221,9,Day,0.703,7.6125
Outside,2558,2023-08-09,10:00 AM,221,10,Day,0.761,7.7275
Outside,2558,2023-08-09,11:00 AM,221,11,Day,0.809,7.7825
Outside,2558,2023-08-09,12:00 PM,221,12,Day,0.838,7.8025
Outside,2558,2023-08-09,1:00 PM,221,13,Day,0.849,7.94
Outside,2558,2023-08-09,2:00 PM,221,14,Day,0.845,7.915
Outside,2558,2023-08-09,3:00 PM,221,15,Day,0.825,8.105
Outside,2558,2023-08-09,4:00 PM,221,16,Day,0.79,8.26
Outside,2558,2023-08-09,5:00 PM,221,17,Day,0.754,8.16
Outside,2558,2023-08-09,6:00 PM,221,18,Day,0.747,8.1675
Outside,2558,2023-08-09,7:00 PM,221,19,Day,0.79,8.115
Outside,2558,2023-08-09,8:00 PM,221,20,Night,0.879,7.9
Outside,2558,2023-08-09,9:00 PM,221,21,Night,0.993,7.8475
Outside,2558,2023-08-09,10:00 PM,221,22,Night,1.105,7.3575
Outside,2558,2023-08-09,11:00 PM,221,23,Night,1.192,7.47
Outside,2558,2023-08-10,12:00 AM,222,0,Night,1.237,7.4525
Outside,2558,2023-08-10,1:00 AM,222,1,Night,1.237,7.41
Outside,2558,2023-08-10,2:00 AM,222,2,Night,1.196,7.25
Outside,2558,2023-08-10,3:00 AM,222,3,Night,1.119,7.16
Outside,2558,2023-08-10,4:00 AM,222,4,Night,1.012,7.2475
Outside,2558,2023-08-10,5:00 AM,222,5,Day,0.89,7.245
Outside,2558,2023-08-10,6:00 AM,222,6,Day,0.781,7.055
Outside,2558,2023-08-10,7:00 AM,222,7,Day,0.71,6.775
Outside,2558,2023-08-10,8:00 AM,222,8,Day,0.683,6.6675
Outside,2558,2023-08-10,9:00 AM,222,9,Day,0.692,6.88
Outside,2558,2023-08-10,10:00 AM,222,10,Day,0.721,7.32
Outside,2558,2023-08-10,11:00 AM,222,11,Day,0.756,8.12
Outside,2558,2023-08-10,12:00 PM,222,12,Day,0.789,8.595
Outside,2558,2023-08-10,1:00 PM,222,13,Day,0.816,10.3825
Outside,2558,2023-08-10,2:00 PM,222,14,Day,0.839,11.56
Outside,2558,2023-08-10,3:00 PM,222,15,Day,0.853,11.54
Outside,2558,2023-08-10,4:00 PM,222,16,Day,0.85,11.3525
Outside,2558,2023-08-10,5:00 PM,222,17,Day,0.834,11.1125
Outside,2558,2023-08-10,6:00 PM,222,18,Day,0.823,10.835
Outside,2558,2023-08-10,7:00 PM,222,19,Day,0.839,10.95
Outside,2558,2023-08-10,8:00 PM,222,20,Night,0.895,9.87
