year__annee,month__mois,day__jour,tow__trait,longitude,latitude,start__depart,comment__commentaire,snow_crab_males__males_de_crabe_des_neiges,snow_crab_females__females_de_crabe_des_neiges,Atlantic_cod__morue_franche,American_plaice__plie_americaine,Yellowtail_flounder__limande_a_queue_jaune,winter_flounder__plie_rouge,thorny_skate__raie_epineuset,smooth_skate__raie_lisse,longhorn_sculpin__chaboisseau_a_dix_huit_epines,sea_potato__patate_de_mer,Hyas_coarctatus
2019,7,15,GP208F,-62.3768,48.26778,19:07:53,Variable 2 a 2.4 noeuds,12,13,2,38,0,0,0,1,0,0,8
2019,7,15,GP207F,-62.2987,48.15273,20:22:36,Stable ~ 2.1 kts,30,51,0,52,0,0,5,0,0,0,1
2019,7,16,GP227F,-62.2111,48.18545,5:29:44,Stable ~ 2.1 kts,73,59,2,33,0,0,2,0,0,0,1
2019,7,16,GP230F,-62.1843,48.1418,6:26:22,Stable ~ 2.2 kts,87,58,0,34,0,0,3,0,0,0,1
2019,7,16,GP249F,-61.9817,48.04512,8:05:13,Stable ~ 2.2 kts,10,16,0,8,0,0,0,0,1,178,26
2019,7,16,GP243F,-62.0068,48.01468,8:46:34,Stable ~ 2.2 kts,13,6,1,4,0,0,0,0,0,68,48
2019,7,16,GP261F,-61.8865,48.04332,9:43:26,Stable ~ 2.2 kts,25,101,0,31,0,0,0,0,0,0,0
2019,7,16,GP257F,-61.9125,47.98492,10:41:55,Stable ~ 2.2 kts,48,145,1,17,0,0,0,0,0,0,4
2019,7,16,GP278F,-61.6697,47.95137,12:12:55,Stable ~ 2.2 kts,26,3,2,3,0,0,0,0,0,193,44
2019,7,16,GP287F,-61.5545,48.02935,13:31:25,Accroche et force ~ 2.1 kts,10,0,0,3,0,0,0,0,0,271,44
2019,7,16,GP290F,-61.4595,48.04205,14:20:34,Stable ~ 2.1 kts,57,64,5,17,0,0,0,0,0,0,44
2019,7,16,GP303F,-61.3788,47.95473,15:27:15,Stable ~ 2.1 kts,30,0,0,2,0,0,0,0,0,61,46
2019,7,16,GP300F,-61.377,47.90505,16:09:40,Stable ~ 2.1 kts,3,0,9,2,0,0,0,0,0,51,12
2019,7,16,GP281F,-61.7412,47.89502,18:20:24,Stable ~ 2.1 kts,59,99,0,18,0,0,0,0,0,0,1
2019,7,16,GP258F,-61.9083,47.86477,19:32:37,Stable ~ 2.1 kts,106,81,0,3,0,0,0,0,0,0,6
2019,7,16,GP247F,-61.9849,47.86747,20:24:48,Stable ~ 2.1 kts,86,68,0,22,0,0,0,0,0,0,0
2019,7,17,GP223F,-62.1858,47.83913,5:29:08,Stable ~ 2.1 kts,273,79,0,39,1,0,0,0,0,0,0
2019,7,17,GP216F,-62.3796,47.75983,7:10:11,Stable ~ 2.1 kts,57,126,0,60,0,0,0,0,0,0,0
2019,7,17,GP195F,-62.5842,47.75465,8:43:28,Stable ~ 2.1 kts,86,23,0,116,0,0,0,0,0,0,0
2019,7,17,GP205F,-62.4656,47.60015,10:29:14,Stable ~ 2.1 kts,76,119,1,123,1,0,0,0,0,0,0
2019,7,17,GP213F,-62.3872,47.63162,11:26:57,Stable ~ 2.1 kts,130,34,0,17,0,0,0,0,0,0,1
2019,7,17,GP228F,-62.2101,47.72592,12:51:35,Stable ~ 2.1 kts,127,44,0,32,1,0,0,0,0,0,0
2019,7,17,GP242F,-61.9603,47.70723,14:33:14,Force ~ 2.1 kts,45,4,0,7,51,0,0,0,0,1,13
2019,7,17,GP253F,-61.9372,47.69868,15:19:53,Stable ~ 2.1 kts,169,11,0,13,117,0,0,0,0,0,20
2019,7,17,GP239A1,-61.9844,47.67472,18:07:42,Stable ~ 2.1 kts,92,16,0,16,11,0,0,0,0,0,7
2019,7,17,GP224F,-62.2174,47.65243,19:49:45,Stable ~ 2.1 kts,129,18,0,19,0,0,0,0,0,0,0
2019,7,18,GP222F,-62.2794,47.55845,5:29:21,Stable ~ 2.1 kts,125,164,0,49,11,0,0,0,0,0,0
2019,7,18,GP211F,-62.394,47.5072,6:50:01,Stable ~ 2.2 kts,82,100,0,88,0,0,0,0,0,0,2
2019,7,18,GP194F,-62.58,47.48887,8:21:10,Stable ~ 2.2 kts,42,163,0,71,2,0,0,0,0,0,34
2019,7,18,GP186F,-62.6583,47.48672,9:21:06,Stable ~ 2.1 kts,27,11,0,81,27,0,0,0,0,0,8
2019,7,18,GP182F,-62.6812,47.4419,10:12:56,Stable ~ 2.1 kts,104,38,0,171,47,0,0,0,0,0,1
2019,7,18,GP199F,-62.5158,47.42887,11:25:49,Stable ~ 2.2 kts,90,169,0,137,0,0,0,0,0,0,5
2019,7,18,GP219F,-62.3624,47.38517,12:35:01,Stable ~ 2.1 kts,52,29,0,49,13,0,0,0,0,0,0
2019,7,18,GP212F,-62.4494,47.31883,13:45:08,Stable ~ 2.1 kts,77,72,0,96,32,0,0,0,0,0,0
2019,7,18,GP196F,-62.5695,47.27843,15:11:50,Accroche et force ~ 2.2 kts,36,103,0,42,1,0,0,0,0,0,0
2019,7,25,GP159F,-62.8379,46.83522,5:38:21,Stable ~ 2.2 kts,367,72,0,236,0,0,0,0,0,0,4
2019,7,25,GP184A3,-62.6941,46.82067,10:41:28,Stable ~ 2.1 kts,326,120,0,359,0,0,0,0,0,0,15
2019,7,25,GP202A2,-62.5999,46.83078,14:07:26,Accrochages ~ 2.1 kts,175,29,2,242,0,0,0,0,0,0,12
2019,7,25,GP198A1,-62.5866,46.96513,16:47:38,Accrochages ~ 2.1 kts,81,58,0,86,0,0,0,0,0,0,8
2019,7,25,GP206F,-62.4346,46.87938,18:35:29,Stable ~ 2.2 kts,339,110,0,284,1,0,0,0,0,3,10
2019,7,25,GP233F,-62.2139,46.81253,20:21:35,Accrochages ~ 2.1 kts,133,169,0,272,0,0,0,0,0,8,3
2019,7,26,GP220F,-62.3006,46.73435,5:35:13,Stable ~ 2.1 kts,202,167,3,368,0,0,0,0,0,6,5
2019,7,26,GP226F,-62.2106,46.70518,6:59:22,Accroche et force ~ 2.2 kts,38,3,0,83,0,0,0,0,0,156,38
2019,7,26,GP240A2,-61.9635,46.62268,11:05:52,Stable ~ 2.1 kts,95,13,2,50,2,0,0,0,0,8,29
2019,7,26,GP234F,-62.2412,46.58527,13:09:08,Stable ~ 2.1 kts,32,1,31,31,0,0,0,0,6,0,13
2019,7,26,GP214F,-62.3751,46.63925,14:24:48,Stable ~ 2.1 kts,94,75,2,328,12,0,0,0,0,0,16
2019,7,26,GP192F,-62.5367,46.61393,15:38:39,Stable ~ 2.1 kts,8,1,107,38,17,1,0,0,0,0,13
2019,7,26,GP197F,-62.5761,46.66208,16:36:13,Stable ~ 2.1 kts,54,1,20,109,37,0,0,0,0,0,16
2019,7,26,GP189A1,-62.6807,46.57755,18:21:06,Accroche et force ~ 2.2 kts,7,0,22,2,13,0,0,0,0,2,1
2019,7,26,GP162F,-62.8449,46.60387,19:37:43,Accrochages ~ 2.1 kts,56,7,5,131,28,0,0,0,0,0,9
2019,7,26,GP174F,-62.7882,46.663,20:29:23,Accrochages ~ 2.1 kts,39,3,3,61,8,0,0,0,0,0,24
2019,7,27,GP170F,-62.8785,46.70525,6:28:36,Stable ~ 2.1 kts,185,173,1,618,5,0,0,0,0,0,3
2019,7,27,GP154F,-63.068,46.601,8:19:56,Stable ~ 2.1 kts,73,48,51,169,4,0,0,0,1,0,14
2019,7,27,GP133F,-63.1682,46.62083,9:25:10,Stable ~ 2.1 kts,94,6,137,128,23,0,0,0,2,0,5
2019,7,27,GP141F,-63.1202,46.67452,10:20:56,Stable ~ 2.1 kts,95,41,2,253,13,0,0,0,0,0,9
2019,7,27,GP128A2,-63.2782,46.75768,14:05:07,Accroche et force ~ 2.2 kts,3,0,2,9,6,0,0,0,0,0,8
2019,7,27,GP094F,-63.4967,46.78522,15:54:27,Stable ~ 2.1 kts,72,5,34,134,97,0,0,0,0,0,15
2019,7,27,GP099F,-63.4222,46.79178,16:46:06,Stable ~ 2.2 kts,87,27,14,190,85,0,0,0,0,0,0
2019,7,27,GP123F,-63.2855,46.82678,17:48:08,Stable ~ 2.1 kts,165,97,0,127,10,0,0,0,0,0,7
2019,7,27,GP147F,-63.0202,46.88257,19:30:04,Stable ~ 2.1 kts,86,107,0,289,0,0,0,0,0,0,2
2019,7,27,GP149F,-63.0172,46.92563,20:15:30,Stable ~ 2.1 kts,159,214,0,757,0,0,0,0,0,0,2
2019,7,28,GP158F,-62.9152,46.94027,5:52:01,Stable ~ 2.1 kts,119,306,0,397,2,0,0,0,0,0,13
2019,7,28,GP176F,-62.7706,46.98735,7:20:45,Stable ~ 2.1 kts,195,373,1,702,0,0,0,0,0,0,4
2019,7,28,GP179F,-62.688,47.0127,8:44:53,Stable ~ 2.1 kts,231,471,0,642,0,0,0,0,0,0,6
2019,7,28,GP163F,-62.877,47.09655,10:25:59,Stable ~ 2.1 kts,167,71,0,217,7,0,0,0,0,0,14
2019,7,28,GP150A2,-63.0956,47.09138,13:43:41,Accroche et force ~ 2.2 kts,46,30,0,127,3,0,0,0,0,0,3
2019,7,28,GP127F,-63.2001,46.95872,15:30:27,Stable ~ 2.1 kts,213,192,0,253,13,0,0,0,0,0,7
2019,7,28,GP125F,-63.2872,47.00568,16:53:53,Accroche et force ~ 2.1 kts,52,12,1,273,12,0,0,0,0,0,12
2019,7,28,GP113F,-63.3169,46.90912,18:11:01,Stable ~ 2.1 kts,118,99,0,424,17,0,0,0,0,0,2
2019,7,29,GP084A2,-63.5827,46.92123,5:44:26,Stable ~ 2.1 kts,85,31,15,192,74,0,0,0,0,0,4
2019,7,29,GP077F,-63.7337,46.9615,7:09:28,Accrochages ~ 2.1 kts,12,0,21,56,73,0,0,0,0,0,0
2019,7,29,GP068F,-63.7062,47.0955,8:34:52,Stable ~ 2.1 kts,291,158,1,678,4,0,0,0,0,0,2
2019,7,29,GP049A2,-63.8576,47.1872,14:55:54,Accroche et force ~ 2.2 kts,0,0,3,0,6,0,0,0,0,0,0
2019,7,29,GP061F,-63.7683,47.19507,15:55:47,Stable ~ 2.1 kts,148,100,2,196,15,0,0,0,0,0,26
2019,7,29,GP076F,-63.6419,47.23807,16:57:48,Stable ~ 2.1 kts,92,91,0,233,2,0,0,0,0,0,1
2019,7,29,GP080A1,-63.5292,47.16918,18:43:39,Accroche et force ~ 2.2 kts,103,52,0,121,0,0,0,0,0,0,2
2019,7,29,GP088F,-63.5629,47.10662,19:51:10,Stable ~ 2.1 kts,115,70,0,436,3,0,0,0,0,1,5
2019,7,30,GP106F,-63.3254,47.08187,5:46:49,Stable ~ 2.1 kts,210,135,2,529,3,0,0,0,0,0,10
2019,7,30,GP105A2,-63.321,47.1858,9:19:23,Stable ~ 2.1 kts,165,92,1,224,6,0,0,0,0,1,3
2019,7,30,GP124F,-63.246,47.17532,10:21:14,Stable ~ 2.1 kts,91,129,0,306,0,0,0,0,0,0,1
2019,7,30,GP097F,-63.3449,47.26828,11:34:20,Stable ~ 2.1 kts,171,100,0,314,0,0,0,0,0,0,16
2019,7,30,GP079F,-63.4871,47.3667,13:00:12,Force a cause de vase ~ 2.2 kts,60,204,0,229,0,0,0,0,0,0,0
2019,7,30,GP090F,-63.5162,47.33998,14:01:58,Force a cause de vase ~ 2.1 kts,39,224,0,252,0,0,0,0,0,0,0
2019,7,30,GP067A1,-63.8024,47.36655,16:56:51,Force a cause de vase ~ 2.1 kts,243,198,0,276,0,0,0,0,0,0,6
2019,7,30,GP066F,-63.7227,47.50935,18:28:32,Force a cause de vase ~ 2.2 kts,152,34,0,84,0,0,0,0,0,0,0
2019,7,30,GP050F,-63.8984,47.48815,19:50:10,Stable ~ 2.1 kts,347,271,0,182,0,0,0,0,0,0,11
2019,7,30,GP048F,-63.8366,47.44273,20:39:57,Stable ~ 2.1 kts,310,278,0,237,0,0,0,0,0,0,1
2019,7,31,GP046F,-63.9496,47.33097,5:48:18,Accrochages ~ 2.1 kts,31,14,20,48,17,0,0,0,0,7,8
2019,7,31,GP044F,-64.0844,47.41507,7:23:47,Accrochages ~ 2.2 kts,2,0,9,4,2,0,0,0,0,0,6
2019,7,31,GP025F,-64.1921,47.3143,8:55:05,Accroche et force ~ 2.2 kts,42,13,1,11,0,0,0,0,0,0,0
2019,7,31,GP036F,-64.0959,47.22355,10:17:07,Stable ~ 2.2 kts,3,1,12,23,15,0,0,0,1,0,13
2019,7,31,GP026F,-64.1883,47.08562,11:55:41,Stable ~ 2.1 kts,53,12,60,27,32,0,0,0,0,0,3
2019,7,31,GP024F,-64.246,47.18798,13:01:49,Stable ~ 2.1 kts,65,17,0,63,2,0,0,0,0,0,2
2019,7,31,GP016F,-64.4444,47.30035,14:38:24,Stable ~ 2.1 kts,55,16,1,129,49,0,0,0,0,0,2
2019,7,31,GP023F,-64.2845,47.35808,15:56:20,Force a cause de vase ~ 2.1 kts,129,31,0,133,0,0,0,0,0,0,0
2019,7,31,GP019F,-64.3474,47.43465,16:57:57,Force a cause de vase ~ 2.1 kts,69,56,0,46,0,0,0,0,0,0,1
2019,7,31,GP018F,-64.3932,47.50363,18:08:09,Stable ~ 2.1 kts,141,57,0,263,27,0,0,0,0,0,0
2019,7,31,GP028F,-64.1807,47.54373,19:32:05,Force a cause de vase ~ 2.1 kts,33,18,0,234,0,0,0,0,0,0,0
2019,7,31,GP032F,-64.1306,47.55252,20:16:14,Force a cause de vase ~ 2.1 kts,35,142,0,203,0,0,0,0,0,0,0
2019,8,1,GP040F,-64.0948,47.68125,10:57:57,Force a cause de vase ~ 2.2 kts,11,17,0,62,0,0,0,0,0,0,0
2019,8,1,GP022F,-64.1601,47.65882,11:45:36,Force a cause de vase ~ 2.2 kts,16,142,0,95,0,0,0,0,0,0,0
2019,8,1,GP030F,-64.1582,47.69782,12:57:54,Force a cause de vase ~ 2.2 kts,28,0,0,121,0,0,0,0,0,0,0
2019,8,1,GP042F,-64.0081,47.76305,14:20:40,Force a cause de vase ~ 2.2 kts,28,0,1,62,0,0,0,0,0,0,0
2019,8,1,GP052F,-63.8779,47.75367,15:27:02,Force a cause de vase ~ 2.1 kts,80,122,0,298,0,0,0,0,0,0,0
2019,8,1,GP051F,-63.8747,47.82192,16:45:24,Force a cause de vase ~ 2.2 kts,45,47,0,47,0,0,0,0,0,0,0
2019,8,1,GP041F,-64.0208,47.82353,18:26:37,Force a cause de vase ~ 2.2 kts,24,46,0,35,0,0,0,0,0,0,1
2019,8,1,GP031F,-64.1873,47.86332,20:22:00,Force ~ 2.2 kts,0,3,1,13,0,0,0,0,1,0,0
2019,8,2,GP039F,-64.0564,47.94468,5:52:27,Stable ~ 2.1 kts,145,88,1,276,0,0,0,0,0,0,1
2019,8,2,GP045F,-63.9668,47.94013,7:00:14,Force a cause de vase ~ 2.2 kts,56,17,1,56,0,0,0,0,0,0,0
2019,8,2,GP053F,-63.9416,48.03893,8:35:40,Force a cause de vase ~ 2.2 kts,150,116,0,46,0,0,0,0,0,0,0
2019,8,7,GP009F,-64.9845,47.88685,15:52:23,Stable ~ 2.1 kts,3,2,15,24,0,0,0,0,0,0,0
2019,8,7,GP008F,-65.1387,47.89695,17:04:58,Accroche et force ~ 2.2 kts,40,1,0,11,0,0,0,0,0,0,0
2019,8,7,GP006F,-65.2072,47.89385,17:51:19,Force ~ 2.2 kts,16,68,0,18,0,0,0,0,0,0,0
2019,8,7,GP002F,-65.5397,47.78715,20:03:41,Force a cause de vase ~ 2.2 kts,80,25,7,40,0,0,0,0,0,0,0
2019,8,8,GP001F,-65.6298,47.97503,6:15:12,Force ~ 2.1 kts,78,44,19,19,0,0,0,0,0,0,6
2019,8,8,GP003F,-65.4924,47.91627,8:00:06,Stable ~ 2.1 kts,6,2,0,2,0,0,0,0,0,0,4
2019,8,8,GP004F,-65.483,47.86187,9:03:29,Force a cause de vase ~ 2.1 kts,32,12,0,16,0,0,0,0,0,0,0
2019,8,8,GP005F,-65.3452,47.95953,10:22:07,Force a cause de vase ~ 2.2 kts,428,302,8,35,0,0,0,0,0,0,3
2019,8,8,GP007F,-65.1861,47.92843,12:13:50,Force a cause de vase ~ 2.2 kts,17,47,0,12,0,0,0,0,0,0,0
2019,8,8,GP011F,-65.0151,47.95157,13:44:44,Force a cause de vase ~ 2.1 kts,18,30,1,28,0,0,0,0,0,0,0
2019,8,8,GP010F,-64.9908,48.0418,14:50:43,Force ~ 2.1 kts,42,113,0,56,0,0,0,0,0,0,7
2019,8,8,GP012F,-64.7756,48.0646,16:37:18,Force a cause de vase ~ 2.2 kts,50,10,0,27,0,0,0,0,0,0,0
2019,8,8,GP013F,-64.677,48.24392,18:32:37,Force a cause de vase ~ 2.2 kts,15,27,0,22,0,0,0,0,0,0,0
2019,8,9,GP015F,-64.4704,48.11902,6:13:53,Variable 2 a 2.4 noeuds,17,23,1,5,0,0,0,0,0,0,46
2019,8,9,GP017F,-64.4241,48.19697,10:12:57,Force a cause de vase ~ 2.2 kts,36,73,0,36,0,0,0,0,0,0,0
2019,8,9,GP014A1,-64.3617,48.3442,13:02:59,Force a cause de vase ~ 2.2 kts,15,281,0,26,0,0,0,0,0,0,0
2019,8,9,GP020F,-64.3337,48.26972,14:37:51,Force a cause de vase ~ 2.2 kts,16,16,0,32,0,0,0,0,0,0,0
2019,8,9,GP021F,-64.3062,48.25342,15:34:52,Force a cause de vase ~ 2.2 kts,12,30,0,46,0,0,0,0,0,0,1
2019,8,9,GP037F,-64.0685,48.23377,17:32:10,Stable ~ 2.1 kts,53,82,0,80,0,0,0,0,0,0,1
2019,8,9,GP055F,-63.9629,48.17682,18:43:58,Stable ~ 2.1 kts,4,2,6,39,0,0,0,0,0,2,2
2019,8,10,GP071F,-63.8214,48.17442,8:36:33,Force a cause de vase ~ 2.2 kts,95,69,0,82,0,0,0,0,0,0,0
2019,8,10,GP029F,-64.0215,48.27072,10:15:42,Stable ~ 2.1 kts,63,66,2,52,0,0,0,0,0,23,0
2019,8,10,GP058F,-63.84,48.3417,11:43:42,Force a cause de vase ~ 2.2 kts,59,28,0,236,0,0,0,0,0,0,0
2019,8,10,GP059A1,-63.8914,48.41325,13:43:46,Stable ~ 2.2 kts,4,7,8,22,0,0,0,0,0,32,3
2019,8,10,GP073F,-63.6828,48.35992,15:12:17,Accrochages ~ 2.1 kts,6,26,4,43,0,0,2,0,0,3,0
2019,8,10,GP065F,-63.7354,48.45645,16:31:10,Force a cause de vase ~ 2.1 kts,4,6,39,56,0,0,13,0,0,0,0
2019,8,10,GP057F,-63.9934,48.55792,18:31:22,Accroche et force ~ 2.1 kts,9,1,1,22,0,0,0,0,0,9,28
2019,8,10,GP034F,-64.1162,48.45682,20:00:28,Force ~ 2.1 kts,17,6,0,11,0,0,0,0,0,0,1
2019,8,11,GP033F,-64.1254,48.5426,6:14:08,Force a cause de vase ~ 2.2 kts,154,109,0,15,0,0,0,0,0,0,0
2019,8,11,GP027F,-64.1771,48.5382,7:32:24,Force a cause de vase ~ 2.2 kts,158,63,0,5,0,0,0,0,0,0,0
2019,8,11,GP038A1,-64.01,48.61035,9:42:30,Stable ~ 2.1 kts,229,161,2,48,0,0,0,0,0,23,0
2019,8,11,GP056F,-63.8471,48.62198,11:02:40,Force ~ 2.1 kts,16,11,87,116,0,0,32,2,0,0,2
2019,8,11,GP074F,-63.7962,48.6044,12:00:00,Force ~ 2.2 kts,5,2,52,87,0,0,9,0,0,0,0
2019,8,11,GP083F,-63.6158,48.54817,13:31:13,Force ~ 2.1 kts,0,1,181,24,0,0,7,0,0,0,0
2019,8,11,GP096A2,-63.4211,48.57542,18:01:55,Force ~ 2.2 kts,1,1,9,1,0,0,6,2,0,0,0
2019,8,12,GP107A1,-63.4776,48.63252,6:00:56,Force ~ 2.2 kts,0,0,72,13,0,0,0,0,0,0,0
2019,8,12,GP078F,-63.657,48.61705,7:51:10,Force ~ 2.1 kts,0,0,79,9,0,0,8,0,0,0,2
2019,8,12,GP064F,-63.8214,48.65977,9:27:04,Force ~ 2.2 kts,37,21,18,30,0,0,28,0,0,0,0
2019,8,12,GP054F,-63.9605,48.73192,11:15:20,Force ~ 2.2 kts,18,3,43,36,0,0,46,0,0,0,0
2019,8,12,GP035F,-64.0619,48.75877,12:43:21,Force ~ 2.1 kts,0,0,3,10,0,0,0,0,0,156,125
2019,8,12,GP072F,-63.7652,48.81965,14:57:57,Force ~ 2.2 kts,0,0,16,8,0,0,3,1,0,0,0
2019,8,12,GP085F,-63.5551,48.83428,17:15:39,Force a cause de vase ~ 2.2 kts,1,0,0,4,0,0,5,2,0,0,0
2019,8,12,GP081F,-63.5887,48.89708,19:14:15,Force a cause de vase ~ 2.2 kts,0,0,0,0,0,0,7,1,0,0,0
2019,8,13,GP098F,-63.426,48.93528,6:51:52,Force a cause de vase ~ 2.2 kts,0,0,0,0,0,0,1,0,0,0,0
2019,8,13,GP120F,-63.2555,48.91725,8:34:13,Force a cause de vase ~ 2.2 kts,0,0,0,1,0,0,3,0,0,0,0
2019,8,13,GP109F,-63.349,48.83702,10:22:20,Force a cause de vase ~ 2.2 kts,1,0,0,0,0,0,3,0,0,0,0
2019,8,13,GP122F,-63.2666,48.75353,11:55:59,Force a cause de vase ~ 2.2 kts,5,2,0,1,0,0,2,1,0,0,0
2019,8,13,GP121F,-63.2435,48.66848,13:17:52,Force a cause de vase ~ 2.2 kts,1,1,0,2,0,0,3,0,0,0,0
2019,8,13,GP142F,-63.109,48.71155,14:59:16,Force a cause de vase ~ 2.2 kts,0,1,0,0,0,0,0,1,0,0,0
2019,8,13,GP156F,-62.9361,48.59532,17:06:19,Force a cause de vase ~ 2.2 kts,0,1,0,0,0,0,1,0,0,0,0
2019,8,13,GP139F,-63.134,48.54785,19:40:52,Force a cause de vase ~ 2.1 kts,5,3,2,11,0,0,12,4,0,0,0
2019,8,14,GP134A2,-63.1475,48.56677,9:15:54,Force ~ 2.2 kts,8,3,6,6,0,0,7,2,0,0,0
2019,8,14,GP115F,-63.3014,48.43975,11:16:58,Force ~ 2.1 kts,2,1,61,22,0,0,16,0,0,0,0
2019,8,14,GP112F,-63.4099,48.43615,12:25:44,Stable ~ 2.1 kts,11,15,32,52,0,0,9,0,0,0,0
2019,8,14,GP086F,-63.5417,48.39408,14:26:38,Stable ~ 2.2 kts,37,54,5,96,0,0,8,0,0,0,1
2019,8,14,GP089F,-63.5236,48.31067,15:29:38,Stable ~ 2.1 kts,28,26,7,100,0,0,6,0,0,0,0
2019,8,14,GP103F,-63.4002,48.36133,16:38:11,Stable ~ 2.1 kts,4,3,11,53,0,0,13,0,0,19,6
2019,8,14,GP130A2,-63.1685,48.30692,19:53:13,Accroche et force ~ 2.2 kts,2,0,5,0,0,0,0,0,4,64,18
2019,8,15,GP138F,-62.9648,48.38835,6:03:44,Stable ~ 2.1 kts,36,57,4,218,0,0,2,0,0,84,27
2019,8,15,GP166F,-62.8518,48.4189,7:25:05,Stable ~ 2.2 kts,0,0,21,23,0,0,37,8,0,0,0
2019,8,15,GP187F,-62.6466,48.44735,9:01:25,Force a cause de vase ~ 2.1 kts,2,0,0,0,0,0,2,2,0,0,0
2019,8,15,GP203F,-62.45,48.36377,11:02:02,Force a cause de vase ~ 2.1 kts,0,0,0,2,0,0,2,0,0,0,0
