site,correct.id,correct.id.binary,siphon.hole.length,siphon.hole.width,siphon.hole.LxW,clam.length,clam.width,clam.weight
Shemogue,Yes,1,10.75,7.09,76.22,71.11,43.2,44.48
Shemogue,Yes,1,10.14,7.05,71.49,49.87,32.38,17.47
Shemogue,Yes,1,8.97,5.43,48.71,41.58,27.17,10.59
Shemogue,Yes,1,11.01,7.61,83.79,37.63,23.88,7.09
Shemogue,Yes,1,15.44,8.22,126.92,55.07,35.88,26.97
Shemogue,Yes,1,13.37,7.44,99.47,57.55,34.61,25.98
Shemogue,Yes,1,10.96,6.66,72.99,56.47,33.98,25.54
Shemogue,Yes,1,10.53,6.23,65.6,40.88,25.57,9.13
Shemogue,Yes,1,6.02,2.31,13.91,43.97,26.19,11.71
Shemogue,Yes,1,19.03,10.77,204.95,,,
Shemogue,Yes,1,10.29,4.67,48.05,38.84,26.01,12.82
Kouchibouguac,Yes,1,6.66,4.54,30.24,40.77,23.73,7.55
Kouchibouguac,Yes,1,14.99,11.5,172.39,60.93,35.74,20.56
Kouchibouguac,Yes,1,14.32,11.66,166.97,47.25,27.59,10.29
Kouchibouguac,Yes,1,13.21,7.57,100,48.05,29.45,13.67
Kouchibouguac,Yes,1,6.5,5.38,34.97,25.33,15.19,1.75
Kouchibouguac,Yes,1,5.99,3.8,22.76,28.49,17.44,2.29
Kouchibouguac,Yes,1,17.33,12.33,213.68,56.74,32.81,23.06
Kouchibouguac,Yes,1,16.21,14.01,227.1,54.97,32.77,16.04
Kouchibouguac,Yes,1,16.11,10.27,165.45,59.32,35.06,20.59
Kouchibouguac,Yes,1,6.6,4.04,26.66,29.16,18.68,2.6
Kouchibouguac,Yes,1,4.25,3.25,13.81,15.86,9.26,0.37
Kouchibouguac,Yes,1,5.43,4.55,24.71,26.77,15.83,1.69
Kouchibouguac,Yes,1,8.33,5.73,47.73,33.43,19.73,2.52
Kouchibouguac,Yes,1,14.86,13.59,201.95,57.42,34.51,19.27
Kouchibouguac,Yes,1,6.17,4.5,27.77,29.2,17.77,2.34
Kouchibouguac,Yes,1,4.25,2.83,12.03,19.97,11.76,0.85
Kouchibouguac,Yes,1,4.26,3.06,13.04,17,10.21,0.32
Kouchibouguac,Yes,1,9.02,5.95,53.67,33.32,20.17,3.65
Kouchibouguac,Yes,1,10.71,6.2,66.4,25.4,15.34,1.72
Kouchibouguac,Yes,1,9.05,5.68,51.4,36.1,21.15,3.98
Kouchibouguac,Yes,1,13.01,10.5,136.61,45.26,26.32,9.33
Kouchibouguac,Yes,1,5.78,3.42,19.77,26.45,16.41,2.12
Kouchibouguac,Yes,1,5.79,4.45,25.77,21.32,13.05,0.93
Kouchibouguac,Yes,1,7,4.26,29.82,33.38,20.79,4.35
Kouchibouguac,Yes,1,18.72,13.55,253.66,58.54,34.13,20.21
Kouchibouguac,Yes,1,12.65,9.46,119.67,55.18,32.77,19.77
Kouchibouguac,Yes,1,9.69,6.43,62.31,43.4,26.68,6.88
Kouchibouguac,Yes,1,13.97,9.8,136.91,67.88,40.89,32.25
Kouchibouguac,Yes,1,11.41,6.67,76.1,36.92,22.63,5.1
Kouchibouguac,Yes,1,18.44,12.16,224.23,48.7,29.29,11.24
Kouchibouguac,Yes,1,9.63,6.94,66.83,39.33,22.75,5.96
Kouchibouguac,Yes,1,13.13,9.52,125,64.04,37.8,22.4
Kouchibouguac,Yes,1,7.94,4.09,32.47,36.28,21.85,4.02
Kouchibouguac,Yes,1,9.51,6.07,57.73,57.95,32.54,20.24
Kouchibouguac,Yes,1,7.48,3.64,27.23,37.63,21.95,5.49
Kouchibouguac,Yes,1,13.92,9.17,127.65,45.03,25.65,7.87
Kouchibouguac,Yes,1,5.66,4.14,23.43,41.08,25.83,7.28
Kouchibouguac,Yes,1,10.29,5.99,61.64,54.46,34,18.51
Kouchibouguac,Yes,1,7.73,6.14,47.46,48.71,29.78,10.28
Kouchibouguac,Yes,1,8.98,6.76,60.7,48.2,27.88,11.33
Kouchibouguac,Yes,1,11.32,9.63,109.01,55.97,31.14,13.16
Kouchibouguac,Yes,1,5.97,3.02,18.03,50.06,29.6,13.93
Kouchibouguac,Yes,1,7.01,4.2,29.44,48.95,28.39,13.86
Kouchibouguac,Yes,1,6.32,3.92,24.77,20.93,12.3,0.65
Kouchibouguac,Yes,1,11.67,8.11,94.64,60.09,34.64,15.48
Kouchibouguac,Yes,1,9.03,6.36,57.43,32.11,19.4,3.36
Kouchibouguac,Yes,1,6.42,3.73,23.95,27.17,17.07,2.28
Kouchibouguac,Yes,1,10.08,7.38,74.39,40.87,24.76,6.83
Kouchibouguac,Yes,1,10.14,8.71,88.32,52.55,31.49,14.78
Kouchibouguac,Yes,1,9.8,7.85,76.93,48.11,29.73,11.72
