"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes","number.otoliths.aged_nombre.otolithes.agées"
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1984,9,162,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1985,9,247,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",1986,9,621,143
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2000,9,1072,158
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2001,9,676,141
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2002,9,1186,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2003,9,498,129
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2004,9,1061,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2005,9,843,139
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2006,9,1216,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2007,9,1274,145
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2008,8,186,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2008,9,1080,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2009,9,935,130
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2010,9,1043,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2011,9,809,110
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2011,10,73,7
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2012,9,1036,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2013,9,819,131
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2014,9,848,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2015,9,824,131
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2016,9,721,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2017,9,414,119
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2018,9,387,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2018,10,87,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2019,9,668,650
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2020,9,343,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2020,10,122,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2021,8,4,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2021,9,867,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2022,9,580,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2023,9,812,0
"RV-4T","Limanda ferruginea","Yellowtail Flounder","Limande à queue jaune",2023,10,26,0
