"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes","number.otoliths.aged_nombre.otolithes.agés"
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1990,5,29,27
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1990,6,174,157
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1990,7,90,81
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1990,8,242,227
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1990,9,80,75
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1990,10,114,105
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1990,11,70,66
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1991,6,276,254
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1991,7,103,93
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1991,8,26,25
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1991,9,38,34
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1991,10,93,87
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1991,11,33,33
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1992,5,10,9
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1992,6,182,166
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1992,7,539,516
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1992,8,200,186
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1992,9,230,217
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1992,10,323,310
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1992,11,41,39
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1993,5,8,8
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1993,6,105,100
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1993,7,91,89
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1993,8,222,218
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1993,9,90,88
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1993,10,214,205
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1994,5,49,48
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1994,6,98,96
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1994,7,237,225
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1994,8,66,64
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1994,9,105,105
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1994,10,192,191
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1995,6,8,8
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1995,7,32,32
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1995,10,95,94
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1996,6,72,71
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1996,8,113,113
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1996,9,5,5
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1997,5,8,7
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1997,8,145,138
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1997,9,111,110
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1998,5,39,39
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1998,6,61,60
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1998,8,53,53
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1998,10,82,80
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1998,11,48,47
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1999,6,96,94
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1999,7,116,113
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1999,8,104,104
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",1999,10,32,32
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2000,5,46,46
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2000,6,21,20
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2000,7,69,68
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2000,8,17,17
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2000,9,72,71
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2001,8,64,63
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2001,9,69,68
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2001,10,30,30
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2002,5,26,26
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2002,6,28,28
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2002,9,43,43
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2002,10,34,34
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2003,6,39,39
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2003,7,29,29
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2003,9,79,78
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2004,6,86,84
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2004,7,92,92
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2004,9,22,21
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2005,5,31,30
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2005,6,147,142
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2005,7,42,42
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2006,5,56,55
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2006,6,26,26
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2006,7,31,31
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2006,9,19,19
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2006,11,19,18
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2007,5,35,35
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2007,6,139,137
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2007,7,34,34
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2007,10,25,25
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2008,5,23,23
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2008,6,46,45
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2008,9,26,26
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2009,6,128,126
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2010,6,72,72
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2011,5,67,66
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2011,6,79,79
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2011,7,62,57
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2012,5,15,15
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2012,6,36,35
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2012,7,68,67
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2013,5,21,21
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2013,6,32,32
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2013,7,53,53
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2014,5,26,26
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2014,6,135,133
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2014,7,36,36
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2015,5,47,0
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2015,6,81,0
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2015,7,27,0
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2016,5,168,0
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2016,6,49,0
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2016,7,28,0
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2017,5,18,0
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2017,6,13,0
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2017,7,29,0
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2018,6,25,0
"Commercial","Urophycis tenuis","White Hake","Merluche blanche",2019,6,93,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",1971,9,193,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",1972,9,85,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",1973,8,25,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",1973,9,176,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",1974,9,44,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",1975,9,353,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",1976,9,234,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",1977,9,204,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",1978,9,308,297
"RV","Urophycis tenuis","White Hake","Merluche blanche",1978,10,40,38
"RV","Urophycis tenuis","White Hake","Merluche blanche",1979,9,354,290
"RV","Urophycis tenuis","White Hake","Merluche blanche",1979,10,73,59
"RV","Urophycis tenuis","White Hake","Merluche blanche",1980,9,549,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",1981,9,477,442
"RV","Urophycis tenuis","White Hake","Merluche blanche",1982,9,264,258
"RV","Urophycis tenuis","White Hake","Merluche blanche",1983,9,258,245
"RV","Urophycis tenuis","White Hake","Merluche blanche",1984,8,187,183
"RV","Urophycis tenuis","White Hake","Merluche blanche",1984,9,538,523
"RV","Urophycis tenuis","White Hake","Merluche blanche",1985,9,1078,444
"RV","Urophycis tenuis","White Hake","Merluche blanche",1986,9,2126,2004
"RV","Urophycis tenuis","White Hake","Merluche blanche",1987,8,18,16
"RV","Urophycis tenuis","White Hake","Merluche blanche",1987,9,669,636
"RV","Urophycis tenuis","White Hake","Merluche blanche",1988,9,933,917
"RV","Urophycis tenuis","White Hake","Merluche blanche",1989,9,725,695
"RV","Urophycis tenuis","White Hake","Merluche blanche",1990,9,739,693
"RV","Urophycis tenuis","White Hake","Merluche blanche",1991,9,821,766
"RV","Urophycis tenuis","White Hake","Merluche blanche",1992,8,875,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",1992,9,559,541
"RV","Urophycis tenuis","White Hake","Merluche blanche",1993,9,510,498
"RV","Urophycis tenuis","White Hake","Merluche blanche",1994,9,764,737
"RV","Urophycis tenuis","White Hake","Merluche blanche",1995,9,845,590
"RV","Urophycis tenuis","White Hake","Merluche blanche",1996,9,828,819
"RV","Urophycis tenuis","White Hake","Merluche blanche",1997,9,768,733
"RV","Urophycis tenuis","White Hake","Merluche blanche",1998,9,1017,976
"RV","Urophycis tenuis","White Hake","Merluche blanche",1999,9,1437,1424
"RV","Urophycis tenuis","White Hake","Merluche blanche",2000,9,949,937
"RV","Urophycis tenuis","White Hake","Merluche blanche",2001,9,611,603
"RV","Urophycis tenuis","White Hake","Merluche blanche",2002,9,531,509
"RV","Urophycis tenuis","White Hake","Merluche blanche",2003,9,255,238
"RV","Urophycis tenuis","White Hake","Merluche blanche",2004,9,417,287
"RV","Urophycis tenuis","White Hake","Merluche blanche",2005,9,812,785
"RV","Urophycis tenuis","White Hake","Merluche blanche",2006,9,702,321
"RV","Urophycis tenuis","White Hake","Merluche blanche",2007,9,576,552
"RV","Urophycis tenuis","White Hake","Merluche blanche",2008,8,80,79
"RV","Urophycis tenuis","White Hake","Merluche blanche",2008,9,467,455
"RV","Urophycis tenuis","White Hake","Merluche blanche",2009,9,520,495
"RV","Urophycis tenuis","White Hake","Merluche blanche",2010,9,412,404
"RV","Urophycis tenuis","White Hake","Merluche blanche",2011,9,265,260
"RV","Urophycis tenuis","White Hake","Merluche blanche",2011,10,2,2
"RV","Urophycis tenuis","White Hake","Merluche blanche",2012,9,379,363
"RV","Urophycis tenuis","White Hake","Merluche blanche",2013,9,290,271
"RV","Urophycis tenuis","White Hake","Merluche blanche",2014,9,510,505
"RV","Urophycis tenuis","White Hake","Merluche blanche",2015,9,560,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",2016,9,401,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",2017,9,290,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",2018,9,197,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",2018,10,22,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",2019,9,545,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",2020,9,188,0
"RV","Urophycis tenuis","White Hake","Merluche blanche",2020,10,198,0
