Sampling year,Station code,Station name,Date in,Date out,Weeks,Station Description,Collector Latitude,Collector Longitude,Collector ID,Surface Type,Surface ID,Probe Type,Probe Sample Date/Time,Probe Depth,Temperture C,Sal ppt,O2 percent,O2 mg-l,SpCond - mS,Spc - mS,pH,Turbidity,Weather Notes,Samplers,Other species,B. violaceus % cover,B. violaceus Color Notes,C. intestinalis % cover,S. clava % cover,B. schlosseri % cover,B. schlosseri Color Notes,C. mutica % cover,M. membranacea % cover,C. fragile fragile % cover
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.47569,-64.71316,659,Petri dish,Petri dish 1,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.47569,-64.71316,659,Petri dish,Petri dish 2,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Sea grapes (Molgula sp)",0,,0,0,0,,0,0,0
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.47569,-64.71316,659,Petri dish,Petri dish 3,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Common Atlantic slipper (Crepidula fornicata), Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.47569,-64.71316,659,Plate,Plate 1,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.47551,-64.71354,662,Plate,Plate 1,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.47589,-64.71297,663,Plate,Plate 1,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Eastern Oyster (Crassostrea virginica), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.47564,-64.71267,664,Plate,Plate 1,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Hydroid-like animals (Hydrozoa ), Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,11,"Bouctouche, NB",2018-05-30,2018-10-12,19.29,Marina,46.4757,-64.71257,661,Plate,Plate 1,YSI Pro+,2018-10-12 13:10,1.0,11.2,25.66,91.7,8.56,40273.0,29651.0,,,rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,10,"Richibucto, NB",2018-05-30,2018-09-17,15.71,Mix Commercial and Marina,46.68204,-64.8608,666,Plate,Plate 1,YSI Pro+,2018-09-17 12:13,1.0,19.3,27.62,101.0,7.92,42905.0,38252.0,,,sun / wind,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Eastern white slippersn (Crepidula plana), Sea grapes (Molgula sp)",0,,0,0,0,,0,0,0
2018,10,"Richibucto, NB",2018-05-30,2018-09-17,15.71,Mix Commercial and Marina,46.68134,-64.86097,668,Plate,Plate 1,YSI Pro+,2018-09-17 12:13,1.0,19.3,27.62,101.0,7.92,42905.0,38252.0,,,sun / wind,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Sea grapes (Molgula sp), Tubularian hydroid (Tubulariidae)",0,,0,0,0,,0,0,0
2018,10,"Richibucto, NB",2018-05-30,2018-09-17,15.71,Mix Commercial and Marina,46.68179,-64.86084,670,Petri dish,Petri dish 1,YSI Pro+,2018-09-17 12:13,1.0,19.3,27.62,101.0,7.92,42905.0,38252.0,,,sun / wind,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Barnacle (Cirripedia), Bryozoans (Ectoprocta), Nudibranchs (Nudibranchia), Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,10,"Richibucto, NB",2018-05-30,2018-09-17,15.71,Mix Commercial and Marina,46.68179,-64.86084,670,Petri dish,Petri dish 3,YSI Pro+,2018-09-17 12:13,1.0,19.3,27.62,101.0,7.92,42905.0,38252.0,,,sun / wind,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Barnacle (Cirripedia), Bryozoans (Ectoprocta), Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,10,"Richibucto, NB",2018-05-30,2018-09-17,15.71,Mix Commercial and Marina,46.68179,-64.86084,670,Plate,Plate 1,YSI Pro+,2018-09-17 12:13,1.0,19.3,27.62,101.0,7.92,42905.0,38252.0,,,sun / wind,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta), Sea grapes (Molgula sp), Tubularian hydroid (Tubulariidae)",0,,0,0,0,,0,0,0
2018,10,"Richibucto, NB",2018-05-30,2018-09-17,15.71,Mix Commercial and Marina,46.68085,-64.86134,665,Petri dish,Petri dish 1,YSI Pro+,2018-09-17 12:13,1.0,19.3,27.62,101.0,7.92,42905.0,38252.0,,,sun / wind,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Bryozoans (Ectoprocta), Sea grapes (Molgula sp)",0,,0,0,0,,0,0,0
2018,10,"Richibucto, NB",2018-05-30,2018-09-17,15.71,Mix Commercial and Marina,46.68085,-64.86134,665,Petri dish,Petri dish 2,YSI Pro+,2018-09-17 12:13,1.0,19.3,27.62,101.0,7.92,42905.0,38252.0,,,sun / wind,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Sea grapes (Molgula sp)",0,,0,0,0,,0,0,0
2018,10,"Richibucto, NB",2018-05-30,2018-09-17,15.71,Mix Commercial and Marina,46.68085,-64.86134,665,Petri dish,Petri dish 3,YSI Pro+,2018-09-17 12:13,1.0,19.3,27.62,101.0,7.92,42905.0,38252.0,,,sun / wind,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Eastern Oyster (Crassostrea virginica), Sea grapes (Molgula sp)",0,,0,0,0,,0,0,0
2018,10,"Richibucto, NB",2018-05-30,2018-09-17,15.71,Mix Commercial and Marina,46.68085,-64.86134,665,Plate,Plate 1,YSI Pro+,2018-09-17 12:13,1.0,19.3,27.62,101.0,7.92,42905.0,38252.0,,,sun / wind,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Bryozoans (Ectoprocta), Sea grapes (Molgula sp), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,10,"Richibucto, NB",2018-05-30,2018-09-17,15.71,Mix Commercial and Marina,46.68082,-64.86115,669,Plate,Plate 1,YSI Pro+,2018-09-17 12:13,1.0,19.3,27.62,101.0,7.92,42905.0,38252.0,,,sun / wind,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",Sea grapes (Molgula sp),0,,0,0,0,,0,0,0
2018,10,"Richibucto, NB",2018-05-30,2018-09-17,15.71,Mix Commercial and Marina,46.68158,-64.86111,667,Plate,Plate 1,YSI Pro+,2018-09-17 12:13,1.0,19.3,27.62,101.0,7.92,42905.0,38252.0,,,sun / wind,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Sea grapes (Molgula sp), Tubularian hydroid (Tubulariidae)",0,,0,0,0,,0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.17928,-62.5309,899,Petri dish,Petri dish 1,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",Sea star (Asteroidea),1,Orange,80,0,10,Black and white,0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.17928,-62.5309,899,Petri dish,Petri dish 2,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",,0,,90,0,10,Black and white,0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.17928,-62.5309,899,Petri dish,Petri dish 3,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",,5,Orange,95,0,0,,0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.17928,-62.5309,899,Plate,Plate 1,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Blue mussel (Mytilus edulis), Bryozoans (Ectoprocta)",25,"Orange, yellow and purple",30,0,10,"Black and white, black and brown,",0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.17922,-62.5312,652,Petri dish,Petri dish 1,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Blue mussel (Mytilus edulis), Sea star (Asteroidea)",15,Orange,60,5,2,Black and white,0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.17922,-62.5312,652,Petri dish,Petri dish 2,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Blue mussel (Mytilus edulis), Sea star (Asteroidea)",15,Orange,40,5,0,,0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.17922,-62.5312,652,Petri dish,Petri dish 3,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Blue mussel (Mytilus edulis), Sea star (Asteroidea)",5,Orange,75,5,0,,0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.17922,-62.5312,652,Plate,Plate 1,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",Blue mussel (Mytilus edulis),10,Purple,5,5,0,,0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.17939,-62.53121,651,Plate,Plate 1,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Blue mussel (Mytilus edulis), Sea star (Asteroidea)",25,"Purple, burgundy and orange",10,5,5,Black and purple,0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.17927,-62.53101,712,Plate,Plate 1,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",Blue mussel (Mytilus edulis),10,Orange,20,0,5,Black and white and black and pruple,0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.1787,-62.53128,898,Plate,Plate 1,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Bryozoans (Ectoprocta), Fan ectoproct (Bugula spp)",50,Orange,0,0,30,"Black and tan, purple and black and yellow and black colonies",0,0,0
2018,40,"Georgetown, PE",2018-05-31,2018-09-20,16.0,,46.17933,-62.53075,650,Plate,Plate 1,YSI Pro+,2018-09-20 09:30,1.0,17.9,28.68,84.5,6.85,44337.0,37675.0,,,Cloud / Rain,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",Blue mussel (Mytilus edulis),10,Orange and purple,0,5,5,Black and purple,0,0,0
2018,41,"Souris, PE",2018-05-31,2018-09-20,16.0,,46.34763,-62.24762,657,Petri dish,Petri dish 1,YSI Pro+,2018-09-20 11:00,1.0,17.6,29.16,96.4,7.72,44999.0,38642.0,,,Wind/ Rain/ Clouds,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Fan ectoproct (Bugula spp)",25,Orange,0,5,0,,0,0,0
2018,41,"Souris, PE",2018-05-31,2018-09-20,16.0,,46.34763,-62.24762,657,Petri dish,Petri dish 2,YSI Pro+,2018-09-20 11:00,1.0,17.6,29.16,96.4,7.72,44999.0,38642.0,,,Wind/ Rain/ Clouds,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Barnacle (Cirripedia), Fan ectoproct (Bugula spp)",30,Orange and purple,0,5,2,,0,0,0
2018,41,"Souris, PE",2018-05-31,2018-09-20,16.0,,46.34763,-62.24762,657,Petri dish,Petri dish 3,YSI Pro+,2018-09-20 11:00,1.0,17.6,29.16,96.4,7.72,44999.0,38642.0,,,Wind/ Rain/ Clouds,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Barnacle (Cirripedia), Blue mussel (Mytilus edulis), Fan ectoproct (Bugula spp)",20,"Orange, pinkish",0,5,1,,0,0,0
2018,41,"Souris, PE",2018-05-31,2018-09-20,16.0,,46.34763,-62.24762,657,Plate,Plate 1,YSI Pro+,2018-09-20 11:00,1.0,17.6,29.16,96.4,7.72,44999.0,38642.0,,,Wind/ Rain/ Clouds,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Fan ectoproct (Bugula spp)",10,Orange and yellow,0,10,0,,0,0,0
2018,41,"Souris, PE",2018-05-31,2018-09-20,16.0,,46.34757,-62.24785,658,Plate,Plate 1,YSI Pro+,2018-09-20 11:00,1.0,17.6,29.16,96.4,7.72,44999.0,38642.0,,,Wind/ Rain/ Clouds,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Fan ectoproct (Bugula spp)",10,Purple and orange,0,10,0,,0,0,0
2018,41,"Souris, PE",2018-05-31,2018-09-20,16.0,,46.34691,-62.24939,656,Plate,Plate 1,YSI Pro+,2018-09-20 11:00,1.0,17.6,29.16,96.4,7.72,44999.0,38642.0,,,Wind/ Rain/ Clouds,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Barnacle (Cirripedia), Fan ectoproct (Bugula spp)",2,Purple and orange,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.08576,-61.46434,886,Plate,Plate 1,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Eastern Oyster (Crassostrea virginica)",0,,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.08576,-61.46434,886,Petri dish,petri 1,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Bryozoans (Ectoprocta)",0,,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.08576,-61.46434,886,Petri dish,petri 2,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Blue mussel (Mytilus edulis), Eastern Oyster (Crassostrea virginica)",0,,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.08576,-61.46434,886,Petri dish,petri 3,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Barnacle (Cirripedia), Bryozoans (Ectoprocta)",0,,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.08605,-61.46423,890,Petri dish,Petri dish 1,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)",Anemones (Actiniaria),0,,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.08605,-61.46423,890,Petri dish,Petri dish 2,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Bryozoans (Ectoprocta)",0,,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.08605,-61.46423,890,Petri dish,Petri dish 3,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Bryozoans (Ectoprocta), Common Atlantic slipper (Crepidula fornicata), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.08605,-61.46423,890,Plate,Plate 1,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Bryozoans (Ectoprocta)",0,,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.08624,-61.46467,887,Plate,Plate 1,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica)",0,,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.0862,-61.46432,888,Plate,Plate 1,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Blue mussel (Mytilus edulis), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.08571,-61.46434,889,Plate,Plate 1,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Sponge (Porifera)",0,,0,0,0,,0,0,0
2018,24,"Mabou, NS",2018-06-04,2018-09-27,16.43,,46.08591,-61.46429,897,Plate,Plate 1,YSI Pro+,2018-09-27 16:55,1.0,16.2,29.83,98.3,8.06,45935.0,38021.0,,,cloudy and windy,"Chantal Coomber (DFO-GULF), Erica Watson (DFO-GULF)","Anemones (Actiniaria), Bryozoans (Ectoprocta), Eastern Oyster (Crassostrea virginica), Sponge (Porifera)",0,,0,0,0,,0,0,0
