site,province,station,latitude_de_station,longitude_de_station,saisons_en_opération_et_nombre_échontillions,liste_des_espèces_capturées,list_de_VAS,nombre_total_de_poisson_capturées,nombre_annuel_moyen_de_poissons_capturés
Cap-Pelé,N-B,Aboujagane River,46.22155,-64.39916,"2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Anguille dAmérique, Lancon dAmérique, Capucette dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crapaud de mer nain, Crabe de vase, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Épinoche a trois épines, Espèce inconnue, Turbot de sable, Plie rouge","Algue brune filamenteuse, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",26120,2374.55
Cap-Pelé,N-B,Camp Ta-Wa-Si,46.1827,-64.11454,"2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Lancon dAmérique, Capucette dAtlantique, Épinoche tachetée, Tanche-tautogue, Épinoche a quatre épines, Crevette dherbe, Crapaud de mer nain, Crabe calico (demoiselle), Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",9049,822.64
Cap-Pelé,N-B,Comeau Point,46.172,-64.14977,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crapaud de mer nain, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",14000,1272.73
Cap-Pelé,N-B,Harbour Shore Rd.,46.17319,-64.16438,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Zostere marine, Algue verte, Ruppie maritime",33086,3007.82
Cap-Pelé,N-B,Kouchibouguac River,46.21546,-64.36419,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Lancon dAmérique, Capucette dAtlantique, Épinoche tachetée, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Turbot de sable, Plie rouge","Algue brune filamenteuse, Zostere marine, Algue verte, Espece Fucus",26005,2364.09
Cap-Pelé,N-B,Tedish River,46.22523,-64.29596,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Capucette dAtlantique, Épinoche tachetée, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Zostere marine, Algue verte",29458,2678.00
Cape Jourimain,N-B,Annes Acres,46.15355,-63.846567,"2005(5), 2006(5), 2007(5), 2008(5), 2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(2), 2017(3), 2018(1), 2019(1)","Gaspereau, Lancon dAmérique, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe de vase, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Espece Fucus, Ruppie maritime",16250,1083.33
Cape Jourimain,N-B,Cape Tourmentine,46.13285,-63.784783,"2005(5), 2006(5), 2007(5), 2008(5), 2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Choquemort, Épinoche a neuf épines, Syngnate brun, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Laminaires, Espece Fucus",15989,1065.93
Cape Jourimain,N-B,End of Wharf Rd,46.16837,-63.936214,"2005(5), 2006(5), 2007(5), 2008(5), 2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(1), 2015(3), 2016(2), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Espece Fucus, Ruppie maritime",15057,1003.80
Cape Jourimain,N-B,Interpretive Center,46.160933,-63.8128,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Lancon dAmérique, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crapaud de mer nain, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Laminaires, Espece Fucus, Ruppie maritime",19926,1328.40
Cape Jourimain,N-B,Murray Beach,46.18005,-63.985433,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Gaspereau, Lancon dAmérique, Maquereau bleu, Capucette dAtlantique, Épinoche tachetée, Alose dété, Tanche-tautogue, Plies sp., Crevette dherbe, Crabe vert, Crapaud de mer nain, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Laminaires, Espece Fucus, Ruppie maritime",7356,525.43
Cape Jourimain,N-B,Spencer's Point,46.15749,-63.90953,"2005(5), 2006(5), 2007(5), 2008(5), 2009(4), 2010(4), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(1), 2017(3), 2018(1), 2019(1)","Lancon dAmérique, Capucette dAtlantique, Fondule barrée, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Laminaires, Espece Fucus",29043,1936.20
Caraquet,N-B,Fish Meal,47.807329,-64.857323,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Lancon dAmérique, Maquereau bleu, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Épinoche a cinq épines, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Plie lisse, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",58651,3665.69
Caraquet,N-B,Marina,47.802127,-64.874018,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Épinoche a cinq épines, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crapaud de mer nain, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",58320,3645.00
Caraquet,N-B,Pecherie St-Paul,47.808815,-64.849468,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Épinoche a quatre épines, Crevette dherbe, Crapaud de mer nain, Choquemort, Épinoche a neuf épines, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus",21175,1323.44
Caraquet,N-B,Rue Blanchard,47.817719,-64.99786,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Espèce inconnue, Plie rouge","Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus",64280,4017.50
Caraquet,N-B,Rue Dugas,47.777114,-65.029957,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",47051,2940.69
Caraquet,N-B,Rue Foley,47.794929,-64.942717,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Lancon dAmérique, Saumon dAtlantique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crapaud de mer nain, Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Zostere marine, Algue verte, Laminaires, Espece Fucus, Ruppie maritime",47767,2985.44
Cocagne,N-B,Breau Road,46.36724,-64.61738,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Lancon dAmérique, Capucette dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Espece Fucus, Ruppie maritime",38119,2382.44
Cocagne,N-B,Chemin Belle-Côte,46.33125,-64.58293,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Lancon dAmérique, Maquereau bleu, Capucette dAtlantique, Épinoche tachetée, Espèces Chub, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",38359,2397.44
Cocagne,N-B,Cocagne Marina,46.332469,-64.624657,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Fondule barrée, Épinoche tachetée, Truite mouchetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",67335,4208.44
Cocagne,N-B,Gauvin Beach,46.34102,-64.573724,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Crevette dherbe, Crabe vert, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Plie rouge, Raie tachetée","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Espece Fucus, Ruppie maritime",33975,2123.44
Cocagne,N-B,Lighthouse,46.335807,-64.615219,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crapaud de mer nain, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Espece Fucus, Ruppie maritime",37469,2341.81
Cocagne,N-B,Marina Beach Cape,46.35647,-64.573946,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Gaspereau, Anguille dAmérique, Lancon dAmérique, Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Tanche-tautogue, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Crapaud de mer nain, Crabe calico (demoiselle), Crabe de vase, Choquemort, Épinoche a neuf épines, Syngnate brun, Éperlan arc-en-ciel, Crabe de roche (commun), Sigouine de roche, Crevette de sable, Chaboisseau à épines courtes, Plie lisse, Bar rayé, Épinoche a trois épines, Merluche blanche, Turbot de sable, Plie rouge","Algue brune filamenteuse, Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Codium Fragile, Espece Fucus, Ruppie maritime",38389,2399.31
Desable River,N-B,Guthrie's,46.19638888888889,-63.422,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3)","Capucette dAtlantique, Poulamon dAtlantique, Épinoche tachetée, Plies sp., Épinoche a quatre épines, Gasterosteus sp., Crevette dherbe, Crabe vert, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Zostere marine, Algue verte, Laminaires, Espece Fucus",15287,2183.86
Desable River,N-B,MacQuarries,46.19352777777778,-63.4271388888889,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3)","Capucette dAtlantique, Épinoche tachetée, Plies sp., Crevette dherbe, Crabe vert, Choquemort, Épinoche a neuf épines, Éperlan arc-en-ciel, Crabe de roche (commun), Crevette de sable, Plie lisse, Épinoche a trois épines, Plie rouge","Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus",23480,3354.29
Desable River,N-B,Maggies,46.18830555555556,-63.4218888888889,"2008(5), 2009(5), 2010(4), 2011(3), 2012(3), 2013(3), 2014(3)","Capucette dAtlantique, Épinoche tachetée, Truite mouchetée, Plies sp., Épinoche a quatre épines, Crabe vert, Choquemort, Épinoche a neuf épines, Crevette de sable, Plie lisse, Épinoche a trois épines","Algue brune commune, Algue rouge commune, Zostere marine, Algue verte, Laminaires, Espece Fucus",33675,4810.71
