site,province,station,station_latitude,station_longitude,seasons_in_operation_and_samples_collected,list_of_species_caught,list_of_SAV,total_number_of_fish_caught,mean_annual_number_of_fish_caught
Cap-Pelé,NB,Comeau Point,46.172,-64.14977,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",14000,1272.73
Cap-Pelé,NB,Harbour Shore Rd.,46.17319,-64.16438,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Widgeon grass",33086,3007.82
Cap-Pelé,NB,Kouchibouguac River,46.21546,-64.36419,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","American Sand Lance, Atlantic Silverside, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Rock Gunnel, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae, Rockweed",26005,2364.09
Cap-Pelé,NB,Tedish River,46.22523,-64.29596,"2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Atlantic Silverside, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Eelgrass, Green algae",29458,2678.00
Cape Jourimain,NB,Annes Acres,46.15355,-63.846567,"2005(5), 2006(5), 2007(5), 2008(5), 2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(2), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Sand Lance, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed, Widgeon grass",16250,1083.33
Cape Jourimain,NB,Cape Tourmentine,46.13285,-63.784783,"2005(5), 2006(5), 2007(5), 2008(5), 2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Grass Shrimp, Green Crab, Lady Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Kelps, Rockweed",15989,1065.93
Cape Jourimain,NB,End of Wharf Rd,46.16837,-63.936214,"2005(5), 2006(5), 2007(5), 2008(5), 2009(4), 2010(5), 2011(3), 2012(3), 2013(3), 2014(1), 2015(3), 2016(2), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed, Widgeon grass",15057,1003.80
Cape Jourimain,NB,Interpretive Center,46.160933,-63.8128,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Sand Lance, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Rock Gunnel, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Kelps, Rockweed, Widgeon grass",19926,1328.40
Cape Jourimain,NB,Murray Beach,46.18005,-63.985433,"2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1)","Alewife (Gaspereau), American Sand Lance, Atlantic Mackerel, Atlantic Silverside, Blackspotted Stickleback, Blueback Herring, Cunner, Flounder sp., Grass Shrimp, Green Crab, Grubby, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Kelps, Rockweed, Widgeon grass",7356,525.43
Cape Jourimain,NB,Spencer's Point,46.15749,-63.90953,"2005(5), 2006(5), 2007(5), 2008(5), 2009(4), 2010(4), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(1), 2017(3), 2018(1), 2019(1)","American Sand Lance, Atlantic Silverside, Banded Killifish, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Kelps, Rockweed",29043,1936.20
Caraquet,NB,Fish Meal,47.807329,-64.857323,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Sand Lance, Atlantic Mackerel, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Brook stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rock Crab, Rock Gunnel, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",58651,3665.69
Caraquet,NB,Marina,47.802127,-64.874018,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Brook stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Grubby, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed",58320,3645.00
Caraquet,NB,Pecherie St-Paul,47.808815,-64.849468,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Fourspine Stickleback, Grass Shrimp, Grubby, Mummichog, Ninespine Stickleback, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Rockweed",21175,1323.44
Caraquet,NB,Rue Blanchard,47.817719,-64.99786,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Unknown species, Winter Flounder","Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed",64280,4017.50
Caraquet,NB,Rue Dugas,47.777114,-65.029957,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Rockweed, Widgeon grass",47051,2940.69
Caraquet,NB,Rue Foley,47.794929,-64.942717,"2004(3), 2005(5), 2006(5), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","American Sand Lance, Atlantic Salmon, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Grubby, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Eelgrass, Green algae, Kelps, Rockweed, Widgeon grass",47767,2985.44
Cocagne,NB,Breau Road,46.36724,-64.61738,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed, Widgeon grass",38119,2382.44
Cocagne,NB,Chemin Belle-Côte,46.33125,-64.58293,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Mackerel, Atlantic Silverside, Blackspotted Stickleback, Chub Species, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",38359,2397.44
Cocagne,NB,Cocagne Marina,46.332469,-64.624657,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Banded Killifish, Blackspotted Stickleback, Brook Trout, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",67335,4208.44
Cocagne,NB,Gauvin Beach,46.34102,-64.573724,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Grass Shrimp, Green Crab, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Winter Flounder, Winter Skate ","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Rockweed, Widgeon grass",33975,2123.44
Cocagne,NB,Lighthouse,46.335807,-64.615219,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed, Widgeon grass",37469,2341.81
Cocagne,NB,Marina Beach Cape,46.35647,-64.573946,"2004(5), 2005(5), 2006(4), 2007(5), 2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3), 2015(3), 2016(3), 2017(3), 2018(1), 2019(1)","Alewife (Gaspereau), American Eel, American Sand Lance, Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Cunner, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Grubby, Lady Crab, Mud Crab, Mummichog, Ninespine Stickleback, Northern Pipefish, Rainbow Smelt, Rock Crab, Rock Gunnel, Sand Shrimp, Shorthorn Sculpin, Smooth Flounder, Striped Bass, Threespine Stickleback, White Hake, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common brown algae, Common red algae, Eelgrass, Green algae, Green Fleece, Rockweed, Widgeon grass",38389,2399.31
Desable River,NB,Guthrie's,46.19638888888889,-63.422,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3)","Atlantic Silverside, Atlantic Tomcod, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Eelgrass, Green algae, Kelps, Rockweed",15287,2183.86
Desable River,NB,MacQuarries,46.19352777777778,-63.4271388888889,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3)","Atlantic Silverside, Blackspotted Stickleback, Flounder sp., Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed",23480,3354.29
Desable River,NB,Maggies,46.18830555555556,-63.4218888888889,"2008(5), 2009(5), 2010(4), 2011(3), 2012(3), 2013(3), 2014(3)","Atlantic Silverside, Blackspotted Stickleback, Brook Trout, Flounder sp., Fourspine Stickleback, Green Crab, Mummichog, Ninespine Stickleback, Sand Shrimp, Smooth Flounder, Threespine Stickleback","Common brown algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed",33675,4810.71
Desable River,NB,Redcliff,46.189055555555555,-63.4369444444444,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3)","Alosa sp. (Alewife or blueback herring), Atlantic Silverside, Blackspotted Stickleback, Flounder sp., Fourspine Stickleback, Gasterosteus sp., Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Windowpane Flounder , Winter Flounder","Brown fuzzy algae, Common red algae, Eelgrass, Green algae, Kelps, Rockweed",6166,880.86
Desable River,NB,Shirley's View,46.188,-63.4228888888889,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3)","Atlantic Silverside, Blackspotted Stickleback, Flounder sp., Green Crab, Mummichog, Ninespine Stickleback, Sand Shrimp, Smooth Flounder, Threespine Stickleback","Common red algae, Eelgrass, Green algae, Kelps, Rockweed",6601,943.00
Desable River,NB,Visser's,46.192083333333336,-63.4204444444444,"2008(5), 2009(5), 2010(5), 2011(3), 2012(3), 2013(3), 2014(3)","Atlantic Salmon, Atlantic Silverside, Blackspotted Stickleback, Flounder sp., Grass Shrimp, Green Crab, Mummichog, Ninespine Stickleback, Rainbow Smelt, Rock Crab, Sand Shrimp, Smooth Flounder, Threespine Stickleback, Winter Flounder","Common red algae, Eelgrass, Green algae, Kelps, Rockweed",8820,1260.00
