Sample.ID,River,Year,Month,Day,Angler.ID,Rod.days,Pools.visited,Is.dummy.date,Specimen.ID,Species,Life.stage,Code,Adipose.condition,Tag.number
54952,Margaree River (SFA18),2024,10,1,ac3iL,0,Forks,No,2748567,Atlantic salmon,salmon,RL,,
54870,Margaree River (SFA18),2024,6,19,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54904,Margaree River (SFA18),2024,7,11,ac3iL,0,Forks,No,2748314,Atlantic salmon,salmon,R,Present,
33813,Margaree River (SFA18),2023,6,19,ac3iL,1,Long Marsh,No,2741458,Atlantic salmon,salmon,RL,,
42235,Margaree River (SFA18),2023,10,7,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42221,Margaree River (SFA18),2023,10,2,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
33703,Margaree River (SFA18),2023,7,4,ac3iL,1,,No,2741466,Atlantic salmon,salmon,RL,,
33720,Margaree River (SFA18),2023,7,2,ac3iL,1,Garden,No,2739690,Atlantic salmon,salmon,R,Present,
35081,Margaree River (SFA18),2023,6,27,ac3iL,1,Dollar/Long Marsh,No,2741463,Atlantic salmon,salmon,RL,,
34595,Margaree River (SFA18),2023,7,22,ac3iL,0,Brook/Garden,No,2741471,Atlantic salmon,salmon,RL,,
33720,Margaree River (SFA18),2023,7,2,ac3iL,0,Garden,No,2741465,Atlantic salmon,salmon,RL,,
42300,Margaree River (SFA18),2023,10,29,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42351,Margaree River (SFA18),2023,10,19,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
35370,Margaree River (SFA18),2023,10,4,ac3iL,0,Snag/Seal,No,2739733,Atlantic salmon,salmon,R,Present,
42442,Margaree River (SFA18),2023,5,20,ac3iL,1,Forks,No,2741483,Atlantic salmon,salmon,RL,,
42022,Margaree River (SFA18),2023,7,17,ac3iL,1,Garden,No,2739698,Atlantic salmon,salmon,R,Present,
42154,Margaree River (SFA18),2023,6,21,ac3iL,1,Long Marsh,No,2739684,Atlantic salmon,salmon,R,Present,
54977,Margaree River (SFA18),2024,10,27,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42451,Margaree River (SFA18),2023,9,18,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42446,Margaree River (SFA18),2023,9,14,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54862,Margaree River (SFA18),2024,6,10,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42048,Margaree River (SFA18),2023,7,15,ac3iL,1,Garden,No,2739697,Atlantic salmon,salmon,R,Present,
54939,Margaree River (SFA18),2024,9,19,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
33892,Margaree River (SFA18),2023,3,20,ac3iL,1,Garden/Forks,No,2739724,Atlantic salmon,salmon,R,Present,
42029,Margaree River (SFA18),2023,7,10,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54910,Margaree River (SFA18),2024,7,18,ac3iL,1,Garden,No,2748321,Atlantic salmon,grilse,R,Present,
54872,Margaree River (SFA18),2024,6,22,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54913,Margaree River (SFA18),2024,7,21,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42391,Margaree River (SFA18),2023,9,19,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
41991,Margaree River (SFA18),2023,7,20,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42261,Margaree River (SFA18),2023,9,26,ac3iL,1,Garden,No,2740455,Atlantic salmon,salmon,R,Absent (hatchery),
34748,Margaree River (SFA18),2023,8,15,ac3iL,1,Brook/Garden,No,2739710,Atlantic salmon,salmon,R,Present,
41974,Margaree River (SFA18),2023,6,28,ac3iL,1,Long Marsh,No,NA,NA,NA,NA,NA,NA
42375,Margaree River (SFA18),2023,8,22,ac3iL,1,Dollar,No,2741480,Atlantic salmon,salmon,RL,,
42144,Margaree River (SFA18),2023,6,4,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42146,Margaree River (SFA18),2023,5,17,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42303,Margaree River (SFA18),2023,10,30,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54903,Margaree River (SFA18),2024,7,10,ac3iL,1,swimming hole,No,2748313,Atlantic salmon,salmon,R,Present,
41923,Margaree River (SFA18),2023,7,1,ac3iL,1,Brook/Garden,No,NA,NA,NA,NA,NA,NA
41939,Margaree River (SFA18),2023,7,6,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42267,Margaree River (SFA18),2023,9,30,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42440,Margaree River (SFA18),2023,6,20,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54937,Margaree River (SFA18),2024,9,17,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54898,Margaree River (SFA18),2024,7,5,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54936,Margaree River (SFA18),2024,9,16,ac3iL,1,Forks,No,2748469,Atlantic salmon,grilse,R,Present,
54936,Margaree River (SFA18),2024,9,16,ac3iL,0,Forks,No,2748471,Atlantic salmon,salmon,R,Present,
33703,Margaree River (SFA18),2023,7,4,ac3iL,0,,No,2739693,Atlantic salmon,salmon,R,Present,
54948,Margaree River (SFA18),2024,9,27,ac3iL,0,Forks,No,2748532,Atlantic salmon,salmon,RL,,
42170,Margaree River (SFA18),2023,5,4,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54944,Margaree River (SFA18),2024,9,23,ac3iL,1,Forks,No,2748527,Atlantic salmon,salmon,RL,,
33892,Margaree River (SFA18),2023,3,20,ac3iL,0,Garden/Forks,No,2739723,Atlantic salmon,salmon,R,Present,
42242,Margaree River (SFA18),2023,10,1,ac3iL,1,Garden,No,2741490,Atlantic salmon,salmon,RL,,
54917,Margaree River (SFA18),2024,7,26,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54901,Margaree River (SFA18),2024,7,8,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42018,Margaree River (SFA18),2023,7,24,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42421,Margaree River (SFA18),2023,8,7,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54909,Margaree River (SFA18),2024,7,17,ac3iL,0,Garden,No,2748320,Atlantic salmon,grilse,R,Present,
54866,Margaree River (SFA18),2024,6,16,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
34748,Margaree River (SFA18),2023,8,15,ac3iL,0,Brook/Garden,No,2739709,Atlantic salmon,salmon,R,Present,
37023,Margaree River (SFA18),2023,6,23,ac3iL,1,Long Marsh,No,2739688,Atlantic salmon,salmon,R,Present,
34574,Margaree River (SFA18),2023,6,14,ac3iL,0,Long Marsh,No,2739676,Atlantic salmon,salmon,R,Present,
42145,Margaree River (SFA18),2023,5,23,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42461,Margaree River (SFA18),2023,9,16,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54860,Margaree River (SFA18),2024,6,8,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
33892,Margaree River (SFA18),2023,3,20,ac3iL,0,Garden/Forks,No,2741482,Atlantic salmon,salmon,RL,,
54944,Margaree River (SFA18),2024,9,23,ac3iL,0,Forks,No,2748528,Atlantic salmon,salmon,RL,,
54941,Margaree River (SFA18),2024,9,21,ac3iL,1,Powerline,No,2748525,Atlantic salmon,salmon,R,Present,
37067,Margaree River (SFA18),2023,6,22,ac3iL,0,Long Marsh,No,2739685,Atlantic salmon,salmon,R,Present,
54873,Margaree River (SFA18),2024,6,24,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54926,Margaree River (SFA18),2024,8,20,ac3iL,1,Chance,No,2748334,Atlantic salmon,salmon,RL,,
34577,Margaree River (SFA18),2023,8,16,ac3iL,1,Brook/Dollar,No,2741479,Atlantic salmon,salmon,RL,,
42480,Margaree River (SFA18),2023,8,23,ac3iL,1,Dollar,No,2739718,Atlantic salmon,salmon,R,Present,
33703,Margaree River (SFA18),2023,7,4,ac3iL,0,,No,2741467,Atlantic salmon,salmon,RL,,
54949,Margaree River (SFA18),2024,9,28,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
33720,Margaree River (SFA18),2023,7,2,ac3iL,0,Garden,No,2742050,Atlantic salmon,grilse,R,Present,
54979,Margaree River (SFA18),2024,10,29,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42369,Margaree River (SFA18),2023,8,11,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42142,Margaree River (SFA18),2023,6,8,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
35034,Margaree River (SFA18),2023,6,26,ac3iL,1,Tidal,No,2741462,Atlantic salmon,salmon,RL,,
42143,Margaree River (SFA18),2023,6,7,ac3iL,1,Long Marsh,No,2741457,Atlantic salmon,salmon,RL,,
54973,Margaree River (SFA18),2024,10,22,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42166,Margaree River (SFA18),2023,6,18,ac3iL,1,Long Marsh,No,2740452,Atlantic salmon,salmon,R,Absent (hatchery),
35381,Margaree River (SFA18),2023,10,5,ac3iL,1,Etheridge/Dollar,No,2739735,Atlantic salmon,salmon,R,Present,
41916,Margaree River (SFA18),2023,7,3,ac3iL,1,Ross/Brook/Doyle's,No,2739692,Atlantic salmon,salmon,R,Present,
54934,Margaree River (SFA18),2024,9,14,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54938,Margaree River (SFA18),2024,9,18,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54976,Margaree River (SFA18),2024,10,25,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54975,Margaree River (SFA18),2024,10,24,ac3iL,1,Garden,No,2748719,Atlantic salmon,salmon,RL,,
33703,Margaree River (SFA18),2023,7,4,ac3iL,0,,No,2739694,Atlantic salmon,salmon,R,Present,
54945,Margaree River (SFA18),2024,9,24,ac3iL,1,Forks,No,2748529,Atlantic salmon,salmon,R,Present,
54899,Margaree River (SFA18),2024,7,6,ac3iL,1,Forks,No,2748312,Atlantic salmon,grilse,R,Present,
41928,Margaree River (SFA18),2023,7,5,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54904,Margaree River (SFA18),2024,7,11,ac3iL,0,Forks,No,2748315,Atlantic salmon,salmon,R,Present,
42448,Margaree River (SFA18),2023,9,17,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
34620,Margaree River (SFA18),2023,8,5,ac3iL,1,Brook,No,2739704,Atlantic salmon,salmon,R,Present,
54978,Margaree River (SFA18),2024,10,28,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
34620,Margaree River (SFA18),2023,8,5,ac3iL,0,Brook,No,2739703,Atlantic salmon,salmon,R,Present,
35081,Margaree River (SFA18),2023,6,27,ac3iL,0,Dollar/Long Marsh,No,2739689,Atlantic salmon,salmon,R,Present,
35867,Margaree River (SFA18),2023,8,19,ac3iL,0,Dollar,No,2739715,Atlantic salmon,salmon,R,Present,
42216,Margaree River (SFA18),2023,10,3,ac3iL,1,Garden,No,2739732,Atlantic salmon,salmon,R,Present,
42404,Margaree River (SFA18),2023,7,31,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54945,Margaree River (SFA18),2024,9,24,ac3iL,0,Forks,No,2748530,Atlantic salmon,salmon,RL,,
54940,Margaree River (SFA18),2024,9,20,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
33892,Margaree River (SFA18),2023,3,20,ac3iL,0,Garden/Forks,No,2741481,Atlantic salmon,salmon,RL,,
54899,Margaree River (SFA18),2024,7,6,ac3iL,0,Forks,No,2748310,Atlantic salmon,salmon,R,Present,
54943,Margaree River (SFA18),2024,9,22,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
34900,Margaree River (SFA18),2023,8,12,ac3iL,1,Garden,No,2741478,Atlantic salmon,salmon,RL,,
42190,Margaree River (SFA18),2023,5,3,ac3iL,1,long marsh,No,2740378,Atlantic salmon,salmon,R,Present,
34559,Margaree River (SFA18),2023,7,25,ac3iL,1,Etheridge/Garden,No,2741475,Atlantic salmon,salmon,RL,,
35317,Margaree River (SFA18),2023,7,11,ac3iL,0,Brook/Garden,No,2739696,Atlantic salmon,salmon,R,Present,
54871,Margaree River (SFA18),2024,6,21,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42396,Margaree River (SFA18),2023,8,4,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42438,Margaree River (SFA18),2023,7,20,ac3iL,1,Dollar,No,2739728,Atlantic salmon,salmon,R,Present,
42481,Margaree River (SFA18),2023,8,26,ac3iL,1,Dollar,No,2739720,Atlantic salmon,salmon,R,Present,
37023,Margaree River (SFA18),2023,6,23,ac3iL,0,Long Marsh,No,2739687,Atlantic salmon,salmon,R,Present,
34574,Margaree River (SFA18),2023,6,14,ac3iL,0,Long Marsh,No,2739677,Atlantic salmon,salmon,R,Present,
54981,Margaree River (SFA18),2024,10,31,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54974,Margaree River (SFA18),2024,10,23,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54897,Margaree River (SFA18),2024,7,4,ac3iL,1,Forks,No,2748309,Atlantic salmon,salmon,RL,,
34467,Margaree River (SFA18),2023,4,20,ac3iL,1,Forks/Garden/Brook,No,2739726,Atlantic salmon,salmon,R,Present,
42238,Margaree River (SFA18),2023,10,6,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
36050,Margaree River (SFA18),2023,9,15,ac3iL,1,Forks/Dollar,No,2741485,Atlantic salmon,salmon,RL,,
42403,Margaree River (SFA18),2023,8,1,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54933,Margaree River (SFA18),2024,9,13,ac3iL,1,Forks,No,2748462,Atlantic salmon,salmon,R,Present,
42277,Margaree River (SFA18),2023,9,27,ac3iL,1,Brook,No,2741488,Atlantic salmon,salmon,RL,,
41987,Margaree River (SFA18),2023,7,21,ac3iL,1,Brook,No,2741470,Atlantic salmon,salmon,RL,,
42280,Margaree River (SFA18),2023,7,30,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
34577,Margaree River (SFA18),2023,8,16,ac3iL,0,Brook/Dollar,No,2739711,Atlantic salmon,salmon,R,Present,
33720,Margaree River (SFA18),2023,7,2,ac3iL,0,Garden,No,2739691,Atlantic salmon,salmon,R,Present,
42053,Margaree River (SFA18),2023,7,14,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
34568,Margaree River (SFA18),2023,8,17,ac3iL,1,Brook/Dollar,No,2740454,Atlantic salmon,salmon,R,Absent (hatchery),
42413,Margaree River (SFA18),2023,8,9,ac3iL,1,Garden,No,2741477,Atlantic salmon,salmon,RL,,
54980,Margaree River (SFA18),2024,10,30,ac3iL,1,Garden,No,2748720,Atlantic salmon,salmon,R,Present,
37265,Margaree River (SFA18),2023,5,7,ac3iL,1,Long marsh/Doyles,No,2740379,Atlantic salmon,salmon,R,Present,
34900,Margaree River (SFA18),2023,8,12,ac3iL,0,Garden,No,2739706,Atlantic salmon,salmon,R,Present,
54956,Margaree River (SFA18),2024,10,5,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54861,Margaree River (SFA18),2024,6,9,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54952,Margaree River (SFA18),2024,10,1,ac3iL,0,Forks,No,2748566,Atlantic salmon,salmon,R,Present,
42232,Margaree River (SFA18),2023,10,8,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54867,Margaree River (SFA18),2024,6,17,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54936,Margaree River (SFA18),2024,9,16,ac3iL,0,Forks,No,2748470,Atlantic salmon,grilse,R,Absent (hatchery),
33813,Margaree River (SFA18),2023,6,19,ac3iL,0,Long Marsh,No,2739681,Atlantic salmon,salmon,R,Present,
42484,Margaree River (SFA18),2023,8,30,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42005,Margaree River (SFA18),2023,7,29,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
35034,Margaree River (SFA18),2023,6,26,ac3iL,0,Tidal,No,2741461,Atlantic salmon,salmon,RL,,
34467,Margaree River (SFA18),2023,4,20,ac3iL,0,Forks/Garden/Brook,No,2739725,Atlantic salmon,salmon,R,Present,
54882,Margaree River (SFA18),2024,7,2,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54970,Margaree River (SFA18),2024,10,19,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
36050,Margaree River (SFA18),2023,9,15,ac3iL,0,Forks/Dollar,No,2739731,Atlantic salmon,salmon,R,Present,
54918,Margaree River (SFA18),2024,7,29,ac3iL,1,Garden,No,2748324,Atlantic salmon,salmon,R,Present,
42475,Margaree River (SFA18),2023,8,24,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42274,Margaree River (SFA18),2023,9,28,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42437,Margaree River (SFA18),2023,8,20,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
34577,Margaree River (SFA18),2023,8,16,ac3iL,0,Brook/Dollar,No,2740453,Atlantic salmon,salmon,R,Absent (hatchery),
42033,Margaree River (SFA18),2023,7,9,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42284,Margaree River (SFA18),2023,10,27,ac3iL,1,Garden,No,2739737,Atlantic salmon,salmon,R,Present,
33813,Margaree River (SFA18),2023,6,19,ac3iL,0,Long Marsh,No,2739682,Atlantic salmon,salmon,R,Present,
34568,Margaree River (SFA18),2023,8,17,ac3iL,0,Brook/Dollar,No,2739713,Atlantic salmon,salmon,R,Present,
34568,Margaree River (SFA18),2023,8,17,ac3iL,0,Brook/Dollar,No,2739712,Atlantic salmon,salmon,R,Present,
34467,Margaree River (SFA18),2023,4,20,ac3iL,0,Forks/Garden/Brook,No,2739727,Atlantic salmon,salmon,R,Present,
54900,Margaree River (SFA18),2024,7,7,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54958,Margaree River (SFA18),2024,10,7,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42167,Margaree River (SFA18),2023,5,10,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54933,Margaree River (SFA18),2024,9,13,ac3iL,0,Forks,No,2748463,Atlantic salmon,salmon,R,Present,
42346,Margaree River (SFA18),2023,10,20,ac3iL,1,Brook,No,2741491,Atlantic salmon,salmon,RL,,
41955,Margaree River (SFA18),2023,6,24,ac3iL,1,Long Marsh,No,2741459,Atlantic salmon,salmon,RL,,
41911,Margaree River (SFA18),2023,6,30,ac3iL,1,,No,2741464,Atlantic salmon,salmon,RL,,
54919,Margaree River (SFA18),2024,8,7,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42191,Margaree River (SFA18),2023,5,2,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54924,Margaree River (SFA18),2024,8,14,ac3iL,1,Garden,No,2748327,Atlantic salmon,grilse,R,Present,
42008,Margaree River (SFA18),2023,7,27,ac3iL,1,Brook,No,2739700,Atlantic salmon,salmon,R,Present,
37265,Margaree River (SFA18),2023,5,7,ac3iL,0,Long marsh/Doyles,No,2740380,Atlantic salmon,salmon,R,Present,
54899,Margaree River (SFA18),2024,7,6,ac3iL,0,Forks,No,2748311,Atlantic salmon,salmon,R,Absent (hatchery),
54875,Margaree River (SFA18),2024,6,29,ac3iL,1,Garden,No,2746962,Atlantic salmon,salmon,R,Present,
54971,Margaree River (SFA18),2024,10,20,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54955,Margaree River (SFA18),2024,10,4,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54957,Margaree River (SFA18),2024,10,6,ac3iL,1,Dollar,No,2748685,Atlantic salmon,salmon,R,Present,
54954,Margaree River (SFA18),2024,10,3,ac3iL,1,Forks,No,2748598,Atlantic salmon,salmon,R,Present,
54964,Margaree River (SFA18),2024,10,12,ac3iL,1,Forks,No,2748710,Atlantic salmon,salmon,R,Present,
42432,Margaree River (SFA18),2023,12,20,ac3iL,1,Forks,No,2739730,Atlantic salmon,salmon,R,Present,
54928,Margaree River (SFA18),2024,10,20,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
54868,Margaree River (SFA18),2024,6,18,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
42227,Margaree River (SFA18),2023,10,12,ac3iL,1,,No,NA,NA,NA,NA,NA,NA
33813,Margaree River (SFA18),2023,6,19,ac3iL,0,Long Marsh,No,2742048,Atlantic salmon,grilse,R,Present,
42247,Margaree River (SFA18),2023,9,25,ac3iL,1,Etheridge,No,2741487,Atlantic salmon,salmon,RL,,
