project_code__code_du_projet,sample_number__numéro_d'échantillon,waterbody_name__nom_masse_d'eau,collection_date__date_de_collecte,net/trap_type__type_filet/piège,scientific_name__nom_scientifique,common_name__nom_commun,abbreviated_name__nom_abrégé,dissection_date__date_dissection,fork_length__longueur_fourche,total_length__longueur_totale,total_mass__masse_totale,dna_tube_size__taille_tube_adn,notes__notes
MLR21,37,Miramichi,2021/06/24,Fyke,Semotilus corporalis,Fall Fish,F.F.,2021/10/28,18.5,20.6,86.1,2,
MLR21,38,Miramichi,2021/06/24,Fyke,Semotilus corporalis,Fall Fish,F.F.,2021/10/28,12.3,13.4,24,2,No Liver
MLR21,39,Miramichi,2021/06/24,Fyke,Semotilus corporalis,Fall Fish,F.F.,2021/10/28,13,14.4,25.8,2,Small Gut Sample
MLR21,40,Miramichi,2021/06/24,Fyke,Semotilus corporalis,Fall Fish,F.F.,2021/10/28,11.5,12.6,20.2,2,Small Liver
MLR21,41,Miramichi,2021/06/24,Gill net,Castostomus commersonii,White Sucker,W.S.,2021/10/28,36.5,38.8,563,50,
MLR21,42,Miramichi,2021/06/24,Gill net,Castostomus commersonii,White Sucker,W.S.,2021/10/28,33.2,35.7,495.9,50,Small Liver
MLR21,43,McKiel,2021/06/25,N/A,Morone americana,White Perch,W.P.,2021/10/29,17,18.5,72,2,
MLR21,44,McKiel,2021/06/25,N/A,Morone americana,White Perch,W.P.,2021/10/29,18,19.2,93.4,2,
MLR21,45,McKiel,2021/06/25,N/A,Morone americana,White Perch,W.P.,2021/10/29,17,18.2,78.6,5,
MLR21,46,McKiel,2021/06/25,N/A,Morone americana,White Perch,W.P.,2021/10/29,30.6,32.7,381.3,15,
MLR21,47,McKiel,2021/06/25,N/A,Morone americana,White Perch,W.P.,2021/11/09,20.5,21.7,134.3,50,
MLR21,48,McKiel,2021/06/25,N/A,Morone americana,White Perch,W.P.,2021/11/09,21.4,22.9,170.3,50,
MLR21,49,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/09,26,26.6,208.6,50,
MLR21,50,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/09,18,18.7,93.6,50,
MLR21,51,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/09,15.5,16.5,59.6,2,
MLR21,52,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/15,11.2,11.7,18.6,2,"**Started taking pelvic and caudal fins for Isotope studies and more dorsal muscle tissue. Prior was mixed fins, mainly, pelvic and anal, some dorsal. As well, incorporated ethylOH sterilization"
MLR21,53,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/15,10.7,11.1,16,2,
MLR21,54,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/15,11,11.5,16.2,2,Low Gut Content
MLR21,55,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/15,9.6,10.1,11.7,2,Low Gut Content
MLR21,56,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/15,9,9.4,9.6,2,
MLR21,57,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/15,9.9,10.4,11.6,2,
MLR21,58,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/15,10.6,11.1,16.9,2,
MLR21,59,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/15,11.4,11.9,19.6,2,
MLR21,60,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/15,9.3,9.4,9.9,2,
MLR21,61,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/15,12.4,12.9,23.2,5,
MLR21,62,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/18,10.6,11.3,17.8,2,"No Gut Sample, just bile"
MLR21,63,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/18,8.6,8.9,8.3,2,
MLR21,64,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/18,10.4,10.8,14.3,2,
MLR21,65,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/18,11,11.6,21.8,2,No Picture for Sample
MLR21,66,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/18,8.6,9.2,9.8,2,No Gut Sample
MLR21,67,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/18,8.4,9,8.4,2,
MLR21,68,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/18,9.8,10.4,14.9,2,
MLR21,69,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/18,10.5,10.9,15.5,2,
MLR21,70,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/18,10.4,10.9,14.7,2,
MLR21,71,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/18,9.3,9.7,11,2,
MLR21,72,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/19,11,11.7,19.1,2,
MLR21,73,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/19,10.4,10.9,15.9,2,
MLR21,74,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/19,9.5,10,10.9,2,
MLR21,75,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/19,8.4,8.9,8.3,2,No Liver
MLR21,76,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/19,9.2,9.6,11.2,2,
MLR21,77,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/19,10.4,11.1,15.3,2,
MLR21,78,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/19,8.9,9.3,9.7,2,
MLR21,79,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/19,10.6,11.1,17.2,2,
MLR21,80,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/19,9.7,10.6,12.4,2,No Liver
MLR21,81,McKiel,2021/06/25,N/A,Perca flavescens,Yellow Perch,Y.P.,2021/11/19,9.1,9.5,9.1,2,No Liver
MLR21,82,McKiel,2021/06/25,N/A,Castostomus commersonii,White Sucker,W.S.,2021/11/23,22,24.9,169,50,Otolith Head Sample Saved
MLR21,83,McKiel,2021/06/25,N/A,Castostomus commersonii,White Sucker,W.S.,2021/11/23,24.5,24.9,207.5,15,
MLR21,84,McKiel,2021/06/25,N/A,Castostomus commersonii,White Sucker,W.S.,2021/11/23,25.4,26.8,211,2,
MLR21,85,McKiel,2021/06/25,N/A,Castostomus commersonii,White Sucker,W.S.,2021/11/23,16.5,17.3,54.1,2,Otolith Head Sample Saved
MLR21,86,McKiel,2021/06/25,N/A,Castostomus commersonii,White Sucker,W.S.,2021/11/23,26,27.3,216.8,2,Otolith Head Sample Saved
MLR21,87,McKiel,2021/06/25,N/A,Castostomus commersonii,White Sucker,W.S.,2021/11/23,26,27.6,216.6,2,Otolith Head Sample Saved
MLR21,88,McKiel,2021/06/25,N/A,Castostomus commersonii,White Sucker,W.S.,2021/11/23,26.1,27.7,236.3,2,Otolith Head Sample Saved
MLR21,89,McKiel,2021/06/25,N/A,Castostomus commersonii,White Sucker,W.S.,2021/11/23,24.5,25.6,227.3,15,Otolith Head Sample Saved
MLR21,90,McKiel,2021/06/25,N/A,Castostomus commersonii,White Sucker,W.S.,2021/11/23,20.1,21.6,103,2,Poor Liver
MLR21,91,McKiel,2021/06/25,Gill net,Perca flavescens,Yellow Perch,Y.P.,2021/11/24,16.1,16.9,46.6,2,
MLR21,92,McKiel,2021/06/25,Gill net,Perca flavescens,Yellow Perch,Y.P.,2021/11/24,10.2,10.6,12,2,
MLR21,93,McKiel,2021/06/25,Gill net,Semotilus corporalis,Fall Fish,F.F.,2021/11/24,11.8,12.7,24.7,2,Poor Liver
MLR21,94,McKiel,2021/06/25,Gill net,Morone americana,White Perch,W.P.,2021/11/24,20.5,22.2,134.4,15,"Used 096 isotope sample pockets, crossed out and relabelled"
MLR21,95,McKiel,2021/06/25,Gill net,Luxilus cornutus,Common Shiner,C.S.,2021/11/24,12.4,13.4,34,2,Poor Liver
MLR21,96,McKiel,2021/06/25,Gill net,Luxilus cornutus,Common Shiner,C.S.,2021/11/24,12.2,12.6,27.4,2,"Poor Liver, relabelled 094 isotoped sample pockets"
MLR21,97,McKiel,2021/06/25,Gill net,Luxilus cornutus,Common Shiner,C.S.,2021/11/24,11.6,12.6,25.3,2,Poor Liver
MLR21,98,McKiel,2021/06/25,Gill net,Semotilus corporalis,Fall Fish,F.F.,2021/11/24,15.5,15.9,42.7,2,Poor Liver
MLR21,99,McKiel,2021/06/25,Gill net,Perca flavescens,Yellow Perch,Y.P.,2021/11/24,12.3,12.7,22,2,
MLR21,100,McKiel,2021/06/25,Gill net,Perca flavescens,Yellow Perch,Y.P.,2021/11/24,10.3,11.2,15.4,2,
MLR21,101,McKiel,2021/06/25,Gill net,Castostomus commersonii,White Sucker,W.S.,2021/11/29,14.5,15.2,41.2,5,No Liver
MLR21,102,McKiel,2021/06/25,Gill net,Perca flavescens,Yellow Perch,Y.P.,2021/11/29,11.1,11.7,17.3,2,Poor Liver
MLR21,103,McKiel,2021/06/25,Gill net,Luxilus cornutus,Common Shiner,C.S.,2021/11/29,12.5,13.6,36.7,2,No Liver
MLR21,104,McKiel,2021/06/25,Gill net,Luxilus cornutus,Common Shiner,C.S.,2021/11/29,13,14.1,38.5,2,No Liver
MLR21,105,McKiel,2021/06/25,Gill net,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/11/29,12.8,14.1,30.7,2,No Liver
MLR21,106,McKiel,2021/06/25,Gill net,Luxilus cornutus,Common Shiner,C.S.,2021/11/29,12,13.2,31.9,2,
MLR21,107,McKiel,2021/06/25,Gill net,Semotilus corporalis,Fall Fish,F.F.,2021/11/29,11.4,12.4,27.9,2,
MLR21,108,McKiel,2021/06/25,Gill net,Perca flavescens,Yellow Perch,Y.P.,2021/11/29,13.3,13.7,28.5,2,
MLR21,109,McKiel,2021/06/25,Gill net,Perca flavescens,Yellow Perch,Y.P.,2021/11/29,12.1,12.7,19.4,2,
MLR21,110,McKiel,2021/06/25,Gill net,Perca flavescens,Yellow Perch,Y.P.,2021/11/29,10.6,11.2,16.5,2,
MLR21,111,McKiel,2021/06/25,Gill net,Perca flavescens,Yellow Perch,Y.P.,2021/11/29,9.5,10,11.3,2,
MLR21,112,Miramichi,2021/06/24,Gill net,Morone americana,White Perch,W.P.,2021/11/30,22,23.5,181.5,5,
MLR21,113,Miramichi,2021/06/24,Gill net,Morone americana,White Perch,W.P.,2021/11/30,23.2,24.5,216.7,5,
MLR21,114,Miramichi,2021/06/24,Gill net,Morone americana,White Perch,W.P.,2021/11/30,25.5,26.9,283.9,2,
MLR21,115,Miramichi,2021/06/24,Gill net,Morone americana,White Perch,W.P.,2021/11/30,23.9,25.4,241.7,5,
MLR21,116,Miramichi,2021/06/24,Gill net,Morone americana,White Perch,W.P.,2021/11/30,22.1,23.2,192,5,No Picture for Sample
MLR21,117,Miramichi,2021/06/24,Gill net,Castostomus commersonii,White Sucker,W.S.,2021/11/30,29.4,31.6,365,5,
MLR21,118,Miramichi,2021/06/24,Gill net,Castostomus commersonii,White Sucker,W.S.,2021/11/30,35.3,37.1,616.6,5,
MLR21,119,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/02,21,21.5,129,2,"No scale samples taken, bullheads do not have scales. "
MLR21,120,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/02,15,15.2,51.4,2,
MLR21,121,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/02,19,19.1,98.7,5,
MLR21,122,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/02,20.1,20.4,123.7,2,"Used 124 isotope sample pockets, remarked as 122. 2 Vials of gut content labelled as 124"
MLR21,123,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/02,19.4,20.7,11.9,2,
MLR21,124,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/02,18.7,19,101.3,2,"Used 122 isotope sample pockets, remarked as 124. 2 Vials of gut content labelled as 124"
MLR21,125,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/02,21,21.3,128.4,2,
MLR21,126,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/02,15.7,15.9,61.2,2,
MLR21,127,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/02,14.7,15.2,46.9,2,Poor Liver sample
MLR21,128,Nashwaak,2021/06/10,Z-trap & Small Fyke,Luxilus cornutus,Common Shiner,C.S.,2021/12/06,10.7,11.6,23.5,2,"No liver, ""Beach Site"" for F128-140"
MLR21,129,Nashwaak,2021/06/10,Z-trap & Small Fyke,Castostomus commersonii,White Sucker,W.S.,2021/12/06,18.7,20.2,83.5,15,
MLR21,130,Nashwaak,2021/06/10,Z-trap & Small Fyke,Semotilus corporalis,Fall Fish,F.F.,2021/12/06,13.3,14.4,33.9,2,
MLR21,131,Nashwaak,2021/06/10,Z-trap & Small Fyke,Perca flavescens,Yellow Perch,Y.P.,2021/12/06,16.3,17.3,56.1,2,
MLR21,132,Nashwaak,2021/06/10,Z-trap & Small Fyke,Salvelinus fontinalis,Brook Trout,B.T.,2021/12/06,14.5,15.1,37.7,2,
MLR21,133,Nashwaak,2021/06/10,Z-trap & Small Fyke,Luxilus cornutus,Common Shiner,C.S.,2021/12/06,11.1,12,21.7,2,No liver
MLR21,134,Nashwaak,2021/06/10,Z-trap & Small Fyke,Semotilus corporalis,Fall Fish,F.F.,2021/12/06,13,14.3,32,2,
MLR21,135,Nashwaak,2021/06/10,Z-trap & Small Fyke,Castostomus commersonii,White Sucker,W.S.,2021/12/06,25.3,27.2,182.4,50,
MLR21,136,Nashwaak,2021/06/10,Z-trap & Small Fyke,Castostomus commersonii,White Sucker,W.S.,2021/12/06,22.8,24.6,138.7,5,
MLR21,137,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/07,18,18.6,70.7,2,Poor Liver
MLR21,138,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/07,16,16.2,56.3,2,
MLR21,139,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/07,15.1,15.3,57.8,2,
MLR21,140,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/07,18.7,19.1,92.4,5,
MLR21,141,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/07,16.6,16.8,61.7,2,
MLR21,142,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/07,15.5,16,57.1,2,
MLR21,143,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/09,20.5,21,112.7,2,
MLR21,144,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/09,20.6,20.9,116.5,2,Gut sample mainly just bile
MLR21,145,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/09,19,19.1,91.4,5,
MLR21,146,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/09,17,17.2,63.9,2,
MLR21,147,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/09,22.4,23.2,153.8,5,
MLR21,148,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/09,16.5,17,62.9,2,
MLR21,149,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/09,14.7,14.9,44.3,2,Picture on camera is labelled as 150
MLR21,150,Nashwaak,2021/06/10,Fyke,Castostomus commersonii,White Sucker,W.S.,2021/12/10,25.8,28,234.1,5,
MLR21,151,Nashwaak,2021/06/10,Fyke,Castostomus commersonii,White Sucker,W.S.,2021/12/10,22.2,23.9,137.7,2,
MLR21,152,Nashwaak,2021/06/10,Fyke,Castostomus commersonii,White Sucker,W.S.,2021/12/10,14.3,15.3,39.3,2,
MLR21,153,Nashwaak,2021/06/10,Fyke,Perca flavescens,Yellow Perch,Y.P.,2021/12/10,11.3,12,21.1,2,
MLR21,154,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,18,18.3,85.6,2,
MLR21,155,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,19,19.5,112.8,15,
MLR21,156,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,18,18.5,105.8,2,Gut sample may be too much in 2 ml for proper buffering
MLR21,157,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,14.1,14.3,48.4,5,
MLR21,158,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,15.5,16.1,56.7,5,
MLR21,159,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,15.5,15.9,46,2,Gut sample mainly just bile
MLR21,160,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,14,14.3,37.4,2,
MLR21,161,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,14.8,15.6,41.7,2,
MLR21,162,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,15.5,16,50.1,5,
MLR21,163,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,20.5,21.3,121.7,5,
MLR21,164,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,16.7,17.2,66.8,2,
MLR21,165,Nashwaak,2021/06/10,Z-trap & Small Fyke,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/10,14.8,15.2,44.9,2,
MLR21,166,Miramichi,2021/06/09,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/17,17,17.2,60,2,Alicia's B.B. Kept bodies for otolith extraction
MLR21,167,Miramichi,2021/06/09,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/17,17.3,17.6,66.2,5,""""
MLR21,168,Miramichi,2021/06/09,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/17,18.1,18.4,72.4,2,""""
MLR21,169,Miramichi,2021/06/09,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/17,19.7,19.9,94.1,5,""""
MLR21,170,McKiel,2021/06/11,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/17,22.5,22.8,173.5,5,""""
MLR21,171,McKiel,2021/06/11,N/A,Ameiurus nebulosus,Brown Bullhead,B.B.,2021/12/17,18.4,18.7,96.7,2,""""
MLR21,172,Miramichi,2021/06/09,Fyke,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/12/20,12.3,13.3,28.8,2,
MLR21,173,Miramichi,2021/06/09,Fyke,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/12/20,14.6,16,44.3,2,
MLR21,174,Miramichi,2021/06/09,Fyke,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/12/20,11.3,12.3,19.8,2,
MLR21,175,Miramichi,2021/06/09,Fyke,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/12/20,15.9,17,51.8,5,
MLR21,176,Miramichi,2021/06/09,Fyke,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/12/20,14.9,16.5,45,2,
MLR21,177,Miramichi,2021/06/09,Fyke,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/12/20,10.8,11.7,19.5,2,
MLR21,178,Miramichi,2021/06/09,Fyke,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/12/20,13.6,15.1,36.4,2,
MLR21,179,Miramichi,2021/06/09,Fyke,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/12/20,12.8,14,31.1,2,
MLR21,180,Miramichi,2021/06/09,Fyke,Perca flavescens,Yellow Perch,Y.P.,2021/12/20,9.5,10,10.9,2,
MLR21,181,Miramichi,2021/06/09,Fyke,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/12/20,13.4,14.5,29,5,
MLR21,182,Miramichi,2021/06/09,Fyke,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/12/20,13.1,14.4,30.5,5,
MLR21,183,Miramichi,2021/06/09,Fyke,Notemigonus crysoleucas,Golden Shiner,G.S.,2021/12/20,11.5,12.5,20.5,5,
MLR21,184,Miramichi,2021/06/09,Fyke,Perca flavescens,Yellow Perch,Y.P.,2021/12/21,10.3,10.7,13,2,
MLR21,185,Miramichi,2021/06/09,Fyke,Perca flavescens,Yellow Perch,Y.P.,2021/12/21,10,10.6,12.4,2,Black Spots on perch body and in muscle for F185-193
