waterbody_name__nom_masse_d'eau,survey_start_date__date_début_enquête,survey_end_date__date_fin_enquête,net/trap_number__numéro du filet/piège,dd_lat__lat_dd,dd_long__long_dd,net/trap_type__type_filet/piège,date_set__date_placé,set_time__heure_placé,date_lift__date_sorti,lift_time__heure_sorti,scientific_name__nom_scientifique,common_name__nom_commun,abbreviated_name__nom_abrégé,fish_caught__nombre_de_poissons,catch_wet_weight__poids_humide_capturé,comments__commentaires
Miramichi,2022-06-20,2022-06-22,5,46.457408,-66.975429,Fyke,2022-06-20,16:00:00,2022-06-21,10:14:00,Perca flavescens,Yellow Perch,Y.P.,6,N/A,
Miramichi,2022-06-20,2022-06-22,5,46.457408,-66.975429,Fyke,2022-06-20,16:00:00,2022-06-21,10:14:00,Catostomus commersonii,White Sucker,W.S.,2,N/A,
Miramichi,2022-06-20,2022-06-22,5,46.457408,-66.975429,Fyke,2022-06-20,16:00:00,2022-06-21,10:14:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,1,N/A,
Miramichi,2022-06-20,2022-06-22,5,46.457408,-66.975429,Fyke,2022-06-20,16:00:00,2022-06-21,10:14:00,Anguilla rostrata ,American Eel,A.E.,1,N/A,
Miramichi,2022-06-20,2022-06-22,5,46.457408,-66.975429,Fyke,2022-06-20,16:00:00,2022-06-21,10:14:00,Lithobates catesbeianus,American Bullfrog,Tadpole,15,N/A,
Miramichi,2022-06-20,2022-06-22,6,46.46388,-66.96668,Fyke,2022-06-20,,2022-06-21,11:40:00,Catostomus commersonii,White Sucker,W.S.,2,N/A,(overnight)
Miramichi,2022-06-20,2022-06-22,6,46.46388,-66.96668,Fyke,2022-06-20,,2022-06-21,11:40:00,Semotilus corporalis,Fall Fish,F.F.,2,N/A,(overnight)
Miramichi,2022-06-20,2022-06-22,6,46.46388,-66.96668,Fyke,2022-06-20,,2022-06-21,11:40:00,Luxilus cornutus,Common Shiner,C.S.,2,N/A,(overnight)
Miramichi,2022-06-20,2022-06-22,6,46.46388,-66.96668,Fyke,2022-06-20,,2022-06-21,11:40:00,Notemigonus crysoleucas,Golden Shiner,G.S.,1,N/A,(overnight)
Miramichi,2022-06-20,2022-06-22,7,46.460809,-66.966001,Fyke,2022-06-20,,2022-06-21,11:55:00,Catostomus commersonii,White Sucker,W.S.,2,N/A,(overnight)
Miramichi,2022-06-20,2022-06-22,7,46.460809,-66.966001,Fyke,2022-06-20,,2022-06-21,11:55:00,Semotilus corporalis,Fall Fish,F.F.,19,N/A,(overnight)
Miramichi,2022-06-20,2022-06-22,7,46.460809,-66.966001,Fyke,2022-06-20,,2022-06-21,11:55:00,Perca flavescens,Yellow Perch,Y.P.,7,N/A,(overnight)
Miramichi,2022-06-20,2022-06-22,7,46.460809,-66.966001,Fyke,2022-06-20,,2022-06-21,11:55:00,Notemigonus crysoleucas,Golden Shiner,G.S.,1,N/A,(overnight)
Miramichi,2022-06-20,2022-06-22,7,46.460809,-66.966001,Fyke,2022-06-20,,2022-06-21,11:55:00,Anguilla rostrata ,American Eel,A.E.,3,N/A,(overnight)
Miramichi,2022-06-20,2022-06-22,8,46.452612,-66.966677,Z-Trap,2022-06-20,9:51:00,2022-06-21,11:08:00,Notemigonus crysoleucas,Golden Shiner,G.S.,47,N/A,Same location as Set 1
Miramichi,2022-06-20,2022-06-22,8,46.452612,-66.966677,Z-Trap,2022-06-20,9:51:00,2022-06-21,11:08:00,Perca flavescens,Yellow Perch,Y.P.,7,N/A,
Miramichi,2022-06-20,2022-06-22,8,46.452612,-66.966677,Z-Trap,2022-06-20,9:51:00,2022-06-21,11:08:00,Morone americana,White Perch,W.P.,1,N/A,
Miramichi,2022-06-20,2022-06-22,8,46.452612,-66.966677,Z-Trap,2022-06-20,9:51:00,2022-06-21,11:08:00,Luxilus cornutus,Common Shiner,C.S.,3,N/A,
Miramichi,2022-06-20,2022-06-22,9,46.460108,-66.970859,Z-Trap,2022-06-21,9:55:00,2022-06-21,14:34:00,Perca flavescens,Yellow Perch,Y.P.,9,N/A,Deep Pool set 
Miramichi,2022-06-20,2022-06-22,9,46.460108,-66.970859,Z-Trap,2022-06-21,9:55:00,2022-06-21,14:34:00,Morone americana,White Perch,W.P.,1,N/A,
Miramichi,2022-06-20,2022-06-22,10,46.454348,-66.970137,Z-Trap,2022-06-21,10:02:00,2022-06-21,14:00:00,Catostomus commersonii,White Sucker,W.S.,2,N/A,Same location as Set 3
Miramichi,2022-06-20,2022-06-22,10,46.454348,-66.970137,Z-Trap,2022-06-21,10:02:00,2022-06-21,14:00:00,Notemigonus crysoleucas,Golden Shiner,G.S.,1,N/A,
Miramichi,2022-06-20,2022-06-22,10,46.454348,-66.970137,Z-Trap,2022-06-21,10:02:00,2022-06-21,14:00:00,Morone americana,White Perch,W.P.,2,N/A,
Miramichi,2022-06-20,2022-06-22,10,46.454348,-66.970137,Z-Trap,2022-06-21,10:02:00,2022-06-21,14:00:00,Perca flavescens,Yellow Perch,Y.P.,23,N/A,
Miramichi,2022-06-20,2022-06-22,11,46.457408,-66.975429,Fyke,2022-06-21,10:14:00,2022-06-21,14:23:00,Semotilus corporalis,Fall Fish,F.F.,1,N/A,Same location as Set 5
Miramichi,2022-06-20,2022-06-22,11,46.457408,-66.975429,Fyke,2022-06-21,10:14:00,2022-06-21,14:23:00,Perca flavescens,Yellow Perch,Y.P.,5,N/A,
Miramichi,2022-06-20,2022-06-22,11,46.457408,-66.975429,Fyke,2022-06-21,10:14:00,2022-06-21,14:23:00,Morone americana,White Perch,W.P.,1,N/A,
Miramichi,2022-06-20,2022-06-22,12,46.464602,-66.971433,Fyke,2022-06-21,,2022-06-21,11:10:00,Notemigonus crysoleucas,Golden Shiner,G.S.,42,N/A,"No set time, possibly over night"
Miramichi,2022-06-20,2022-06-22,12,46.464602,-66.971433,Fyke,2022-06-21,,2022-06-21,11:10:00,Perca flavescens,Yellow Perch,Y.P.,13,N/A,
Miramichi,2022-06-20,2022-06-22,12,46.464602,-66.971433,Fyke,2022-06-21,,2022-06-21,11:10:00,Morone americana,White Perch,W.P.,52,N/A,
Miramichi,2022-06-20,2022-06-22,12,46.464602,-66.971433,Fyke,2022-06-21,,2022-06-21,11:10:00,Catostomus commersonii,White Sucker,W.S.,4,N/A,
Miramichi,2022-06-20,2022-06-22,12,46.464602,-66.971433,Fyke,2022-06-21,,2022-06-21,11:10:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,6,N/A,
Miramichi,2022-06-20,2022-06-22,12,46.464602,-66.971433,Fyke,2022-06-21,,2022-06-21,11:10:00,Anguilla rostrata ,American Eel,A.E.,1,N/A,
Miramichi,2022-06-20,2022-06-22,12,46.464602,-66.971433,Fyke,2022-06-21,,2022-06-21,11:10:00,Lithobates catesbeianus,American Bullfrog,Tadpole,N/A,15,Approximated wet weight while emptying fyke net of fish
Miramichi,2022-06-20,2022-06-22,13,46.464127,-66.972203,Z-Trap,2022-06-21,,2022-06-22,11:05:00,Perca flavescens,Yellow Perch,Y.P.,25,N/A,
Miramichi,2022-06-20,2022-06-22,13,46.464127,-66.972203,Z-Trap,2022-06-21,,2022-06-22,11:05:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,11,N/A,
Miramichi,2022-06-20,2022-06-22,13,46.464127,-66.972203,Z-Trap,2022-06-21,,2022-06-22,11:05:00,Semotilus corporalis,Fall Fish,F.F.,1,N/A,
Miramichi,2022-06-20,2022-06-22,13,46.464127,-66.972203,Z-Trap,2022-06-21,,2022-06-22,11:05:00,Notemigonus crysoleucas,Golden Shiner,G.S.,4,N/A,
Miramichi,2022-06-20,2022-06-22,14,46.464565,-66.976739,Fyke,2022-06-21,,2022-06-22,11:57:00,Notemigonus crysoleucas,Golden Shiner,G.S.,101,N/A,
Miramichi,2022-06-20,2022-06-22,14,46.464565,-66.976739,Fyke,2022-06-21,,2022-06-22,11:57:00,Morone americana,White Perch,W.P.,17,N/A,
Miramichi,2022-06-20,2022-06-22,14,46.464565,-66.976739,Fyke,2022-06-21,,2022-06-22,11:57:00,Perca flavescens,Yellow Perch,Y.P.,15,N/A,
Miramichi,2022-06-20,2022-06-22,14,46.464565,-66.976739,Fyke,2022-06-21,,2022-06-22,11:57:00,Catostomus commersonii,White Sucker,W.S.,5,N/A,
Miramichi,2022-06-20,2022-06-22,14,46.464565,-66.976739,Fyke,2022-06-21,,2022-06-22,11:57:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,25,N/A,
Miramichi,2022-06-20,2022-06-22,14,46.464565,-66.976739,Fyke,2022-06-21,,2022-06-22,11:57:00,Semotilus corporalis,Fall Fish,F.F.,2,N/A,
Miramichi,2022-06-20,2022-06-22,14,46.464565,-66.976739,Fyke,2022-06-21,,2022-06-22,11:57:00,Anguilla rostrata ,American Eel,A.E.,2,N/A,
Miramichi,2022-06-20,2022-06-22,15,46.46358,-66.976222,Z-Trap,2022-06-21,,2022-06-22,11:39:00,Notemigonus crysoleucas,Golden Shiner,G.S.,12,N/A,
Miramichi,2022-06-20,2022-06-22,15,46.46358,-66.976222,Z-Trap,2022-06-21,,2022-06-22,11:39:00,Catostomus commersonii,White Sucker,W.S.,1,N/A,
Miramichi,2022-06-20,2022-06-22,15,46.46358,-66.976222,Z-Trap,2022-06-21,,2022-06-22,11:39:00,Perca flavescens,Yellow Perch,Y.P.,20,N/A,
Miramichi,2022-06-20,2022-06-22,16,46.46388,-66.96668,Fyke,2022-06-21,10:00:00,2022-06-22,10:46:00,Catostomus commersonii,White Sucker,W.S.,6,N/A,Same location as Set 6
Miramichi,2022-06-20,2022-06-22,16,46.46388,-66.96668,Fyke,2022-06-21,10:00:00,2022-06-22,10:46:00,Luxilus cornutus,Common Shiner,C.S.,7,N/A,
Miramichi,2022-06-20,2022-06-22,16,46.46388,-66.96668,Fyke,2022-06-21,10:00:00,2022-06-22,10:46:00,Notemigonus crysoleucas,Golden Shiner,G.S.,14,N/A,
Miramichi,2022-06-20,2022-06-22,16,46.46388,-66.96668,Fyke,2022-06-21,10:00:00,2022-06-22,10:46:00,Morone americana,White Perch,W.P.,4,N/A,
Miramichi,2022-06-20,2022-06-22,16,46.46388,-66.96668,Fyke,2022-06-21,10:00:00,2022-06-22,10:46:00,Perca flavescens,Yellow Perch,Y.P.,1,N/A,
Miramichi,2022-06-20,2022-06-22,Richard's,46.463103,-66.965631,Richard's,2022-06-22,10:00:00,2022-06-22,10:02:00,Alosa pseudoharengus ,Alewife,ALE,25,N/A,"Fish caught with the help of Richards, approximately 25 taken"
McKiel,2022-06-22,2022-06-23,1,46.591007,-66.966777,Fyke,2022-06-22,17:03:00,2022-06-23,10:52:00,Catostomus commersonii,White Sucker,W.S.,5,N/A,
McKiel,2022-06-22,2022-06-23,1,46.591007,-66.966777,Fyke,2022-06-22,17:03:00,2022-06-23,10:52:00,Semotilus corporalis,Fall Fish,F.F.,7,N/A,
McKiel,2022-06-22,2022-06-23,1,46.591007,-66.966777,Fyke,2022-06-22,17:03:00,2022-06-23,10:52:00,Perca flavescens,Yellow Perch,Y.P.,17,N/A,
McKiel,2022-06-22,2022-06-23,1,46.591007,-66.966777,Fyke,2022-06-22,17:03:00,2022-06-23,10:52:00,Notemigonus crysoleucas,Golden Shiner,G.S.,2,N/A,
McKiel,2022-06-22,2022-06-23,2,46.592342,-66.965838,Z-Trap,2022-06-22,17:11:00,2022-06-23,10:43:00,Semotilus corporalis,Fall Fish,F.F.,16,N/A,
McKiel,2022-06-22,2022-06-23,2,46.592342,-66.965838,Z-Trap,2022-06-22,17:11:00,2022-06-23,10:43:00,Catostomus commersonii,White Sucker,W.S.,7,N/A,
McKiel,2022-06-22,2022-06-23,2,46.592342,-66.965838,Z-Trap,2022-06-22,17:11:00,2022-06-23,10:43:00,Perca flavescens,Yellow Perch,Y.P.,9,N/A,
McKiel,2022-06-22,2022-06-23,3,46.593819,-66.964453,Fyke,2022-06-22,17:18:00,2022-06-23,9:57:00,Perca flavescens,Yellow Perch,Y.P.,36,N/A,
McKiel,2022-06-22,2022-06-23,3,46.593819,-66.964453,Fyke,2022-06-22,17:18:00,2022-06-23,9:57:00,Morone americana,White Perch,W.P.,25,N/A,
McKiel,2022-06-22,2022-06-23,3,46.593819,-66.964453,Fyke,2022-06-22,17:18:00,2022-06-23,9:57:00,Catostomus commersonii,White Sucker,W.S.,40,N/A,
McKiel,2022-06-22,2022-06-23,3,46.593819,-66.964453,Fyke,2022-06-22,17:18:00,2022-06-23,9:57:00,Luxilus cornutus,Common Shiner,C.S.,3,N/A,
McKiel,2022-06-22,2022-06-23,3,46.593819,-66.964453,Fyke,2022-06-22,17:18:00,2022-06-23,9:57:00,Semotilus corporalis,Fall Fish,F.F.,4,N/A,
McKiel,2022-06-22,2022-06-23,3,46.593819,-66.964453,Fyke,2022-06-22,17:18:00,2022-06-23,9:57:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,14,N/A,
McKiel,2022-06-22,2022-06-23,3,46.593819,-66.964453,Fyke,2022-06-22,17:18:00,2022-06-23,9:57:00,Anguilla rostrata ,American Eel,A.E.,2,N/A,
McKiel,2022-06-22,2022-06-23,3,46.593819,-66.964453,Fyke,2022-06-22,17:18:00,2022-06-23,9:57:00,Notemigonus crysoleucas,Golden Shiner,G.S.,1,N/A,
McKiel,2022-06-22,2022-06-23,4,46.596042,-66.963965,Fyke,2022-06-22,17:25:00,2022-06-23,9:44:00,Catostomus commersonii,White Sucker,W.S.,12,N/A,
McKiel,2022-06-22,2022-06-23,4,46.596042,-66.963965,Fyke,2022-06-22,17:25:00,2022-06-23,9:44:00,Perca flavescens,Yellow Perch,Y.P.,7,N/A,
McKiel,2022-06-22,2022-06-23,4,46.596042,-66.963965,Fyke,2022-06-22,17:25:00,2022-06-23,9:44:00,Notemigonus crysoleucas,Golden Shiner,G.S.,1,N/A,
McKiel,2022-06-22,2022-06-23,4,46.596042,-66.963965,Fyke,2022-06-22,17:25:00,2022-06-23,9:44:00,Luxilus cornutus,Common Shiner,C.S.,3,N/A,
McKiel,2022-06-22,2022-06-23,4,46.596042,-66.963965,Fyke,2022-06-22,17:25:00,2022-06-23,9:44:00,Semotilus corporalis,Fall Fish,F.F.,5,N/A,
McKiel,2022-06-22,2022-06-23,4,46.596042,-66.963965,Fyke,2022-06-22,17:25:00,2022-06-23,9:44:00,Morone americana,White Perch,W.P.,7,N/A,
McKiel,2022-06-22,2022-06-23,5,46.596498,-66.964538,Fyke,2022-06-22,17:30:00,2022-06-23,9:37:00,Perca flavescens,Yellow Perch,Y.P.,7,N/A,
McKiel,2022-06-22,2022-06-23,5,46.596498,-66.964538,Fyke,2022-06-22,17:30:00,2022-06-23,9:37:00,Semotilus corporalis,Fall Fish,F.F.,15,N/A,
McKiel,2022-06-22,2022-06-23,5,46.596498,-66.964538,Fyke,2022-06-22,17:30:00,2022-06-23,9:37:00,Catostomus commersonii,White Sucker,W.S.,1,N/A,
McKiel,2022-06-22,2022-06-23,5,46.596498,-66.964538,Fyke,2022-06-22,17:30:00,2022-06-23,9:37:00,Morone americana,White Perch,W.P.,1,N/A,
McKiel,2022-06-22,2022-06-23,6,46.590977,-66.968243,Gill Net,2022-06-22,18:03:00,2022-06-23,11:11:00,Catostomus commersonii,White Sucker,W.S.,9,N/A,
McKiel,2022-06-22,2022-06-23,6,46.590977,-66.968243,Gill Net,2022-06-22,18:03:00,2022-06-23,11:11:00,Semotilus corporalis,Fall Fish,F.F.,23,N/A,
McKiel,2022-06-22,2022-06-23,6,46.590977,-66.968243,Gill Net,2022-06-22,18:03:00,2022-06-23,11:11:00,Morone americana,White Perch,W.P.,18,N/A,
McKiel,2022-06-22,2022-06-23,6,46.590977,-66.968243,Gill Net,2022-06-22,18:03:00,2022-06-23,11:11:00,Perca flavescens,Yellow Perch,Y.P.,26,N/A,
McKiel,2022-06-22,2022-06-23,6,46.590977,-66.968243,Gill Net,2022-06-22,18:03:00,2022-06-23,11:11:00,Alosa pseudoharengus ,Alewife,ALE,2,N/A,
McKiel,2022-06-22,2022-06-23,6,46.590977,-66.968243,Gill Net,2022-06-22,18:03:00,2022-06-23,11:11:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,3,N/A,
McKiel,2022-06-22,2022-06-23,6,46.590977,-66.968243,Gill Net,2022-06-22,18:03:00,2022-06-23,11:11:00,Notemigonus crysoleucas,Golden Shiner,G.S.,3,N/A,
McKiel,2022-06-22,2022-06-23,6,46.590977,-66.968243,Gill Net,2022-06-22,18:03:00,2022-06-23,11:11:00,Luxilus cornutus,Common Shiner,C.S.,3,N/A,
Nashwaak,2022-06-23,2022-06-24,1,46.464357,-67.107345,Z-Trap,2022-06-23,18:05:00,2022-06-24,9:38:00,Catostomus commersonii,White Sucker,W.S.,17,N/A,
Nashwaak,2022-06-23,2022-06-24,1,46.464357,-67.107345,Z-Trap,2022-06-23,18:05:00,2022-06-24,9:38:00,Semotilus corporalis,Fall Fish,F.F.,1,N/A,
Nashwaak,2022-06-23,2022-06-24,1,46.464357,-67.107345,Z-Trap,2022-06-23,18:05:00,2022-06-24,9:38:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,10,N/A,
Nashwaak,2022-06-23,2022-06-24,2,46.464752,-67.11101,Fyke,2022-06-23,18:15:00,2022-06-24,10:45:00,Semotilus corporalis,Fall Fish,F.F.,24,N/A,
Nashwaak,2022-06-23,2022-06-24,2,46.464752,-67.11101,Fyke,2022-06-23,18:15:00,2022-06-24,10:45:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,37,N/A,
Nashwaak,2022-06-23,2022-06-24,2,46.464752,-67.11101,Fyke,2022-06-23,18:15:00,2022-06-24,10:45:00,Catostomus commersonii,White Sucker,W.S.,12,N/A,
Nashwaak,2022-06-23,2022-06-24,2,46.464752,-67.11101,Fyke,2022-06-23,18:15:00,2022-06-24,10:45:00,Perca flavescens,Yellow Perch,Y.P.,1,N/A,
Nashwaak,2022-06-23,2022-06-24,2,46.464752,-67.11101,Fyke,2022-06-23,18:15:00,2022-06-24,10:45:00,Anguilla rostrata ,American Eel,A.E.,8,N/A,
Nashwaak,2022-06-23,2022-06-24,2,46.464752,-67.11101,Fyke,2022-06-23,18:15:00,2022-06-24,10:45:00,Luxilus cornutus,Common Shiner,C.S.,1,N/A,
Nashwaak,2022-06-23,2022-06-24,3,46.467032,-67.104196,Fyke,2022-06-23,18:30:00,2022-06-24,13:01:00,Semotilus corporalis,Fall Fish,F.F.,10,N/A,
Nashwaak,2022-06-23,2022-06-24,3,46.467032,-67.104196,Fyke,2022-06-23,18:30:00,2022-06-24,13:01:00,Luxilus cornutus,Common Shiner,C.S.,1,N/A,
Nashwaak,2022-06-23,2022-06-24,3,46.467032,-67.104196,Fyke,2022-06-23,18:30:00,2022-06-24,13:01:00,Catostomus commersonii,White Sucker,W.S.,1,N/A,
Nashwaak,2022-06-23,2022-06-24,3,46.467032,-67.104196,Fyke,2022-06-23,18:30:00,2022-06-24,13:01:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,6,N/A,
Nashwaak,2022-06-23,2022-06-24,3,46.467032,-67.104196,Fyke,2022-06-23,18:30:00,2022-06-24,13:01:00,Anguilla rostrata ,American Eel,A.E.,5,N/A,
Nashwaak,2022-06-23,2022-06-24,4,46.465333,-67.105436,Fyke,2022-06-23,18:45:00,2022-06-24,10:45:00,Luxilus cornutus,Common Shiner,C.S.,2,N/A,
Nashwaak,2022-06-23,2022-06-24,4,46.465333,-67.105436,Fyke,2022-06-23,18:45:00,2022-06-24,10:45:00,Catostomus commersonii,White Sucker,W.S.,3,N/A,
Nashwaak,2022-06-23,2022-06-24,4,46.465333,-67.105436,Fyke,2022-06-23,18:45:00,2022-06-24,10:45:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,3,N/A,
Nashwaak,2022-06-23,2022-06-24,4,46.465333,-67.105436,Fyke,2022-06-23,18:45:00,2022-06-24,10:45:00,Anguilla rostrata ,American Eel,A.E.,2,N/A,
Nashwaak,2022-06-23,2022-06-24,4,46.465333,-67.105436,Fyke,2022-06-23,18:45:00,2022-06-24,10:45:00,Semotilus corporalis,Fall Fish,F.F.,7,N/A,
Nashwaak,2022-06-23,2022-06-24,4,46.465333,-67.105436,Fyke,2022-06-23,18:45:00,2022-06-24,10:45:00,Perca flavescens,Yellow Perch,Y.P.,1,N/A,
Nashwaak,2022-06-23,2022-06-24,5,46.464683,-67.106689,Z-Trap,2022-06-23,18:50:00,2022-06-24,9:35:00,Perca flavescens,Yellow Perch,Y.P.,1,N/A,
Nashwaak,2022-06-23,2022-06-24,5,46.464683,-67.106689,Z-Trap,2022-06-23,18:50:00,2022-06-24,9:35:00,Semotilus corporalis,Fall Fish,F.F.,2,N/A,
Nashwaak,2022-06-23,2022-06-24,5,46.464683,-67.106689,Z-Trap,2022-06-23,18:50:00,2022-06-24,9:35:00,Catostomus commersonii,White Sucker,W.S.,10,N/A,
Nashwaak,2022-06-23,2022-06-24,5,46.464683,-67.106689,Z-Trap,2022-06-23,18:50:00,2022-06-24,9:35:00,Luxilus cornutus,Common Shiner,C.S.,1,N/A,
Nashwaak,2022-06-23,2022-06-24,5,46.464683,-67.106689,Z-Trap,2022-06-23,18:50:00,2022-06-24,9:35:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,9,N/A,
Nashwaak,2022-06-23,2022-06-24,6,46.464357,-67.107345,Z-Trap,2022-06-24,11:00:00,2022-06-24,13:57:00,Perca flavescens,Yellow Perch,Y.P.,22,N/A,
Nashwaak,2022-06-23,2022-06-24,6,46.464357,-67.107345,Z-Trap,2022-06-24,11:00:00,2022-06-24,13:57:00,Catostomus commersonii,White Sucker,W.S.,2,N/A,
Miramichi,2023-06-19,2023-06-21,1,46.453019,-66.96693,Z-Trap,2023-06-19,13:38:00,2023-06-20,9:40:00,Perca flavescens,Yellow Perch,Y.P.,62,N/A,
Miramichi,2023-06-19,2023-06-21,2,46.453829,-66.969124,Z-Trap,2023-06-19,13:41:00,2023-06-20,9:50:00,Perca flavescens,Yellow Perch,Y.P.,3,N/A,
Miramichi,2023-06-19,2023-06-21,2,46.453829,-66.969124,Z-Trap,2023-06-19,13:41:00,2023-06-20,9:50:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,12,N/A,
Miramichi,2023-06-19,2023-06-21,3,46.457127,-66.974938,Fyke,2023-06-19,13:47:00,2023-06-20,10:05:00,Catostomus commersonii,White Sucker,W.S.,20,N/A,
Miramichi,2023-06-19,2023-06-21,3,46.457127,-66.974938,Fyke,2023-06-19,13:47:00,2023-06-20,10:05:00,Perca flavescens,Yellow Perch,Y.P.,8,N/A,
Miramichi,2023-06-19,2023-06-21,3,46.457127,-66.974938,Fyke,2023-06-19,13:47:00,2023-06-20,10:05:00,Lithobates catesbeianus,American Bullfrog,Tadpole,25,N/A,
Miramichi,2023-06-19,2023-06-21,3,46.457127,-66.974938,Fyke,2023-06-19,13:47:00,2023-06-20,10:05:00,Morone americana,White Perch,W.P.,5,N/A,
Miramichi,2023-06-19,2023-06-21,3,46.457127,-66.974938,Fyke,2023-06-19,13:47:00,2023-06-20,10:05:00,Semotilus atromaculatus,Creek Chub,C.C.,1,N/A,
Miramichi,2023-06-19,2023-06-21,3,46.457127,-66.974938,Fyke,2023-06-19,13:47:00,2023-06-20,10:05:00,Luxilus cornutus,Common Shiner,C.S.,3,N/A,
Miramichi,2023-06-19,2023-06-21,4,46.464683,-66.977039,Fyke,2023-06-19,14:06:00,2023-06-20,10:30:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,2,N/A,
Miramichi,2023-06-19,2023-06-21,4,46.464683,-66.977039,Fyke,2023-06-19,14:06:00,2023-06-20,10:30:00,Anguilla rostrata ,American Eel,A.E.,1,N/A,
Miramichi,2023-06-19,2023-06-21,4,46.464683,-66.977039,Fyke,2023-06-19,14:06:00,2023-06-20,10:30:00,Catostomus commersonii,White Sucker,W.S.,3,N/A,
Miramichi,2023-06-19,2023-06-21,4,46.464683,-66.977039,Fyke,2023-06-19,14:06:00,2023-06-20,10:30:00,Lithobates catesbeianus,American Bullfrog,Tadpole,N/A,15,Approximated wet weight while emptying fyke net of fish
Miramichi,2023-06-19,2023-06-21,4,46.464683,-66.977039,Fyke,2023-06-19,14:06:00,2023-06-20,10:30:00,Perca flavescens,Yellow Perch,Y.P.,2,N/A,
Miramichi,2023-06-19,2023-06-21,4,46.464683,-66.977039,Fyke,2023-06-19,14:06:00,2023-06-20,10:30:00,Morone americana,White Perch,W.P.,3,N/A,
Miramichi,2023-06-19,2023-06-21,5,46.464432,-66.969004,Fyke,2023-06-19,14:14:00,2023-06-20,10:58:00,Lithobates catesbeianus,American Bullfrog,Tadpole,100,N/A,"More than 100 tadpoles were caught, stopped enumerating after 100th tadpole"
Miramichi,2023-06-19,2023-06-21,5,46.464432,-66.969004,Fyke,2023-06-19,14:14:00,2023-06-20,10:58:00,Ameiurus nebulosus ,Brown Bullhead,B.B.,1,N/A,
Miramichi,2023-06-19,2023-06-21,5,46.464432,-66.969004,Fyke,2023-06-19,14:14:00,2023-06-20,10:58:00,Perca flavescens,Yellow Perch,Y.P.,1,N/A,
Miramichi,2023-06-19,2023-06-21,6,46.461774,-66.965264,Fyke,2023-06-19,14:29:00,2023-06-20,11:16:00,Cambaridae,Crayfish,Crayfish,1,N/A,
