"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","structure.type__type.de.structures","total.number_nombre.total"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,9,"otolith",196
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,10,"otolith",195
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,11,"otolith",104
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,4,"otolith",13
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,5,"otolith",320
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,6,"otolith",625
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,7,"otolith",265
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,8,"otolith",484
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,9,"otolith",233
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,10,"otolith",245
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,11,"otolith",92
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,5,"otolith",133
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,6,"otolith",349
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,7,"otolith",370
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,8,"otolith",321
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,9,"otolith",237
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,10,"otolith",439
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,11,"otolith",18
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,5,"otolith",470
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,6,"otolith",387
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,7,"otolith",331
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,8,"otolith",111
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,9,"otolith",61
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,10,"otolith",282
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,11,"otolith",100
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,5,"otolith",245
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,6,"otolith",386
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,7,"otolith",356
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,8,"otolith",204
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,9,"otolith",113
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,10,"otolith",221
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,11,"otolith",145
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,5,"otolith",54
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,6,"otolith",184
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,7,"otolith",198
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,8,"otolith",169
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,9,"otolith",100
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,10,"otolith",63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,5,"otolith",62
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,6,"otolith",293
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,7,"otolith",213
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,8,"otolith",45
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,9,"otolith",24
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,10,"otolith",198
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,5,"otolith",63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,6,"otolith",122
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,7,"otolith",241
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,8,"otolith",251
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,9,"otolith",107
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,10,"otolith",450
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,6,"otolith",131
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,7,"otolith",389
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,8,"otolith",225
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,9,"otolith",62
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,10,"otolith",257
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,5,"otolith",107
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,6,"otolith",193
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,7,"otolith",312
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,8,"otolith",117
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,9,"otolith",110
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,10,"otolith",253
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,11,"otolith",38
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,5,"otolith",114
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,6,"otolith",127
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,7,"otolith",31
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,8,"otolith",335
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,9,"otolith",78
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,10,"otolith",99
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,11,"otolith",28
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,5,"otolith",71
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,6,"otolith",136
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,7,"otolith",75
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,8,"otolith",343
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,9,"otolith",195
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,10,"otolith",172
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,4,"otolith",28
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,5,"otolith",87
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,6,"otolith",62
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,8,"otolith",313
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,9,"otolith",490
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,10,"otolith",219
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,4,"otolith",31
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,5,"otolith",84
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,6,"otolith",236
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,7,"otolith",130
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,8,"otolith",40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,9,"otolith",194
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,10,"otolith",317
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,11,"otolith",85
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,4,"otolith",24
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,5,"otolith",176
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,6,"otolith",203
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,7,"otolith",21
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,8,"otolith",19
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,9,"otolith",164
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,10,"otolith",63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,11,"otolith",52
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,6,"otolith",29
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,7,"otolith",53
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,9,"otolith",174
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,10,"otolith",89
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,6,"otolith",59
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,7,"otolith",20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,8,"otolith",80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,9,"otolith",44
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,10,"otolith",128
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,5,"otolith",21
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,6,"otolith",61
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,8,"otolith",80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,10,"otolith",144
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,5,"otolith",56
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,6,"otolith",79
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,7,"otolith",58
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,8,"otolith",38
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,10,"otolith",184
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,5,"otolith",35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,6,"otolith",88
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,7,"otolith",60
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,8,"otolith",47
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,9,"otolith",23
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,10,"otolith",113
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,5,"otolith",81
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,6,"otolith",92
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,7,"otolith",62
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,8,"otolith",16
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,9,"otolith",12
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,10,"otolith",17
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,5,"otolith",63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,6,"otolith",60
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,8,"otolith",55
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,9,"otolith",44
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,4,"otolith",30
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,5,"otolith",24
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,6,"otolith",91
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,10,"otolith",44
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,5,"otolith",66
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,6,"otolith",99
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,7,"otolith",27
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,8,"otolith",32
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2012,5,"otolith",60
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2012,6,"otolith",146
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2013,5,"otolith",27
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2013,6,"otolith",72
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2014,5,"otolith",25
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2014,6,"otolith",32
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2015,5,"otolith",86
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2016,5,"otolith",34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2016,6,"otolith",18
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2017,5,"otolith",26
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2017,6,"otolith",80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2017,7,"otolith",20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2018,5,"otolith",26
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2018,6,"otolith",33
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2018,8,"otolith",34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2019,5,"otolith",53
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2019,6,"otolith",34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2020,7,"otolith",18
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2020,8,"otolith",23
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2021,5,"otolith",21
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,4,"otolith",78
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,5,"otolith",120
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,6,"otolith",67
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,5,"otolith",63
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,6,"otolith",169
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,8,"otolith",11
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,9,"otolith",240
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,10,"otolith",36
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,11,"otolith",21
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,5,"otolith",127
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,6,"otolith",97
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,7,"otolith",134
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,8,"otolith",60
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,9,"otolith",28
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,10,"otolith",19
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,6,"otolith",43
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,7,"otolith",92
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,9,"otolith",126
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,10,"otolith",38
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,5,"otolith",4
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,6,"otolith",28
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,7,"otolith",102
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,8,"otolith",61
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,9,"otolith",21
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,10,"otolith",156
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,18,"otolith",10
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,5,"otolith",27
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,6,"otolith",87
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,7,"otolith",18
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,8,"otolith",43
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,10,"otolith",13
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,6,"otolith",188
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,7,"otolith",30
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,8,"otolith",31
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,9,"otolith",13
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,0,"otolith",4
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,5,"otolith",43
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,6,"otolith",97
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,7,"otolith",7
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,9,"otolith",21
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,10,"otolith",7
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,5,"otolith",22
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,6,"otolith",59
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,7,"otolith",13
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,8,"otolith",14
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,9,"otolith",12
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,10,"otolith",8
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,5,"otolith",16
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,6,"otolith",9
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,8,"otolith",9
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,11,"otolith",10
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,4,"otolith",6
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,8,"otolith",7
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,9,"otolith",6
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,10,"otolith",9
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2012,5,"otolith",21
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2012,6,"otolith",30
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2013,6,"otolith",23
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2013,7,"otolith",22
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2014,4,"otolith",4
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2014,5,"otolith",24
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2014,6,"otolith",36
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2014,7,"otolith",37
