"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","structure.type__type.de.structures","total.number_nombre.total","number.aged_nombre.agées"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,8,"otolith",115,"164"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,9,"otolith",20,"20"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,10,"otolith",34,"34"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,5,"otolith",120,"119"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,6,"otolith",179,"179"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,7,"otolith",112,"112"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,8,"otolith",81,"81"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,11,"otolith",70,"70"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,6,"otolith",77,"76"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,7,"otolith",124,"116"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,8,"otolith",241,"238"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,9,"otolith",116,"99"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,10,"otolith",85,"79"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,11,"otolith",80,"80"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,12,"otolith",103,"102"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,6,"otolith",248,"248"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,7,"otolith",339,"339"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,8,"otolith",240,"236"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,9,"otolith",144,"143"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,10,"otolith",195,"195"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,5,"otolith",138,"121"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,6,"otolith",148,"136"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,7,"otolith",590,"539"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,8,"otolith",169,"153"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,9,"otolith",164,"159"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,10,"otolith",160,"157"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,11,"otolith",16,"16"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,5,"otolith",229,"210"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,6,"otolith",386,"353"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,7,"otolith",319,"303"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,8,"otolith",310,"285"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,9,"otolith",259,"254"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,10,"otolith",461,"491"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,11,"otolith",247,"240"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,4,"otolith",44,"44"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,5,"otolith",105,"104"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,6,"otolith",298,"295"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,7,"otolith",132,"131"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,8,"otolith",235,"228"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,9,"otolith",196,"190"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,10,"otolith",195,"191"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,11,"otolith",104,"103"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,4,"otolith",13,"13"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,5,"otolith",320,"314"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,6,"otolith",625,"615"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,7,"otolith",265,"259"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,8,"otolith",484,"480"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,9,"otolith",233,"225"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,10,"otolith",245,"244"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,11,"otolith",92,"90"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,5,"otolith",133,"133"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,6,"otolith",349,"349"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,7,"otolith",370,"363"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,8,"otolith",321,"320"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,9,"otolith",237,"236"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,10,"otolith",439,"432"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,11,"otolith",18,"18"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,5,"otolith",470,"466"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,6,"otolith",387,"382"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,7,"otolith",331,"328"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,8,"otolith",111,"111"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,9,"otolith",61,"59"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,10,"otolith",282,"274"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,11,"otolith",100,"96"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,5,"otolith",245,"241"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,6,"otolith",386,"377"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,7,"otolith",356,"345"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,8,"otolith",204,"204"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,9,"otolith",113,"112"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,10,"otolith",221,"221"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,11,"otolith",145,"144"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,5,"otolith",54,"53"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,6,"otolith",184,"184"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,7,"otolith",198,"195"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,8,"otolith",169,"164"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,9,"otolith",100,"99"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,10,"otolith",63,"63"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,5,"otolith",62,"62"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,6,"otolith",293,"291"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,7,"otolith",213,"210"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,8,"otolith",45,"45"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,9,"otolith",24,"24"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,10,"otolith",198,"198"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,5,"otolith",63,"63"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,6,"otolith",122,"122"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,7,"otolith",241,"239"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,8,"otolith",251,"247"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,9,"otolith",107,"106"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,10,"otolith",450,"447"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,6,"otolith",131,"130"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,7,"otolith",389,"384"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,8,"otolith",225,"222"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,9,"otolith",62,"62"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,10,"otolith",257,"250"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,5,"otolith",107,"106"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,6,"otolith",193,"192"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,7,"otolith",312,"311"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,8,"otolith",117,"116"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,9,"otolith",110,"110"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,10,"otolith",253,"252"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,11,"otolith",38,"37"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,5,"otolith",114,"114"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,6,"otolith",127,"126"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,7,"otolith",31,"31"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,8,"otolith",335,"335"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,9,"otolith",78,"78"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,10,"otolith",99,"99"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,11,"otolith",28,"28"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,5,"otolith",71,"70"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,6,"otolith",136,"136"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,7,"otolith",75,"70"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,8,"otolith",343,"343"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,9,"otolith",195,"194"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,10,"otolith",172,"172"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,4,"otolith",28,"26"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,5,"otolith",87,"87"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,6,"otolith",62,"62"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,8,"otolith",313,"313"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,9,"otolith",490,"484"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,10,"otolith",219,"216"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,4,"otolith",31,"30"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,5,"otolith",84,"84"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,6,"otolith",236,"236"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,7,"otolith",130,"129"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,8,"otolith",40,"40"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,9,"otolith",194,"194"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,10,"otolith",317,"316"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,11,"otolith",85,"85"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,4,"otolith",24,"23"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,5,"otolith",176,"175"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,6,"otolith",203,"203"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,7,"otolith",21,"19"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,8,"otolith",19,"19"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,9,"otolith",164,"163"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,10,"otolith",63,"63"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,11,"otolith",52,"52"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,6,"otolith",29,"29"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,7,"otolith",53,"53"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,9,"otolith",174,"174"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,10,"otolith",89,"89"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,6,"otolith",59,"59"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,7,"otolith",20,"20"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,8,"otolith",80,"80"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,9,"otolith",44,"44"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,10,"otolith",128,"128"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,5,"otolith",21,"19"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,6,"otolith",61,"61"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,8,"otolith",80,"80"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,10,"otolith",144,"142"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,5,"otolith",56,"55"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,6,"otolith",79,"79"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,7,"otolith",58,"55"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,8,"otolith",38,"38"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,10,"otolith",184,"184"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,5,"otolith",35,"35"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,6,"otolith",88,"88"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,7,"otolith",60,"60"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,8,"otolith",47,"47"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,9,"otolith",23,"22"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,10,"otolith",113,"113"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,5,"otolith",81,"80"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,6,"otolith",92,"92"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,7,"otolith",62,"61"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,8,"otolith",16,"16"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,9,"otolith",12,"12"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,10,"otolith",17,"17"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,5,"otolith",63,"63"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,6,"otolith",60,"60"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,8,"otolith",55,"55"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,9,"otolith",44,"43"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,4,"otolith",30,"30"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,5,"otolith",24,"24"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,6,"otolith",91,"91"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,10,"otolith",44,"43"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,5,"otolith",66,"66"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,6,"otolith",99,"98"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,7,"otolith",27,"27"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,8,"otolith",32,"32"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2012,5,"otolith",60,"60"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2012,6,"otolith",146,"146"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2013,5,"otolith",27,"27"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2013,6,"otolith",72,"70"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2014,5,"otolith",25,"25"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2014,6,"otolith",32,"31"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2015,5,"otolith",86,"85"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2016,5,"otolith",34,"34"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2016,6,"otolith",18,"16"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2017,5,"otolith",26,"25"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2017,6,"otolith",80,"80"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2017,7,"otolith",20,"20"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2018,5,"otolith",26,"26"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2018,6,"otolith",33,"32"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2018,8,"otolith",34,"33"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2019,5,"otolith",53,"52"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2019,6,"otolith",34,"34"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2020,7,"otolith",18,"18"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2020,8,"otolith",23,"23"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2021,5,"otolith",21,"21"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,4,"otolith",78,"78"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,5,"otolith",120,"118"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,6,"otolith",67,"67"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,5,"otolith",63,"62"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,6,"otolith",169,"169"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,8,"otolith",11,"11"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,9,"otolith",240,"239"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,10,"otolith",36,"36"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,11,"otolith",21,"21"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,5,"otolith",127,"127"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,6,"otolith",97,"97"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,7,"otolith",134,"133"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,8,"otolith",60,"59"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,9,"otolith",28,"28"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,10,"otolith",19,"19"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,6,"otolith",43,"43"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,7,"otolith",92,"92"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,9,"otolith",126,"125"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,10,"otolith",38,"37"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,5,"otolith",4,"4"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,6,"otolith",28,"28"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,7,"otolith",102,"102"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,8,"otolith",61,"61"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,9,"otolith",21,"21"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,10,"otolith",156,"155"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,18,"otolith",10,"10"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,5,"otolith",27,"27"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,6,"otolith",87,"84"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,7,"otolith",18,"18"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,8,"otolith",43,"43"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,10,"otolith",13,"13"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,6,"otolith",188,"187"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,7,"otolith",30,"30"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,8,"otolith",31,"31"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,9,"otolith",13,"13"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,0,"otolith",4,"4"
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,5,"otolith",43,"43"
