"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","english.structure.type_type.de.structures.anglais","french.structure.type_type.de.structures.français","total.number_nombre.total","number.aged_nombre.agées"
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1978,10,"otoliths","otolithes",33,33
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,1,"otoliths","otolithes",54,54
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,4,"otoliths","otolithes",33,33
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,5,"otoliths","otolithes",35,35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,6,"otoliths","otolithes",94,133
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,7,"otoliths","otolithes",32,32
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,8,"otoliths","otolithes",127,127
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,10,"otoliths","otolithes",34,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1979,11,"otoliths","otolithes",107,107
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,4,"otoliths","otolithes",38,67
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,5,"otoliths","otolithes",114,114
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,6,"otoliths","otolithes",24,95
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,8,"otoliths","otolithes",36,36
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1980,10,"otoliths","otolithes",63,63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,4,"otoliths","otolithes",26,25
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,5,"otoliths","otolithes",87,85
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,6,"otoliths","otolithes",79,79
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,7,"otoliths","otolithes",56,83
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,8,"otoliths","otolithes",115,164
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,9,"otoliths","otolithes",20,20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1981,10,"otoliths","otolithes",34,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,5,"otoliths","otolithes",120,119
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,6,"otoliths","otolithes",179,179
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,7,"otoliths","otolithes",112,112
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,8,"otoliths","otolithes",81,81
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1982,11,"otoliths","otolithes",70,70
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,6,"otoliths","otolithes",77,76
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,7,"otoliths","otolithes",124,116
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,8,"otoliths","otolithes",241,238
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,9,"otoliths","otolithes",116,99
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,10,"otoliths","otolithes",85,79
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,11,"otoliths","otolithes",80,80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1983,12,"otoliths","otolithes",103,102
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,6,"otoliths","otolithes",248,248
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,7,"otoliths","otolithes",339,339
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,8,"otoliths","otolithes",240,236
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,9,"otoliths","otolithes",144,143
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1984,10,"otoliths","otolithes",195,195
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,5,"otoliths","otolithes",138,121
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,6,"otoliths","otolithes",148,136
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,7,"otoliths","otolithes",590,539
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,8,"otoliths","otolithes",169,153
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,9,"otoliths","otolithes",164,159
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,10,"otoliths","otolithes",160,157
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1986,11,"otoliths","otolithes",16,16
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,5,"otoliths","otolithes",229,210
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,6,"otoliths","otolithes",386,353
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,7,"otoliths","otolithes",319,303
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,8,"otoliths","otolithes",310,285
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,9,"otoliths","otolithes",259,254
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,10,"otoliths","otolithes",461,491
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1987,11,"otoliths","otolithes",247,240
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,4,"otoliths","otolithes",44,44
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,5,"otoliths","otolithes",105,104
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,6,"otoliths","otolithes",298,295
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,7,"otoliths","otolithes",132,131
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,8,"otoliths","otolithes",235,228
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,9,"otoliths","otolithes",196,190
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,10,"otoliths","otolithes",195,191
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1988,11,"otoliths","otolithes",104,103
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,4,"otoliths","otolithes",13,13
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,5,"otoliths","otolithes",320,314
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,6,"otoliths","otolithes",625,615
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,7,"otoliths","otolithes",265,259
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,8,"otoliths","otolithes",484,480
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,9,"otoliths","otolithes",233,225
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,10,"otoliths","otolithes",245,244
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1989,11,"otoliths","otolithes",92,90
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,5,"otoliths","otolithes",133,133
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,6,"otoliths","otolithes",349,349
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,7,"otoliths","otolithes",370,363
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,8,"otoliths","otolithes",321,320
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,9,"otoliths","otolithes",237,236
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,10,"otoliths","otolithes",439,432
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1990,11,"otoliths","otolithes",18,18
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,5,"otoliths","otolithes",470,466
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,6,"otoliths","otolithes",387,382
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,7,"otoliths","otolithes",331,328
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,8,"otoliths","otolithes",111,111
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,9,"otoliths","otolithes",61,59
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,10,"otoliths","otolithes",282,274
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1991,11,"otoliths","otolithes",100,96
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,5,"otoliths","otolithes",245,241
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,6,"otoliths","otolithes",386,377
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,7,"otoliths","otolithes",356,345
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,8,"otoliths","otolithes",204,204
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,9,"otoliths","otolithes",113,112
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,10,"otoliths","otolithes",221,221
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1992,11,"otoliths","otolithes",145,144
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,5,"otoliths","otolithes",54,53
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,6,"otoliths","otolithes",184,184
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,7,"otoliths","otolithes",198,195
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,8,"otoliths","otolithes",169,164
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,9,"otoliths","otolithes",100,99
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1993,10,"otoliths","otolithes",63,63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,5,"otoliths","otolithes",62,62
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,6,"otoliths","otolithes",293,291
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,7,"otoliths","otolithes",213,210
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,8,"otoliths","otolithes",45,45
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,9,"otoliths","otolithes",24,24
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1994,10,"otoliths","otolithes",198,198
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,5,"otoliths","otolithes",63,63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,6,"otoliths","otolithes",122,122
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,7,"otoliths","otolithes",241,239
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,8,"otoliths","otolithes",251,247
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,9,"otoliths","otolithes",107,106
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1995,10,"otoliths","otolithes",450,447
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,6,"otoliths","otolithes",131,130
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,7,"otoliths","otolithes",389,384
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,8,"otoliths","otolithes",225,222
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,9,"otoliths","otolithes",62,62
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1996,10,"otoliths","otolithes",257,250
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,5,"otoliths","otolithes",107,106
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,6,"otoliths","otolithes",193,192
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,7,"otoliths","otolithes",312,311
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,8,"otoliths","otolithes",117,116
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,9,"otoliths","otolithes",110,110
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,10,"otoliths","otolithes",253,252
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1997,11,"otoliths","otolithes",38,37
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,5,"otoliths","otolithes",114,114
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,6,"otoliths","otolithes",127,126
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,7,"otoliths","otolithes",31,31
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,8,"otoliths","otolithes",335,335
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,9,"otoliths","otolithes",78,78
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,10,"otoliths","otolithes",99,99
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1998,11,"otoliths","otolithes",28,28
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,5,"otoliths","otolithes",71,70
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,6,"otoliths","otolithes",136,136
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,7,"otoliths","otolithes",75,70
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,8,"otoliths","otolithes",343,343
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,9,"otoliths","otolithes",195,194
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",1999,10,"otoliths","otolithes",172,172
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,4,"otoliths","otolithes",28,26
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,5,"otoliths","otolithes",87,87
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,6,"otoliths","otolithes",62,62
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,8,"otoliths","otolithes",313,313
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,9,"otoliths","otolithes",490,484
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,10,"otoliths","otolithes",219,216
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,4,"otoliths","otolithes",31,30
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,5,"otoliths","otolithes",84,84
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,6,"otoliths","otolithes",236,236
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,7,"otoliths","otolithes",130,129
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,8,"otoliths","otolithes",40,40
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,9,"otoliths","otolithes",194,194
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,10,"otoliths","otolithes",317,316
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,11,"otoliths","otolithes",85,85
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,4,"otoliths","otolithes",24,23
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,5,"otoliths","otolithes",176,175
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,6,"otoliths","otolithes",203,203
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,7,"otoliths","otolithes",21,19
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,8,"otoliths","otolithes",19,19
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,9,"otoliths","otolithes",164,163
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,10,"otoliths","otolithes",63,63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,11,"otoliths","otolithes",52,52
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,6,"otoliths","otolithes",29,29
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,7,"otoliths","otolithes",53,53
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,9,"otoliths","otolithes",174,174
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2003,10,"otoliths","otolithes",89,89
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,6,"otoliths","otolithes",59,59
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,7,"otoliths","otolithes",20,20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,8,"otoliths","otolithes",80,80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,9,"otoliths","otolithes",44,44
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2004,10,"otoliths","otolithes",128,128
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,5,"otoliths","otolithes",21,19
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,6,"otoliths","otolithes",61,61
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,8,"otoliths","otolithes",80,80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2005,10,"otoliths","otolithes",144,142
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,5,"otoliths","otolithes",56,55
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,6,"otoliths","otolithes",79,79
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,7,"otoliths","otolithes",58,55
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,8,"otoliths","otolithes",38,38
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2006,10,"otoliths","otolithes",184,184
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,5,"otoliths","otolithes",35,35
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,6,"otoliths","otolithes",88,88
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,7,"otoliths","otolithes",60,60
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,8,"otoliths","otolithes",47,47
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,9,"otoliths","otolithes",23,22
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2007,10,"otoliths","otolithes",113,113
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,5,"otoliths","otolithes",81,80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,6,"otoliths","otolithes",92,92
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,7,"otoliths","otolithes",62,61
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,8,"otoliths","otolithes",16,16
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,9,"otoliths","otolithes",12,12
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2008,10,"otoliths","otolithes",17,17
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,5,"otoliths","otolithes",63,63
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,6,"otoliths","otolithes",60,60
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,8,"otoliths","otolithes",55,55
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2009,9,"otoliths","otolithes",44,43
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,4,"otoliths","otolithes",30,30
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,5,"otoliths","otolithes",24,24
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,6,"otoliths","otolithes",91,91
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2010,10,"otoliths","otolithes",44,43
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,5,"otoliths","otolithes",66,66
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,6,"otoliths","otolithes",99,98
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,7,"otoliths","otolithes",27,27
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2011,8,"otoliths","otolithes",32,32
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2012,5,"otoliths","otolithes",60,60
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2012,6,"otoliths","otolithes",146,146
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2013,5,"otoliths","otolithes",27,27
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2013,6,"otoliths","otolithes",72,70
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2014,5,"otoliths","otolithes",25,25
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2014,6,"otoliths","otolithes",32,31
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2015,5,"otoliths","otolithes",86,85
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2016,5,"otoliths","otolithes",34,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2016,6,"otoliths","otolithes",18,16
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2017,5,"otoliths","otolithes",26,25
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2017,6,"otoliths","otolithes",80,80
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2017,7,"otoliths","otolithes",20,20
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2018,5,"otoliths","otolithes",26,26
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2018,6,"otoliths","otolithes",33,32
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2018,8,"otoliths","otolithes",34,33
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2019,5,"otoliths","otolithes",53,52
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2019,6,"otoliths","otolithes",34,34
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2020,7,"otoliths","otolithes",18,18
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2020,8,"otoliths","otolithes",23,23
"Commercial","Hippoglossoides platessoides","American Plaice","Plie canadienne",2021,5,"otoliths","otolithes",21,21
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,4,"otoliths","otolithes",78,78
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,5,"otoliths","otolithes",120,118
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2000,6,"otoliths","otolithes",67,67
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,5,"otoliths","otolithes",63,62
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,6,"otoliths","otolithes",169,169
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,8,"otoliths","otolithes",11,11
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,9,"otoliths","otolithes",240,239
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,10,"otoliths","otolithes",36,36
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2001,11,"otoliths","otolithes",21,21
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,5,"otoliths","otolithes",127,127
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,6,"otoliths","otolithes",97,97
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,7,"otoliths","otolithes",134,133
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,8,"otoliths","otolithes",60,59
"Observers","Hippoglossoides platessoides","American Plaice","Plie canadienne",2002,9,"otoliths","otolithes",28,28
