Data Dictionary - dictionnaire des données,,,
,,,
NAME__NOM,DOCUMENT,DESCRIPTION_EN,DESCRIPTION_FR
depth_2_upper__profondeur_2_amont,site data / données des sites,"Water depth (cm) at the upstream boundary, 50% of the distance from left bank to right looking downstream.","Profondeur de l'eau (cm) à la limite amont, à 50 % de la distance entre la rive gauche et la rive droite en regardant vers l'aval."
depth_3_lower__profondeur_3_aval,site data / données des sites,"Water depth (cm) at the downstream boundary, 75% of the distance from left bank to right looking downstream.","Profondeur de l'eau (cm) à la limite aval, à 75 % de la distance entre la rive gauche et la rive droite en regardant vers l'aval."
depth_3_middle__profondeur_3_mi-largeur,site data / données des sites,"Water depth (cm) at the middle width, 75% of the distance from left bank to right looking downstream.","Profondeur de l'eau (cm) à mi-largeur, à 75 % de la distance entre la rive gauche et la rive droite en regardant vers l'aval."
depth_3_upper__profondeur_3_amont,site data / données des sites,"Water depth (cm) at the upstream boundary, 75% of the distance from left bank to right looking downstream.","Profondeur de l'eau (cm) à la limite amont, à 75 % de la distance entre la rive gauche et la rive droite en regardant vers l'aval."
duty_cycle__facteur_d'utilisation,site data / données des sites,Duty cycle (%) of electrical pulse applied when sampling.,Coefficient d'utilisation (%) de l'impulsion électrique appliquée lors de l'échantillonnage.
electrofisher__électropêcheur,site data / données des sites,"Brand, type, and serial number of electrofishing hardware used.","Marque, type et numéro de série du matériel de pêche électrique utilisé."
electrofisher_frequency__fréquence_du_électropêcheur,site data / données des sites,Frequency (Hz) of electrical pulse applied when sampling.,Fréquence (Hz) de l'impulsion électrique appliquée lors de l'échantillonnage.
electrofisher_output_high__sortie_élevé_du_électropêcheur,site data / données des sites,Highest current (A) recorded when sampling; current is inversely related to distance between anode and cathode.,Courant le plus élevé (A) enregistré lors de l'échantillonnage ; le courant est inversement proportionnel à la distance entre l'anode et la cathode.
electrofisher_output_low__sortie_faible_du_électropêcheur,site data / données des sites,Lowest current (A) recorded when sampling; current is inversely related to distance between anode and cathode.,Courant le plus faible (A) enregistré lors de l'échantillonnage ; le courant est inversement proportionnel à la distance entre l'anode et la cathode.
electrofisher_pulse_type__type_d'impulsion_du_électropêcheur,site data / données des sites,Type of electrical pulse applied when sampling.,Type d'impulsion électrique appliquée lors de l'échantillonnage.
electrofisher_voltage__tension_du_électropêcheur,site data / données des sites,Voltage (V) applied when sampling.,Tension (V) appliquée lors de l'échantillonnage.
fishing_area__zone_de_pêche,site data / données des sites,Salmon fishing area,Zone de pêche au saumon
latitude,site data / données des sites,Most recent documented site coordinate in decimal degrees.,Coordonnées documentées les plus récentes du site en degrés décimaux.
longitude,site data / données des sites,Most recent documented site coordinate in decimal degrees.,Coordonnées documentées les plus récentes du site en degrés décimaux.
max_depth__profondeur_max,site data / données des sites,Maximum depth (centimeters) found within area sampled.,Profondeur maximale (en centimètres) trouvée dans la zone échantillonnée.
max_overhanging_veg_left__max_vég_en_surplomb_à_gauche,site data / données des sites,Maximum overhang (m) that occurs on left bank; determined by looking downstream.,Surplomb maximal (m) sur la rive gauche ; déterminé en regardant vers l'aval.
max_overhanging_veg_right__max_vég_en_surplomb_à_droite,site data / données des sites,Maximum overhang (m) that occurs on right bank; determined by looking downstream.,Surplomb maximal (m) sur la rive droite ; déterminé en regardant vers l'aval.
overhanging_veg_left__vég_en_surplomb_à_gauche,site data / données des sites,"Percent of the length of the left bank (facing downstream) that has protruding vegetation (grass, bushes, trees).","Pourcentage de la longueur de la rive gauche (en aval) présentant une végétation en saillie (herbe, buissons, arbres)."
overhanging_veg_right__vég_en_surplomb_à_droite,site data / données des sites,"Percent of the length of the right bank (facing downstream) that has protruding vegetation (grass, bushes, trees).","Pourcentage de la longueur de la rive droite (en aval) présentant une végétation en saillie (herbe, buissons, arbres)."
percent_bedrock__pourcentage_substratum,site data / données des sites,Percentage of visible area in the site covered by bedrock.,Pourcentage de la surface visible du site couverte par du substratum.
percent_boulder__pourcentage_rocher,site data / données des sites,Percentage of visible area in the site covered by boulders (>500mm).,Pourcentage de la surface visible du site couverte par des rochers (>500mm).
percent_cobble__pourcentage_pierre,site data / données des sites,Percentage of visible area in the site covered by cobble (60mm to 250mm).,Pourcentage de la surface visible du site couverte par des pierres (60 mm à 250 mm).
percent_fine__pourcentage_fin,site data / données des sites,Percentage of visible area in the site covered by fine silt or clay.,Pourcentage de la surface visible du site couverte de limon fin ou d'argile.
percent_flat__pourcentage_plat,site data / données des sites,"Percentage of site that is flat type; slow current, depth <46cm, smooth surface.","Pourcentage du site qui est de type plat ; courant lent, profondeur <46cm, surface lisse."
percent_gravel__pourcentage_gravier,site data / données des sites,Percentage of visible area in the site covered by gravel (2mm to 16mm).,Pourcentage de la surface visible du site couverte par des graviers (2 mm à 16 mm).
percent_pebble__pourcentage_caillou,site data / données des sites,Percentage of visible area in the site covered by pebble (16mm to 60mm).,Pourcentage de la surface visible du site couverte par des cailloux (16 mm à 60 mm).
percent_pool__pourcentage_bassin,site data / données des sites,"Percentage of site that is pool type; slow current, depth >46cm, smooth surface.","Pourcentage du site qui est de type bassin; courant lent, profondeur >46cm, surface lisse."
percent_riffle__pourcentage_radier,site data / données des sites,"Percentage of site that is riffle type; fast current, shallow depth (<23cm), turbulent (usually) broken flow.","Pourcentage du site qui est de type radier ; courant rapide, faible profondeur (<23cm), écoulement turbulent (généralement) brisé."
percent_rocks__pourcentage_roches,site data / données des sites,Percentage of visible area in the site covered by rocks (250mm to 500mm).,Pourcentage de la surface visible du site couverte par des roches (250 mm à 500 mm).
percent_run__pourcentage_courant,site data / données des sites,"Percentage of site that is run type; fast current, depth >23cm, turbulent and sometimes broken flow.","Pourcentage du site qui est de type courant ; courant rapide, profondeur >23cm, turbulent et parfois brisé."
percent_sand__pourcentage_sable,site data / données des sites,Percentage of visible area in the site covered by sand (<2mm).,Pourcentage de la surface visible du site couverte de sable (<2mm).
seine_type__type_de_senne,site data / données des sites,"Seine type options are:
1 man seine (1m wide X 1m high)
2 man seine (3m wide x 1m high)","Les options de type de senne sont les suivantes :
Senne à 1 homme (1m de large x 1m de haut)
Senne à 2 hommes (3m de large x 1m de haut)"
site_type__type_de_site,site data / données des sites,"For assessment data, options are:
Open: single pass Catch Per Unit Effort (CPUE) site
Closed: multi pass depletion site","Pour les données d'évaluation, les options sont les suivantes :
Ouvert: site de capture par unité d'effort (CPUE) à passage unique
Fermé: site d'épuisement à passages multiples"
water_cond__cond_eau,site data / données des sites,Water specific conductivity (µs).,Conductivité spécifique de l'eau (µs).
water_temp_c__temp_eau_c,site data / données des sites,Water temperature (°C).,Température de l'eau (°C).
width_lower__largeur_en_aval,site data / données des sites,"Measured in meters to one decimal, of the area sampled by electrofishing: distance across at downstream end of site.","Mesurée en mètres à une décimale près, de la zone échantillonnée par pêche électrique : distance transversale à l'extrémité aval du site."
width_middle__largeur_au_centre,site data / données des sites,"Measured in meters to one decimal, of the area sampled by electrofishing: distance across at middle of site.","Mesurée en mètres à une décimale près, de la zone échantillonnée par pêche électrique : distance transversale au milieu du site."
width_upper__largeur_en_amont,site data / données des sites,"Measured in meters to one decimal, of the area sampled by electrofishing: distance across at upstream end of site.","Mesurée en mètres à une décimale près, de la zone échantillonnée par pêche électrique : distance transversale à l'extrémité amont du site."
day__jours,site data / données des sites; specimen data / données sur les échantillons,"Day of the month (1–31), depending on month and year.","Jour du mois (1 à 31), selon le mois et l'année."
month__mois,site data / données des sites; specimen data / données sur les échantillons,Calendar month of the year (1–12).,Mois civil de l'année (1 à 12).
river_name__nom_de_la_rivière,site data / données des sites; specimen data / données sur les échantillons,"Name of the river that the site is located on. Or, if the site is on a tributary,  name of the river that the tributary connects to.","Nom de la rivière sur laquelle le site est situé. Ou, si le site est situé sur un affluent, nom de la rivière dans laquelle l'affluent se déverse."
sample_id__numéro_d'identification_de_l'échantillon,site data / données des sites; specimen data / données sur les échantillons,The unique sample number associated with the data record.,Le numéro d'échantillon unique associé à l'enregistrement.
site_code__numéro_du_site,site data / données des sites; specimen data / données sur les échantillons,Code used to identify a site. Can be numeric or alphanumeric.,Code utilisé pour identifier un site. Il peut être numérique ou alphanumérique.
year__année,site data / données des sites; specimen data / données sur les échantillons,Four-digit calendar year (YYYY).,Année civile à quatre chiffres (AAAA).
adipose_condition__état_de_nageoire_adipeuse,specimen data / données sur les échantillons,"This field is primarily used for Atlantic salmon, where adipose fin presence is associated with wild fish and absence with hatchery fish. Other species with adipose fins may also be recorded; in those cases, the field does not indicate origin.","Ce champ est principalement utilisé pour le saumon de l'Atlantique, chez lequel la présence d'une nageoire adipeuse est associée aux poissons sauvages et son absence aux poissons d'élevage. D'autres espèces dotées d'une nageoire adipeuse peuvent également être enregistrées ; dans ces cas, le champ n'indique pas l'origine."
ager_id__id_de_l'analyste,specimen data / données sur les échantillons,Unique ID used to differentiate people who age scales.,Identifiant unique utilisé pour différencier les personnes qui agent les écailles.
english_name__nom_anglais,specimen data / données sur les échantillons,English name of the species identified.,Nom anglais de l'espèce identifiée.
fork_length__longueur à la fourche,specimen data / données sur les échantillons,Measured in millimeters (mm).,Mesuré en millimètres (mm).
french_name__nom_français,specimen data / données sur les échantillons,French name of the species identified.,Nom français de l'espèce identifiée.
full_wetted_area__surface_mouillée_totale,specimen data / données sur les échantillons,Full wetted area indicates the total wetted area that was covered during the sweep.,La surface mouillée totale indique la surface mouillée totale qui a été couverte pendant le balayage.
life_stage__stade_de_vie,specimen data / données sur les échantillons,"Life stage is identified for Atlantic salmon. Salmon juveniles are identified IN THE FIELD as either Fry or Parr, based on fork length. Note, smart_river_age is assigned after the data are collected and scales have been aged. It is possible for smart_river_age and life_stage to conflict. When they do, smart_river_age is deemed more reliable as it takes into account more information than just length.","Le stade de vie est identifié pour le saumon atlantique. Les juvéniles de saumon sont identifiés SUR LE TERRAIN comme alevins ou tacons, sur la base de la longueur de la fourche. Remarque : smart_river_age est attribué après que les données ont été collectées et que les écailles ont été âgées. Il est possible que smart_river_age et life_stage soient en conflit. Dans ce cas, smart_river_age est considéré comme plus fiable car il prend en compte plus d'informations que la seule longueur."
notes__notes,specimen data / données sur les échantillons,Free-text comments and observations made by the observer during examination of the specimen. These notes may aid interpretation of the recorded data.,Commentaires et observations libres formulés par l'observateur lors de l'examen de l'échantillon. Ces notes peuvent faciliter l'interprétation des données enregistrées.
reproductive_status__stade_de_la_reproduction,specimen data / données sur les échantillons,Reproductive status is only identified for Atlantic salmon parr. Reproductive status is indicated as either Precocious or Not Precocious. Precocious parr are considered sexually mature.,Le stade de la reproduction n'est identifié que pour les tacons de saumon Atlantique. Le statut reproductif est indiqué comme précoce ou non précoce. Les tacons précoces sont considérés comme sexuellement matures.
scale_id_number__numéro_id_écaille,specimen data / données sur les échantillons,"Scale ID number, when combined with date, provides a unique identifier for scales collected from a specific individual. Scales are later aged.","Le numéro d'identification des écailles, associé à la date, fournit un indice unique pour les écailles prélevées sur un individu spécifique. Les écailles sont ensuite âgées."
scientific_name__nom_scientifique,specimen data / données sur les échantillons,Scientific name of the species identified.,Nom scientifique de l'espèce identifiée.
sex__sexe,specimen data / données sur les échantillons,"Information pertaining to the biological sex of a specimen. Options include:
Male.
Female.
Unknown: indicates determining sex was attempted, but could not be determined.
Not checked: indicates that determining sex was not attempted. 
Blank: often means not checked, especially when listed with species other than Atlantic salmon.","Informations relatives au sexe biologique d'un spécimen. Les options sont les suivantes :
Mâle.
Femelle.
Inconnu : indique qu'une tentative de détermination du sexe a été effectuée, mais que celui-ci n'a pas pu être déterminé.
Non vérifié : indique qu'aucune tentative de détermination du sexe n'a été effectuée. 
Blanc : signifie souvent non vérifié, en particulier lorsqu'il est indiqué avec des espèces autres que le saumon de l'Atlantique."
SMART_river_age_âge_en_rivière ,specimen data / données sur les échantillons,River age refers to the current number of years a juvenile salmon has spent in the river at time of sampling. The SMART portion of this category refers to how the age was determined. Please see category Smart_River_Age_Type for further details.,"L'âge en rivière correspond au nombre d'années qu'un saumon juvénile a passé dans la rivière au moment de l'échantillonnage. La partie SMART de cette catégorie fait référence à la manière dont l'âge a été déterminé. Pour plus de détails, voir la catégorie SMART_type_âge_en_rivière."
SMART_river_age_type__type_âge_en_rivière ,specimen data / données sur les échantillons,"If a smart_river_age has been assigned, the smart_river_age_type indicates how that age was determined. Options are:
Scale: interpretation of a fish scale collected from the individual has informed age.
Length-frequency, auto: the individual has been automatically assigned an age based on age-at-length thresholds applied to the dataset.
Length-frequency, manual: the individual has been manually assigned an age based on criteria other than the age-at-length threshold.","Si un SMART_âge_en_rivière a été attribué, le SMART_type_âge_en_rivière indique comment cet âge a été déterminé. Les options sont les suivantes :
Écaille : l'interprétation d'une écaille de poisson prélevée sur l'individu a permis de déterminer l'âge.
Fréquence de longueur, auto : un âge a été automatiquement attribué à l'individu sur la base des seuils d'âge à la longueur appliqués au jeu de données.
Fréquence de longueur, manuel : l'âge de l'individu a été attribué manuellement sur la base de critères autres que le seuil d'âge en fonction de la longueur."
status__statut,specimen data / données sur les échantillons,"DT [Released, double tagged]: This category was created in 2025 because the Margaree program was asked to double tag salmon at the trap using Radio Tags and Carlin Tags. Radio tag code is written under tag number column, carlin tag number is written in scale ID number.
E [Euthanized]: Specimen was euthanized for reasons other than research removal. For example, euthanized because it is an invasive species.
M [Mortality]: Dead fish.
ML [Mortality, lost]: Dead fish that is lost before biological details are recorded.
MR [Mortality, recapture (and sampled)]: Dead fish previously sampled (indicated by presence of tag, fin clip, etc.)
MS [Mortality, sampled]: Dead fish, biological details recorded.
MT [Mortality, tagging]: Fish died as a result of the tagging process.
MZ [Mortality, research removal]: Fish captured alive and kept for research purposes (fish euthanized).
R [Released, unsampled]: Fish captured and released; no biological details recorded.
RAT [Released, internal acoustic tag]: Fish captured and released; biological details recorded and fish tagged with an internal acoustic tag.
RI [Released, injured]: Fish captured and released: no biological details recorded due to existing injury.
RL [Released, lost]: Fish captured, but escaped before biological details recorded.
RR [Released, recaptured]: Fish recaptured and released: presence of tag/marking.
RRL [Released, recaptured, lost]: Fish recaptured: presence of tag/marking, escaped.
RRT [Released, radio tagged]: Indicates a fish that was tagged using a radio tag, then released.
RS [Released, sampled]: Fish captured and released: biological details recorded.
RT [Released, tagged (and sampled)]: Fish captured and released; biological details were recorded and fish was tagged.
SR [Scarred, tag lost, released]: Fish recaptured and released: presence of scarring indicates the fish was previously tagged/ marked; tag was lost.
unk [Unknown]: Fish encountered; outcome and/or biological information not recorded or indeterminable.
","DT [Remis à l'eau, double marquage]: Cette catégorie a été créée en 2025, car le programme Margaree a été chargé de procéder à un double marquage des saumons dans les pièges à l'aide de balises radio et de balises Carlin. Le code de la balise radio est inscrit dans la colonne du numéro de balise, tandis que le numéro de la balise Carlin est inscrit dans le numéro d'identification de l'échelle.
E [Euthanasié]: Le spécimen a été euthanasié pour des raisons autres que le prélèvement à des fins de recherche. Par exemple, euthanasié parce qu'il s'agit d'une espèce envahissante.
M [Mortalité]: Poisson mort.
ML [Mortalité, perdu]: Poisson mort qui est perdu avant que les détails biologiques ne soient enregistrés.
MR [Mortalité, recapture (et échantillonné)]: Poisson mort échantillonné précédemment (indiqué par la présence d'une étiquette, d'une entaille sur la nageoire, etc.).
MS [Mortalité, échantillonné]: Poisson mort, détails biologiques enregistrés.
MT [Mortalité, marqué]: Poisson mort à la suite du processus de marquage.
MZ [Mortalité, prélèvement à des fins de recherche]: Poisson capturé vivant et conservé à des fins de recherche (poisson euthanasié).
R [Remis à l'eau, non échantillonné]: Poisson capturé et remis à l'eau: aucun détail biologique enregistré.
RAT [Remis à l'eau, étiquette acoustique interne]: Poisson capturé et remis à l'eau; les détails biologiques ont été enregistrés et le poisson a été marqué avec une balise acoustique interne.
RI [Remis à l'eau, blessé]: Poisson capturé et remis à l'eau: aucun détail biologique enregistré en raison d'une blessure existante.
RL [Remis à l'eau, perdu]: Poisson capturé, mais qui a réussi à s'échapper avant que les données biologiques ne soient enregistrées.
RR [Remis à l'eau, recapturé]: Poisson recapturé et remis à l'eau: présence d'une étiquette/marquage.
RRL [Remis à l'eau, recapturé, perdu]: Poisson recapturé ; présence d'une étiquette/marquage, s'est échappé.
RRT [Relâché, marqué par radio]: Indique un poisson qui a été marqué au moyen d’une étiquette radio, puis remis à l'eau.
RS [Remis à l'eau, échantillonné]: Poisson capturé et remis à l'eau: détails biologiques enregistrés.
RT [Remis à l'eau, marqué (et échantillonné)]: Poisson capturé et remis à l'eau: détails biologiques enregistrés et le poisson a été marqué.
SR [Cicatrice, étiquette perdue, remis à l'eau]: Poisson recapturé et remis à l'eau: la présence de cicatrices indique que le poisson a été marqué/étiqueté précédemment ; l'étiquette a été perdue.
unk [Inconnu]: Poisson rencontré; résultat et/ou informations biologiques non enregistrées ou indéterminables
"
sweep_number__numéro_de_balayage,specimen data / données sur les échantillons,"Sweep number is used to identify what samples came from what sweep. Catch per unit effort (CPUE) sweeps are always indicated as 0.5. If a sweep has a whole number above 0.5, it is considered a depletion sweep. Depletion sweeps only appear at sites that were done as closed. For more information about CPUE sweeps and closed sites, please refer to the electrofishing protocol.","Le numéro de balayage est utilisé pour identifier quels échantillons proviennent de quel balayage. Les balayages de capture par unité d'effort (BCUE) sont toujours indiqués comme 0,5. Si un balayage a un nombre entier supérieur à 0,5, il est considéré comme un balayage d'épuisement. Les balayages d'épuisement n'apparaissent que sur les sites qui ont été fermés. Pour plus d'informations sur les balayages BCUE et les sites fermés, veuillez vous référer au protocole de pêche électrique."
sweep_time__temps_de_balayage,specimen data / données sur les échantillons,Sweep time indicates how many seconds were used to complete the sweep.,La durée du balayage indique le nombre de secondes utilisées pour effectuer le balayage.
total_length__longueur_totale,specimen data / données sur les échantillons,Measured in millimeters (mm).,Mesuré en millimètres (mm).
weight__poids,specimen data / données sur les échantillons,Measured in grams (g).,Mesuré en grammes (g).
Avg. length (mm),wms,Average (mean) length of specimens measured in millimeters.,Longueur moyenne (moyenne) des spécimens mesurée en millimètres.
CGNDB,wms,Reference number in the Canadian Geographical Names Database (CGNDB).,Numéro de référence dans la Base de données toponymiques du Canada (BDTC).
ITIS TSN,wms,The unique identifier for the Integrated Taxonomic Information System (ITIS).,L'identifiant unique du système intégré d'information taxonomique (SITI).
Length type,wms,Length type used for length measurement.,Type de longueur utilisé pour la mesure de la longueur.
Longueur moyenne (mm),wms,Average (mean) length of specimens measured in millimeters.,Longueur moyenne (moyenne) des spécimens mesurée en millimètres.
Specimens measured,wms,A total count of the specimens.,Nombre total de spécimens.
Spécimens mesurés,wms,A total count of the specimens.,Nombre total de spécimens.
Type de longueur,wms,Length type used for length measurement.,Type de longueur utilisé pour la mesure de la longueur.
