name__nom,datafile__fiche de donnée,description_en,description_fr
Ch:1 - Temperature (°C)__Ch:1 - Température (°C),Temperature,Temperature reading in degrees Celsius,Lecture de la température en degrés Celsius
Sample__Échantillon,Moisture + organic content,"Sample ID number, valued sequentially according to the order in which samples were processed in the lab","Numéro d'identification de l'échantillon, évalué séquentiellement selon l'ordre dans lequel les échantillons ont été traités au laboratoire."
Dish wgt__Poids du plat,Moisture + organic content,Weight of the aluminum weigh dish used to hold each sample (in grams),Poids du plateau de pesée en aluminium utilisé pour contenir chaque échantillon (en grammes)
Dish + wet sample wgt__Plat + poids de l'échantillon humide,Moisture + organic content,Weight of the aluminum weigh dish + the weight of the wet sample (in grams),Poids du plateau de pesée en aluminium + poids de l'échantillon humide (en grammes)
Wet wgt__Poids humide,Moisture + organic content,"Weight of the wet sample only (in grams); calculated as ""Dish + wet sample wgt"" - ""Dish wgt""","Poids de l'échantillon humide uniquement (en grammes) ; calculé comme suit : ""Poids du récipient + poids de l'échantillon humide"" - ""Poids du récipient""."
Dish + dry sample wgt__Plat + poids de l'échantillon sec,Moisture + organic content,Weight of the aluminum weigh dish + the weight of the dry sample (in grams); dry weight was obtained by drying the wet sample for 24h at 70°C,Poids du plateau de pesée en aluminium + poids de l'échantillon sec (en grammes) ; le poids sec a été obtenu en séchant l'échantillon humide pendant 24 heures à 70°C.
Dry wgt__Poids sec,Moisture + organic content,"Weight of the dry sample only (in grams); calculated as ""Dish + dry sample wgt"" - ""Dish wgt""","Poids de l'échantillon sec uniquement (en grammes) ; calculé comme suit : ""poids du récipient + échantillon sec"" - ""poids du récipient""."
Dish + ash sample wgt__Plat + poids de l'échantillon de cendres,Moisture + organic content,Weight of the aluminum weigh dish + the weight of the ashed sample (in grams); ash weight was obtained by burning the fry sample for 1h at 500°C,Poids du plateau de pesée en aluminium + poids de l'échantillon cendré (en grammes) ; le poids des cendres a été obtenu en brûlant l'échantillon de friture pendant 1 heure à 500°C.
Ash wgt__Poids des cendres,Moisture + organic content,"Weight of the ashed sample only (in grams); calculated as ""Dish + ash sample wgt"" - ""Dish wgt""","Poids de l'échantillon cendré uniquement (en grammes) ; calculé comme suit : ""Poids de la coupelle + de l'échantillon cendré"" - ""Poids de la coupelle""."
Moisture content__Teneur en humidité,Moisture + organic content,"The percentage of moisture contained in each wet sample; calculated as [(""Wet wgt"" - ""Dry wgt"") / ""Wet wgt""] x 100","Pourcentage d'humidité contenu dans chaque échantillon humide ; calculé comme suit : [(""Poids humide"" - ""Poids sec"") / ""Poids humide""] x 100"
Organic content_Contenu organique,Moisture + organic content,"The percentage of organic material contained in each dry sample; calculated as [(""Dry wgt"" - ""Ash wgt"") / ""Dry wgt""] x 100","Pourcentage de matière organique contenue dans chaque échantillon sec ; calculé comme suit : [(""poids sec"" - ""poids cendres"") / ""poids sec""] x 100."
Sample__Échantillon,Grain size weights,"Sample ID number, valued sequentially according to the order in which samples were processed in the lab; note 'DISH' sample refers to weights of the weigh dishes used for each sieve","Numéro d'identification de l'échantillon, évalué séquentiellement selon l'ordre dans lequel les échantillons ont été traités au laboratoire ; noter que l'échantillon ""DISH"" se réfère aux poids des plateaux de pesée utilisés pour chaque tamis."
Weight type__Type de poids,Grain size weights,"Weights with or without dish. ""DISH"" = weight of individual weigh dish; ""With dish"" = sample weights including the weight of the weigh dish; ""Without dish"" = sample weights excluding the weight of the weigh dish, calculated as ""Weight with dish"" - ""DISH"" ","Poids avec ou sans plateau. ""DISH"" = poids du plateau de pesée individuel ; ""Avec plateau"" = poids de l'échantillon incluant le poids du plateau de pesée ; ""Sans plateau"" = poids de l'échantillon excluant le poids du plateau de pesée, calculé comme ""Poids avec plateau"" - ""DISH"". "
2mm wgt__Poids 2mm,Grain size weights,"Weight of sediment grains retained on the 2mm sieve (in grams); column heading duplicated for ""Weights with dish"" and ""Weights without dish""","Poids des grains de sédiments retenus sur le tamis de 2 mm (en grammes) ; l'intitulé de la colonne est dupliqué pour ""Poids avec coupelle"" et ""Poids sans coupelle""."
1mm wgt__Poids 1mm,Grain size weights,"Weight of sediment grains retained on the 1mm sieve (in grams); column heading duplicated for ""Weights with dish"" and ""Weights without dish""","Poids des grains de sédiments retenus sur le tamis de 1 mm (en grammes) ; l'intitulé de la colonne est dupliqué pour ""Poids avec coupelle"" et ""Poids sans coupelle""."
600um wgt__Poids 600um,Grain size weights,"Weight of sediment grains retained on the 600µm sieve (in grams); column heading duplicated for ""Weights with dish"" and ""Weights without dish""","Poids des grains de sédiments retenus sur le tamis de 600µm (en grammes) ; l'intitulé de la colonne est dupliqué pour ""Poids avec coupelle"" et ""Poids sans coupelle"""
250um wgt__Poids 250um,Grain size weights,"Weight of sediment grains retained on the 250µm sieve (in grams); column heading duplicated for ""Weights with dish"" and ""Weights without dish""","Poids des grains de sédiments retenus sur le tamis de 250µm (en grammes) ; l'intitulé de la colonne est dupliqué pour ""Poids avec coupelle"" et ""Poids sans coupelle""."
125um wgt__Poids 125um,Grain size weights,"Weight of sediment grains retained on the 125µm sieve (in grams); column heading duplicated for ""Weights with dish"" and ""Weights without dish""","Poids des grains de sédiments retenus sur le tamis de 125µm (en grammes) ; l'intitulé de la colonne est dupliqué pour ""Poids avec coupelle"" et ""Poids sans coupelle"""
63um wgt__Poids 63um,Grain size weights,"Weight of sediment grains retained on the 63µm sieve (in grams); column heading duplicated for ""Weights with dish"" and ""Weights without dish""","Poids des grains de sédiments retenus sur le tamis de 63µm (en grammes) ; l'intitulé de la colonne est dupliqué pour ""Poids avec coupelle"" et ""Poids sans coupelle""."
<63um wgt__Poids de <63um,Grain size weights,"Weight of sediment grains retained on the bottom sieve cover (in grams); column heading duplicated for ""Weights with dish"" and ""Weights without dish""","Poids des grains de sédiments retenus sur le couvercle du tamis inférieur (en grammes) ; l'intitulé de la colonne est dupliqué pour ""Poids avec coupelle"" et ""Poids sans coupelle""."
Grain size calc parameters,Grain size calc parameters,"Note: Data are sediment grain size traits calculated from ""Weights without dish"" data","Note : Les données sont des traits granulométriques des sédiments calculés à partir des données ""Weights without dish""."
Sample,Grain size calc parameters,"Sample ID number, valued sequentially according to the order in which samples were processed in the lab; note 'DISH' sample refers to weights of the weigh dishes used for each sieve","Numéro d'identification de l'échantillon, évalué séquentiellement selon l'ordre dans lequel les échantillons ont été traités au laboratoire ; noter que l'échantillon ""DISH"" se réfère aux poids des plateaux de pesée utilisés pour chaque tamis."
Ash wgt before sieving,Grain size calc parameters,"The ash weight of the sediment sample before sieving; value taken directly from ""Ash wgt"" in the 'Moisture + organic content' datasheet (in grams)","Poids des cendres de l'échantillon de sédiments avant tamisage ; valeur tirée directement de ""Ash wgt"" dans la feuille de données ""Moisture + organic content"" (en grammes)."
Total sample wgt,Grain size calc parameters,"Total weight of the retained sediment sample after sieving; calculated as the sum of ""Weights without dish"" across all sieve sizes (<63um-2mm) (in grams)","Poids total de l'échantillon de sédiments retenu après tamisage ; calculé comme la somme des ""poids sans assiette"" pour toutes les tailles de tamis (<63um-2mm) (en grammes)."
% sample retained,Grain size calc parameters,"The percentage of the total ashed sample that remained after sieving (as there is some sample loss due to sieve shaking); calculated as [(""Ash wgt before sieving"" - ""Total sample wgt"") / ""Ash wgt before sieving""] x 100","Le pourcentage de l'échantillon cendré total qui est resté après le tamisage (car il y a une certaine perte d'échantillon due au secouage du tamis) ; calculé comme [(""Poids des cendres avant le tamisage"" - ""Poids total de l'échantillon"") / ""Poids des cendres avant le tamisage""] x 100."
Phi,Grain size calc parameters,"The mean phi value for a given sample, calculated as phi (?) = -log2S, where S is the mean grain size in mm; computed using an existing Excel macro","La valeur moyenne de phi pour un échantillon donné, calculée comme phi (?) = -log2S, où S est la taille moyenne des grains en mm ; calculée à l'aide d'une macro Excel existante."
