Site,Latitude,Longitude,Sampling_date,Quadrat,Distance along transect,JC hole count,JH_hole_count,SH hole count,HH hole count,IB hole count,Clam count >20mm,Clam count <20mm,Total clam count,Total clam wet_ weight,Include/Exclude,Notes,Reason for exclude
Shemogue,46.17,-64.07,9/22/2023,5,,5,5,,,,5,0,5,191.46,Include,,
Shemogue,46.17,-64.07,9/22/2023,6,,9,9,,,,13,2,15,343.29,Include,,
Shemogue,46.17,-64.07,9/22/2023,7,,6,5,,,,6,0,6,138.07,Include,,
Shemogue,46.17,-64.07,9/22/2023,8,,2,2,,,,1,0,1,48.88,Include,,
Shemogue,46.17,-64.07,9/22/2023,9,,6,6,,,,8,0,8,189.55,Include,,
Shemogue,46.17,-64.07,9/22/2023,10,,1,1,,,,1,2,3,5.96,Include,,
Kouchibouguac,45.65,-62.56,9/26/2023,1,,41,39,,,38,37,8,45,120.76,Include,Used shovel to lift up sediment in quadrat to see siphon holes.,
Kouchibouguac,45.65,-62.56,9/26/2023,2,,43,42,,,42,23,9,32,121.43,Include,Used shovel to lift up sediment in quadrat to see siphon holes.,
Kouchibouguac,45.65,-62.56,9/26/2023,3,,36,36,,,35,27,23,50,98.46,Include,Used shovel to lift up sediment in quadrat to see siphon holes.,
Kouchibouguac,45.65,-62.56,9/26/2023,4,,21,24,,,22,28,16,44,58.8,Include,Used shovel to lift up sediment in quadrat to see siphon holes.,
Kouchibouguac,45.65,-62.56,9/26/2023,5,,33,28,,,31,28,14,42,59.47,Include,Used shovel to lift up sediment in quadrat to see siphon holes.,
Kouchibouguac,45.65,-62.56,9/26/2023,6,,28,32,,,34,27,16,43,73.32,Include,Used shovel to lift up sediment in quadrat to see siphon holes.,
Kouchibouguac,45.65,-62.56,9/26/2023,7,,18,17,,,26,11,8,19,30.04,Include,Used shovel to lift up sediment in quadrat to see siphon holes.,
Kouchibouguac,45.65,-62.56,9/26/2023,8,,37,39,,,39,35,1,36,109.4,Include,Used shovel to lift up sediment in quadrat to see siphon holes.,
Kouchibouguac,45.65,-62.56,9/26/2023,9,,77,81,,,68,110,4,114,230.59,Include,Used shovel to lift up sediment in quadrat to see siphon holes.,
Kouchibouguac,45.65,-62.56,9/26/2023,10,,24,20,,,23,25,15,40,62.26,Include,Used shovel to lift up sediment in quadrat to see siphon holes.,
