Year,SampleID,SampleType,EventID,SamplingLocation,SamplingSite,EventDate,RecordedBy,DecimalLatitude,DecimalLongitude,VolumeFiltered (mL),FilterType,OccurrenceStatus,New_OccurrenceStatus,SMB Ct_1,SMB Ct_2,SMB Ct_3,SMB Pg/L_1 ,SMB Pg/L_2,SMB Pg/L_3,SMB Copies/L_1 ,SMB Copies/L_2,SMB Copies/L_3
2019,r19D:1925,Field blank,2019-r19D:1925,NA,NA,NA,DFO Gulf,NA,NA,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1926,Sample,2019-r19D:1926,SWM River,Site 4,8/27/2019,DFO Gulf,46.49564,-66.93989,1000,0.8 µm Nylon,Suspected,Inconclusive,35.24,No Ct,36.94,6.95,0,2.22,NA,NA,NA
2019,r19D:1927,Sample,2019-r19D:1927,SWM River,Site 4,8/27/2019,DFO Gulf,46.49565,-66.93987,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1928,Sample,2019-r19D:1928,SWM River,Site 4,8/27/2019,DFO Gulf,46.49564,-66.93983,1000,0.8 µm Nylon,Suspected,Detected,35.29,35.77,36.74,6.73,4.88,2.54,NA,NA,NA
2019,r19D:1929,Sample,2019-r19D:1929,SWM River,Site 5,8/28/2019,DFO Gulf,46.50800,-66.94947,1000,0.8 µm Nylon,Suspected,Detected,35.44,34.80,34.02,6.09,9.35,15.80,NA,NA,NA
2019,r19D:1930,Sample,2019-r19D:1930,SWM River,Site 5,8/27/2019,DFO Gulf,46.50799,-66.94947,1000,0.8 µm Nylon,Suspected,Inconclusive,34.82,35.68,No Ct,9.21,5.18,0,NA,NA,NA
2019,r19D:1932,Sample,2019-r19D:1932,SWM River,Site 5,8/27/2019,DFO Gulf,46.50798,-66.94944,1000,0.8 µm Nylon,Suspected,Inconclusive,No Ct,35.81,33.61,0,4.76,20.68,NA,NA,NA
2019,r19D:1933,Sample,2019-r19D:1933,SWM River,Site 6,8/27/2019,DFO Gulf,46.51599,-66.94915,1000,0.8 µm Nylon,Suspected,Detected,34.27,34.93,35.35,13.3,8.54,6.45,NA,NA,NA
2019,r19D:1934,Sample,2019-r19D:1934,SWM River,Site 6,8/27/2019,DFO Gulf,46.51599,-66.9491,1000,0.8 µm Nylon,Suspected,Inconclusive,No Ct,34.33,34.95,0,12.83,8.47,NA,NA,NA
2019,r19D:1935,Sample,2019-r19D:1935,SWM River,Site 6,8/27/2019,DFO Gulf,46.516,-66.94906,1000,0.8 µm Nylon,Suspected,Inconclusive,35.18,No Ct,34.25,7.24,0,13.54,NA,NA,NA
2019,r19D:1937,Sample,2019-r19D:1937,Mckiel Brook,Site 7,8/27/2019,DFO Gulf,46.51666,-66.95041,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1938,Sample,2019-r19D:1938,Mckiel Brook,Site 7,8/27/2019,DFO Gulf,46.51664,-66.9504,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1939,Sample,2019-r19D:1939,Mckiel Brook,Site 7,8/27/2019,DFO Gulf,46.51661,-66.9504,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1940,Sample,2019-r19D:1940,SWM River,Site 8,8/27/2019,DFO Gulf,46.51831,-66.94831,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1941,Sample,2019-r19D:1941,SWM River,Site 8,8/27/2019,DFO Gulf,46.5183,-66.94826,1000,0.8 µm Nylon,Suspected,Detected,34.77,34.78,33.98,9.55,9.46,16.23,NA,NA,NA
2019,r19D:1942,Sample,2019-r19D:1942,SWM River,Site 8,8/27/2019,DFO Gulf,46.51828,-66.9482,1000,0.8 µm Nylon,Inconclusive,Inconclusive,35.76,No Ct,No Ct,4.9,0,0,NA,NA,NA
2019,r19D:1943,Sample,2019-r19D:1943,SWM River,Site 9,8/27/2019,DFO Gulf,46.51916,-66.94681,1000,0.8 µm Nylon,Suspected,Inconclusive,35.89,35.85,No Ct,4.49,4.63,0,NA,NA,NA
2019,r19D:1944,Sample,2019-r19D:1944,SWM River,Site 9,8/27/2019,DFO Gulf,46.51906,-66.94672,1000,0.8 µm Nylon,Suspected,Inconclusive,35.68,34.83,No Ct,5.17,9.13,0,NA,NA,NA
2019,r19D:1945,Sample,2019-r19D:1945,SWM River,Site 9,8/27/2019,DFO Gulf,46.51896,-66.94663,1000,0.8 µm Nylon,Suspected,Inconclusive,No Ct,35.18,35.25,0,7.25,6.92,NA,NA,NA
2019,r19D:1950,Sample,2019-r19D:1950,SWM River,Site 10,8/28/2019,DFO Gulf,46.49392,-67.01024,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1951,Sample,2019-r19D:1951,SWM River,Site 10,8/28/2019,DFO Gulf,46.49411,-67.0101,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1952,Sample,2019-r19D:1952,SWM River,Site 10,8/28/2019,DFO Gulf,46.49407,-67.01006,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1953,Field blank,2019-r19D:1953,,NA,NA,DFO Gulf,NA,NA,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1990,Sample,2019-r19D:1990,Mckiel Brook,Site 25,9/6/2019,DFO Gulf,46.55018,-67.04403,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1991,Sample,2019-r19D:1991,Mckiel Brook,Site 25,9/6/2019,DFO Gulf,46.55018,-67.04403,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1992,Sample,2019-r19D:1992,Mckiel Brook,Site 25,9/6/2019,DFO Gulf,46.55018,-67.04403,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1993,Sample,2019-r19D:1993,Mckiel Brook,Site 26,9/6/2019,DFO Gulf,46.57771,-67.04132,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1994,Sample,2019-r19D:1994,Mckiel Brook,Site 26,9/6/2019,DFO Gulf,46.57771,-67.04132,1000,0.8 µm Nylon,Inconclusive,Inconclusive,No Ct,No Ct,37.88,0,0,1.19,NA,NA,NA
2019,r19D:1995,Sample,2019-r19D:1995,Mckiel Lake,Site 27,9/6/2019,DFO Gulf,46.60067,-66.98572,550,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1996,Sample,2019-r19D:1996,Mckiel Brook,Site 26,9/6/2019,DFO Gulf,46.57771,-67.04132,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1997,Sample,2019-r19D:1997,Mckiel Lake,Site 27,9/6/2019,DFO Gulf,46.60067,-66.98572,525,0.8 µm Nylon,Inconclusive,Inconclusive,No Ct,No Ct,37.35,0,0,0.85,NA,NA,NA
2019,r19D:1998,Sample,2019-r19D:1998,Mckiel Lake,Site 27,9/6/2019,DFO Gulf,46.60067,-66.98572,500,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:1999,Field blank,2019-r19D:1999,,NA,NA,DFO Gulf,NA,NA,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2004,Sample,2019-r19D:2004,SWM River,Site 14,8/28/2019,Anqotum Resource Management,46.54418,-66.85125,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2005,Field blank,2019-r19D:2005,,NA,NA,DFO Gulf,NA,NA,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2018,Sample,2019-r19D:2018,SWM River,Site 13,9/12/2019,DFO Gulf,46.53652,-66.87909,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2019,Sample,2019-r19D:2019,SWM River,Site 13,9/12/2019,DFO Gulf,46.53652,-66.87909,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2020,Sample,2019-r19D:2020,SWM River,Site 13,9/12/2019,DFO Gulf,46.53503,-66.88127,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2021,Sample,2019-r19D:2021,SWM River,Site 13,9/12/2019,DFO Gulf,46.53508,-66.88129,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2022,Sample,2019-r19D:2022,SWM River,Site 11,9/12/2019,DFO Gulf,46.51914,-66.92581,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2023,Sample,2019-r19D:2023,SWM River,Site 11,9/12/2019,DFO Gulf,46.51838,-66.92639,1000,0.8 µm Nylon,Suspected,Detected,39.33,39.47,38.12,0.45,0.41,1.01,NA,NA,NA
2019,r19D:2024,Sample,2019-r19D:2024,SWM River,Site 11,9/12/2019,DFO Gulf,46.51838,-66.92639,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2025,Sample,2019-r19D:2025,SWM River,Site 8,9/12/2019,DFO Gulf,46.5172,-66.94911,1000,0.8 µm Nylon,Suspected,Inconclusive,38.22,38.11,No Ct,0.94,1.02,0,NA,NA,NA
2019,r19D:2026,Sample,2019-r19D:2026,SWM River,Site 11,9/12/2019,DFO Gulf,46.51914,-66.92581,1000,0.8 µm Nylon,Inconclusive,Inconclusive,38.36,No Ct,No Ct,0.86,0,0,NA,NA,NA
2019,r19D:2027,Sample,2019-r19D:2027,SWM River,Site 8,9/12/2019,DFO Gulf,46.5172,-66.94911,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2028,Sample,2019-r19D:2028,SWM River,Site 8 ,9/12/2019,DFO Gulf,46.51639,-66.9497,1000,0.8 µm Nylon,Suspected,Detected,38.4,38.7,39.71,0.83,0.68,0.35,NA,NA,NA
2019,r19D:2029,Sample,2019-r19D:2029,SWM River,Site 5,9/12/2019,DFO Gulf,46.50753,-66.94977,1000,0.8 µm Nylon,Suspected,Detected,38.38,39.12,37.83,0.85,0.52,1.22,NA,NA,NA
2019,r19D:2030,Sample,2019-r19D:2030,Mckiel Brook,Site 25,9/12/2019,DFO Gulf,46.55011,-67.04399,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2031,Sample,2019-r19D:2031,Mckiel Brook,Site 25,9/12/2019,DFO Gulf,46.55011,-67.04399,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2032,Sample,2019-r19D:2032,SWM River,Site 5,9/12/2019,DFO Gulf,46.50753,-66.94977,1000,0.8 µm Nylon,Suspected,Inconclusive,No Ct,37.22,37.76,0,1.85,1.28,NA,NA,NA
2019,r19D:2033,Sample,2019-r19D:2033,SWM River,Site 5,9/12/2019,DFO Gulf,46.50809,-66.94965,1000,0.8 µm Nylon,Suspected,Inconclusive,No Ct,38.58,38.38,0,0.74,0.85,NA,NA,NA
2019,r19D:2035,Sample,2019-r19D:2035,Taxis River,Site 24,9/12/2019,DFO Gulf,46.4541,-66.42307,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2036,Sample,2019-r19D:2036,Taxis River,Site 24,9/12/2019,DFO Gulf,46.45406,-66.42301,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2038,Sample,2019-r19D:2038,Taxis River,Site 24,9/12/2019,DFO Gulf,46.45404,-66.42295,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2039,Sample,2019-r19D:2039,SWM River,Site 23,9/12/2019,DFO Gulf,46.48196,-66.4797,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2040,Sample,2019-r19D:2040,SWM River,Site 23,9/12/2019,DFO Gulf,46.48188,-66.47978,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2041,Sample,2019-r19D:2041,SWM River,Site 23,9/12/2019,DFO Gulf,46.48183,-66.47985,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2042,Sample,2019-r19D:2042,SWM River,Site 22,9/12/2019,DFO Gulf,46.51649,-66.51611,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2043,Sample,2019-r19D:2043,SWM River,Site 22,9/12/2019,DFO Gulf,46.51649,-66.51594,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2044,Sample,2019-r19D:2044,SWM River,Site 22,9/12/2019,DFO Gulf,46.51649,-66.51587,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2046,Sample,2019-r19D:2046,SWM River,Site 21,9/12/2019,DFO Gulf,46.56018,-66.55818,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2047,Sample,2019-r19D:2047,SWM River,Site 21,9/12/2019,DFO Gulf,46.56006,-66.55818,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2048,Sample,2019-r19D:2048,SWM River,Site 21,9/12/2019,DFO Gulf,46.55979,-66.5582,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2049,Sample,2019-r19D:2049,SWM River,Site 20,9/12/2019,DFO Gulf,46.60068,-66.63867,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2050,Sample,2019-r19D:2050,SWM River,Site 20,9/12/2019,DFO Gulf,46.60063,-66.63863,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2051,Sample,2019-r19D:2051,SWM River,Site 20,9/12/2019,DFO Gulf,46.60059,-66.63861,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2052,Sample,2019-r19D:2052,SWM River,Site 19,9/12/2019,DFO Gulf,46.58557,-66.70121,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2053,Sample,2019-r19D:2053,SWM River,Site 19,9/12/2019,DFO Gulf,46.58554,-66.70118,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2054,Sample,2019-r19D:2054,SWM River,Site 19,9/12/2019,DFO Gulf,46.58557,-66.70119,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2056,Field blank,2019-r19D:2056,,NA,NA,DFO Gulf,NA,NA,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2240,Sample,2019-r19D:2240,SWM River,Site 13,10/3/2019,DFO Gulf,46.53456,-66.88125,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2241,Sample,2019-r19D:2241,SWM River,Site 13,10/3/2019,DFO Gulf,46.53477,-66.88146,1000,0.8 µm Nylon,Inconclusive,Inconclusive,No Ct,35.82,No Ct,0,0.74,0,NA,NA,NA
2019,r19D:2242,Sample,2019-r19D:2242,SWM River,Site 13,10/3/2019,DFO Gulf,46.53499,-66.88155,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2243,Sample,2019-r19D:2243,Mckiel Brook,Site 26,10/3/2019,DFO Gulf,46.57803,-67.04152,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2244,Sample,2019-r19D:2244,Mckiel Brook,Site 26,10/3/2019,DFO Gulf,46.57803,-67.04152,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2245,Sample,2019-r19D:2245,SWM River,Site 5,10/3/2019,DFO Gulf,46.50642,-66.95071,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2246,Sample,2019-r19D:2246,SWM River,Site 5,10/3/2019,DFO Gulf,46.50642,-66.95071,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2247,Sample,2019-r19D:2247,SWM River,Site 5,10/3/2019,DFO Gulf,46.50642,-66.95071,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2248,Sample,2019-r19D:2248,Mckiel Brook,Site 26,10/3/2019,DFO Gulf,46.57803,-67.04152,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2250,Field blank,2019-r19D:2250,,NA,NA,DFO Gulf,NA,NA,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2316,Sample,2019-r19D:2316,SWM River,Site 5,10/10/2019,DFO Gulf,46.50754,-66.94977,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2317,Sample,2019-r19D:2317,Mckiel Lake,Site 27,10/10/2019,DFO Gulf,46.60062,-66.9858,800,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2318,Sample,2019-r19D:2318,Mckiel Lake,Site 27,10/10/2019,DFO Gulf,46.60062,-66.9858,775,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2319,Sample,2019-r19D:2319,Mckiel Lake,Site 27,10/10/2019,DFO Gulf,46.60062,-66.9858,775,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2320,Sample,2019-r19D:2320,Mckiel Brook,Site 26,10/10/2019,DFO Gulf,46.57803,-67.04152,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2321,Sample,2019-r19D:2321,Mckiel Brook,Site 26,10/10/2019,DFO Gulf,46.57803,-67.04152,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2322,Sample,2019-r19D:2322,SWM River,Site 15,10/10/2019,DFO Gulf,46.55547,-66.84771,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2323,Sample,2019-r19D:2323,Mckiel Brook,Site 26,10/10/2019,DFO Gulf,46.57803,-67.04152,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2324,Sample,2019-r19D:2324,SWM River,Site 15,10/10/2019,DFO Gulf,46.55547,-66.84771,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2325,Sample,2019-r19D:2325,SWM River,Site 15,10/10/2019,DFO Gulf,46.55547,-66.84771,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2326,Sample,2019-r19D:2326,SWM River,Site 14,10/10/2019,DFO Gulf,46.54391,-66.85485,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2327,Sample,2019-r19D:2327,SWM River,Site 14,10/10/2019,DFO Gulf,46.54391,-66.85485,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2328,Sample,2019-r19D:2328,SWM River,Site 14,10/10/2019,DFO Gulf,46.54391,-66.85485,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2329,Sample,2019-r19D:2329,SWM River,Site 17,10/10/2019,DFO Gulf,46.5737,-66.81342,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2330,Sample,2019-r19D:2330,SWM River,Site 17,10/10/2019,DFO Gulf,46.5737,-66.81342,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2332,Sample,2019-r19D:2332,SWM River,Site 17,10/10/2019,DFO Gulf,46.5737,-66.81342,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2333,Sample,2019-r19D:2333,SWM River,Site 29,10/10/2019,DFO Gulf,46.49828,-67.0485,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2335,Sample,2019-r19D:2335,SWM River,Site 12,10/10/2019,DFO Gulf,46.52954,-66.90152,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2336,Sample,2019-r19D:2336,SWM River,Site 29,10/10/2019,DFO Gulf,46.49828,-67.0485,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2337,Sample,2019-r19D:2337,SWM River,Site 12,10/10/2019,DFO Gulf,46.52954,-66.90152,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2338,Sample,2019-r19D:2338,SWM River,Site 12,10/10/2019,DFO Gulf,46.52954,-66.90152,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2339,Sample,2019-r19D:2339,SWM River,Site 18,10/10/2019,DFO Gulf,46.58102,-66.75007,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2340,Sample,2019-r19D:2340,SWM River,Site 5,10/10/2019,DFO Gulf,46.50754,-66.94977,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2341,Sample,2019-r19D:2341,SWM River,Site 16,10/10/2019,DFO Gulf,46.56257,-66.832,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2342,Sample,2019-r19D:2342,SWM River,Site 16,10/10/2019,DFO Gulf,46.56257,-66.832,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2343,Sample,2019-r19D:2343,SWM River,Site 18,10/10/2019,DFO Gulf,46.58102,-66.75007,1000,0.8 µm Nylon,Inconclusive,Inconclusive,No Ct,35.73,No Ct,0,0.74,0,NA,NA,NA
2019,r19D:2345,Sample,2019-r19D:2345,SWM River,Site 16,10/10/2019,DFO Gulf,46.56257,-66.832,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
2019,r19D:2346,Sample,2019-r19D:2346,SWM River,Site 18,10/10/2019,DFO Gulf,46.58142,-66.7502,1000,0.8 µm Nylon,Not detected,Not detected,No Ct,No Ct,No Ct,0,0,0,NA,NA,NA
