fishing_area__zone_de_pêche,river_name__nom_de_la_rivière,site_code__numéro_du_site,latitude,longitude,year__année,month__mois,day__jour,site_type__type_de_site,water_cond__cond_eau,water_temp_c__temp_eau_c,seine_type__type_de_senne,electrofisher__électropêcheur,electrofisher_pulse_type__type_d'impulsion_du_électropêcheur,electrofisher_frequency__fréquence_du_électropêcheur,duty_cycle__facteur_d'utilisation,electrofisher_voltage__tension_du_électropêcheur,electrofisher_output_low__sortie_faible_du_électropêcheur,electrofisher_output_high__sortie_élevé_du_électropêcheur,bank_length_left__longueur_de_la_banque_à_gauche,bank_length_right__longueur_de_la_banque_à_droite,width_lower__largeur_inférieure,width_middle__largeur_moyenne,width_upper__largeur_supérieure,max_overhanging_veg_left__max_vég_en_surplomb_à_gauche,max_overhanging_veg_right__max_vég_en_surplomb_à_droite,overhanging_veg_left__vég_en_surplomb_à_gauche,overhanging_veg_right__vég_en_surplomb_à_droite,depth_1_lower__profondeur_1_inférieure,depth_2_lower__profondeur_2_inférieure,depth_3_lower__profondeur_3_inférieure,depth_1_middle__profondeur_1_moyenne,depth_2_middle__profondeur_2_moyenne,depth_3_middle__profondeur_3_moyenne,depth_1_upper__profondeur_1_supérieur,depth_2_upper__profondeur_2_supérieur,depth_3_upper__profondeur_3_supérieur,max_depth__profondeur_max,percent_fine__pourcentage_fin,percent_sand__pourcentage_sable,percent_gravel__pourcentage_gravier,percent_pebble__pourcentage_caillou,percent_cobble__pourcentage_pierre,percent_rocks__pourcentage_roches,percent_boulder__pourcentage_rocher,percent_bedrock__pourcentage_substratum,percent_riffle__pourcentage_radier,percent_run__pourcentage_courant,percent_flat__pourcentage_plat,percent_pool__pourcentage_bassin,age_thresh_0_1__seuil d'âge_0_1,age_thresh_1_2__seuil d'âge_1_2,age_thresh_2_3__seuil d'âge_2_3,sample_id__numéro_d_identification_de_l_échantillon
SFA16B__ZPS16B,Kouchibouguac,K07,46.73,-65.21111111,1974,9,18,Spot check,,13.0,1 man seine (1m wide X 1m high),,,60.0,,300.0,,,5.5,5.5,16.8,15.2,15.5,,,20.0,20.0,22.9,22.9,22.9,15.2,27.9,10.2,10.2,25.4,15.2,,0.0,0.0,0.0,20.0,70.0,0.0,0.0,10.0,0,0,0,0,,,,58435
SFA16B__ZPS16B,Molus River,RM01,46.58108108,-65.0754902,1974,9,19,Spot check,,11.0,1 man seine (1m wide X 1m high),,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,0.0,10.0,0.0,0.0,80.0,10.0,0.0,0.0,10,0,0,90,,,,58400
SFA16B__ZPS16B,Richibucto,R04,46.4972973,-65.34673203,1974,9,19,Spot check,110.0,10.0,1 man seine (1m wide X 1m high),,,,,,,,,16.5,5.5,5.5,16.5,,,75.0,75.0,20.3,25.4,20.3,10.2,15.2,7.6,7.6,12.7,5.1,,15.0,10.0,0.0,0.0,65.0,10.0,0.0,0.0,75,25,0,0,,,,58403
SFA16B__ZPS16B,Richibucto,R03,46.49189189,-65.28660131,1974,9,19,Spot check,140.0,,1 man seine (1m wide X 1m high),,,60.0,,600.0,,,13.7,14.9,9.1,11.9,12.5,,,,,10.2,15.2,17.8,40.6,,35.6,33.0,15.2,12.7,,0.0,5.0,0.0,10.0,85.0,0.0,0.0,0.0,50,0,0,50,,,,58404
SFA16B__ZPS16B,Richibucto,R02,46.49,-65.26,1974,9,19,Spot check,85.0,8.0,1 man seine (1m wide X 1m high),,,,,,,,6.4,5.5,16.8,15.5,14.6,,,50.0,50.0,7.6,22.9,43.2,12.7,25.4,20.3,7.6,20.3,10.2,,0.0,10.0,0.0,0.0,80.0,10.0,0.0,0.0,90,10,0,0,,,,58405
SFA16B__ZPS16B,Bass River,RB01,46.55,-65.1,1974,9,19,Spot check,150.0,12.0,1 man seine (1m wide X 1m high),,,,,,,,7.9,8.5,10.4,11.0,11.9,,,25.0,25.0,17.8,55.9,30.5,22.9,17.8,15.2,20.3,40.6,17.8,,0.0,2.0,0.0,0.0,85.0,8.0,0.0,5.0,85,15,0,0,,,,58409
SFA16B__ZPS16B,Tedish,TE01,46.18063063,-64.2872549,1974,9,19,Spot check,,14.0,1 man seine (1m wide X 1m high),,,,,,,,6.1,6.1,4.3,4.6,4.6,,,90.0,90.0,8.9,12.7,15.2,12.7,15.2,14.0,8.3,14.0,7.6,,30.0,10.0,0.0,5.0,55.0,0.0,0.0,0.0,10,40,0,50,,,,58417
SFA16B__ZPS16B,Molus River,RM02,46.58603604,-65.09313725,1974,9,20,Spot check,220.0,15.0,1 man seine (1m wide X 1m high),,,,,,,,7.6,7.9,12.8,11.6,11.0,,,10.0,10.0,55.9,10.2,40.6,58.4,61.0,55.9,40.6,43.2,43.2,,80.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0,70,0,30,,,,58397
SFA16B__ZPS16B,Richibucto,R01,46.51,-65.16,1974,9,20,Spot check,180.0,10.0,1 man seine (1m wide X 1m high),,,,,,,,5.5,5.5,13.7,17.4,17.4,,,10.0,10.0,17.8,12.7,7.6,20.3,5.1,20.3,15.2,25.4,27.9,,15.0,30.0,0.0,0.0,55.0,0.0,0.0,0.0,85,15,0,0,,,,58406
SFA16B__ZPS16B,Hudson Brook,RH01,46.50045045,-65.19215686,1974,9,20,Spot check,220.0,11.0,1 man seine (1m wide X 1m high),,,,,,,,15.5,16.2,4.9,5.5,4.9,,,70.0,70.0,66.0,53.3,25.4,45.7,38.1,15.2,17.8,15.2,10.2,,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,20,0,0,80,,,,58408
SFA16B__ZPS16B,Trout Brook,RT01,46.46148649,-65.14117647,1974,9,23,Spot check,210.0,10.0,1 man seine (1m wide X 1m high),,,,,,,,7.3,7.3,10.7,10.1,14.3,,,50.0,50.0,10.2,20.3,15.2,25.4,20.3,17.8,22.9,22.9,17.8,,5.0,10.0,0.0,0.0,85.0,0.0,0.0,0.0,20,20,0,60,,,,58384
SFA16B__ZPS16B,Trout Brook,RT02,46.42612613,-65.20915033,1974,9,23,Spot check,200.0,10.0,1 man seine (1m wide X 1m high),,,,,,,,10.4,10.4,8.8,4.6,5.2,,,0.0,0.0,73.7,71.1,83.8,20.3,15.2,27.9,35.6,38.1,30.5,,10.0,40.0,0.0,10.0,40.0,0.0,0.0,0.0,0,70,0,30,,,,58393
SFA16B__ZPS16B,Rayworth Brook,RA01,46.09414414,-63.95,1974,9,24,Spot check,,9.0,1 man seine (1m wide X 1m high),,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,100,0,0,0,,,,58402
SFA16B__ZPS16B,Coal Branch river,CB01,46.48,-65.09,1974,9,24,Spot check,50.0,8.0,1 man seine (1m wide X 1m high),,,,,,,,3.7,4.3,22.9,23.5,24.1,,,10.0,10.0,22.9,15.2,20.3,25.4,20.3,22.9,7.6,10.2,17.8,,0.0,10.0,0.0,0.0,90.0,0.0,0.0,0.0,40,50,0,10,,,,58427
SFA16B__ZPS16B,St. Nicholas River,RN09,46.54,-64.96,1974,9,24,Spot check,50.0,9.0,1 man seine (1m wide X 1m high),,,,,,,,13.4,11.9,8.2,5.8,7.9,,,35.0,35.0,22.9,12.7,5.1,15.2,17.8,20.3,12.7,20.3,10.2,,10.0,20.0,0.0,0.0,70.0,0.0,0.0,0.0,40,60,0,0,,,,58442
SFA16B__ZPS16B,St. Nicholas River,RN10,46.49324324,-64.99411765,1974,9,24,Spot check,50.0,8.0,1 man seine (1m wide X 1m high),,,,,,,,17.4,18.6,3.0,5.5,5.5,,,20.0,20.0,10.2,15.2,10.2,12.7,17.8,7.6,22.9,20.3,10.2,,5.0,10.0,0.0,0.0,85.0,0.0,0.0,0.0,80,20,0,0,,,,58443
SFA16B__ZPS16B,Kouchibouguac,KW01,46.17252252,-64.34836601,1974,9,25,Spot check,,10.0,1 man seine (1m wide X 1m high),,,,,,,,18.3,18.3,8.8,6.4,4.6,,,,,24.1,5.1,7.6,15.2,15.2,14.0,22.9,22.9,27.9,,0.0,5.0,0.0,15.0,80.0,0.0,0.0,0.0,100,0,0,0,,,,58395
SFA16B__ZPS16B,Kouchibouguac,KW02,46.14234234,-64.30490196,1974,9,25,Spot check,,8.0,1 man seine (1m wide X 1m high),,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,50,0,0,50,,,,58424
SFA16B__ZPS16B,Coal Branch river,CB06,46.35157658,-65.14575163,1974,9,25,Spot check,,9.0,1 man seine (1m wide X 1m high),,,,,,,,13.7,13.7,9.1,5.5,5.5,,,,,20.3,17.8,7.6,15.2,17.8,2.5,17.8,20.3,5.1,,0.0,5.0,0.0,0.0,95.0,0.0,0.0,0.0,70,30,0,0,,,,58430
SFA16B__ZPS16B,St-Charles (Aldouane),A01,46.66036036,-65.0,1974,9,26,Spot check,,9.0,1 man seine (1m wide X 1m high),,,,,,,,16.8,16.8,8.8,8.5,7.9,,,10.0,10.0,21.6,22.9,14.0,14.0,35.6,20.3,17.8,29.2,22.9,,10.0,10.0,0.0,0.0,75.0,5.0,0.0,0.0,30,70,0,0,,,,58378
SFA16B__ZPS16B,St-Charles (Aldouane),A05,46.62837838,-65.06601307,1974,9,26,Spot check,,9.0,1 man seine (1m wide X 1m high),,,,,,,,17.4,17.4,6.4,5.2,4.6,,,,,17.8,15.2,30.5,12.7,7.6,12.7,22.9,27.9,22.9,,25.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,20,0,80,0,,,,58382
SFA16B__ZPS16B,St-Charles (Aldouane),A02,46.64527027,-65.03529412,1974,9,27,Spot check,,10.0,1 man seine (1m wide X 1m high),,,,,,,,10.7,11.0,8.5,7.9,8.2,,,,,43.2,38.1,40.6,30.5,30.5,25.4,40.6,25.4,17.8,,0.0,25.0,0.0,0.0,50.0,25.0,0.0,0.0,0,100,0,0,,,,58379
SFA16B__ZPS16B,St-Charles (Aldouane),A03,46.64572072,-65.05686275,1974,9,27,Spot check,,9.0,1 man seine (1m wide X 1m high),,,,,,,,19.2,20.4,5.2,4.6,5.2,,,60.0,60.0,34.3,39.4,45.7,22.9,29.2,33.0,20.3,35.6,35.6,,0.0,20.0,0.0,0.0,70.0,10.0,0.0,0.0,0,80,0,20,,,,58380
SFA16B__ZPS16B,St-Charles (Aldouane),A04,46.64076577,-65.05490196,1974,9,27,Spot check,,10.0,1 man seine (1m wide X 1m high),,,,,,,,19.5,19.5,4.3,4.6,4.6,,,,,20.3,22.9,22.9,15.2,22.9,17.8,17.8,20.3,15.2,,0.0,60.0,0.0,0.0,35.0,5.0,0.0,0.0,0,100,0,0,,,,58381
SFA16B__ZPS16B,St-Charles (Aldouane),A06,46.67612613,-65.01666667,1974,9,27,Spot check,,9.0,1 man seine (1m wide X 1m high),,,,,,,,13.1,13.1,3.7,1.8,1.5,,,,,22.9,35.6,17.8,5.1,15.2,10.2,15.2,22.9,15.2,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0,100,0,0,,,,58383
SFA16B__ZPS16B,Scoudouc,SC01,46.18040541,-64.50588235,1974,9,27,Spot check,,11.0,1 man seine (1m wide X 1m high),,,,,,,,13.7,13.1,3.0,2.7,3.4,,,,,25.4,33.0,30.5,10.2,12.7,7.6,14.0,22.9,16.5,,30.0,15.0,0.0,0.0,55.0,0.0,0.0,0.0,50,10,0,40,,,,58386
SFA16B__ZPS16B,Scoudouc,SC02,46.18378378,-64.51176471,1974,9,27,Spot check,50.0,,1 man seine (1m wide X 1m high),,,,,,,,,,15.2,13.1,13.7,,,,,30.5,22.9,22.9,5.1,10.2,22.9,17.8,19.1,26.7,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100,0,0,0,,,,58387
SFA16B__ZPS16B,Scoudouc,SC04,46.16013514,-64.48071895,1974,9,27,Spot check,,10.0,1 man seine (1m wide X 1m high),,,,,,,,29.0,29.6,2.7,3.0,2.7,,,,,12.7,15.2,14.0,21.6,17.8,12.7,34.3,45.7,38.1,,15.0,80.0,0.0,0.0,5.0,0.0,0.0,0.0,5,0,0,95,,,,58389
SFA16B__ZPS16B,St. Nicholas River,RN07,46.5,-65.93,1974,9,30,Spot check,,9.0,1 man seine (1m wide X 1m high),,,,,,,,14.9,14.9,11.9,12.5,11.0,,,50.0,50.0,30.5,48.3,10.2,35.6,45.7,10.2,33.0,27.9,20.3,,25.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0,100,0,0,,,,58385
SFA16B__ZPS16B,St. Nicholas River,RN02,46.52432432,-64.8624183,1974,9,30,Spot check,110.0,10.0,1 man seine (1m wide X 1m high),,,,,,,,17.7,19.5,6.7,6.7,7.0,,,50.0,50.0,48.3,33.0,25.4,30.5,40.6,53.3,40.6,61.0,61.0,,0.0,5.0,0.0,45.0,50.0,0.0,0.0,0.0,0,100,0,0,,,,58394
SFA16B__ZPS16B,Shediac,SH01,46.24504505,-64.66437908,1974,10,1,Spot check,50.0,9.0,1 man seine (1m wide X 1m high),,,,,,,,,,9.1,7.0,8.2,,,,,12.7,22.9,26.7,10.2,33.0,27.9,22.9,20.3,19.1,,10.0,10.0,0.0,20.0,60.0,0.0,0.0,0.0,100,0,0,0,,,,58390
SFA16B__ZPS16B,Shediac,SH02,46.20990991,-64.74248366,1974,10,1,Spot check,50.0,9.0,1 man seine (1m wide X 1m high),,,,,,,,13.1,13.1,6.4,7.0,7.3,,,,,21.6,43.2,30.5,27.9,38.1,33.0,20.3,35.6,30.5,,0.0,10.0,0.0,20.0,70.0,0.0,0.0,0.0,80,20,0,0,,,,58391
SFA16B__ZPS16B,Shediac,SH04,46.20765766,-65.67320261,1974,10,1,Spot check,50.0,9.0,1 man seine (1m wide X 1m high),,,,,,,,,,6.1,6.4,7.3,,,,,24.1,19.1,11.4,40.6,17.8,7.6,25.4,24.1,12.7,,0.0,10.0,0.0,10.0,80.0,0.0,0.0,0.0,80,0,0,20,,,,58415
SFA16B__ZPS16B,Shediac,SH05,46.20855856,-64.69346405,1974,10,1,Spot check,50.0,10.0,1 man seine (1m wide X 1m high),,,,,,,,14.3,15.2,4.6,4.0,4.0,,,,,40.6,43.2,25.4,15.2,24.1,20.3,25.4,17.8,16.5,,5.0,10.0,0.0,10.0,60.0,0.0,0.0,15.0,30,50,0,20,,,,58416
SFA16B__ZPS16B,Chockpish,CH01,46.55315315,-64.77581699,1974,10,1,Spot check,65.0,9.0,1 man seine (1m wide X 1m high),,,,,,,,18.3,18.3,7.9,7.6,7.6,,,,,22.9,22.9,40.6,25.4,38.1,53.3,17.8,25.4,17.8,,30.0,10.0,0.0,0.0,40.0,20.0,0.0,0.0,55,45,0,0,,,,58431
SFA16B__ZPS16B,Gaspereau Creek,GA01,46.6268018,-64.80130719,1974,10,1,Spot check,70.0,9.0,1 man seine (1m wide X 1m high),,,,,,,,17.7,17.7,2.1,2.4,3.7,,,85.0,85.0,10.2,22.9,12.7,17.8,15.2,2.5,48.3,45.7,27.9,,65.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0,90,0,10,,,,58432
SFA16B__ZPS16B,Tweedie Brook,K10,46.78288288,-65.13529412,1974,10,1,Spot check,50.0,9.0,1 man seine (1m wide X 1m high),,,60.0,,420.0,,,13.4,13.4,8.8,8.5,9.4,,,30.0,30.0,12.7,40.6,33.0,27.9,27.9,30.5,20.3,30.5,22.9,,10.0,10.0,0.0,0.0,40.0,0.0,0.0,40.0,10,90,0,0,,,,58438
SFA16B__ZPS16B,St. Nicholas River,RN03,46.56509009,-64.85261438,1974,10,1,Spot check,50.0,9.0,1 man seine (1m wide X 1m high),,,,,,,,12.2,12.2,5.5,4.9,4.9,,,70.0,70.0,43.2,45.7,40.6,25.4,38.1,33.0,20.3,45.7,50.8,,25.0,60.0,0.0,0.0,10.0,5.0,0.0,0.0,0,0,0,100,,,,58445
SFA16B__ZPS16B,Scoudouc,SC03,46.14684685,-64.52058824,1974,10,2,Spot check,50.0,8.0,1 man seine (1m wide X 1m high),,,,,,,,14.6,17.1,4.9,4.6,4.3,,,,,11.4,10.2,12.7,8.9,8.9,8.9,8.9,12.7,11.4,,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,50,40,0,10,,,,58388
SFA16B__ZPS16B,Shediac,SH03,46.19414414,-64.81633987,1974,10,2,Spot check,50.0,9.0,1 man seine (1m wide X 1m high),,,,,,,,,,4.6,4.9,4.6,,,,,35.6,22.9,7.6,14.0,11.4,10.2,8.9,16.5,12.7,,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,90,0,0,10,,,,58392
SFA16B__ZPS16B,Buctouche,B17,46.31801802,-65.0124183,1974,10,3,Spot check,50.0,8.0,1 man seine (1m wide X 1m high),,,,,,,,,,,,,,,,,19.0,14.0,21.0,23.0,22.0,26.0,23.0,27.0,40.0,,0,0,0,0,0,0,0,0,0,100,0,0,,,,58421
SFA16B__ZPS16B,Yankee Brook,B14,46.3545045,-64.93169935,1974,10,4,Spot check,50.0,7.0,1 man seine (1m wide X 1m high),,,,,,,,18.3,18.3,10.7,12.8,14.6,,,,,66.0,61.0,53.3,61.0,61.0,68.6,53.3,58.4,38.1,,0.0,20.0,0.0,0.0,60.0,20.0,0.0,0.0,80,0,0,20,,,,58419
SFA16B__ZPS16B,Little Buctouche,LB01,46.37,-64.77,1974,10,7,Spot check,50.0,12.0,1 man seine (1m wide X 1m high),,,,,,,,,,5.2,5.8,7.0,,,,,10.2,26.7,17.8,31.8,22.9,20.3,12.7,35.6,27.9,,0.0,10.0,0.0,0.0,70.0,20.0,0.0,0.0,60,30,0,10,,,,58407
SFA16B__ZPS16B,Howard Brook,HW01,46.37252252,-64.67352941,1974,10,7,Spot check,50.0,11.0,1 man seine (1m wide X 1m high),,,,,,,,15.5,18.3,6.1,7.3,7.6,,,,,26.7,5.1,10.2,10.2,15.2,8.9,5.1,12.7,11.4,,0.0,0.0,0.0,20.0,50.0,30.0,0.0,0.0,100,0,0,0,,,,58433
SFA16B__ZPS16B,Mill Creek,B10,46.45,-64.83,1974,10,8,Spot check,50.0,9.0,1 man seine (1m wide X 1m high),,,,,,,,12.5,12.5,9.1,9.4,10.4,,,,,27.9,27.9,12.7,15.2,17.8,7.6,17.8,17.8,10.2,,0.0,0.0,0.0,10.0,65.0,25.0,0.0,0.0,75,10,0,15,,,,58418
SFA16B__ZPS16B,Mill Creek,B18,46.45675676,-64.85,1974,10,8,Spot check,50.0,9.0,1 man seine (1m wide X 1m high),,,,,,,,,,,,,,,,,29.0,17.0,25.0,12.0,16.0,14.0,27.0,17.0,11.0,,0.0,10.0,0.0,15.0,65.0,10.0,0.0,0.0,0,60,0,40,,,,58422
SFA16B__ZPS16B,Bailey Brook,B16,46.24752252,-64.92745098,1974,10,9,Spot check,50.0,7.0,1 man seine (1m wide X 1m high),,,,,,,,22.9,23.5,2.4,2.4,2.4,,,,,27.9,25.4,7.6,12.7,17.8,20.3,27.9,27.9,15.2,,30.0,40.0,0.0,0.0,30.0,0.0,0.0,0.0,70,0,0,30,,,,58420
SFA16B__ZPS16B,Shaw Brook,C04,46.21711712,-64.87,1974,10,9,Spot check,50.0,8.0,1 man seine (1m wide X 1m high),,,,,,,,28.0,28.0,2.7,1.8,4.3,,,,,20.3,15.2,5.1,17.8,15.2,7.6,12.7,12.7,15.2,,0.0,10.0,0.0,0.0,90.0,0.0,0.0,0.0,0,80,0,20,,,,58426
SFA16B__ZPS16B,South Branch McInnes Brook,K14,46.73108108,-65.26666667,1974,10,10,Spot check,,,1 man seine (1m wide X 1m high),Dirigo 500 [s/n: ---] (Created during import of historical SFA-16B s.NB data),,,,,,,,,,,,,,,,35.6,40.6,33.0,20.3,43.2,48.3,20.3,20.3,30.5,,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,30,50,0,20,,,,58410
SFA16B__ZPS16B,Kouchibouguacis,KS02,46.6,-65.34,1974,10,10,Spot check,,12.0,1 man seine (1m wide X 1m high),,,,,,,,9.1,9.1,8.2,10.7,17.7,,,,,15.2,35.6,27.9,15.2,20.3,27.9,17.8,22.9,27.9,,0.0,0.0,0.0,10.0,40.0,50.0,0.0,0.0,50,0,0,50,,,,58413
SFA16B__ZPS16B,North Branch McInnes Brook,K09,46.76081081,-65.19901961,1974,10,10,Spot check,,,1 man seine (1m wide X 1m high),,,,,,,,,,,,,,,,,17.8,27.9,25.4,15.2,20.3,10.2,17.8,20.3,17.8,,10.0,10.0,0.0,20.0,60.0,0.0,0.0,0.0,20,80,0,0,,,,58437
SFA16B__ZPS16B,East Branch Russel Brook,K12,46.7027027,-65.34934641,1974,10,10,Spot check,,,1 man seine (1m wide X 1m high),,,,,,,,,,,,,,,,,22.9,20.3,15.2,22.9,19.1,17.8,15.2,15.2,10.2,,0,0,0,0,0,0,0,0,0,0,0,0,,,,58440
SFA16B__ZPS16B,St. Nicholas River,RN01,46.54594595,-64.89346405,1974,10,11,Spot check,50.0,5.0,1 man seine (1m wide X 1m high),,,,,,,,14.9,14.6,3.7,7.0,7.0,,,50.0,50.0,15.2,25.4,27.9,11.4,10.2,11.4,7.6,10.2,15.2,,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,100,0,0,0,,,,58396
SFA16B__ZPS16B,Hudson Brook,RH02,46.47477477,-65.20751634,1974,10,11,Spot check,,8.0,1 man seine (1m wide X 1m high),,,,,,,,,,6.1,6.1,6.1,,,,,30.5,12.7,7.6,27.9,10.2,7.6,17.8,5.1,10.2,,10.0,10.0,0.0,0.0,70.0,10.0,0.0,0.0,25,75,0,0,,,,58399
SFA16B__ZPS16B,Kouchibouguacis,KS01,45.67,-65.14,1974,10,11,Spot check,50.0,4.0,1 man seine (1m wide X 1m high),,,,,,,,,,13.7,13.7,13.4,,,,,50.8,54.6,43.2,53.3,53.3,39.4,47.0,38.1,33.0,,0.0,0.0,0.0,10.0,50.0,40.0,0.0,0.0,40,60,0,0,,,,58412
