eventDate,decimalLongitude,decimalLatitude,geodeticDatum,basisOfRecord,dataSource,Station,stateProvince,vernacularNameEN,vernacularNameFR,scientificName,scientificNameID,scientificNameIDSourceDatabase,occurrenceStatus,occurrenceStatusDetail,organismQuantity,organismQuantityType,deployYear,deployMonth,deployDay,retrieveYear,retrieveMonth,retrieveDay,numWeeksDeployed,StationID,SampleIDs
9/19/2019,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2019,6,18,2019,9,19,13.29,91,3965
9/19/2019,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2019,6,18,2019,9,19,13.29,91,3965
9/19/2019,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2019,6,18,2019,9,19,13.29,91,3965
9/22/2020,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2020,6,26,2020,9,22,12.57,91,4188
9/22/2020,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2020,6,26,2020,9,22,12.57,91,4188
9/22/2020,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2020,6,26,2020,9,22,12.57,91,4188
9/22/2020,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2020,6,26,2020,9,22,12.57,91,4188
9/22/2020,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2020,6,26,2020,9,22,12.57,91,4188
9/22/2020,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2020,6,26,2020,9,22,12.57,91,4188
9/22/2020,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2020,6,26,2020,9,22,12.57,91,4188
9/22/2020,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2020,6,26,2020,9,22,12.57,91,4188
9/7/2021,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2021,7,14,2021,9,7,7.86,91,4219
9/7/2021,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2021,7,14,2021,9,7,7.86,91,4219
9/7/2021,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2021,7,14,2021,9,7,7.86,91,4219
9/7/2021,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2021,7,14,2021,9,7,7.86,91,4219
9/7/2021,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2021,7,14,2021,9,7,7.86,91,4219
9/7/2021,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2021,7,14,2021,9,7,7.86,91,4219
9/7/2021,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2021,7,14,2021,9,7,7.86,91,4219
9/7/2021,-64.29708,46.22947,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Aboiteau,NB,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2021,7,14,2021,9,7,7.86,91,4219
10/2/2018,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Quantitative monitoring plate,25.50%,Average percent cover of AIS collector plates,2018,6,11,2018,10,2,16.14,27,2182
10/2/2018,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Quantitative monitoring plate,4.50%,Average percent cover of AIS collector plates,2018,6,11,2018,10,2,16.14,27,2182
10/2/2018,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2018,6,11,2018,10,2,16.14,27,2182
10/2/2018,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2018,6,11,2018,10,2,16.14,27,2182
10/2/2018,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2018,6,11,2018,10,2,16.14,27,2182
10/2/2018,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2018,6,11,2018,10,2,16.14,27,2182
10/2/2018,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2018,6,11,2018,10,2,16.14,27,2182
10/2/2018,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2018,6,11,2018,10,2,16.14,27,2182
10/3/2019,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Quantitative monitoring plate,35.20%,Average percent cover of AIS collector plates,2019,5,27,2019,10,3,18.43,27,3936
10/3/2019,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Quantitative monitoring plate,1.60%,Average percent cover of AIS collector plates,2019,5,27,2019,10,3,18.43,27,3936
10/3/2019,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2019,5,27,2019,10,3,18.43,27,3936
10/3/2019,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2019,5,27,2019,10,3,18.43,27,3936
10/3/2019,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2019,5,27,2019,10,3,18.43,27,3936
10/3/2019,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2019,5,27,2019,10,3,18.43,27,3936
10/3/2019,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2019,5,27,2019,10,3,18.43,27,3936
10/3/2019,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2019,5,27,2019,10,3,18.43,27,3936
9/17/2020,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Quantitative monitoring plate,20.00%,Average percent cover of AIS collector plates,2020,7,15,2020,9,17,9.14,27,4180
9/17/2020,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Quantitative monitoring plate,39.00%,Average percent cover of AIS collector plates,2020,7,15,2020,9,17,9.14,27,4180
9/17/2020,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2020,7,15,2020,9,17,9.14,27,4180
9/17/2020,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2020,7,15,2020,9,17,9.14,27,4180
9/17/2020,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2020,7,15,2020,9,17,9.14,27,4180
9/17/2020,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2020,7,15,2020,9,17,9.14,27,4180
9/17/2020,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2020,7,15,2020,9,17,9.14,27,4180
9/17/2020,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2020,7,15,2020,9,17,9.14,27,4180
9/29/2021,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Quantitative monitoring plate,23.75%,Average percent cover of AIS collector plates,2021,6,23,2021,9,29,14,27,4225
9/29/2021,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Quantitative monitoring plate,24.00%,Average percent cover of AIS collector plates,2021,6,23,2021,9,29,14,27,4225
9/29/2021,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Non-quantitative detection at station,n/a,Average percent cover of AIS collector plates,2021,6,23,2021,9,29,14,27,4225
9/29/2021,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,vase tunicate,ascidie jaune,Ciona intestinalis,103732,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Non-quantitative detection at station,0.00%,Average percent cover of AIS collector plates,2021,6,23,2021,9,29,14,27,4225
9/29/2021,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,oyster thief,Codium fragile,Codium fragile fragile,370562,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2021,6,23,2021,9,29,14,27,4225
9/29/2021,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,"coffin box bryozoan, lacy crust bryozoan",membranipore,Membranipora membranacea,111411,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2021,6,23,2021,9,29,14,27,4225
9/29/2021,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,clubbed tunicate,ascidie plissée,Styela clava,103929,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Absent,Quantitative monitoring plate,0.00%,Average percent cover of AIS collector plates,2021,6,23,2021,9,29,14,27,4225
9/29/2021,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,European green crab,crabe vert européen,Carcinus maenas,107381,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2021,6,23,2021,9,29,14,27,4225
9/7/2022,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,violet tunicate,botrylloïde violet,Botrylloides violaceus,148715,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Quantitative monitoring plate,26.67%,Average percent cover of AIS collector plates,2022,5,25,2022,9,7,15,27,4255
9/7/2022,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,golden star tunicate,botrylle étoilé,Botryllus schlosseri,103862,World Register of Marine Species (WoRMS https://www.marinespecies.org/),Present,Quantitative monitoring plate,2.83%,Average percent cover of AIS collector plates,2022,5,25,2022,9,7,15,27,4255
9/7/2022,-64.05823,46.79574,WGS84  EPSG: 4326,Human Observation,Department of Fisheries and Oceans Gulf Region Science Branch Aquatic Invasive Species,Alberton,PE,Japanese skeleton shrimp,caprelle japonaise,Caprella mutica,146768,World Register of Marine Species (WoRMS https://www.marinespecies.org/),"Absent, Inconclusive",Non-targeted species,n/a,Average percent cover of AIS collector plates,2022,5,25,2022,9,7,15,27,4255
