year,site_name,site_latitude,site_longitude,avg_air_temp_arrival,avg_max_air_temp,avg_water_temp_shore,3SST_abundance,3SST_avg_fork_length,3SST_avg_weight,9SST_abundance,9SST_avg_fork_length,9SST_avg_weight,ALEW_abundance,ALEW_avg_fork_length,ALEW_avg_weight,AMEL_abundance,AMEL_avg_total_length,AMEL_avg_weight,AMSH_abundance,AMSH_avg_fork_length,AMSH_avg_weight,ATSA(sm)_abundance,ATSA(sm)_avg_fork_length,ATSA(sm)_avg_weight,ATSA(sal)_abundance,ATSA(sal)_avg_fork_length,ATSA(sal)_avg_weight,ATSA(pa)_abundance,ATSA(pa)_avg_fork_length,ATSA(pa)_avg_weight,BAKI_abundance,BAKI_avg_fork_length,BAKI_avg_weight,BLDA_abundance,BLDA_avg_fork_length,BLDA_avg_weight,BRKTR(pa)_abundance,BRKTR(pa)_avg_fork_length,BRKTR(pa)_avg_weight,BRKTR(res)_abundance,BRKTR(res)_avg_fork_length,BRKTR(res)_avg_weight,BRKTR(sr)_abundance,BRKTR(sr)_avg_fork_length,BRKTR(sr)_avg_weight,BRBU_abundance,BRBU_avg_fork_length,BRBU_avg_weight,COSH_abundance,COSH_avg_fork_length,COSH_avg_weight,CRAY_abundance,CRAY_avg_fork_length,CRAY_avg_weight,CRCH_abundance,CRCH_avg_fork_length,CRCH_avg_weight,FIDA_abundance,FIDA_avg_fork_length,FIDA_avg_weight,GASP_abundance,GASP_avg_fork_length,GASP_avg_weight,GOSH_abundance,GOSH_avg_fork_length,GOSH_avg_weight,LACH_abundance,LACH_avg_fork_length,LACH_avg_weight,LAMP_abundance,LAMP_avg_fork_length,LAMP_avg_weight,LOSU_abundance,LOSU_avg_fork_length,LOSU_avg_weight,MUMM_abundance,MUMM_avg_fork_length,MUMM_avg_weight,NRDA_abundance,NRDA_avg_fork_length,NRDA_avg_weight,RASM_abundance,RASM_avg_fork_length,RASM_avg_weight,RATR(res)_abundance,RATR(res)_avg_fork_length,RATR(res)_avg_weight,RATR(pa)_abundance,RATR(pa)_avg_fork_length,RATR(pa)_avg_weight,ROWH_abundance,ROWH_avg_fork_length,ROWH_avg_weight,SALA_abundance,SALA_avg_fork_length,SALA_avg_weight,SELA_abundance,SELA_avg_fork_length,SELA_avg_weight,SELA(am)_abundance,SELA(am)_avg_fork_length,SELA(am)_avg_weight,SELA(si)_abundance,SELA(si)_avg_fork_length,SELA(si)_avg_weight,SLSC_abundance,SLSC_avg_fork_length,SLSC_avg_weight,STIC_abundance,STIC_avg_fork_length,STIC_avg_weight,SUCK_abundance,SUCK_avg_fork_length,SUCK_avg_weight,WHSU_abundance,WHSU_avg_fork_length,WHSU_avg_weight,YEPE_abundance,YEPE_avg_fork_length,YEPE_avg_weight
2004,Butters-RST (Restigouche River),47.9867,-66.8023,8.917,19.639,9.292,,,,,,,,,,537,260.276,27.484,,,,2179,127.121,18.246,,,,257,47.348,9.300,2,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,,,3467,149.023,,,,,,,,,,,,,,25,,,,,,,,,2,,,824,,,414,,,,,,,,
2004,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,10.598,10.524,8.659,,,,,,,4,215.550,,163,305.119,,,,,2553,129.523,21.783,,,,3588,60.196,,,,,245,,,15,101.600,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,1,155.000,,,,,3,,,,,,,,,,,,,,,,,,892,,,,,,,,,12,,,13,,,13,34.500,,,,,,,
2004,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Moses-RST (Restigouche River),47.9971,-66.8159,9.861,19.583,8.806,,,,,,,,,,110,281.636,,,,,1736,128.979,17.608,,,,133,58.485,,,,,10,,,2,73.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,204,138.326,,,,,,,,,,,,,,5,,,1,,,,,,,,,193,,,476,,,,,,,,
2004,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,13.925,,10.075,,,,,,,,,,156,321.923,,,,,689,125.055,20.304,,,,530,70.977,,,,,153,,,3,115.333,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,8,,,,,,,,,65,,,,,,,,,2,105.000,,,,,,,,,,,1,,,,,,,,,46,,,52,135.000,,,,,,,
2005,Butters-RST (Restigouche River),47.9867,-66.8023,11.497,19.633,11.167,,,,,,,1,193.000,,349,261.067,38.167,,,,2691,125.722,18.165,,,,392,49.046,,,,,34,,,1,223.000,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,219,,,2703,142.896,,,,,,,,,,,,,,12,,,,,,,,,,,,658,,,48,44.000,,,,,,,
2005,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,11.786,18.500,10.268,,,,,,,,,,88,272.542,,,,,1830,126.837,21.728,,,,412,56.935,,,,,77,,,10,120.100,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,801,,,,,,,,,21,,,10,,,17,,,,,,,,
2005,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Moses-RST (Restigouche River),47.9971,-66.8159,12.563,19.633,10.803,,,,,,,1,268.000,,97,306.138,45.085,1,285.000,,2283,124.931,19.276,,,,133,53.341,,5,,,8,,,5,174.420,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,37,,,135,107.286,,,,,,,,,,,,,,4,,,,,,,,,,,,199,,,43,,,,,,,,
2005,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,15.214,,12.214,,,,,,,,,,154,359.221,,,,,5139,124.411,19.003,,,,2243,63.753,,,,,113,,,4,136.750,,,,,,,,,,,5,,,,,,,,,143,,,,,,,,,,,,2,,,,,,,,,1,,,,,,2,109.500,,,,,,,,,,,,,,,,,,,,4,,,155,,,45,,,,,,,,
2006,Butters-RST (Restigouche River),47.9867,-66.8023,11.962,20.647,11.729,,,,,,,,,,223,284.233,32.580,,,,903,126.474,19.240,,,,137,60.606,,4,,,19,,,1,47.000,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,523,,,807,145.747,,,,,,,,,,,,,,7,,,,,,,,,5,,,751,,,292,250.000,,,,,,,
2006,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,11.986,,9.857,,,,,,,5,258.800,,58,305.818,,,,,1602,127.922,19.013,,,,2831,58.495,,,,,164,,,50,45.700,,,,,,,,,,,1,103.000,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,460,,,,,,,,,8,,,39,,,48,38.700,,,,,2,58.000,
2006,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Moses-RST (Restigouche River),47.9971,-66.8159,12.074,20.647,11.162,,,,,,,3,285.000,,45,308.089,404.700,,,,794,126.772,17.273,,,,266,48.534,,2,,,7,,,2,239.500,,,,,,,,,,,1,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,97,,,103,141.098,,,,,,,,,,,,,,23,,,,,,,,,4,,,225,,,206,,,,,,,,
2006,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Butters-RST (Restigouche River),47.9867,-66.8023,10.347,21.200,11.033,568,,,,,,,,,209,282.301,,,,,1778,126.067,18.830,,,,249,59.370,,2,,,14,,,,,,,,,,,,,,,2,,,,,,,,,679,,,,,,,,,165,,,,,,,,,,,,,,,1593,152.222,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,116,,,,,
2007,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,11.339,,9.214,23,,,,,,,,,54,335.189,,,,,3769,127.720,17.986,,,,1266,56.397,,,,,103,,,3,91.667,,2,176.500,,,,,,,,,,,,,,,,,11,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,589,,,2,,,24,,,,,,,,,33,,,,,
2007,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Moses-RST (Restigouche River),47.9971,-66.8159,12.050,21.200,10.563,416,,,1,,,,,,70,292.100,,,,,1904,126.304,17.263,,,,392,54.667,,6,,,16,,,,,,,,,,,,,,,1,,,,,,,,,133,,,,,,,,,36,,,,,,,,,1,,,,,,229,150.044,,,,,,,,,,,,,,1,,,30,,,3,,,1,,,,,,,,,199,,,,,
2007,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,13.619,,11.429,35,,,,,,,,,172,342.506,,,,,8196,127.548,19.968,,,,3739,64.902,,,,,192,,,2,172.000,,,,,,,,,,,1,,,1,,,,,,126,,,5,,,,,,29,,,2,,,,,,,,,,,,910,,,,,,1,75.000,4.200,,,,,,,1,,,3,,,,,,3,,,,,,,,,89,,,,,
2008,Butters-RST (Restigouche River),47.9867,-66.8023,11.103,20.375,11.387,929,,,4,,,,,,323,259.991,,,,,1307,121.272,16.176,,,,283,54.228,,1,,,19,,,,,,,,,,,,,,,,,,,,,,,,516,,,,,,,,,45,,,,,,,,,,,,,,,1983,144.652,,,,,,,,,,,,,,1,,,60,,,,,,2,,,,,,,,,69,450.000,,,,
2008,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,11.129,,9.371,14,,,,,,,,,104,332.442,,,,,1228,125.372,16.992,,,,1062,61.518,,,,,40,,,10,100.700,,,,,,,,,,,,,,,,,,,,130,,,5,243.000,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,1270,,,2,,,52,,,,,,,,,20,,,,,
2008,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Moses-RST (Restigouche River),47.9971,-66.8159,11.931,20.375,10.897,511,,,1,,,,,,125,317.448,,,,,2560,125.989,17.380,,,,171,61.790,,5,,,7,,,,,,,,,,,,,,,,,,,,,,,,156,,,6,280.000,,,,,13,,,,,,,,,1,,,,,,305,149.448,,,,,,,,,,,,,,,,,7,,,,,,2,,,,,,4,,,81,,,,,
2008,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,13.321,,10.626,74,,,,,,,,,123,347.909,,,,,818,120.303,17.500,,,,1502,70.757,,,,,129,,,5,168.000,,,,,,,,,,,4,,,2,,,,,,59,,,4,,,,,,6,,,,,,,,,,,,,,,2,,,,,,3,125.667,22.233,,,,,,,,,,3,,,,,,17,,,,,,,,,77,,,,,
2009,Butters-RST (Restigouche River),47.9867,-66.8023,8.845,18.207,10.390,394,,,2,,,,,,251,287.797,,,,,2147,125.616,19.660,,,,97,67.678,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,223,,,,,,,,,4,,,,,,,,,,,,,,,2291,148.596,,,,,,,,,,,,,,,,,8,,,3,,,,,,,,,,,,64,,,,,
2009,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,10.781,,8.500,14,,,,,,,,,31,397.207,,,,,2577,128.559,18.955,,,,972,64.621,,,,,52,,,13,126.833,,,,,,,,,,,,,,,,,,,,13,,,14,282.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654,,,3,,,9,,,,,,,,,18,218.500,,,,
2009,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Moses-RST (Restigouche River),47.9971,-66.8159,9.939,18.214,9.761,104,,,,,,,,,70,290.938,,,,,1745,128.060,21.103,,,,93,51.856,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,3,,,,,,,,,,,,,,,299,154.241,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,33,,,,,
2009,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,11.619,,8.994,11,,,,,,,,,36,367.647,,,,,441,127.410,19.476,,,,1065,65.896,,,,,41,,,1,210.000,,,,,,,,,,,2,,,,,,,,,25,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,2,,,,,,,,,19,,,,,
2010,Butters-RST (Restigouche River),47.9867,-66.8023,10.246,19.464,11.468,451,,,,,,,,,237,259.215,,,,,1235,126.505,19.929,,,,367,49.129,,1,,,6,,,1,245.000,,,,,,,,,,,,,,,,,,,,411,,,,,,,,,,,,,,,,,,,,,,,,2210,145.437,,,,,,,,,,,,,,,,,19,,,2,,,1,,,,,,,,,29,,,,,
2010,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,12.272,,9.668,3,,,,,,,,,7,346.571,,,,,2294,132.744,22.838,,,,1080,61.805,,,,,55,,,24,43.250,,,,,,,,,,,1,137.000,,1,,,,,,16,,,1,269.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,55,,,,,,,,,16,400.500,,,,
2010,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Moses-RST (Restigouche River),47.9971,-66.8159,11.829,19.464,10.918,187,,,2,,,,,,109,365.272,,,,,1823,129.516,18.922,,,,182,66.709,,5,,,9,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,195,153.167,,,,,,,,,,,,,,,,,5,,,7,,,1,,,,,,,,,22,,,,,
2010,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,14.013,,11.738,39,,,,,,,,,101,384.830,,,,,2466,128.617,19.636,,,,654,69.198,,,,,55,,,6,110.333,,,,,,,,1,,,4,,,,,,,,,21,,,3,,,,,,40,,,,,,,,,,,,,,,6458,,,,,,1,118.000,18.200,,,,,,,,,,7,,,,,,8,,,,,,,,,28,,,,,
2011,Butters-RST (Restigouche River),47.9867,-66.8023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,10.881,,7.942,10,,,,,,,,,2,351.000,,,,,2597,131.157,19.503,,,,917,64.072,,,,,45,,,14,100.786,,,,,,,,,,,,,,,,,,,,8,,,1,273.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,,,,,,1,,,,,,,,,9,,,,,
2011,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Moses-RST (Restigouche River),47.9971,-66.8159,10.138,19.750,9.246,32,,,,,,,,,36,332.861,,1,,,1748,125.092,17.688,,,,76,65.224,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,1050,145.405,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,475,,,,,
2011,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Butters-RST (Restigouche River),47.9867,-66.8023,11.304,21.042,12.067,154,,,3,,,,,,225,282.160,,,,,1963,127.923,20.792,,,,278,42.416,,2,,,7,,,,,,,,,,,,,,,,,,,,,,,,221,,,1,248.000,,,,,,,,,,,,,,,,,,,,1437,150.178,,,,,,,,,,,,,,,,,13,,,1,,,3,,,,,,,,,20,469.000,,,,
2012,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,13.629,,9.319,11,,,,,,,,,13,428.385,,,,,2677,131.377,21.666,,,,511,61.337,,,,,17,,,14,40.143,,,,,,,,,,,,,,2,,,,,,9,,,2,251.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,12,,,13,,,,,,,,,9,,,,,
2012,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Moses-RST (Restigouche River),47.9971,-66.8159,12.629,21.042,11.304,115,,,2,,,,,,68,311.406,,,,,1697,128.545,19.330,,,,36,63.028,,2,,,6,,,,,,,,,1,301.000,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,81,144.538,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,24,,,,,
2012,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,15.380,,11.800,1,,,,,,,,,25,322.680,,,,,1129,124.251,19.217,,,,591,64.712,,,,,6,,,1,180.000,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,115.000,15.500,,,,,,,,,,2,,,,,,3,,,,,,,,,7,,,,,
2013,Butters-RST (Restigouche River),47.9867,-66.8023,12.900,25.750,12.575,38,,,,,,,,,24,341.375,,,,,3,122.000,,,,,18,67.222,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,37,,,,,
2013,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,8.828,,6.472,,,,,,,,,,4,553.333,,,,,2621,129.440,18.351,,,,1615,59.196,,,,,16,,,3,136.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,2,,,,,,,,,,,,1,,,,,
2013,LittleMainRestigouche-RST (Little Main Restigouche River),47.5285,-67.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Moses-RST (Restigouche River),47.9971,-66.8159,13.550,25.750,12.375,11,,,,,,,,,11,316.909,,,,,1,115.000,,,,,14,68.929,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,17,,,1,315.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,,,,,17,,,,,
2013,Upsalquitch-RST (Upsalquitch River),47.8532,-66.9092,6.714,14.250,7.029,,,,,,,,,,1,510.000,,,,,1519,122.466,17.436,,,,1219,58.095,,,,,5,,,,,,1,158.000,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,7,480.000,,,,
2014,Butters-RST (Restigouche River),47.9867,-66.8023,12.694,23.118,12.424,409,,,1,,,,,,59,286.724,,,,,534,121.086,18.252,,,,119,57.059,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,168,,,1,263.000,,,,,,,,,,,,,,,,,,,,410,135.269,,,,,,,,,,,,,,19,,,6,,,,,,1,,,,,,,,,18,440.000,,,,
2014,Kedgwick-RST (Kedgwick River),47.6711,-67.5098,13.316,,8.576,9,,,,,,,,,7,380.714,,,,,861,126.359,16.467,,,,1171,60.222,,,,,35,,,17,64.647,,,,,,,,,,,,,,1,,,,,,68,,,12,259.417,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,257,,,4,,,7,,,,,,,,,33,,,,,
